kol_username,month_start,year_start,month_end,year_end,total_posts_pr,total_posts_nonpr,unique_music_pr,unique_music_nonpr,ttSeller,commerceUser,emoji_count_pr,emoji_count_nonpr,hashtag_count_pr,hashtag_count_nonpr,word_count_no_emoji_hashtag_pr,word_count_no_emoji_hashtag_nonpr,early_morning_pr,pr_ratio_early_morning,early_morning_nonpr,morning_pr,pr_ratio_morning,morning_nonpr,afternoon_pr,pr_ratio_afternoon,afternoon_nonpr,evening_pr,pr_ratio_evening,evening_nonpr,late_night_pr,pr_ratio_late_night,late_night_nonpr,is_weekend_pr,pr_ratio_weekend,is_weekend_nonpr,is_trending_pr,pr_ratio_trending,is_trending_nonpr,duration_pr,duration_nonpr,diggCount_pr,diggCount_nonpr,shareCount_pr,shareCount_nonpr,collectCount_pr,collectCount_nonpr,commentCount_pr,commentCount_nonpr,playCount_pr,playCount_nonpr,isSlideshow_pr,pr_ratio_slideshow,isSlideshow_nonpr,isSponsored_pr,pr_ratio_sponsored,isSponsored_nonpr,e_outlier_pr,pr_ratio_e_outlier,e_outlier_nonpr,follower_change_in_input_window,pr_engagement_rate_input,pr_post_ratio,female_percent,vietnam_follower,EngagementRateOnPRPost_target
hnhu2804,10,2024,12,2024,9,98,4,54,False,False,4,77,64,533,70,785,0,0.0,4,0,0.0,10,1,0.1111111111111111,28,7,0.7777777777777778,45,1,0.1111111111111111,11,3,0.3333333333333333,28,1,0.1111111111111111,6,763,10092,98520,1629664,1613,30898,14985,77112,760,13424,4536300,32331300,0,0.0,2,0,0.0,0,1,0.1111111111111111,10,0,0.025544606838172,0.0841121495327102,90.0,95.0,0.0274636008522727
hnhu2804,11,2024,1,2025,16,113,7,62,False,False,14,108,119,603,159,989,0,0.0,5,0,0.0,13,4,0.25,33,11,0.6875,51,1,0.0625,11,5,0.3125,32,3,0.1875,11,1345,12899,116946,1788092,1820,35323,15507,84878,903,13667,6020900,34100900,0,0.0,1,0,0.0,0,1,0.0625,11,0,0.0224511285688186,0.1240310077519379,90.0,95.0,0.0278317378784341
hnhu2804,12,2024,2,2025,15,101,8,57,False,False,16,99,122,524,175,940,0,0.0,8,0,0.0,11,5,0.3333333333333333,24,9,0.6,50,1,0.0666666666666666,8,3,0.2,32,3,0.2,10,1265,12315,161669,1253046,4545,22264,30363,66126,1503,10409,7062800,21809100,0,0.0,2,0,0.0,0,2,0.1333333333333333,5,0,0.0280455343489834,0.1293103448275862,90.0,95.0,0.0047973787225998
hnhu2804,1,2025,3,2025,13,107,6,53,False,False,15,110,105,576,171,1064,0,0.0,11,0,0.0,9,4,0.3076923076923077,20,9,0.6923076923076923,52,0,0.0,15,3,0.2307692307692307,35,2,0.1538461538461538,8,1062,12000,167940,1282649,4470,22511,25557,82150,1403,10156,7922100,22462700,0,0.0,4,0,0.0,0,2,0.1538461538461538,8,0,0.0251663069135708,0.1083333333333333,90.0,95.0,0.02143475572047
dramakinglndx,1,2024,3,2024,1,11,1,10,False,False,0,10,4,10,7,411,0,0.0,0,0,0.0,2,0,0.0,3,1,1.0,6,0,0.0,0,1,1.0,3,0,0.0,3,53,669,29200,2416600,92,11157,265,48838,227,8411,589500,28275200,0,0.0,1,0,0.0,0,0,0.0,1,5702,0.0505241730279898,0.0833333333333333,78.0,90.0,0.0210487878787878
dramakinglndx,2,2024,4,2024,1,10,1,8,False,False,0,8,4,8,7,375,0,0.0,0,0,0.0,2,0,0.0,3,1,1.0,5,0,0.0,0,1,1.0,3,0,0.0,1,53,565,29200,2055300,92,10405,265,47722,227,7004,589500,23084600,0,0.0,1,0,0.0,0,0,0.0,1,5353,0.0505241730279898,0.0909090909090909,78.0,90.0,0.0513530434782608
dramakinglndx,4,2024,6,2024,2,7,2,6,False,False,2,6,5,6,78,169,0,0.0,0,0,0.0,1,0,0.0,0,2,1.0,6,0,0.0,0,1,0.5,1,0,0.0,2,169,257,181900,326300,1215,1704,3570,6334,888,1123,5600000,5000700,0,0.0,2,0,0.0,0,0,0.0,0,-5400,0.0334951785714285,0.2222222222222222,78.0,90.0,0.0409434977578475
dramakinglndx,7,2024,9,2024,1,9,1,8,False,False,0,11,2,5,9,75,0,0.0,0,0,0.0,0,0,0.0,3,1,1.0,6,0,0.0,0,0,0.0,2,0,0.0,0,41,117,22400,243589,126,941,181,2414,119,763,557500,5064200,0,0.0,4,0,0.0,0,0,0.0,2,-7579,0.0409434977578475,0.1,78.0,90.0,0.0079937788018433
dramakinglndx,9,2024,11,2024,1,10,1,10,False,False,0,9,5,8,67,171,0,0.0,0,0,0.0,0,0,0.0,2,1,1.0,8,0,0.0,0,0,0.0,4,0,0.0,0,90,91,164400,156497,3815,1145,4523,1621,727,635,21700000,4660300,0,0.0,4,0,0.0,0,0,0.0,1,-4594,0.0079937788018433,0.0909090909090909,78.0,90.0,0.0134817451775809
dramakinglndx,1,2025,3,2025,2,5,2,5,False,False,4,8,6,5,53,116,0,0.0,0,0,0.0,0,1,0.5,1,1,0.5,3,0,0.0,1,0,0.0,1,0,0.0,0,202,143,79400,134510,593,1467,1182,1582,248,758,6039500,2858800,0,0.0,0,0,0.0,0,0,0.0,0,-4983,0.0134817451775809,0.2857142857142857,78.0,90.0,0.3598906584264321
conkien01,1,2024,3,2024,15,46,10,31,False,True,12,47,73,231,122,626,0,0.0,0,3,0.2,8,4,0.2666666666666666,12,6,0.4,23,2,0.1333333333333333,3,3,0.2,14,4,0.2666666666666666,25,1085,2432,155271,237979,3207,2998,16643,7371,1986,2277,9955600,6161391,0,0.0,0,0,0.0,0,2,0.1333333333333333,4,13600,0.017789686206758,0.2459016393442623,89.0,96.0,0.0136515952706315
conkien01,2,2024,4,2024,16,46,11,29,False,True,14,45,79,243,120,499,0,0.0,0,3,0.1875,7,6,0.375,14,4,0.25,21,3,0.1875,4,5,0.3125,10,5,0.3125,16,1173,2551,192137,160302,3579,2355,19059,9608,2620,1868,15994400,4970218,0,0.0,0,0,0.0,0,2,0.125,8,12000,0.0135919446806382,0.2580645161290322,89.0,96.0,0.0057016385092113
conkien01,3,2024,5,2024,29,38,15,23,False,True,18,36,145,218,233,313,0,0.0,0,3,0.1034482758620689,6,13,0.4482758620689655,14,11,0.3793103448275862,17,2,0.0689655172413793,1,6,0.2068965517241379,9,9,0.3103448275862069,10,1821,2038,149723,114548,2562,2133,10483,8524,2382,1739,15616700,3906488,0,0.0,0,0,0.0,0,5,0.1724137931034483,7,13800,0.0105752175555655,0.4328358208955223,89.0,96.0,0.0097607178464606
conkien01,4,2024,6,2024,32,37,16,17,False,True,21,29,159,207,265,283,1,0.03125,0,1,0.03125,7,16,0.5,16,13,0.40625,11,1,0.03125,3,10,0.3125,9,11,0.34375,9,2028,2034,226984,130099,5837,2587,22282,10646,2691,2601,38987000,3966887,0,0.0,0,0,0.0,0,3,0.09375,6,13900,0.0066123066663246,0.463768115942029,89.0,96.0,0.0071334023043891
conkien01,5,2024,7,2024,33,30,20,14,False,True,20,20,161,153,278,240,1,0.0303030303030303,0,2,0.0606060606060606,9,16,0.4848484848484848,13,14,0.4242424242424242,5,0,0.0,3,9,0.2727272727272727,11,11,0.3333333333333333,8,2050,1629,263419,72730,8910,1561,31246,5636,4262,1595,42442500,1378962,0,0.0,0,0,0.0,0,4,0.1212121212121212,4,14029,0.0072530364610944,0.5238095238095238,89.0,96.0,0.0192315898431261
conkien01,6,2024,8,2024,25,33,17,14,False,True,14,24,121,169,211,304,1,0.04,0,2,0.08,10,12,0.48,12,8,0.32,7,2,0.08,4,7,0.28,12,7,0.28,7,1852,2028,304902,80131,10809,1547,37995,5814,8845,1526,53188500,1294653,0,0.0,0,0,0.0,0,1,0.04,4,14158,0.0068163418784135,0.4310344827586206,89.0,96.0,0.0051349617970524
conkien01,7,2024,9,2024,25,26,14,14,False,True,12,18,132,130,228,224,0,0.0,0,4,0.16,4,11,0.44,11,8,0.32,9,2,0.08,2,2,0.08,11,4,0.16,4,1932,1629,183113,54158,7846,929,27612,3084,7629,502,25381426,772837,0,0.0,0,0,0.0,0,6,0.24,1,12987,0.0089120288198149,0.4901960784313725,89.0,96.0,0.0051258236764371
conkien01,8,2024,10,2024,36,17,16,12,False,True,15,11,210,86,355,155,0,0.0,0,6,0.1666666666666666,2,9,0.25,8,18,0.5,6,3,0.0833333333333333,1,4,0.1111111111111111,6,6,0.1666666666666666,5,2818,1031,177703,28929,6694,500,23650,1608,6980,377,31879523,428199,0,0.0,0,0,0.0,0,5,0.1388888888888889,0,12987,0.0067449879974678,0.6792452830188679,89.0,96.0,0.0052694307087612
