text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Mê layout này quá đii💕💕💕 @MAOGEPING COSMETICS VN #maogeping #mgp #makeup #bánhnền #beauty#trending,2025-06-13 18:48:21,13/06/2025,False,https://www.tiktok.com/@_inlil,sonido original,7345653928603552517,https://www.tiktok.com/@_inlil/video/7515399479848226056,33,459,0,6453,6,12,", maogeping, mgp, makeup, bánhnền, beauty, trending",False,False,_inlil,False,False,False,1,6,8,0,0,0,1,0,0,False
Nay cho chồng làm đại gia Dubai 😏😏😏 #Inlil #xuhuong #fyp ,2025-06-12 19:05:34,12/06/2025,False,https://www.tiktok.com/@_inlil,nhạc nền - Chang Nguyễn - Inlil💕,7515076081586572048,https://www.tiktok.com/@_inlil/video/7515032826845220114,22,24200,697,422500,160,176,"inlil, xuhuong, fyp",False,False,_inlil,False,False,False,1,3,7,0,0,0,1,0,0,False
Ngày ngày tháng tháng chăm sóc da mặt cùng với #inlil 🌻🌻 #KyungLab #OilEssence #OilEssenceKyungLab #XitduongKyungLab ,2025-06-11 19:34:28,11/06/2025,False,https://www.tiktok.com/@_inlil,nhạc nền - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,7498372687065697041,https://www.tiktok.com/@_inlil/video/7514669182882024712,110,5014,38,125800,312,28,"inlil, kyunglab, oilessence, oilessencekyunglab, xitduongkyunglab",False,False,_inlil,False,False,False,1,5,10,0,0,0,1,0,0,False
Mấy bà thích bộ nào hơn nè 😍😍 #Inlil #fyp #makeup #xuhuong #review #chupanhbau #scstudio ,2025-06-09 19:01:07,09/06/2025,False,https://www.tiktok.com/@_inlil,vanilla flavor,7405116643943761936,https://www.tiktok.com/@_inlil/video/7513918427774356744,120,66100,1481,1100000,2097,306,"inlil, fyp, makeup, xuhuong, review, chupanhbau, scstudio",False,False,_inlil,False,False,False,1,7,7,0,0,0,1,0,0,False
"Heêhhehe, bà nào đang gặp vấn đề trong layout makeup thì bơi vào đâyyyyy #Inlil #fyp #makeup #focallurevn #phanmatfocallure #reviewlamdep",2025-06-08 19:33:47,08/06/2025,False,https://www.tiktok.com/@_inlil,vanilla flavor,7405116643943761936,https://www.tiktok.com/@_inlil/video/7513555754264136968,244,1617,50,48600,474,15,"Inlil, fyp, makeup, focallurevn, phanmatfocallure, reviewlamdep",False,False,_inlil,False,False,False,0,6,14,0,0,0,1,0,1,False
Cô bé tóc xù unbox đồ mới típ nè 🤭🤭#inlil #xuhuong #reviewlamdep  #maybellinepartner ,2025-06-07 19:36:05,07/06/2025,False,https://www.tiktok.com/@_inlil,nhạc nền - Chang Nguyễn - Inlil💕,7513185446608833281,https://www.tiktok.com/@_inlil/video/7513185269730823442,108,633,6,33100,29,7,"inlil, xuhuong, reviewlamdep, maybellinepartner",False,False,_inlil,False,False,False,1,4,9,0,0,0,1,0,1,False
Cảm ơn em vì đã đến bên bố mẹ 🥰 chúc Papa yuuu sinh nhật zui zẻ 💕🥰,2025-06-06 20:21:30,06/06/2025,False,https://www.tiktok.com/@_inlil,vanilla flavor,7405116643943761936,https://www.tiktok.com/@_inlil/video/7512825885481782535,69,16800,152,221300,106,122,,False,False,_inlil,False,False,True,2,0,16,0,0,0,1,0,0,False
Mấy bà mê cushion thì vô đây coi xem em cushion này có mê không nhó 🤭🤭 #inlil #TFITCOOLDOWN #TFITCUSHION #cushionli #cushionmatlanh #makeuplautroi #xuhuong #reviewlamdep #goclamdep ,2025-06-05 19:54:23,05/06/2025,False,https://www.tiktok.com/@_inlil,vanilla flavor,7405116643943761936,https://www.tiktok.com/@_inlil/video/7512447804774665480,156,429,3,30900,18,12,"inlil, tfitcooldown, tfitcushion, cushionli, cushionmatlanh, makeuplautroi, xuhuong, reviewlamdep, goclamdep",False,False,_inlil,False,False,False,1,9,16,0,0,0,1,0,0,False
"Phiên chợ đông anh mua nhầm con cá, hôm nay em hoá thân thành búp bê 🪆😘 #inlil #makeuptutorial #xuhuong #makeuptut #DEARKLAIRS #KEMXANH10S",2025-06-04 19:16:05,04/06/2025,False,https://www.tiktok.com/@_inlil,vanilla flavor,7405116643943761936,https://www.tiktok.com/@_inlil/video/7512066860821531911,138,4386,132,97100,413,36,"inlil, makeuptutorial, xuhuong, makeuptut, dearklairs, kemxanh10s",False,False,_inlil,False,False,False,1,6,16,0,0,0,1,0,0,False
Công chúa và các màu son cô ấy yêu 💋 #Inlil #fyp #makeup #xuhuong #review #swatch ,2025-06-02 19:45:03,02/06/2025,False,https://www.tiktok.com/@_inlil,sonido original,7345653928603552517,https://www.tiktok.com/@_inlil/video/7511332149757381896,117,709,14,32200,44,7,"inlil, fyp, makeup, xuhuong, review, swatch",False,False,_inlil,False,False,False,1,6,9,0,0,0,1,0,0,False
Chắc chưa 🥹🥹 #Inlil #fyp #makeup #xuhuong ,2025-05-31 19:17:33,31/05/2025,False,https://www.tiktok.com/@_inlil,nhạc nền - 𝐘𝐢𝐧𝐠 𝐘𝐢𝐧𝐠🫧,7490008329679391543,https://www.tiktok.com/@_inlil/video/7510582891575807250,19,7853,82,160100,243,60,"inlil, fyp, makeup, xuhuong",False,False,_inlil,False,False,False,1,4,2,0,0,0,1,0,1,False
Nói không với AI 🤭🤭 #inlil #makeup #bienhinhtienca #MlenDiary #MlenDiaryMermaid ,2025-05-30 20:31:59,30/05/2025,False,https://www.tiktok.com/@_inlil,Mermaid,7503924649877637931,https://www.tiktok.com/@_inlil/video/7510230988069424392,64,2269,28,47300,57,43,"inlil, makeup, bienhinhtienca, mlendiary, mlendiarymermaid",False,False,_inlil,False,False,False,1,5,4,0,0,0,1,0,0,False
Trả lời @haibeoshop1508 tutorial tới đây mấy bà ơiii #Inlil #fyp #tutorial #makeup ,2025-05-28 19:25:59,28/05/2025,False,https://www.tiktok.com/@_inlil,nhạc nền - Chang Nguyễn - Inlil💕,7509471853063326481,https://www.tiktok.com/@_inlil/video/7509471814469324039,171,6215,164,150000,428,52,", inlil, fyp, tutorial, makeup",False,False,_inlil,False,False,False,0,4,9,0,0,0,1,0,0,False
"Hôm nay lại cùng tui chăm sóc da mặt trước khi makeup, 1 cách để giúp lớp makeup căng bóng #inlil #makeup #jumisovn #serumha #tonerha ",2025-05-23 19:28:57,23/05/2025,False,https://www.tiktok.com/@_inlil,Morning Routine,7408039355241695249,https://www.tiktok.com/@_inlil/video/7507617143572188434,91,619,7,28300,81,11,"inlil, makeup, jumisovn, serumha, tonerha",False,False,_inlil,False,False,False,0,5,20,0,0,0,1,0,0,False
✅ Cộng 1 cách đánh nền bền đẹp giữ tone màu cùng #inlil #maybelline #fitme #makeup #maybellinepartner ,2025-05-22 19:34:03,22/05/2025,False,https://www.tiktok.com/@_inlil,Candy Dream,7363505876412418064,https://www.tiktok.com/@_inlil/video/7507247378592697618,143,682,17,29100,96,14,"inlil, maybelline, fitme, makeup, maybellinepartner",False,False,_inlil,False,False,False,1,5,11,0,0,0,1,0,0,False
Trả lời @NT Hanh💄 làm tut liền cho nóng chứ lị #Inlil #fyp #tutorial #makeup #laka ,2025-05-21 19:09:58,21/05/2025,False,https://www.tiktok.com/@_inlil,Morning Routine,7408039355241695249,https://www.tiktok.com/@_inlil/video/7506870091217210632,171,25900,1258,373100,9858,89,", inlil, fyp, tutorial, makeup, laka",False,False,_inlil,False,False,False,1,5,11,0,0,0,1,0,0,False
"Có công bôi serum, có ngày tóc bóng bắt sáng nha #TRESemmevn #Inlil #Hoptaccungunilever #GlossisthenewGlam ",2025-05-20 19:40:26,20/05/2025,False,https://www.tiktok.com/@_inlil,Gloss It Up,7498683118082820097,https://www.tiktok.com/@_inlil/video/7506506857209613586,23,636,5,21100,25,16,"TRESemmevn, Inlil, Hoptaccungunilever, GlossisthenewGlam",False,False,_inlil,False,False,False,0,4,11,0,0,0,1,0,0,False
Công thức cho các gơn phố đêy #inlil #fyp #maybelline #liftergloss #makeup  #maybellinepartner,2025-05-19 19:08:25,19/05/2025,False,https://www.tiktok.com/@_inlil,Đắng Cay Tuổi Đôi Mươi,7486112372193561360,https://www.tiktok.com/@_inlil/video/7506127510673952008,63,5626,169,132300,731,44,"inlil, fyp, maybelline, liftergloss, makeup, maybellinepartner",False,False,_inlil,False,False,False,0,6,7,0,0,0,1,0,0,False
"📸📸 Buôn có bạn, bán có phường, quay chụp có #Canon #EOSR50V #CanonVietNam #inlil #fyp ",2025-05-16 19:10:09,16/05/2025,False,https://www.tiktok.com/@_inlil,nhạc nền - 𝑾𝒂𝒏𝒈𝒍𝒆𝒆,7493156614548359953,https://www.tiktok.com/@_inlil/video/7505014707988925704,166,6079,125,151600,415,40,"canon, eosr50v, canonvietnam, inlil, fyp",False,False,_inlil,False,False,False,1,5,9,0,0,0,1,0,0,False
Bà nào hỏi tuii thì vô clip này nhớ 😤😤 #inlil #fyp #review ,2025-05-12 19:06:29,12/05/2025,False,https://www.tiktok.com/@_inlil,Morning Routine,7408039355241695249,https://www.tiktok.com/@_inlil/video/7503529424638184711,118,5321,202,129500,1565,42,"inlil, fyp, review",False,False,_inlil,False,False,False,1,3,9,0,0,0,1,0,0,False
"Gương kia ngự ở dưới đất, thế gian này có son nào đẹp như son  #3CEVN #inlil #makeup #fyp #glazyglow #3andChịEm #3CEPartner",2025-05-11 19:55:49,11/05/2025,False,https://www.tiktok.com/@_inlil,original sound,7474579398479301398,https://www.tiktok.com/@_inlil/video/7503171040764349704,13,1296,22,39600,33,15,"3cevn, inlil, makeup, fyp, glazyglow, 3andchịem, 3cepartner",False,False,_inlil,False,False,False,0,7,15,0,0,0,1,0,1,False
Bài tốt nghiệp của học sinh tui cứ phải gọi là cháyyy #inlil #fyp #makeup #changnguyenmakeup ,2025-05-09 20:33:33,09/05/2025,False,https://www.tiktok.com/@_inlil,Morning Routine,7408039355241695249,https://www.tiktok.com/@_inlil/video/7502438606242319634,69,1540,71,32700,66,31,"inlil, fyp, makeup, changnguyenmakeup",False,False,_inlil,False,False,False,0,4,12,0,0,0,1,0,0,False
Mấy bà cần mấy cây cọ để make 🫰🏻 tui thì có nhiu đây hoi hihi #inlil #fyp #makeup #review #laka ,2025-05-04 19:02:36,04/05/2025,False,https://www.tiktok.com/@_inlil,Morning Routine,7408039355241695249,https://www.tiktok.com/@_inlil/video/7500559743673453832,202,21000,551,431400,4051,93,"inlil, fyp, makeup, review, laka",False,False,_inlil,False,False,False,1,5,15,0,0,0,1,0,1,False
"Đố mọi người AI ĐÂY Ạ ?? Hôm nay được thử sức xíu, các bác chiếu cố cho tui nhoa 😚😚 #inlil #xuhuong #makeup #AirCushion ",2025-05-03 19:21:25,03/05/2025,False,https://www.tiktok.com/@_inlil,orijinal ses,7181401043106810626,https://www.tiktok.com/@_inlil/video/7500193502945381640,26,1773,26,43200,36,13,"inlil, xuhuong, makeup, aircushion",False,False,_inlil,False,False,False,1,4,20,0,0,0,1,0,1,False
Slay reaction with #maybelline #liftergloss #makeup ,2025-04-29 19:04:54,29/04/2025,False,https://www.tiktok.com/@_inlil,Morning Routine,7408039355241695249,https://www.tiktok.com/@_inlil/video/7498704910406487304,138,457,14,24000,18,20,"maybelline, liftergloss, makeup",False,False,_inlil,False,False,False,0,3,3,0,0,0,1,0,0,False
Son đỏ lái laaa #inlil #fyp #review ,2025-04-26 19:10:59,26/04/2025,False,https://www.tiktok.com/@_inlil,Morning Routine,7408039355241695249,https://www.tiktok.com/@_inlil/video/7497593230779993352,216,5604,139,135000,704,37,"inlil, fyp, review",False,False,_inlil,False,False,False,0,3,4,0,0,0,1,0,1,False
SON GÌ THẾ NÀY TRỜI 🥹🥹 #inlil #xuhuong #3CE #3CEVN #3andChịEm #makeup ,2025-04-21 19:27:51,21/04/2025,False,https://www.tiktok.com/@_inlil,nhạc nền - Chang Nguyễn - Inlil💕,7495742184092732161,https://www.tiktok.com/@_inlil/video/7495742144565497096,156,308,7,20900,11,7,"inlil, xuhuong, 3ce, 3cevn, 3andchịem, makeup",False,False,_inlil,False,False,False,1,6,5,0,0,0,1,0,0,False
