text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Tips tẩy tế bào chết đúng cách cho lớp nền đẹp...
 #lanhuong #caryophy ",2025-06-12 19:01:23,12/06/2025,True,https://www.tiktok.com/@actress.lanhuong,original sound - Lê Lý Lan Hương,7515031784745306881,https://www.tiktok.com/@actress.lanhuong/video/7515031755447979271,80,2915,54,101300,399,55,"lanhuong, caryophy",False,False,actress.lanhuong,True,False,False,0,2,11,0,0,0,1,0,0,False
Filter biến bạn thành nhân vật chính tiểu thuyết ngôn tình... #lanhuong ,2025-06-11 19:57:03,11/06/2025,False,https://www.tiktok.com/@actress.lanhuong,大展鴻圖(Blueprint Supreme),7404667312807151617,https://www.tiktok.com/@actress.lanhuong/video/7514675006362766599,8,6391,57,667100,256,77,lanhuong,False,False,actress.lanhuong,True,False,False,0,1,11,0,0,0,1,0,0,False
Xin lỗi nay em hơi sốt á... #lanhuong ,2025-06-11 13:42:51,11/06/2025,False,https://www.tiktok.com/@actress.lanhuong,Pretty Little Baby,7504108759648995345,https://www.tiktok.com/@actress.lanhuong/video/7514578578151984402,10,3750,92,191100,84,61,lanhuong,False,False,actress.lanhuong,True,False,False,0,1,7,0,0,1,0,0,0,False
Tìm my make up type sẽ cho ra layout hợp với mặt bạn nhất ✨ #lanhuong ,2025-06-10 17:11:33,10/06/2025,False,https://www.tiktok.com/@actress.lanhuong,original sound - Phue,7511912493305449232,https://www.tiktok.com/@actress.lanhuong/video/7514261273417174279,8,19600,169,983300,1078,73,lanhuong,False,False,actress.lanhuong,True,False,False,1,1,14,0,0,1,0,0,0,False
Clip make up dài mà kĩ nha... #lanhuong ,2025-06-10 14:44:57,10/06/2025,False,https://www.tiktok.com/@actress.lanhuong,nhạc nền - Lê Lý Lan Hương,7514223573848312592,https://www.tiktok.com/@actress.lanhuong/video/7514223485288221959,179,12000,94,242300,1124,121,lanhuong,False,False,actress.lanhuong,True,False,False,0,1,7,0,0,1,0,0,0,False
"Xịt em này nền wow thật sự nha mấy bà ❤️ 
#fixxsonatural #fixxsettingspray #Sonatural #lanhuong",2025-06-08 18:51:58,08/06/2025,True,https://www.tiktok.com/@actress.lanhuong,original sound,7513545013075872513,https://www.tiktok.com/@actress.lanhuong/video/7513544983677357319,57,2107,64,112300,236,60,"fixxsonatural, fixxsettingspray, sonatural, lanhuong",False,False,actress.lanhuong,True,False,False,1,4,11,0,0,0,1,0,1,False
Filter này xác định dáng khuôn mặt để make up wow lunnn 😱 #lanhuong ,2025-06-06 14:44:02,06/06/2025,False,https://www.tiktok.com/@actress.lanhuong,Deli,7257710214946375681,https://www.tiktok.com/@actress.lanhuong/video/7512738915917286664,18,16400,354,525400,3131,71,lanhuong,False,False,actress.lanhuong,True,False,False,1,1,12,0,0,1,0,0,0,False
"Thử dùng toner theo ba cách khác nhau chưa mấy bà... 
#lanhuong
#jumisovn #tonerHA",2025-06-04 18:32:48,04/06/2025,True,https://www.tiktok.com/@actress.lanhuong,vanilla flavor,7405116643943761936,https://www.tiktok.com/@actress.lanhuong/video/7512055693575294215,45,3043,97,263500,276,74,"lanhuong, jumisovn, tonerha",False,False,actress.lanhuong,True,False,False,0,3,11,0,0,0,1,0,0,False
Ai nói sống ảo là giận... #lanhuong ,2025-06-04 13:10:16,04/06/2025,False,https://www.tiktok.com/@actress.lanhuong,原聲,7507342519456533270,https://www.tiktok.com/@actress.lanhuong/video/7511972584972504327,14,13400,662,347700,238,73,lanhuong,False,False,actress.lanhuong,True,False,False,0,1,6,0,0,1,0,0,0,False
"Tips cho ai tới giờ vẫn dùng dầu dưỡng tóc sai cách...
 #lanhuong
#unove #duongtoc ",2025-06-03 18:53:13,03/06/2025,True,https://www.tiktok.com/@actress.lanhuong,[Animals and dishes] Cute BGM,6817143279088306177,https://www.tiktok.com/@actress.lanhuong/video/7511689870645988615,58,2572,64,276000,281,55,"lanhuong, unove, duongtoc",False,False,actress.lanhuong,True,False,False,0,3,12,0,0,0,1,0,0,False
"Không cắt, show đủ 10 ngón tay, chỉ tăng tốc độ thôi ạ... #lanhuong ",2025-06-01 15:10:34,01/06/2025,False,https://www.tiktok.com/@actress.lanhuong,Pretty Little Baby,7504108759648995345,https://www.tiktok.com/@actress.lanhuong/video/7510890330657574162,15,76300,3610,2500000,3065,465,lanhuong,False,False,actress.lanhuong,True,False,False,0,1,13,0,0,1,0,0,1,False
"Cú đêm vẫn muốn có da đẹp đừng bỏ qua bước này nha...
#lanhuong
#belif #belifmask",2025-05-31 18:46:01,31/05/2025,True,https://www.tiktok.com/@actress.lanhuong,nhạc nền,7510574794685958929,https://www.tiktok.com/@actress.lanhuong/video/7510574769624927506,55,7141,83,334700,598,95,"lanhuong, belif, belifmask",False,False,actress.lanhuong,True,False,False,0,3,13,0,0,0,1,0,1,False
Xin lỗi đã cố gắng chấm nhẹ hết sức... #lanhuong ,2025-05-30 15:46:38,30/05/2025,False,https://www.tiktok.com/@actress.lanhuong,Pretty Little Baby,7504108759648995345,https://www.tiktok.com/@actress.lanhuong/video/7510157452982111496,15,75700,2775,3000000,3659,887,lanhuong,False,False,actress.lanhuong,True,False,False,0,1,9,0,0,1,0,0,0,False
