text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
,2025-06-13 12:27:58,13/06/2025,False,https://www.tiktok.com/@alissaho23,original sound,7364557106815093520,https://www.tiktok.com/@alissaho23/video/7515301455276887314,0,1783,23,14100,40,8,,True,False,alissaho23,False,False,False,0,0,0,0,0,1,0,0,0,False
chiếc camera màu ai cũng hỏi ở IG híiii,2025-06-12 20:57:23,12/06/2025,False,https://www.tiktok.com/@alissaho23,Idyllic jazz bossa nova with piano and guitar(1298871),7146290607604893697,https://www.tiktok.com/@alissaho23/video/7515061643232021767,173,3326,150,55300,318,18,,False,False,alissaho23,False,False,False,0,0,9,0,0,0,1,0,0,False
bai bai nyc hiuuu,2025-06-12 14:01:32,12/06/2025,False,https://www.tiktok.com/@alissaho23,original sound,7463409977718999841,https://www.tiktok.com/@alissaho23/video/7514954479922318599,27,1362,10,16900,35,1,,False,False,alissaho23,False,False,False,0,0,4,0,0,1,0,0,0,False
,2025-06-10 18:04:01,10/06/2025,False,https://www.tiktok.com/@alissaho23,Almost forgot that this was the whole point - Take my Hand Instrumental,7498488534715336720,https://www.tiktok.com/@alissaho23/video/7514274797187026183,14,16100,293,190300,521,84,,False,False,alissaho23,False,False,False,0,0,0,0,0,0,1,0,0,False
failed the transition 😭,2025-06-09 17:22:34,09/06/2025,False,https://www.tiktok.com/@alissaho23,original sound,6780641923557313285,https://www.tiktok.com/@alissaho23/video/7513893015274966280,13,687,5,11700,20,4,,False,False,alissaho23,False,False,False,1,0,3,0,0,1,0,0,0,False
"huuu zì tôi ốm mấy ngày nên quả quầng mắt không thể đỡ được rùi
#kemnenserum #lorealparispartner #makeup ",2025-06-07 18:58:07,07/06/2025,False,https://www.tiktok.com/@alissaho23,เสียงต้นฉบับ - kittikmr,7279805869800786689,https://www.tiktok.com/@alissaho23/video/7513175485761785095,74,726,18,20800,37,13,"kemnenserum, lorealparispartner, makeup",False,False,alissaho23,False,False,False,0,3,15,0,0,0,1,0,1,False
"recap về topic hôm trước mình được đi làm speaker rất vuii, các bạn hỏi rất nhiều mình rất runn nhưng trộm vía quá hehee",2025-06-03 18:57:23,03/06/2025,False,https://www.tiktok.com/@alissaho23,Idyllic jazz bossa nova with piano and guitar(1298871),7146290607604893697,https://www.tiktok.com/@alissaho23/video/7511690946489191688,198,813,24,16600,59,1,,False,False,alissaho23,False,False,False,0,0,25,0,0,0,1,0,0,False
,2025-06-02 20:29:43,02/06/2025,False,https://www.tiktok.com/@alissaho23,original sound,7360363247147436833,https://www.tiktok.com/@alissaho23/video/7511343657946074376,9,890,8,13300,17,7,,False,False,alissaho23,False,False,False,0,0,0,0,0,0,1,0,0,False
,2025-05-30 18:15:07,30/05/2025,False,https://www.tiktok.com/@alissaho23,original sound,7505095765649640214,https://www.tiktok.com/@alissaho23/video/7510195718469078279,19,11700,355,129900,351,36,,False,False,alissaho23,False,False,False,0,0,0,0,0,0,1,0,0,False
,2025-05-29 13:02:36,29/05/2025,False,https://www.tiktok.com/@alissaho23,Irreplaceable,6696417974342912001,https://www.tiktok.com/@alissaho23/video/7509744094835428615,15,1191,16,24200,41,3,,False,False,alissaho23,False,False,False,0,0,0,0,0,1,0,0,0,False
"cổ được dùng thử LED mask lần đầuu, đã được ba tháng, siu siêng (cổ được các anh chị tặng). Sau đây là những gì cổ nghĩi (dài quá phải cắt bớt hiuhiuu nếu xem hơi cụt cổ xin lỗi mọi người nhiềuu)",2025-05-28 18:56:16,28/05/2025,False,https://www.tiktok.com/@alissaho23,original sound,7509464263837420305,https://www.tiktok.com/@alissaho23/video/7509464161219251464,178,910,27,24800,51,25,,False,False,alissaho23,False,False,False,0,0,43,0,0,0,1,0,0,False
,2025-05-22 18:41:01,22/05/2025,False,https://www.tiktok.com/@alissaho23,original sound - UMUSIC Philippines,7239250992196356870,https://www.tiktok.com/@alissaho23/video/7507233709444140295,13,20300,603,291800,1747,192,,False,False,alissaho23,False,False,False,0,0,0,0,0,0,1,0,0,False
,2025-05-22 17:19:46,22/05/2025,False,https://www.tiktok.com/@alissaho23,Poker Face x Super Bass TEMPLE,7317007803360873248,https://www.tiktok.com/@alissaho23/video/7507212778436824338,0,5013,74,79900,197,27,,True,False,alissaho23,False,False,False,0,0,0,0,0,1,0,0,0,False
,2025-05-20 12:12:15,20/05/2025,False,https://www.tiktok.com/@alissaho23,som original,7270942737896508165,https://www.tiktok.com/@alissaho23/video/7506391347444714760,9,10800,220,115500,356,37,,False,False,alissaho23,False,False,False,0,0,0,0,0,1,0,0,0,False
