text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"4.6-7.6 Colorkey có Mega sale, giảm giá tới 50% lận đó mí bà 🫣🙆🏻‍♀️ đừng bỏ lỡ nhe #colorkey #sonnhung #sonxinh ",2025-06-06 10:25:47,06/06/2025,True,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7433352350196042497,https://www.tiktok.com/@blingbabi_/video/7512672370411277575,78,5125,115,38300,200,23,"colorkey, sonnhung, sonxinh",False,False,blingbabi_,False,False,True,2,3,18,0,1,0,0,0,0,False
Ê màu nào cũng đẹp hếc má 😭💕 #maybellinepartner ,2025-06-05 22:08:25,05/06/2025,True,https://www.tiktok.com/@blingbabi_,A light-hearted piano waltz,6817306454651832321,https://www.tiktok.com/@blingbabi_/video/7512482356536577288,33,235,9,7136,15,4,maybellinepartner,False,False,blingbabi_,False,False,False,1,1,7,0,0,0,0,1,0,False
Mẹo vặt đánh nền cuộc sống 👆🏻✨ #kemnennangcap #kemnencolorkey #kemnencolorkeypro #depminlichuankhongtroi,2025-06-05 20:40:10,05/06/2025,True,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7512459801327094529,https://www.tiktok.com/@blingbabi_/video/7512459608863067410,111,3086,65,124200,411,30,"kemnennangcap, kemnencolorkey, kemnencolorkeypro, depminlichuankhongtroi",False,False,blingbabi_,False,False,False,1,4,6,0,0,0,1,0,0,False
Nghiện mua mỹ phẩm mà còn thích săn sale là phải biết đến @HASAKI BEAUTY 💚 #Hasaki #Hasakivn #Hasakibeauty #ProductName #Skincare,2025-06-05 14:13:35,05/06/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7512360019564743440,https://www.tiktok.com/@blingbabi_/video/7512359987591630098,59,11100,231,86600,405,52,", hasaki, hasakivn, hasakibeauty, productname, skincare",False,True,blingbabi_,False,False,False,1,5,15,0,0,1,0,0,0,False
"Mời ""Hệ Khám Phá Mượt"" chiêm ngưỡng CapCut xịn xò này! ✨
“Flex"" mọi chuyến đi, mọi trải nghiệm độc đáo mà vẫn tóc mượt không cần lược - giờ có thêm video ""triệu view"" nữa.
Còn chần chờ gì nữa mà không thử ngay? Đọc cmt để biết thêm thể lệ nhe mấy bà.
#FinoVietnam #MuotKhongCanLuoc #HeMuot #CapCut ",2025-05-30 11:03:40,30/05/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Fino Việt Nam,7509450898105207568,https://www.tiktok.com/@blingbabi_/video/7510084527360969992,16,8528,2,319900,1,1,"finovietnam, muotkhongcanluoc, hemuot, capcut",False,False,blingbabi_,False,False,False,1,4,54,0,1,0,0,0,0,False
Thế là có 1 màu son bóng mới 😏 nó tự nhiên mà nó căng mọng nó juicy mà nó glitter ✨😗 đẹp íiiiiiiiii #makeup #liftergloss #maybellinepartner ,2025-05-28 17:24:03,28/05/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7509440417462225681,https://www.tiktok.com/@blingbabi_/video/7509440386859797768,81,782,11,9433,30,10,"makeup, liftergloss, maybellinepartner",False,False,blingbabi_,False,False,False,2,3,22,0,0,1,0,0,0,False
"Trộm vía ngàn lần 🥹 chuyến du lịch cực chill cùng #MastercardVN 💃🏻 #Priceless
#PricelessExperience
#LadyGagaInSingapore ",2025-05-28 13:18:54,28/05/2025,True,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7509377248244370177,https://www.tiktok.com/@blingbabi_/video/7509377208767614215,95,13100,418,14900000,488,47,"mastercardvn, priceless, pricelessexperience, ladygagainsingapore",False,False,blingbabi_,False,False,False,2,4,10,0,0,1,0,0,0,False
Unbox quà của Disney ạaaa 💙 #tiktokgiaitri #tiktoksoiphim #lilovastitch ,2025-05-27 17:13:41,27/05/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7509066697278507793,https://www.tiktok.com/@blingbabi_/video/7509066633483193607,73,966,19,9848,8,8,"tiktokgiaitri, tiktoksoiphim, lilovastitch",False,False,blingbabi_,False,False,False,1,3,5,0,0,1,0,0,0,False
Team ghét mụn mũi vô đây giùm tôi 😏👆🏻 #jumisovn #mundauden #tonerha ,2025-05-24 09:11:19,24/05/2025,True,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7507829772874550033,https://www.tiktok.com/@blingbabi_/video/7507829060328869138,116,993,20,36300,111,9,"jumisovn, mundauden, tonerha",False,False,blingbabi_,False,False,False,1,3,8,0,1,0,0,0,1,False
"Xin lõy mí bạn đứng gần, miệng mình hơi giãn 👹💃🏻 DAY 1 Mayhem Singapore #ladygagamayhem #ladygagaconcert #blingbabi ",2025-05-23 21:51:00,23/05/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7507653831438682896,https://www.tiktok.com/@blingbabi_/video/7507653756889074951,122,33300,1347,221400,717,146,"ladygagamayhem, ladygagaconcert, blingbabi",False,False,blingbabi_,False,False,True,1,3,14,0,0,0,1,0,0,False
"Có thể là sĩ tới cuối đời lun 💃🏻❤️‍🔥 #MastercardVN #Priceless
#PricelessExperience
#LadyGagaInSingapore ",2025-05-23 21:38:27,23/05/2025,True,https://www.tiktok.com/@blingbabi_,Chopin's Nocturne No. 2 Original Song(813987),6839371159377545218,https://www.tiktok.com/@blingbabi_/video/7507650522904661266,88,31900,196,4400000,750,83,"mastercardvn, priceless, pricelessexperience, ladygagainsingapore",False,False,blingbabi_,False,False,True,2,4,9,0,0,0,1,0,0,False
Bật công tắc cho da trẻ lại 5 tuổi ?! 😳 #Eucerin #Epicelline ,2025-05-23 12:51:25,23/05/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7507514743649782544,https://www.tiktok.com/@blingbabi_/video/7507514696279330056,75,12500,3,476500,13,3,"eucerin, epicelline",False,False,blingbabi_,False,False,False,1,2,10,0,0,1,0,0,0,False
Mắc gì đi Mayhem Tour mà mặc merch Eras Tour :))))))))))) Lady Gaga Mayhem DAY1 💃🏻❤️‍🔥 #ladygagamayhem #mastercard #singapore ,2025-05-20 14:28:20,20/05/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7506431607373548289,https://www.tiktok.com/@blingbabi_/video/7506426420709559570,29,8262,132,83600,137,39,"ladygagamayhem, mastercard, singapore",False,False,blingbabi_,False,False,True,2,3,16,0,0,1,0,0,0,False
Lên nhạc 💃🏻💃🏻💃🏻  #LadyGagaMayhem #ladygagaconcert ,2025-05-20 11:55:09,20/05/2025,False,https://www.tiktok.com/@blingbabi_,nhạc nền - Blingbabi,7506386972391344897,https://www.tiktok.com/@blingbabi_/video/7506386943874223368,7,33000,471,321200,427,32,"ladygagamayhem, ladygagaconcert",False,False,blingbabi_,False,False,True,1,2,2,0,1,0,0,0,0,False
