text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Mặt mộc swatch full 5 màu Sugarplum Mistynow mới raaaa #chouchinchan,2025-06-12 18:03:21,12/06/2025,False,https://www.tiktok.com/@chouchinchan,original sound - Chou Lười Makeup,7515016869821860625,https://www.tiktok.com/@chouchinchan/video/7515016797960293650,379,4708,188,85300,562,154,,False,False,chouchinchan,True,True,False,0,1,10,0,0,0,1,0,0,False
"7 phút mukbang full 10 màu Merzy
#merzy #merzynewdew #merzydewtint #sonthach #sonlightstick",2025-06-11 19:39:38,11/06/2025,True,https://www.tiktok.com/@chouchinchan,original sound - Chou Lười Makeup,7514670549878246150,https://www.tiktok.com/@chouchinchan/video/7514670521380785414,405,58600,7326,831700,11700,659,,False,False,chouchinchan,True,True,False,0,5,7,0,0,0,1,0,0,False
Spam tới khi nào @fwee_makeup_vn có giỏ hàng dòng 3D Voluming Gloss màu Vanila 30%,2025-06-06 20:30:28,06/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512828220627045121,https://www.tiktok.com/@chouchinchan/video/7512828193083116807,10,5365,77,113300,293,51,,False,False,chouchinchan,True,True,False,0,0,15,0,0,0,1,0,0,False
"7 Phút Mukbang 9 màu blush Lemonade trên hai undertone da 
#chouchinchan 
#lemonade #mirrormirrorblushcushion ",2025-06-06 18:02:50,06/06/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512790230764751632,https://www.tiktok.com/@chouchinchan/video/7512790148325608722,421,4299,306,108100,664,68,"chouchinchan, lemonade, mirrormirrorblushcushion",False,False,chouchinchan,True,True,False,0,3,11,0,0,0,1,0,0,False
"Mukbang 4 màu mới nóng hổi
#chouchinchan #sunkisser ",2025-06-05 21:05:00,05/06/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512466130188651265,https://www.tiktok.com/@chouchinchan/video/7512466016690146568,210,4783,95,67600,285,33,"chouchinchan, sunkisser",False,False,chouchinchan,True,True,False,0,2,6,0,0,0,1,0,0,False
"Hách nôi nhớ coi clip này nhen
#chouchinchan ",2025-06-05 18:15:51,05/06/2025,True,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512422467156839185,https://www.tiktok.com/@chouchinchan/video/7512422420259638546,181,34600,935,1300000,5487,251,chouchinchan,False,False,chouchinchan,True,True,False,0,1,7,0,0,0,1,0,0,False
"Da phải ổn thì cook nền mới ngon nha mấy nữ😎
#chouchinchan #kemlot  
 #codeglokolor ",2025-06-05 12:11:19,05/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512328522602449681,https://www.tiktok.com/@chouchinchan/video/7512328470186298632,181,4364,57,71000,291,50,"chouchinchan, kemlot, codeglokolor",False,False,chouchinchan,True,True,False,1,3,11,0,0,1,0,0,0,False
"Êm như lời ru của mẹ, bự như bánh xe của ba, chà lăm ba đa cũng không thấy xốn
#chouchinchan #bongtaytrang ",2025-06-04 18:30:58,04/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7512055334979160833,https://www.tiktok.com/@chouchinchan/video/7512055225490951442,150,3611,75,86400,417,43,"chouchinchan, bongtaytrang",False,False,chouchinchan,True,True,False,0,2,20,0,0,0,1,0,0,False
"Chì mày hai đầu tiện rẻ nữa
#chouchinchan ",2025-06-03 18:40:07,03/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7511686622212229904,https://www.tiktok.com/@chouchinchan/video/7511686499637742856,215,4777,151,121500,694,42,chouchinchan,False,False,chouchinchan,True,True,False,0,1,7,0,0,0,1,0,0,False
"Nay makeup kể chuyện chill chill hen
#chouchinchan 
#shopeelive #socialelite ",2025-06-02 15:03:50,02/06/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7511259720456424208,https://www.tiktok.com/@chouchinchan/video/7511259678177889544,187,31100,950,286900,2645,318,"chouchinchan, shopeelive, socialelite",False,False,chouchinchan,True,True,False,0,3,7,0,0,1,0,0,0,False
Ghiền lại kiểu bóng bóng nì,2025-05-29 19:32:13,29/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7509845050587941633,https://www.tiktok.com/@chouchinchan/video/7509844502236957959,309,3521,33,84500,227,54,,False,False,chouchinchan,True,True,False,0,0,6,0,0,0,1,0,0,False
"Sự thật sẽ sáng tỏ
#chouchinchan ##3CEVN #glazyglow #3andchiem #3cepartner ",2025-05-29 12:04:23,29/05/2025,False,https://www.tiktok.com/@chouchinchan,som original,7398294515445140230,https://www.tiktok.com/@chouchinchan/video/7509729088655969543,61,24700,357,191300,470,100,"chouchinchan, 3cevn, glazyglow, 3andchiem, 3cepartner",False,False,chouchinchan,True,True,False,0,5,6,0,0,1,0,0,0,False
"Tôn hành giả giả hành tôn
#chouchinchan 
#Anessa #AnessaGoldMilk #Chongnangso1ChauA",2025-05-28 18:08:33,28/05/2025,False,https://www.tiktok.com/@chouchinchan,nhạc nền - Chou Lười Makeup,7509451919153662737,https://www.tiktok.com/@chouchinchan/video/7509451858893638919,284,7871,86,110700,185,73,"chouchinchan, anessa, anessagoldmilk, chongnangso1chaua",False,False,chouchinchan,True,True,False,0,4,6,0,0,0,1,0,0,False
