text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Layout đơn giản đi dự đám cưới NYC #fybシ ,2025-06-12 16:22:28,12/06/2025,False,https://www.tiktok.com/@conkien01,Anh vui_Ducth x ThahTrung Remix,7506111975697468176,https://www.tiktok.com/@conkien01/video/7514990794709749000,17,55,0,1476,1,3,fybシ,False,False,conkien01,False,True,False,0,1,8,0,0,1,0,0,0,False
"Unbox quà siêu to từ corlokey #ColorkeyNewArrivalDay 
#ColorkeyxCapybara 
#SummerChill #xh #viral ",2025-06-10 17:30:24,10/06/2025,False,https://www.tiktok.com/@conkien01,Doraemon（B）,6859502567659931649,https://www.tiktok.com/@conkien01/video/7514266134254718216,68,63,1,1303,1,3,"colorkeynewarrivalday, colorkeyxcapybara, summerchill, xh, viral",False,False,conkien01,False,True,False,0,5,6,0,0,1,0,0,0,False
+ 1 Tips chăm da cho ai hay hoạt động thể thao nhé #candid #candidskincare #B5cica #chamsocda #goclamdep ,2025-06-06 19:11:49,06/06/2025,True,https://www.tiktok.com/@conkien01,Aesthetic,7072513628145977346,https://www.tiktok.com/@conkien01/video/7512807932468153618,70,379,7,64100,9,1,"candid, candidskincare, b5cica, chamsocda, goclamdep",False,False,conkien01,False,True,False,0,5,13,0,0,0,1,0,0,False
Tại sao lại không lì hả ? #viral#viralrkey#colorkeyh  #fyp #sonMLBB #goclamdep #xh #viral  #sonnhungcolorkey,2025-06-05 09:58:47,05/06/2025,True,https://www.tiktok.com/@conkien01,Doraemon（B）,6859502567659931649,https://www.tiktok.com/@conkien01/video/7512294322230873352,55,353,14,49500,62,3,"viral, viralrkey, colorkeyh, fyp, sonmlbb, goclamdep, xh, viral, sonnhungcolorkey",False,False,conkien01,False,True,False,0,9,7,0,1,0,0,0,0,False
Pov : makeup 15p livetream 12 tiếng #pov #fyb #makeup #makeuptutorial #kemnencatrice #xuhuong #viral ,2025-06-03 13:53:02,03/06/2025,False,https://www.tiktok.com/@conkien01,nhạc nền - nhạctrẻxưabấthủ,7207748024431758106,https://www.tiktok.com/@conkien01/video/7511612516347219207,61,107,4,3664,6,7,"pov, fyb, makeup, makeuptutorial, kemnencatrice, xuhuong, viral",False,False,conkien01,False,True,False,0,7,7,0,0,1,0,0,0,False
"Đây nha, mask cho da dầu mụn nhất định phải thử nè mấy mom #mask  #matna #xuhuong #goclamdep #colorkeyvn#colorkeyvnuminous #matnatraxanh #matnaden ",2025-06-02 13:43:55,02/06/2025,True,https://www.tiktok.com/@conkien01,Doraemon（B）,6859502567659931649,https://www.tiktok.com/@conkien01/video/7511239084216454418,62,1368,38,458900,166,13,"mask, matna, xuhuong, goclamdep, colorkeyvn, colorkeyvnuminous, matnatraxanh, matnaden",False,False,conkien01,False,True,False,0,8,14,0,0,1,0,0,0,False
Thật sự là chê nha #namnung #daugoithaoduoc #daugoi #viral #xh #goclamdep ,2025-05-30 17:27:16,30/05/2025,True,https://www.tiktok.com/@conkien01,Doraemon（B）,6859502567659931649,https://www.tiktok.com/@conkien01/video/7510183391724096776,74,146,7,29700,8,0,"namnung, daugoithaoduoc, daugoi, viral, xh, goclamdep",False,False,conkien01,False,True,False,0,6,5,0,0,1,0,0,0,False
Các dòng mask đang hot hiện tại #matna #mask #viral #xh #xuhuonglamdep #goclamdep #xuhuong ,2025-05-27 21:29:02,27/05/2025,False,https://www.tiktok.com/@conkien01,Cute heartwarming BGM(1490583),7314370276128704514,https://www.tiktok.com/@conkien01/video/7509132435355864327,58,112,1,2272,3,1,"matna, mask, viral, xh, xuhuonglamdep, goclamdep, xuhuong",False,False,conkien01,False,True,False,0,7,7,0,0,0,1,0,0,False
Giờ vàng mn ơi keo ong cnp gấp#livestream #viral #xh #xuhuonglamdep #goclamdep #xuhuong ,2025-05-26 18:03:10,26/05/2025,False,https://www.tiktok.com/@conkien01,nhạc nền - Trang Kiến,7508708321462291217,https://www.tiktok.com/@conkien01/video/7508708303581515015,9,126,5,15100,3,1,"livestream, viral, xh, xuhuonglamdep, goclamdep, xuhuong",False,False,conkien01,False,True,False,0,6,8,0,0,0,1,0,0,False
Đến giờ judydoll rồi các bác ơi vô lẹ #xh #viral #livestream #xuhuonglamdep #goclamdep ,2025-05-26 17:00:32,26/05/2025,False,https://www.tiktok.com/@conkien01,nhạc nền - Trang Kiến,7508692198746065680,https://www.tiktok.com/@conkien01/video/7508692158254353682,8,101,11,20500,4,0,"xh, viral, livestream, xuhuonglamdep, goclamdep",False,False,conkien01,False,True,False,0,5,9,0,0,1,0,0,0,False
