text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Đi nghỉ hè gặp trời bão nên là… 🏋🏻‍♀️,2025-06-12 22:14:37,12/06/2025,False,https://www.tiktok.com/@dieplamanh,Pump Up the Bass,7198668827826063361,https://www.tiktok.com/@dieplamanh/video/7515081545770618130,26,1442,28,21000,53,13,,False,False,dieplamanh,False,False,False,2,0,9,0,0,0,0,1,0,False
Trời mưa 5 xị em ướt nhẹp 😝 #LUNAS #dieplamanh #hoaxuongrong #dance ,2025-06-10 20:14:21,10/06/2025,False,https://www.tiktok.com/@dieplamanh,nhạc nền - Diệp Lâm Anh,7514308451934243585,https://www.tiktok.com/@dieplamanh/video/7514308386490633479,132,3160,62,75900,118,24,"lunas, dieplamanh, hoaxuongrong, dance",False,False,dieplamanh,False,False,False,1,4,7,0,0,0,1,0,0,False
Kỉ niệm Moon Light dưới mưa rào cùng chị em LUNAS 💗 #dieplamanh #LUNAS #moonlight #tiktokshop #dance ,2025-06-09 21:21:45,09/06/2025,False,https://www.tiktok.com/@dieplamanh,nhạc nền - Diệp Lâm Anh,7513954695384484609,https://www.tiktok.com/@dieplamanh/video/7513954665004944647,66,2916,49,87000,109,31,"dieplamanh, lunas, moonlight, tiktokshop, dance",False,False,dieplamanh,False,False,False,1,5,11,0,0,0,1,0,0,False
Hoàng hôn thành phố và Em 💜 #dieplamanh ,2025-06-09 15:53:36,09/06/2025,False,https://www.tiktok.com/@dieplamanh,nhạc nền - linh04thuan96_,7486102035499109137,https://www.tiktok.com/@dieplamanh/video/7513870095505001735,14,37300,432,589900,1049,401,dieplamanh,False,False,dieplamanh,False,False,False,1,1,6,0,0,1,0,0,0,False
Layout đi diễn Vietnam International Fashion Week của bạn Cún 💄💋 #dieplamanh #makeuplook #makeup #beauty ,2025-06-08 19:40:10,08/06/2025,False,https://www.tiktok.com/@dieplamanh,Hush,7370054859267983361,https://www.tiktok.com/@dieplamanh/video/7513557403330202887,12,2040,26,42300,76,31,"dieplamanh, makeuplook, makeup, beauty",False,False,dieplamanh,False,False,True,1,4,10,0,0,0,1,0,1,False
FOCUS CAM - Diêp Lâm Anh - Hoa Xương Rồng - Vietnam International Fashion Week 2025 🦋 #lunas  #dieplamanh #hoaxuongrong #vietnaminternationalfashionweek #dance #tiktokgiaitri ,2025-06-08 17:57:17,08/06/2025,False,https://www.tiktok.com/@dieplamanh,nhạc nền - Diệp Lâm Anh,7513530963264342801,https://www.tiktok.com/@dieplamanh/video/7513530891700931847,109,1358,11,30300,60,19,"lunas, dieplamanh, hoaxuongrong, vietnaminternationalfashionweek, dance, tiktokgiaitri",False,False,dieplamanh,False,False,False,1,6,16,0,0,1,0,0,1,False
"Cún bật mí bí quyết chăm da mỗi ngày từ @OHUI để giữ da luôn sáng mịn, đều màu bất chấp nắng hè: OHUI Extreme White MelaToning Ampoule. Cả nhà thử cùng Cún nha!
#ohuivietnam #extremewhite #melatoning #tiktok #dieplamanh ",2025-06-05 18:57:41,05/06/2025,True,https://www.tiktok.com/@dieplamanh,nhạc nền - Diệp Lâm Anh,7512433274615728912,https://www.tiktok.com/@dieplamanh/video/7512433204284902674,87,4396,58,1200000,195,35,", ohuivietnam, extremewhite, melatoning, tiktok, dieplamanh",False,False,dieplamanh,False,False,False,0,5,34,0,0,0,1,0,0,False
"Host xịn – Khách chất – Deal sốc ngập màn hình!
🕚 Livestream từ 11H ngày 6.6 đến 2H sáng 7.6
📍Chỉ có tại TikTok Shop @dieplamanh
👉 Săn sale không ngủ – Quà không giới hạn!
#LiveVuiSinhNhat #muasamgiaitri#muasTokShop66 #SinhNhatTikTokShop #E23 #SaleVuiSinhNhat #dieplamanh ",2025-06-05 18:37:57,05/06/2025,True,https://www.tiktok.com/@dieplamanh,Come Check This (Quickie Edit),7231091243878795265,https://www.tiktok.com/@dieplamanh/video/7512428120314481927,0,3466,152,547800,154,54,"livevuisinhnhat, muasamgiaitri, muas, sinhnhattiktokshop, e23, salevuisinhnhat, dieplamanh",True,False,dieplamanh,False,False,True,3,7,35,0,0,0,1,0,0,False
Đèo Đại Ninh đường xấu lắm mọi người đừng nghe chị gg nhé. Đề xuất đi Đà Lạt search đèo Tà Pứa sẽ mượt hơn.,2025-05-30 20:13:06,30/05/2025,False,https://www.tiktok.com/@dieplamanh,Pump Up the Bass,7198668827826063361,https://www.tiktok.com/@dieplamanh/video/7510226124618779912,13,52600,1020,1700000,1141,823,,False,False,dieplamanh,False,False,False,0,0,25,0,0,0,1,0,0,False
"Ai rồi cũng phải đổ đứ đừ vì JudyDoll thôi 🥹 Quá là mê rồi, các bà chốt lẹ kẻo hết hàng nhaaaa 💄✨ #tiktokgiaitri #dieplamanh #lamdepmoingay ",2025-05-28 17:05:54,28/05/2025,True,https://www.tiktok.com/@dieplamanh,nhạc nền - Diệp Lâm Anh,7509435781686070017,https://www.tiktok.com/@dieplamanh/video/7509435709774712082,70,2749,47,421100,112,193,"tiktokgiaitri, dieplamanh, lamdepmoingay",False,False,dieplamanh,False,False,False,2,3,22,0,0,1,0,0,0,False
