text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Chúng tôi và bầu trời “nảy lửa” chiều nay #cami #tiktok ,2025-06-13 20:30:10,13/06/2025,False,https://www.tiktok.com/@dieplinhcami,nhạc nền - Cami,7515425739115023120,https://www.tiktok.com/@dieplinhcami/video/7515425711537032455,7,43,0,1014,0,1,"cami, tiktok",False,False,dieplinhcami,True,False,False,0,2,9,0,0,0,1,0,0,False
Sáng sớm đã va phải những em kính xinh đẹp 😎 #kính #cami #tiktok ,2025-06-12 08:47:48,12/06/2025,False,https://www.tiktok.com/@dieplinhcami,original sound,7452552333190155051,https://www.tiktok.com/@dieplinhcami/video/7514873607818857736,19,69,0,1958,4,6,"kính, cami, tiktok",False,False,dieplinhcami,True,False,False,1,3,10,0,1,0,0,0,0,False
Collagen là một cú lừa thế kỉ !?!? #cami #tiktok #collagen ,2025-06-11 16:18:59,11/06/2025,False,https://www.tiktok.com/@dieplinhcami,nhạc nền - Cami,7514619134441835265,https://www.tiktok.com/@dieplinhcami/video/7514618820451994888,57,196,3,7862,18,16,"cami, tiktok, collagen",False,False,dieplinhcami,True,False,False,0,3,8,0,0,1,0,0,0,False
Homestay làng Bái 🫰 #cami #tiktok ,2025-06-11 07:37:48,11/06/2025,False,https://www.tiktok.com/@dieplinhcami,nhạc nền - Cami,7514484533161478928,https://www.tiktok.com/@dieplinhcami/video/7514484497295985927,79,582,3,16800,14,17,"cami, tiktok",False,False,dieplinhcami,True,False,False,1,2,3,0,1,0,0,0,0,False
"Sáng nào cũng như sáng nào
10 phút mỗi khi thức dậy, trước ăn sáng và skincare ☀️ #cami #tiktok ",2025-06-05 08:12:12,05/06/2025,False,https://www.tiktok.com/@dieplinhcami,Can I Call You Rose? (Cover),7324011622136122145,https://www.tiktok.com/@dieplinhcami/video/7512266851670347015,12,1370,18,42500,268,17,"cami, tiktok",False,False,dieplinhcami,True,False,False,1,2,18,0,1,0,0,0,0,False
Công khai người tình 10 năm :)) không các bạn lại bảo chưa có chồng #glasses #cami #ninhbinh ,2025-06-04 18:33:06,04/06/2025,False,https://www.tiktok.com/@dieplinhcami,Lil Boo Thang,7268544136268679170,https://www.tiktok.com/@dieplinhcami/video/7512055774546382087,8,112,0,6335,0,3,"glasses, cami, ninhbinh",False,False,dieplinhcami,True,False,False,0,3,15,0,0,0,1,0,0,False
"Phổ cập kính 2in1 tới hội chị em bị cận 😎
Quá ư là tiện lợi ạ. Mã này thay tròng màu trà là hết nước chấm luôn #glasses ",2025-06-04 17:44:46,04/06/2025,False,https://www.tiktok.com/@dieplinhcami,original sound,7452552333190155051,https://www.tiktok.com/@dieplinhcami/video/7512043319036284178,9,141,2,10500,11,9,glasses,False,False,dieplinhcami,True,False,False,1,1,27,0,0,1,0,0,0,False
"‼️ TIP CHE MỤN SƯNG VIÊM ‼️

Bha tự nhiên vải, mận, xoài, mít đã in dấu lên chiếc cằm của tui những chiếc mụn thiệc là to 
Để mà xử mấy đứa này dễ ẹc (cứ combo núi lửa + chấm mụn là xong ngay đừng dại mà đi nặn khiến da sưng viêm tổn thương và thâm lâu lành hơn)

Nhưng chuyện đó cần thời gian
Vậy mỗi lúc cần ra ngoài thì sao? Làm sao để che khuyết điểm mà không làm tổn thương mụn!? 

‼️ 3 MÓN THÔI ‼️

▪️ Làm sạch da nhẹ nhàng sau đó sử dụng LOTION KIỂM SOÁT DẦU MỤN: món này vừa làm dịu, giảm sưng và kháng viêm rất tốt. Đồng thời cũng giúp khô coi mụn nhanh hơn. Đắp nhẹ lên vùng mụn trước makeup nha
▪️ Cấp nước, làm mát bằng Aqua Gel. Sau khi dùng lotion và thoa aqua gel vết mụn giảm tấy khá tốt
▪️ CUSHION. Và bây giờ là nhiệm vụ của cushion. Chỉ cần vài đường cơ bản toàn bộ vết đỏ sưng viêm đã biến mất. Khả năng che khuyết điểm đồng thời bảo vệ vết mụn không làm cho vết mụn sưng lên ngược lại còn làm dịu là 1 điểm cộng rất lớn

‼️ 3 món này các bác cứ Cami thẳng tiến ạ, nay đang có voucher nha #ti#tiktokca#camiskincarea#cami",2025-06-04 15:44:23,04/06/2025,False,https://www.tiktok.com/@dieplinhcami,Shake It To The Max (FLY) (Remix),7468711641658525713,https://www.tiktok.com/@dieplinhcami/video/7512012295749356807,10,241,4,23400,18,2,"tiktok, camiskincare, cami",False,False,dieplinhcami,True,False,False,0,4,229,0,0,1,0,0,0,False
"Dạo này thấy các bạn check in quê tui nhiều, tui vui lắm 🫶🏻
Đây chính là cây ráy voi mà các bạn đang check in, tui chụp cách đây gần 1 năm trước nè 
Ngoài Cúc Phương hãy dành thời gian thong dong các nơi để ngắm thêm nhiều cảnh đẹp nữa nha. Ninh Bình có núi, có sông, có hồ và đồ ăn ngon. Và nếu đã quen với thịt dê cơm cháy thì hãy thử thêm các món đồng quê cũng hấp dẫn không kém 🥰 #ninhbinh #cucphuong ",2025-06-02 20:57:39,02/06/2025,False,https://www.tiktok.com/@dieplinhcami,Forest Noises,6764184579252160514,https://www.tiktok.com/@dieplinhcami/video/7511350863328349448,0,58,0,3987,2,2,"ninhbinh, cucphuong",True,False,dieplinhcami,True,False,False,2,2,87,0,0,0,1,0,0,False
"Thức dậy khi mặt trời mọc
Uống một ly nước 
Tắm nắng sớm, massage lưu thông khí huyết sau đó là skincare và không quên chống nắng 🥰
#cami #tiktok #skincare ",2025-06-02 06:08:30,01/06/2025,False,https://www.tiktok.com/@dieplinhcami,Can I Call You Rose? (Cover),7324011622136122145,https://www.tiktok.com/@dieplinhcami/video/7511121698964409607,14,3346,72,73200,352,39,"cami, tiktok, skincare",False,False,dieplinhcami,True,False,False,1,3,27,0,1,0,0,0,0,False
