text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Rất ê ê ê ê 👌 nghiền qtqđ 4 sp này, thử chưa các bác? #emmihoang #beautytok #gocreview #reviewmypham #skincareproducts #skintok #emmiebyhappyskin ",2025-05-11 20:46:26,11/05/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7503185017847532289,https://www.tiktok.com/@emmi.hoang/video/7503184091441941778,531,1133,113,36200,539,38,"emmihoang, beautytok, gocreview, reviewmypham, skincareproducts, skintok, emmiebyhappyskin",False,False,emmi.hoang,False,False,False,1,7,14,0,0,0,1,0,1,False
Mục tiêu lúc này: PHI NƯỚC ĐẠI 🏇 & KHÔNG BỊ SẠM DA 🥹 #emmihoang #lifestyle #horseriding #horsetok #cuoingua ,2025-05-04 20:13:10,04/05/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7500577978380716817,https://www.tiktok.com/@emmi.hoang/video/7500577926673452306,17,25,1,1982,3,1,"emmihoang, lifestyle, horseriding, horsetok, cuoingua",False,False,emmi.hoang,False,False,False,2,5,12,0,0,0,1,0,1,False
Deal ĐỘC QUYỀN cỡ này✨ #emmihoang #emmiebyhappyskin #megalive #matnaemmie ,2025-04-19 10:34:18,19/04/2025,False,https://www.tiktok.com/@emmi.hoang,Gentle Luxury Upbeat Funky Disco House Full Edit,7377930550945237055,https://www.tiktok.com/@emmi.hoang/video/7494862469861543176,60,123,5,3891,7,1,"emmihoang, emmiebyhappyskin, megalive, matnaemmie",False,False,emmi.hoang,False,False,False,1,4,5,0,1,0,0,0,1,False
thói quen dưỡng da CHƯA CHẮC ĐÚNG❌ #emmihoang #beautytok #beautytips #meolamdep #skincare101 ,2025-04-18 21:40:52,18/04/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7494663538397416193,https://www.tiktok.com/@emmi.hoang/video/7494663159958048018,171,80,3,2853,12,1,"emmihoang, beautytok, beautytips, meolamdep, skincare101",False,False,emmi.hoang,False,False,False,1,5,7,0,0,0,1,0,0,False
Mặt nạ được yêu thích nhấ t❓❓ #emmihoang #emmiebyhappyskin #matnaemmie #matnaphoidua #biocellulosemask #beautytok #gocreview ,2025-04-17 20:59:57,17/04/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7494281596121221904,https://www.tiktok.com/@emmi.hoang/video/7494281537400081672,35,35,3,2373,2,2,"emmihoang, emmiebyhappyskin, matnaemmie, matnaphoidua, biocellulosemask, beautytok, gocreview",False,False,emmi.hoang,False,False,False,1,7,7,0,0,0,1,0,0,False
Cái thế hệ gì kỳ…#emmihoang #lifestyle #tips #genz #genzstyle #kynangsong #lifehack #kynangmem #congso ,2025-04-13 20:38:57,13/04/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7492792750899759888,https://www.tiktok.com/@emmi.hoang/video/7492791781965286664,248,145,6,2631,7,1,"emmihoang, lifestyle, tips, genz, genzstyle, kynangsong, lifehack, kynangmem, congso",False,False,emmi.hoang,False,False,False,0,9,5,0,0,0,1,0,1,False
Nuôi con không những khó mà còn tốn kém kinh khủng 🥲 #emmihoang #lamchame #sinhtracvantay #nuoidaycon #lifehack #gocreview ,2025-04-10 19:26:06,10/04/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7491660313302977281,https://www.tiktok.com/@emmi.hoang/video/7491659747679309063,614,1195,111,51800,181,28,"emmihoang, lamchame, sinhtracvantay, nuoidaycon, lifehack, gocreview",False,False,emmi.hoang,False,False,False,1,6,11,0,0,0,1,0,0,False
Giải đáp biến chứng u hạt khi MESO (p2) #tiemmeso #emmihoang #mesotheraphy #tiemmesocangbong #beautyreview #gocreview #beautytok #reviewlamdep ,2025-04-06 19:38:03,06/04/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7490178505473477431,https://www.tiktok.com/@emmi.hoang/video/7490178482123590917,388,190,17,8986,17,6,"tiemmeso, emmihoang, mesotheraphy, tiemmesocangbong, beautyreview, gocreview, beautytok, reviewlamdep",False,False,emmi.hoang,False,False,False,0,8,9,0,0,0,1,0,1,False
"Khôn bao năm, dại 2 lần. Này thì meso🥲 #emmihoang #beautytok #reviewlamdep #goclamdep #mesotherapy",2025-04-01 21:12:46,01/04/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7488347559217384247,https://www.tiktok.com/@emmi.hoang/video/7488347470104120581,578,9390,2038,377100,1910,357,"emmihoang, beautytok, reviewlamdep, goclamdep, mesotherapy",False,False,emmi.hoang,False,False,False,1,5,9,0,0,0,1,0,0,False
"Cũng cũng đấy, nhưng thông tin thì…trống trơn, cũng rén ngang #emmihoang #beautytok #gocreview #seamossgel #goclamdep #beautyreview ",2025-03-29 20:01:03,29/03/2025,False,https://www.tiktok.com/@emmi.hoang,original sound - Dược sĩ Emmi Hoàng,7487215841097517829,https://www.tiktok.com/@emmi.hoang/video/7487215729956228407,171,163,4,7245,6,1,"emmihoang, beautytok, gocreview, seamossgel, goclamdep, beautyreview",False,False,emmi.hoang,False,False,False,0,6,11,0,0,0,1,0,1,False
