text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Tr oi phải nói là mê đắm đuốiii 😭🫵🏻💙✨🫧
 #kemnenserum #lorealparispartner #makeup",2025-06-14 21:44:30,14/06/2025,False,https://www.tiktok.com/@gigigithebabe,Coffee and Chords,7393252024915560449,https://www.tiktok.com/@gigigithebabe/video/7515815953964322055,63,228,4,4653,18,0,"kemnenserum, lorealparispartner, makeup",False,False,gigigithebabe,False,False,False,1,3,8,0,0,0,1,0,1,False
"Tui iu những chiếc kem chống nắng mát như kem dưỡng, kcn này sẽ hợp da thường khô và skincare cơ bản nhe, còn da dầu thì xem bản sun cream ahh 🌸😆🫵🏻✨🤭🤍 #isntree #isntreevietam #KCN",2025-06-13 23:14:33,13/06/2025,False,https://www.tiktok.com/@gigigithebabe,Coffee and Chords,7393252024915560449,https://www.tiktok.com/@gigigithebabe/video/7515468069590846727,64,422,12,11800,14,3,"isntree, isntreevietam, kcn",False,False,gigigithebabe,False,False,False,1,3,32,0,0,0,0,1,0,False
get unready with me 🫵🏻🫧🤍 nay đổi góc quay xíu hihi 🤓✨🌙🥟🩷 #gurwm ,2025-06-13 02:02:17,12/06/2025,False,https://www.tiktok.com/@gigigithebabe,Coffee and Chords,7393252024915560449,https://www.tiktok.com/@gigigithebabe/video/7515140215124724997,223,600,9,9107,29,24,gurwm,False,False,gigigithebabe,False,False,False,2,1,10,1,0,0,0,0,0,False
Lâu lâu lại xú túi mè hihi 🤭🫧🫵🏻 Shinnosuke blind box unboxing 🫧🤍🌸🩷✨,2025-06-11 23:40:06,11/06/2025,False,https://www.tiktok.com/@gigigithebabe,"Funny video ""Carmen Prelude"" Arranging weakness(836530)",6850125286504138753,https://www.tiktok.com/@gigigithebabe/video/7514732490246884616,111,263,19,5963,10,4,,False,False,gigigithebabe,False,False,False,2,0,11,0,0,0,0,1,0,False
vừa thích dùng màu má đỏ vừa thích nhạc zật zật tóp tóp 🤣🫵🏻🤭✨🫧🌸🩷  #sunkisser   #maybellinepartner,2025-06-11 21:35:24,11/06/2025,False,https://www.tiktok.com/@gigigithebabe,BẠN THÂN EM REMIX HUU STREAM x ROCKY CDE,7506802911507139344,https://www.tiktok.com/@gigigithebabe/video/7514700354726939912,30,95,2,2571,0,1,"sunkisser, maybellinepartner",False,False,gigigithebabe,False,False,False,1,2,13,0,0,0,1,0,0,False
TOP 5 KEM DƯỠNG PHỤC HỒI MÌNH THÍCH NỬA ĐẦU 2025 ✨🫧🤍🌸🥟🍃🫣🫵🏻🌙🤭 #badskin #lancome #elixir #paulaschoice #lrp #kemduongngaicuu #3BrothersMedia,2025-06-10 22:26:56,10/06/2025,False,https://www.tiktok.com/@gigigithebabe,Coffee and Chords,7393252024915560449,https://www.tiktok.com/@gigigithebabe/video/7514342547209096455,175,697,14,19100,82,18,"badskin, lancome, elixir, paulaschoice, lrp, kemduongngaicuu, 3brothersmedia",False,False,gigigithebabe,False,False,False,1,7,11,0,0,0,0,1,0,False
my little sheet mask haul 🫧🩷🫵🏻🌸🤍✨🌙😗,2025-06-10 01:36:51,09/06/2025,False,https://www.tiktok.com/@gigigithebabe,เสียงต้นฉบับ - kittikmr,7279805869800786689,https://www.tiktok.com/@gigigithebabe/video/7514020387483602184,317,974,24,15800,65,23,,False,False,gigigithebabe,False,False,False,1,0,5,1,0,0,0,0,0,False
"26 tuổi vẫn đang vùng vẫy trong thế giới của chính mình, chúng mình hãy cứ vững tâm vào bản thân nheee 🌸🫧🤍✨🫵🏻🩷🌙😗 mình cảm ơn #lorealparisskin #lorealparis vì thông điệp quá dễ thương 🫵🏻🫵🏻#chinhnu #lorealparispartner",2025-06-07 22:29:27,07/06/2025,False,https://www.tiktok.com/@gigigithebabe,vanilla flavor,7405116643943761936,https://www.tiktok.com/@gigigithebabe/video/7513229940087688455,100,771,5,9665,16,14,"lorealparisskin, lorealparis, chinhnu, lorealparispartner",False,False,gigigithebabe,False,False,False,2,4,31,0,0,0,0,1,1,False
In dermarium we trust 🫵🏻😗🫣🪄🫧 ng chơi hệ skincare khoa học xin được đặt niềm tin vào DNA repair enzymes & vit C hẹ hẹ hẹ 😆,2025-06-05 21:32:39,05/06/2025,False,https://www.tiktok.com/@gigigithebabe,vanilla flavor,7405116643943761936,https://www.tiktok.com/@gigigithebabe/video/7512473136407792903,128,4608,165,100300,1078,138,,False,False,gigigithebabe,False,False,False,2,0,25,0,0,0,1,0,0,False
"Chị em mình cứ cố gắng làm việc, đi tập vui vẻ thỉnh thoảng cafe catch up với nhau vậy thôi hẹ hẹ hẹ 🫵🏻🤍✨🌸🩷🫧👏🏼🦢🛁🪄🌙 #adayinmylife #dailyvlog ",2025-06-04 21:50:50,04/06/2025,False,https://www.tiktok.com/@gigigithebabe,Stupid Cupid,6823965587648022529,https://www.tiktok.com/@gigigithebabe/video/7512106736656993544,162,5223,95,59300,168,50,"adayinmylife, dailyvlog",False,False,gigigithebabe,False,False,False,1,2,24,0,0,0,1,0,0,False
