text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Hé lô các chế iu khoẻ hom? #vohalinh #halinhofficial #mahong #reviewlamdep #xuhuong #blush ,2025-06-10 19:26:34,10/06/2025,False,https://www.tiktok.com/@halinhofficial,nhạc nền - Ha Linh Official,7514296307620547344,https://www.tiktok.com/@halinhofficial/video/7514296061624847623,87,84600,1373,1300000,1502,356,"vohalinh, halinhofficial, mahong, reviewlamdep, xuhuong, blush",False,False,halinhofficial,False,False,False,0,6,7,0,0,0,1,0,0,False
Zô! #vohalinh #halinhofficial #reviewlamdep #xuhuong #mask ,2025-06-06 19:09:29,06/06/2025,False,https://www.tiktok.com/@halinhofficial,nhạc nền - Ha Linh Official,7512807769851595537,https://www.tiktok.com/@halinhofficial/video/7512807326148087047,165,100700,3851,2300000,2645,1338,"vohalinh, halinhofficial, reviewlamdep, xuhuong, mask",False,False,halinhofficial,False,False,False,0,5,1,0,0,0,1,0,0,False
"Em thích em nói zậy đó, chị hỏng chịu hỏng chịu thì hoy... #vohalinh #halinhofficial ",2025-06-05 10:26:18,05/06/2025,False,https://www.tiktok.com/@halinhofficial,nhạc nền - Ha Linh Official,7512301453218794257,https://www.tiktok.com/@halinhofficial/video/7512301416564657416,82,405500,10900,6900000,9634,2391,"vohalinh, halinhofficial",False,False,halinhofficial,False,False,False,0,2,13,0,1,0,0,0,0,False
Chưa đủ wow! #halinhofficial #reviewlamdep #maybelline #liftergloss #lipstick #vohalinh #xuhuong #lamdep #son #review ,2025-06-04 20:32:21,04/06/2025,False,https://www.tiktok.com/@halinhofficial,nhạc nền - Ha Linh Official,7512086619457981200,https://www.tiktok.com/@halinhofficial/video/7512086512314436871,164,72100,2606,1400000,3378,517,"halinhofficial, reviewlamdep, maybelline, liftergloss, lipstick, vohalinh, xuhuong, lamdep, son, review",False,False,halinhofficial,False,False,False,0,10,3,0,0,0,1,0,0,False
Nếu ko biết cách thoa vẫn vón như thường ạ 🙏🏻 #halinhofficial #kemchongnang #kcn  #reviewlamdep ,2025-06-02 19:09:19,02/06/2025,False,https://www.tiktok.com/@halinhofficial,nhạc nền - Ha Linh Official,7511323265365822225,https://www.tiktok.com/@halinhofficial/video/7511322941628419346,135,80100,2894,2000000,3938,1156,"halinhofficial, kemchongnang, kcn, reviewlamdep",False,False,halinhofficial,False,False,False,1,4,10,0,0,0,1,0,0,False
"Lặn cả tháng, nay xin ngoi lên đúng một lần. Xin đừng Flop mà tội emmm 🤡 Lên nhạc!   #CapCut #halinhofficial ",2025-05-15 19:18:08,15/05/2025,True,https://www.tiktok.com/@halinhofficial,AI RỒI CŨNG SẼ RỜI ĐI REMIX,7340141543514196738,https://www.tiktok.com/@halinhofficial/video/7504645685921221896,18,66800,585,3000000,697,1501,"capcut, halinhofficial",False,False,halinhofficial,False,False,False,1,2,18,0,0,0,1,0,0,False
"CHÍNH THỨC TUNG SUPER DEAL VÀ GIẢM GIÁ THÊM 🔥
Lưu ý: SỐ LƯỢNG CÓ HẠN và tung ngay đầu live lúc 8h tối nay ngày 15.5. 
VÀO CÀNG SỚM GIÁ CÀNG TỐT, SỐ LƯỢNG CÓ HẠN NÊN MỌI NGƯỜI NHANH TAY NHÉ! 
""Tất cả sản phẩm trong giỏ hàng của phiên livestream hôm nay đều được các nhãn hàng tài trợ để cung cấp thông tin đến người xem theo quy định""
#halinhofficial #superdeal #vohalinh #livestream #155 #superlive #xuhuong #fyp ",2025-05-15 17:28:58,15/05/2025,True,https://www.tiktok.com/@halinhofficial,nhạc nền - Động lực để học tập 📚,7259458351631829766,https://www.tiktok.com/@halinhofficial/video/7504617551226342663,0,14800,2774,1600000,830,577,"halinhofficial, superdeal, vohalinh, livestream, 155, superlive, xuhuong, fyp",True,False,halinhofficial,False,False,True,1,8,72,0,0,1,0,0,0,False
Mặn mẽ lên nhé các tình iu! #halinhofficial #superlive #155 #livestream #vohalinh ,2025-05-15 14:58:33,15/05/2025,True,https://www.tiktok.com/@halinhofficial,nhạc nền - Động lực để học tập 📚,7259458351631829766,https://www.tiktok.com/@halinhofficial/video/7504578783429610770,82,65700,5430,3300000,2906,535,"halinhofficial, superlive, 155, livestream, vohalinh",False,False,halinhofficial,False,False,False,0,5,7,0,0,1,0,0,0,False
"SUPERLIVE 20H 15.5: CHÀO HÈ SANG, SALE RỘN RÀNG! #halinhofficial #superlive #halinhlivestream #fyp #xhtiktok #vohalinh #xuhuong ",2025-05-14 15:37:26,14/05/2025,True,https://www.tiktok.com/@halinhofficial,nhạc nền - Động lực để học tập 📚,7259458351631829766,https://www.tiktok.com/@halinhofficial/video/7504217724730494226,59,34200,2593,2300000,1056,544,"halinhofficial, superlive, halinhlivestream, fyp, xhtiktok, vohalinh, xuhuong",False,False,halinhofficial,False,False,True,0,7,9,0,0,1,0,0,0,False
"SUPERLIVE 20H 15.5: SĂN DEAL CHẤT, DO DỰ LÀ HẾT MẤT! #halinhofficial ",2025-05-13 20:26:17,13/05/2025,True,https://www.tiktok.com/@halinhofficial,Very cute melody by marimba tone(39813),6849968592285337602,https://www.tiktok.com/@halinhofficial/video/7503921075802131720,127,22500,441,1600000,443,320,halinhofficial,False,False,halinhofficial,False,False,True,0,1,11,0,0,0,1,0,0,False
"Nếu mình ko ngại, thì người xem ngại 🥲",2025-05-12 19:58:32,12/05/2025,True,https://www.tiktok.com/@halinhofficial,bunyi asal - @TG~DJREDBULL__🎧🎤,7353486949916691217,https://www.tiktok.com/@halinhofficial/video/7503542832024669447,79,83700,9342,2200000,1576,1173,,False,False,halinhofficial,False,False,False,1,0,8,0,0,0,1,0,0,False
