text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Tóm tắt nhanh về @Ctpham_  🤣 #abibvn #glutathiosome #exosome ,2025-06-13 21:01:22,13/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7515433916975647504,https://www.tiktok.com/@han.hang18/video/7515433756509900040,117,30600,585,552800,1056,127,", abibvn, glutathiosome, exosome",False,False,han.hang18,False,False,False,1,3,5,0,0,0,1,0,0,False
,2025-06-12 19:00:19,12/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - KORE - D,7510213758808017680,https://www.tiktok.com/@han.hang18/video/7515031477323582727,15,48800,1609,406000,994,41,,False,False,han.hang18,False,False,False,0,0,0,0,0,0,1,0,0,False
Đã ai thử workshop này chưa zạ😋 #larocheposaypartner #anthelios ,2025-06-10 19:55:53,10/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7514303660115839745,https://www.tiktok.com/@han.hang18/video/7514303624122502407,77,6681,268,129700,518,21,"larocheposaypartner, anthelios",False,False,han.hang18,False,False,False,1,2,7,0,0,0,1,0,0,False
"Chưa đi mấy chỗ này chưa phải ngừi zào 🤭 =)))) #Marvisvietnam, #kemdanhrangcaocap ",2025-06-08 19:56:03,08/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7513561547969432321,https://www.tiktok.com/@han.hang18/video/7513561501337144584,96,11800,163,235600,281,64,"marvisvietnam, kemdanhrangcaocap",False,False,han.hang18,False,False,False,1,2,11,0,0,0,1,0,1,False
Cô em gái của tôi ơiiii 😇,2025-06-05 20:32:09,05/06/2025,False,https://www.tiktok.com/@han.hang18,Cute Piano,7376164847701985299,https://www.tiktok.com/@han.hang18/video/7512457549250120968,69,15400,153,274300,251,21,,False,False,han.hang18,False,False,False,1,0,6,0,0,0,1,0,0,False
Trung bình một ngày đi làm của cổ 😋🤍 #SKIN1004 #Tonebrightening,2025-06-03 20:41:10,03/06/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7511717734061738768,https://www.tiktok.com/@han.hang18/video/7511717693226044679,67,2397,54,75600,34,15,"skin1004, tonebrightening",False,False,han.hang18,False,False,False,1,2,8,0,0,0,1,0,0,False
Quá khứ kia cũa anhhh =))) #belif #belifmask,2025-05-31 19:33:01,31/05/2025,False,https://www.tiktok.com/@han.hang18,Fresh and Fun,7274073304544299068,https://www.tiktok.com/@han.hang18/video/7510586884188343570,103,40700,848,649000,1311,148,"belif, belifmask",False,False,han.hang18,False,False,False,0,2,6,0,0,0,1,0,1,False
Hnay kẻ con mắt hơi lố tay xíu xiuu 🥹 #KyungLab #CushionKyungLab ,2025-05-28 19:26:11,28/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7509471894840675073,https://www.tiktok.com/@han.hang18/video/7509471860992593170,70,34400,751,664000,4213,138,"kyunglab, cushionkyunglab",False,False,han.hang18,False,False,False,1,2,9,0,0,0,1,0,0,False
"Tôi yêu biển, biển hãy đến với tôiii 🌊☀️❤️ #kemchongnang #chongnangvachdo #lorealparisskin#lorealparispartner ",2025-05-23 21:03:14,23/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7507641525103430401,https://www.tiktok.com/@han.hang18/video/7507641448305659144,80,49500,1541,823900,1026,100,"kemchongnang, chongnangvachdo, lorealparisskin, lorealparispartner",False,False,han.hang18,False,False,False,2,4,9,0,0,0,1,0,0,False
🎀 #3CEVN #glazyglow #3andChịEm #3CEPartner ,2025-05-20 19:58:50,20/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7506511825320594177,https://www.tiktok.com/@han.hang18/video/7506511594168290568,45,3457,52,282500,95,13,"3cevn, glazyglow, 3andchịem, 3cepartner",False,False,han.hang18,False,False,False,1,4,0,0,0,0,1,0,0,False
"Chuẩn bị tóc đẹp đi cafe với tui náaa🤍 

#daugoinauloreal #fullresist #lorealparishair #lorealparispartner",2025-05-19 19:43:16,19/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7506136531099929360,https://www.tiktok.com/@han.hang18/video/7506136491282795783,77,4689,199,314800,395,34,"daugoinauloreal, fullresist, lorealparishair, lorealparispartner",False,False,han.hang18,False,False,False,1,4,9,0,0,0,1,0,0,False
,2025-05-16 20:43:15,16/05/2025,False,https://www.tiktok.com/@han.hang18,NOKIA,7470876675554183169,https://www.tiktok.com/@han.hang18/video/7505038700812799239,12,30300,941,390200,586,36,,False,False,han.hang18,False,False,False,0,0,0,0,0,0,1,0,0,False
Giờ mới hiểu tại sao em này hot rần rần 🥹 #Maybelline #makeup #MaybellinePartner,2025-05-15 19:34:15,15/05/2025,True,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7504649864429898513,https://www.tiktok.com/@han.hang18/video/7504649835941924103,67,5506,52,344700,164,15,"maybelline, makeup, maybellinepartner",False,False,han.hang18,False,False,False,1,3,10,0,0,0,1,0,0,False
Phanh gấp liềnnn 🐷 #ctpharma#kombuchact ,2025-05-13 21:54:48,13/05/2025,False,https://www.tiktok.com/@han.hang18,Fresh and Fun,7274073304544299068,https://www.tiktok.com/@han.hang18/video/7503943891960319240,62,32000,859,553500,953,71,"ctpharma, kombuchact",False,False,han.hang18,False,False,False,1,2,3,0,0,0,1,0,0,False
Khéo tay hay làm 😝 #taytranglorealparis #lorealparisskin #lorealparispartner ,2025-05-12 20:06:59,12/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7503545184559680257,https://www.tiktok.com/@han.hang18/video/7503545015453437202,71,16900,127,248800,237,42,"taytranglorealparis, lorealparisskin, lorealparispartner",False,False,han.hang18,False,False,False,1,3,4,0,0,0,1,0,0,False
"Ghét nắng nhưng ghiền hè, ghiền lun bài nàyy🫰🏻🌤️

#GhetMaGhien #GhetHe #GhienHe #SUMMERISCALLING#CapCut ",2025-05-11 20:29:21,11/05/2025,False,https://www.tiktok.com/@han.hang18,Ghét mà Ghiền (#1),7501628533329430544,https://www.tiktok.com/@han.hang18/video/7503179690551643410,18,3476,173,177500,359,20,"ghetmaghien, ghethe, ghienhe, summeriscalling, capcut",False,False,han.hang18,False,False,True,1,5,9,0,0,0,1,0,1,False
,2025-05-09 18:25:58,09/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - TezDepTraiii,7500956356192602881,https://www.tiktok.com/@han.hang18/video/7502405719224864008,17,96900,2285,1100000,2368,102,,False,False,han.hang18,False,False,False,0,0,0,0,0,0,1,0,0,False
Rất ít khi thích một chiếc máy nào nhưng em này là ngoại lệ 🥹🫶🏻 #Ulike #UlikeAir3 #IPL @Ulike Việt Nam Store ,2025-05-04 19:37:03,04/05/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7500568782092765953,https://www.tiktok.com/@han.hang18/video/7500568618229370130,61,72500,3461,1700000,6166,336,"ulike, ulikeair3, ipl, ",False,False,han.hang18,False,False,False,1,3,18,0,0,0,1,0,1,False
Đi Nhật shopping được toàn đồ chất lượng thuiii 😚🫶🏻🌸,2025-05-02 19:28:55,02/05/2025,True,https://www.tiktok.com/@han.hang18,Best for video background music Chill Trap Hip Hop(837066),6850120546382776322,https://www.tiktok.com/@han.hang18/video/7499824353157139720,63,68100,389,2400000,916,139,,False,False,han.hang18,False,False,False,1,0,9,0,0,0,1,0,0,False
,2025-05-02 16:46:47,02/05/2025,False,https://www.tiktok.com/@han.hang18,the way life goes,7331488397451725610,https://www.tiktok.com/@han.hang18/video/7499782570524118279,21,146200,5705,1400000,6033,306,,False,False,han.hang18,False,False,False,0,0,0,0,0,1,0,0,0,False
"Khoảng thời gian khủng hoảng mãi khum quên🫂🥹

#ekseption ",2025-04-28 19:23:11,28/04/2025,False,https://www.tiktok.com/@han.hang18,Honey Tea,7392310604470650881,https://www.tiktok.com/@han.hang18/video/7498338530683374856,60,8144,250,251300,755,37,ekseption,False,False,han.hang18,False,False,False,1,1,8,0,0,0,1,0,0,False
,2025-04-25 14:03:14,25/04/2025,False,https://www.tiktok.com/@han.hang18,Like That Jacks Version,7341449301505100575,https://www.tiktok.com/@han.hang18/video/7497142821212802322,18,12300,191,253800,338,21,,False,False,han.hang18,False,False,False,0,0,0,0,0,1,0,0,0,False
Về nhà vẫn là thích nhất 💕 #jumisovn #toner #mundauden,2025-04-24 19:34:16,24/04/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7496857146483559185,https://www.tiktok.com/@han.hang18/video/7496857050245238023,74,36100,369,414800,1316,48,"jumisovn, toner, mundauden",False,False,han.hang18,False,False,False,1,3,6,0,0,0,1,0,0,False
"Một chút BTS của buổi chụp hình Prewedding của chúng tuiii 😆📸

#naturerepublic #serummist ",2025-04-23 19:17:56,23/04/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7496481894839225105,https://www.tiktok.com/@han.hang18/video/7496481757630385416,66,15400,387,238800,356,39,"naturerepublic, serummist",False,False,han.hang18,False,False,False,1,2,11,0,0,0,1,0,0,False
"Một trong những thành phố tôi yêu -  Kyoto🌸🫶🏻

 #DưỡngẨmCăngMọng #PaulasChoice #Peptide #ProCollagen #trẻkhoẻmọngcăng",2025-04-22 19:03:56,22/04/2025,False,https://www.tiktok.com/@han.hang18,Camellia,7420336690798708748,https://www.tiktok.com/@han.hang18/video/7496107059591613704,87,5970,53,195200,90,123,"dưỡngẩmcăngmọng, paulaschoice, peptide, procollagen, trẻkhoẻmọngcăng",False,False,han.hang18,False,False,False,1,5,9,0,0,0,1,0,0,False
Xách vali đến thành phố tôi yêuuu 🇯🇵🫶🏻🥹#Torriden #toneup #purplesuncream #skincare ,2025-04-14 20:05:19,14/04/2025,False,https://www.tiktok.com/@han.hang18,Lo-Fi Japan Coffe Vibes,7402767852733171713,https://www.tiktok.com/@han.hang18/video/7493154200172416264,66,8003,145,205900,168,30,"torriden, toneup, purplesuncream, skincare",False,False,han.hang18,False,False,False,1,4,7,0,0,0,1,0,0,False
🌸🇯🇵🗼🍵🩷💫,2025-04-09 14:40:45,09/04/2025,False,https://www.tiktok.com/@han.hang18,Omote,7447161243959969793,https://www.tiktok.com/@han.hang18/video/7491215132148649234,0,21600,500,287700,711,31,,True,False,han.hang18,False,False,False,1,0,0,0,0,1,0,0,0,False
"🌼🌤️💫  #dalbavn #dalbabeautyclass
#vitatoning
#greensun ",2025-04-04 20:38:34,04/04/2025,False,https://www.tiktok.com/@han.hang18,"Modern city pop, fashion, Vlog(1430789)",7223828318419322882,https://www.tiktok.com/@han.hang18/video/7489451902736944389,76,1218,28,111500,40,9,"dalbavn, dalbabeautyclass, vitatoning, greensun",False,False,han.hang18,False,False,False,2,4,1,0,0,0,1,0,0,False
🌤️💫🫶🏻 #Skintific ,2025-04-03 19:36:25,03/04/2025,True,https://www.tiktok.com/@han.hang18,Coffee Shop Lounge Music,7377907811710109707,https://www.tiktok.com/@han.hang18/video/7489064813709118725,69,6270,81,182100,97,16,skintific,False,False,han.hang18,False,False,False,2,1,1,0,0,0,1,0,0,False
,2025-04-03 13:07:10,03/04/2025,False,https://www.tiktok.com/@han.hang18,Tyla Truth Or Dare Mash Up,7348833558817033002,https://www.tiktok.com/@han.hang18/video/7488964481108692279,15,9992,145,189100,315,13,,False,False,han.hang18,False,False,False,0,0,0,0,0,1,0,0,0,False
🍓,2025-04-01 19:37:43,01/04/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7488322976858786565,https://www.tiktok.com/@han.hang18/video/7488322969786191109,21,5272,101,123700,190,21,,False,False,han.hang18,False,False,False,1,0,0,0,0,0,1,0,0,False
,2025-03-26 14:59:34,26/03/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Dynn tóc zàng,7481707586740341521,https://www.tiktok.com/@han.hang18/video/7486024786972331272,14,114600,2416,1200000,2449,158,,False,False,han.hang18,False,False,False,0,0,0,0,0,1,0,0,0,False
,2025-03-26 14:49:44,26/03/2025,False,https://www.tiktok.com/@han.hang18,Wow,7448010909062515478,https://www.tiktok.com/@han.hang18/video/7486022246721604872,10,13600,308,203200,314,30,,False,False,han.hang18,False,False,False,0,0,0,0,0,1,0,0,0,False
"Quá trình trang trí tư gia cho lễ đính hôn của toaiii 🤍

#Serumkhumui #Thiennhiendiunhe #Enchanteur",2025-03-20 19:56:14,20/03/2025,True,https://www.tiktok.com/@han.hang18,SOARING HIGH,7274026026740647994,https://www.tiktok.com/@han.hang18/video/7483874726209703175,67,95800,1957,1100000,2611,100,"serumkhumui, thiennhiendiunhe, enchanteur",False,False,han.hang18,False,False,False,1,3,12,0,0,0,1,0,0,False
Tân lang tân nương đi sự kiện gì mà zui zữ zạaa 😆🎮 #PlayStationVietnam #AstroBot  ,2025-03-19 18:30:10,19/03/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7483481601952090896,https://www.tiktok.com/@han.hang18/video/7483481463191653650,68,11600,66,238000,86,30,"playstationvietnam, astrobot",False,False,han.hang18,False,False,True,1,2,12,0,0,0,1,0,0,False
"Đi đâu cũng không dám quên kem chống nắng đâu ạaaa🤎

#kemchongnang #chongnangthehemoi #lorealparis #lorealparishub",2025-03-15 20:09:48,15/03/2025,False,https://www.tiktok.com/@han.hang18,Soft Pillow,7420134227574884393,https://www.tiktok.com/@han.hang18/video/7482022799310064904,69,76300,460,1200000,910,214,"kemchongnang, chongnangthehemoi, lorealparis, lorealparishub",False,False,han.hang18,False,False,False,1,4,11,0,0,0,1,0,1,False
"🤍🤍🤍 #mịnchuẩnfilter
#ColorkeySuperBrandDay
#Toasacmoiphongcach ",2025-03-14 18:17:15,14/03/2025,True,https://www.tiktok.com/@han.hang18,Soft Pillow,7420134227574884393,https://www.tiktok.com/@han.hang18/video/7481622702973930770,60,19000,175,628700,449,67,"mịnchuẩnfilter, colorkeysuperbrandday, toasacmoiphongcach",False,False,han.hang18,False,False,True,1,3,0,0,0,0,1,0,0,False
"Bonjour madam💋
 #VaselinexxEmilyinParis #LimitedEdition 
#EmilyinParis
#HoptaccungUnilever",2025-03-13 21:21:04,13/03/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7481299125339589393,https://www.tiktok.com/@han.hang18/video/7481298999182363912,64,30700,576,808800,623,80,"vaselinexxemilyinparis, limitededition, emilyinparis, hoptaccungunilever",False,False,han.hang18,False,False,True,1,4,2,0,0,0,1,0,0,False
"Màu nào cũm mê 💕 #VaselinexxEmilyinParis #LimitedEdition 
#EmilyinParis
#HoptaccungUnilever ",2025-03-11 20:48:30,11/03/2025,False,https://www.tiktok.com/@han.hang18,Parisian Sunset,7419386325529692161,https://www.tiktok.com/@han.hang18/video/7480548423888833800,76,7675,85,461600,112,23,"vaselinexxemilyinparis, limitededition, emilyinparis, hoptaccungunilever",False,False,han.hang18,False,False,False,1,4,4,0,0,0,1,0,0,False
Nail box hong các dì 😆 #pamyeuoi ,2025-03-10 14:20:42,10/03/2025,False,https://www.tiktok.com/@han.hang18,SOFT LOVE,7446270015944411152,https://www.tiktok.com/@han.hang18/video/7480077400257367304,32,288200,32500,2800000,4382,846,pamyeuoi,False,False,han.hang18,False,False,False,1,1,5,0,0,1,0,0,0,False
"30 ngày đếm ngược chuẩn bị cho lễ ăn hỏi, bắt đầu 😆

#daugoinauloreal #fullresist #lorealparishair",2025-03-03 19:46:58,03/03/2025,False,https://www.tiktok.com/@han.hang18,Coisini,7420326063351236627,https://www.tiktok.com/@han.hang18/video/7477563874514832661,71,74600,3726,1300000,1294,194,"daugoinauloreal, fullresist, lorealparishair",False,False,han.hang18,False,False,False,1,3,12,0,0,0,1,0,0,False
,2025-03-01 20:49:41,01/03/2025,False,https://www.tiktok.com/@han.hang18,original sound,7371895778597456672,https://www.tiktok.com/@han.hang18/video/7476837889247071506,10,82000,3538,737800,2043,112,,False,False,han.hang18,False,False,False,0,0,0,0,0,0,1,0,1,False
"Ai bảo má hồng chỉ để đánh má zạaaa

#Maybelline #Sunkisser #mahongkem",2025-02-25 19:28:29,25/02/2025,False,https://www.tiktok.com/@han.hang18,French Bakery Beats,7419410122361096193,https://www.tiktok.com/@han.hang18/video/7475332600274373908,84,28200,321,727700,938,59,"maybelline, sunkisser, mahongkem",False,False,han.hang18,False,False,False,0,3,9,0,0,0,1,0,0,False
Pop up xinh tuyệt đối các bác ơiiii 🧶🤍 #3CE #3andChịEm #3ậtSắcEm ,2025-02-23 19:30:10,23/02/2025,False,https://www.tiktok.com/@han.hang18,nhạc nền - Hàn Hằng,7474591199559420673,https://www.tiktok.com/@han.hang18/video/7474590882457455879,59,2344,59,203100,50,19,"3ce, 3andchịem, 3ậtsắcem",False,False,han.hang18,False,False,False,1,3,8,0,0,0,1,0,1,False
,2025-02-22 17:26:54,22/02/2025,False,https://www.tiktok.com/@han.hang18,Black (Feat. JENNIE of BLACKPINK),6929556987924219905,https://www.tiktok.com/@han.hang18/video/7474188025224858888,15,78100,939,719000,3390,97,,False,False,han.hang18,False,False,False,0,0,0,0,0,1,0,0,1,False
"Chuyện Valentine giờ mới kể 😝❤️ 

#yslbeautyvn #makeup #fragrance",2025-02-20 21:45:21,20/02/2025,False,https://www.tiktok.com/@han.hang18,"Endless Love, Endless Time",7466252799040079889,https://www.tiktok.com/@han.hang18/video/7473512465670671634,73,29200,557,729400,385,47,"yslbeautyvn, makeup, fragrance",False,False,han.hang18,False,False,True,1,3,6,0,0,0,1,0,0,False
,2025-02-20 11:59:57,20/02/2025,False,https://www.tiktok.com/@han.hang18,My Humps,6740249971737495554,https://www.tiktok.com/@han.hang18/video/7473361595620412690,0,21700,1218,548900,195,48,,True,False,han.hang18,False,False,False,0,0,0,0,1,0,0,0,0,False
