text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Mỗi lần đi công tác về 🐼💓 #hanhxuka #lamdep #làmđẹp #skincare #chamsocda #beauty #selfcare #dailyvlog ,2025-06-10 13:42:55,10/06/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7514207541639826177,https://www.tiktok.com/@hanhxuka2804/video/7514207505271115016,52,52800,2052,1000000,1573,328,"hanhxuka, lamdep, làmđẹp, skincare, chamsocda, beauty, selfcare, dailyvlog",False,False,hanhxuka2804,False,False,False,1,8,6,0,0,1,0,0,0,False
Một ngày nghỉ ngơi ở nhà 🪷✨ #hanhxuka #lamdep #làmđẹp #skincare #chamsocda #selfcare #beauty #dailyvlog ,2025-06-04 10:44:46,04/06/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7511935112427162384,https://www.tiktok.com/@hanhxuka2804/video/7511935084807736594,65,449400,13600,13000000,19100,1941,"hanhxuka, lamdep, làmđẹp, skincare, chamsocda, selfcare, beauty, dailyvlog",False,False,hanhxuka2804,False,False,False,1,8,6,0,1,0,0,0,0,False
Review nhanh 4 dòng kem chống nắng đắt đỏ nhất thế giới! #hanhxuka #lamdep #làmđẹp #skincare #chamsocda #selfcare #beauty #review #reviewlamdep #kemchongnang #kcn #valmont #laprairie ,2025-06-01 10:56:25,01/06/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7510824871489932033,https://www.tiktok.com/@hanhxuka2804/video/7510824833551174919,95,12600,424,342000,680,130,"hanhxuka, lamdep, làmđẹp, skincare, chamsocda, selfcare, beauty, review, reviewlamdep, kemchongnang, kcn, valmont, laprairie",False,False,hanhxuka2804,False,False,False,0,13,12,0,1,0,0,0,1,False
#hanhxuka #giadinh #momlife #mevabe #family ,2025-05-26 10:26:43,26/05/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7508590692810672913,https://www.tiktok.com/@hanhxuka2804/video/7508590668932025607,10,11200,82,343900,235,65,"hanhxuka, giadinh, momlife, mevabe, family",False,False,hanhxuka2804,False,False,False,0,5,0,0,1,0,0,0,0,False
#hanhxuka #bodycare #skincareroutine #chamsocda #chămsócda #dưỡngda #làmđẹp #lamdep #chongnang #sunscreen ,2025-05-22 12:24:47,22/05/2025,False,https://www.tiktok.com/@hanhxuka2804,original sound,7207650043606616874,https://www.tiktok.com/@hanhxuka2804/video/7507136736716164373,0,7197,134,327300,772,60,"hanhxuka, bodycare, skincareroutine, chamsocda, chămsócda, dưỡngda, làmđẹp, lamdep, chongnang, sunscreen",True,False,hanhxuka2804,False,False,False,0,10,0,0,0,1,0,0,0,False
Tuổi nào cũng sống trọn đam mê 🤭✨ #hanhxuka #bodycare #bodyroutine #skincare #chamsocda #lamdep #làmđẹp ,2025-05-20 09:54:22,20/05/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7506355851670620929,https://www.tiktok.com/@hanhxuka2804/video/7506355799711649044,50,49800,2860,1100000,3518,523,"hanhxuka, bodycare, bodyroutine, skincare, chamsocda, lamdep, làmđẹp",False,False,hanhxuka2804,False,False,False,1,7,7,0,1,0,0,0,0,False
"Ngày cuối tuần ""năng suất"" 😆😌 
#hanhxuka #giadinh #mevabe #dailyvlog #lamdep #làmđẹp #selflove #selfcare #skincare ",2025-05-17 11:57:01,17/05/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7505274283367615249,https://www.tiktok.com/@hanhxuka2804/video/7505274177159613714,65,143600,6819,2100000,4137,845,"hanhxuka, giadinh, mevabe, dailyvlog, lamdep, làmđẹp, selflove, selfcare, skincare",False,False,hanhxuka2804,False,False,False,1,9,5,0,1,0,0,0,1,False
happiness looks good on you all 🤭💓 #hanhxuka #dailyvlog #selflove #lamdep #làmđẹp #skincare #chamsocda #selfcare #beauty #vochong #giadinh ,2025-05-15 13:53:15,15/05/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7504561991509707521,https://www.tiktok.com/@hanhxuka2804/video/7504561957639425288,61,404900,22000,7900000,14000,2921,"hanhxuka, dailyvlog, selflove, lamdep, làmđẹp, skincare, chamsocda, selfcare, beauty, vochong, giadinh",False,False,hanhxuka2804,False,False,False,1,11,6,0,0,1,0,0,0,False
"Trả lời @Bé mèo nhỏ mít ướt Làm gì cũng được, mua gì cũng được, miễn là mình cảm thấy vui và thoải mái. 🤗 #hanhxuka ",2025-05-12 12:07:12,12/05/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7503421402112953089,https://www.tiktok.com/@hanhxuka2804/video/7503421369376443656,49,12800,186,514700,479,176,", hanhxuka",False,False,hanhxuka2804,False,False,False,1,1,24,0,0,1,0,0,0,False
"""Không có ngày mai nào được đảm bảo, vì vậy hãy sống hết lòng ngày hôm nay.""
#hanhxuka #dailyvlog #selflove #phatgiao ",2025-05-10 11:09:32,10/05/2025,False,https://www.tiktok.com/@hanhxuka2804,nhạc nền - Hạnh Xuka,7502664712803633937,https://www.tiktok.com/@hanhxuka2804/video/7502664333533498632,57,51300,1172,1000000,1586,323,"hanhxuka, dailyvlog, selflove, phatgiao",False,False,hanhxuka2804,False,False,False,0,4,17,0,1,0,0,0,1,False
