text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Cách hạn chế xung đột khi vợ chồng làm chung. #hannaholal ,2025-06-12 19:26:40,12/06/2025,False,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7515038296553179920,https://www.tiktok.com/@hannaholala/video/7515038268388363538,78,7700,418,191300,617,189,hannaholal,False,False,hannaholala,False,True,False,0,1,10,0,0,0,1,0,0,False
Chia sẻ với các nàng một số hoạt động của Na cùng UNICEF trong năm qua. Hy vọng sắp tới Na sẽ làm thêm nhiều điều ý nghĩa.,2025-06-11 21:18:48,11/06/2025,False,https://www.tiktok.com/@hannaholala,original sound,7514696479102388993,https://www.tiktok.com/@hannaholala/video/7514696056567893269,279,1512,9,44500,60,71,,False,False,hannaholala,False,True,False,0,0,28,0,0,0,1,0,0,False
Lúc này Na đang mang bầu em bé Minh. Đây là một trong những khoảng thời gian hạnh phúc nhất trong cuộc đời Na. Mới đó mà em bé nhà tui sắp 12 tuổi rồi. ,2025-06-10 21:13:11,10/06/2025,False,https://www.tiktok.com/@hannaholala,Little Things,6981828410792216577,https://www.tiktok.com/@hannaholala/video/7514323515970047253,0,2695,20,56100,46,91,,True,False,hannaholala,False,True,False,0,0,35,0,0,0,1,0,0,False
Đi xem gala show của Bộ Công An. #hannaholala ,2025-06-09 12:47:20,09/06/2025,False,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7513822094153616184,https://www.tiktok.com/@hannaholala/video/7513822100960857350,54,6257,91,165200,190,155,hannaholala,False,False,hannaholala,False,True,False,0,1,8,0,0,1,0,0,0,False
7h tối nay Na sẽ live TikTok nhaaaa. #hannaholala,2025-06-07 17:20:39,07/06/2025,True,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7513150395275856656,https://www.tiktok.com/@hannaholala/video/7513150362585451784,46,5587,127,538600,222,195,hannaholala,False,False,hannaholala,False,True,False,0,1,8,0,0,1,0,0,1,False
7h tối nay nha mọi người. Vào mục live của Shopee sẽ thấy Na nha. Hoặc search HannahOlala là ra. Hẹn gặp mọi người. #hannaholala ,2025-06-06 18:11:32,06/06/2025,False,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7512792418019756801,https://www.tiktok.com/@hannaholala/video/7512792395436526855,30,38800,1106,1200000,1576,559,hannaholala,False,False,hannaholala,False,True,False,0,1,24,0,0,0,1,0,0,False
Không phải là lùa gà mà là bỏ bùa! 7pm 6.6 là Mega Live bên 🍊 nhaaaa. #hannaholala ,2025-06-06 11:50:29,06/06/2025,False,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7512694377253980929,https://www.tiktok.com/@hannaholala/video/7512694190241893640,92,15100,228,556700,534,937,hannaholala,False,False,hannaholala,False,True,True,1,1,16,0,1,0,0,0,0,False
7pm ngày 6.6 trên Shopee nhaaaa. #hannaholala ,2025-06-05 14:24:39,05/06/2025,False,https://www.tiktok.com/@hannaholala,original sound,7512362862384384769,https://www.tiktok.com/@hannaholala/video/7512362806293843221,16,3836,74,221700,106,242,hannaholala,False,False,hannaholala,False,True,True,0,1,6,0,0,1,0,0,0,False
Em này sẽ sale đậm trong phiên live 6.6 của Na ở trên Shopee nhaaaa. #hannaholala,2025-06-04 12:06:03,04/06/2025,False,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7511956057724439313,https://www.tiktok.com/@hannaholala/video/7511956027227983111,58,25900,1408,549300,1955,721,hannaholala,False,False,hannaholala,False,True,True,0,1,15,0,0,1,0,0,0,False
7pm ngày 6.6 trên Shopee nhaaaa. Vô sớm để lấy voucher hời nè. Hẹn gặp mọi người. #hannaholala,2025-06-03 09:28:49,03/06/2025,True,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7511544454503795473,https://www.tiktok.com/@hannaholala/video/7511544425877671186,77,138900,4592,4600000,6147,2364,hannaholala,False,False,hannaholala,False,True,True,0,1,17,0,1,0,0,0,0,False
Em này sẽ có mặt trong phiên live 6.6 của Na ở bên sàn cam nhaaa. 7pm ngày 6.6. #hannaholala ,2025-06-02 11:00:24,02/06/2025,True,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7511196974956170001,https://www.tiktok.com/@hannaholala/video/7511196950423670034,43,11400,1136,1700000,1744,547,hannaholala,False,False,hannaholala,False,True,True,0,1,19,0,1,0,0,0,0,False
Dưỡng da bằng tay của chồng. Mega live 7pm ngày 6.6 trên Shopee nhaaaa. #hannaholala ,2025-06-01 16:20:18,01/06/2025,True,https://www.tiktok.com/@hannaholala,original sound - HannahOlala,7510908384657328913,https://www.tiktok.com/@hannaholala/video/7510908297361247496,152,246800,4850,8200000,8652,2510,hannaholala,False,False,hannaholala,False,True,True,0,1,14,0,0,1,0,0,1,False
