text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Dưỡng da thôi mọi người ơiiii #hnhu2804 #boxstudio #learnontiktok #goclamdep #dailyvlog #grwm ,2025-06-13 00:19:15,12/06/2025,False,https://www.tiktok.com/@hnhu2804,Slow and comical BGM(1083863),7200450908889548802,https://www.tiktok.com/@hnhu2804/video/7515113662730882311,201,5891,147,42000,186,60,"hnhu2804, boxstudio, learnontiktok, goclamdep, dailyvlog, grwm",False,False,hnhu2804,False,False,False,0,6,6,1,0,0,0,0,0,False
"Dạo này Như đang xài ẻm nha, da căng bóng thích lắmmmm #hnhu2804 #learnontiktok #boxstudio #goclamdep #reviewlamdep  #droracle #droraclevn #retinoidampoule #HPR ",2025-06-12 21:23:57,12/06/2025,False,https://www.tiktok.com/@hnhu2804,Cute,7136445672676411393,https://www.tiktok.com/@hnhu2804/video/7515068486993972488,102,547,12,21000,16,19,"hnhu2804, learnontiktok, boxstudio, goclamdep, reviewlamdep, droracle, droraclevn, retinoidampoule, hpr",False,False,hnhu2804,False,False,False,0,9,12,0,0,0,1,0,0,False
Trả lời @Én đang bận ♌️ giữ chuỗi dưỡng da body ngày thứ mấy rồi mọi người 🥲😴 #hnhu2804 #learnontiktok #boxstudio #goclamdep #dailyvlog #grwm ,2025-06-12 00:21:37,11/06/2025,False,https://www.tiktok.com/@hnhu2804,Honobono suspicious comedy comical fagott,6817134726046812161,https://www.tiktok.com/@hnhu2804/video/7514743180135320839,129,7695,340,72600,508,84,", hnhu2804, learnontiktok, boxstudio, goclamdep, dailyvlog, grwm",False,False,hnhu2804,False,False,False,2,6,17,1,0,0,0,0,0,False
Cái kiểu nó vậy á 😇 #hnhu2804 #learnontiktok #boxstudio #goclamdep  ,2025-06-11 12:23:41,11/06/2025,False,https://www.tiktok.com/@hnhu2804,nhạc nền - Vợ a chứ ai?,7513063631022525185,https://www.tiktok.com/@hnhu2804/video/7514558181104749831,27,14500,177,78000,227,39,"hnhu2804, learnontiktok, boxstudio, goclamdep",False,False,hnhu2804,False,False,False,1,4,5,0,0,1,0,0,0,False
+1 clip gửi bạn thân giữ chuỗi dưỡng da mùa hè 🥲 #hnhu2804 #learnontiktok #boxstudio #goclamdep #dailyvlog #grwm  ,2025-06-11 00:26:18,10/06/2025,False,https://www.tiktok.com/@hnhu2804,Slow and comical BGM(1083863),7200450908889548802,https://www.tiktok.com/@hnhu2804/video/7514373309379677448,139,12000,1201,153600,795,162,"hnhu2804, learnontiktok, boxstudio, goclamdep, dailyvlog, grwm",False,False,hnhu2804,False,False,False,1,6,11,1,0,0,0,0,0,False
Buổi sáng của ngày thứ 3 🥳👻 #hnhu2804 #learnontiktok #boxstudio #goclamdep #dailyvlog #grwm ,2025-06-10 14:05:11,10/06/2025,False,https://www.tiktok.com/@hnhu2804,"Good Day refreshing,vol.2",7392436098234271761,https://www.tiktok.com/@hnhu2804/video/7514213238087716104,220,2099,9,30300,55,57,"hnhu2804, learnontiktok, boxstudio, goclamdep, dailyvlog, grwm",False,False,hnhu2804,False,False,False,1,6,6,0,0,1,0,0,0,False
Mình nhắc mấy bạn muốn hết hè mà da phải trắng á 🥲 #hnhu2804 #learnontiktok #boxstudio #goclamdep #dailyvlog #grwm ,2025-06-09 00:38:03,08/06/2025,False,https://www.tiktok.com/@hnhu2804,"Sneak, suspicious, stupid, thief, sneak in(1108491)",7021231872424298497,https://www.tiktok.com/@hnhu2804/video/7513634162901880082,157,3826,127,60400,182,117,"hnhu2804, learnontiktok, boxstudio, goclamdep, dailyvlog, grwm",False,False,hnhu2804,False,False,False,1,6,12,1,0,0,0,0,0,False
Dưỡng da body thoai 🥰 #hnhu2804 #learnontiktok #boxstudio #goclamdep #dailyvlog #grwm  ,2025-06-08 00:55:42,07/06/2025,False,https://www.tiktok.com/@hnhu2804,Slow and comical BGM(1083863),7200450908889548802,https://www.tiktok.com/@hnhu2804/video/7513267624944405778,127,8771,112,141000,489,158,"hnhu2804, learnontiktok, boxstudio, goclamdep, dailyvlog, grwm",False,False,hnhu2804,False,False,False,1,6,4,1,0,0,0,0,1,False
"Đây nha, trước và sau khi nặn mụn đều có thể dùng được em này. Đợt này Như xài 2 ẻm á #hnhu2804 #learnontiktok #boxstudio #goclamdep #reviewlamdep ",2025-06-07 19:58:05,07/06/2025,False,https://www.tiktok.com/@hnhu2804,Everyday/Cute Piano Solo(1512061),7325130475969824769,https://www.tiktok.com/@hnhu2804/video/7513190940194950408,95,1143,15,32300,64,18,"hnhu2804, learnontiktok, boxstudio, goclamdep, reviewlamdep",False,False,hnhu2804,False,False,False,0,5,22,0,0,0,1,0,1,False
"Ê được á, thơm mịn ẩm body #hnhu2804 #boxstudio #goclamdep #learnontiktok #reviewlamdep #kissmybody #suatam #mua1tang1 ",2025-06-07 14:00:05,07/06/2025,False,https://www.tiktok.com/@hnhu2804,Cute,7136445672676411393,https://www.tiktok.com/@hnhu2804/video/7513098674910530823,45,202,5,23100,22,6,"hnhu2804, boxstudio, goclamdep, learnontiktok, reviewlamdep, kissmybody, suatam, mua1tang1",False,False,hnhu2804,False,False,False,0,8,7,0,0,1,0,0,1,False
Mọi người xem ngày 2 hông 😴✨ #hnhu2804 #learnontiktok #boxstudio #goclamdep #dailyvlog #grwm ,2025-06-07 00:23:27,06/06/2025,False,https://www.tiktok.com/@hnhu2804,Slow and comical BGM(1083863),7200450908889548802,https://www.tiktok.com/@hnhu2804/video/7512888237816302856,249,3456,30,65200,128,57,"hnhu2804, learnontiktok, boxstudio, goclamdep, dailyvlog, grwm",False,False,hnhu2804,False,False,False,1,6,6,1,0,0,0,0,1,False
Kem dưỡng da tay mình dùng 🥹 thơm lắm luôn á 🌸 #hnhu2804 #learnontiktok #boxstudio #goclamdep #reviewlamdep #Eubos #TikTokShopVn ,2025-06-05 21:28:42,05/06/2025,True,https://www.tiktok.com/@hnhu2804,Cute,7136445672676411393,https://www.tiktok.com/@hnhu2804/video/7512472113970973960,47,456,17,30200,65,14,"hnhu2804, learnontiktok, boxstudio, goclamdep, reviewlamdep, eubos, tiktokshopvn",False,False,hnhu2804,False,False,False,2,7,10,0,0,0,1,0,0,False
Sau khi nặn mụn tham khảo em mask này hợp lí cực #hnhu2804 #learnontiktok #boxstudio #goclamdep #reviewlamdep #VT_cosmetics #VT_cosmetics.vn @VTCosmetics x SKVN @StyleKorean_VN ,2025-06-05 10:39:40,05/06/2025,True,https://www.tiktok.com/@hnhu2804,Cute,7136445672676411393,https://www.tiktok.com/@hnhu2804/video/7512304859937328392,83,960,15,71700,93,14,"hnhu2804, learnontiktok, boxstudio, goclamdep, reviewlamdep, vt_cosmetics, vt_cosmetics, , ",False,False,hnhu2804,False,False,False,0,7,17,0,1,0,0,0,0,False
Mê cái finish em kem chống nắng này 🥹#hnhu2804 #boxstudio #goclamdep #learnontiktok #reviewlamdep #Torriden #TorridenToneUp #kcntim #TorridenPoreAmpoule #halago,2025-06-04 21:21:00,04/06/2025,False,https://www.tiktok.com/@hnhu2804,Cute,7136445672676411393,https://www.tiktok.com/@hnhu2804/video/7512099047415614738,96,1386,11,88000,45,30,"hnhu2804, boxstudio, goclamdep, learnontiktok, reviewlamdep, torriden, torridentoneup, kcntim, torridenporeampoule, halago",False,False,hnhu2804,False,False,False,1,10,8,0,0,0,1,0,0,False
Hết hè là da phải khác mới chịu 😂 #hnhu2804 #boxstudio #goclamdep #learnontiktok ,2025-06-04 12:25:57,04/06/2025,False,https://www.tiktok.com/@hnhu2804,nhạc nền - 🎙Quàng Thái Tử 👑⭐️,7510110443537582849,https://www.tiktok.com/@hnhu2804/video/7511961157406756103,26,10800,129,204500,381,98,"hnhu2804, boxstudio, goclamdep, learnontiktok",False,False,hnhu2804,False,False,False,1,4,8,0,0,1,0,0,0,False
Nói không phải đi 🥲 #hnhu2804 #learnontiktok #boxstudio #goclamdep #tips ,2025-06-02 19:55:06,02/06/2025,False,https://www.tiktok.com/@hnhu2804,Dramamine,7298545045077035806,https://www.tiktok.com/@hnhu2804/video/7511334738213473543,32,13000,482,355100,449,216,"hnhu2804, learnontiktok, boxstudio, goclamdep, tips",False,False,hnhu2804,False,False,False,1,5,4,0,0,0,1,0,0,False
