text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Makeup look cho chị em đi biển tới đây #minhngocbeauty #vulaci #ofelia #sugarplum ,2025-06-12 19:47:54,12/06/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7515043773598272257,https://www.tiktok.com/@hoangminhngoc21/video/7515043738117360914,99,1378,17,23500,122,26,"minhngocbeauty, vulaci, ofelia, sugarplum",False,False,hoangminhngoc21,False,False,False,0,4,9,0,0,0,1,0,0,False
"Đi chữa lành đã, chữa nghèo tính sau. Sống đúng bản ngã công chúa ở Johor Bahru nè! #minhngocbeauty #vulaci 
#AirAsia #SốngĐãMãLife",2025-06-11 20:40:54,11/06/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7514686338847820545,https://www.tiktok.com/@hoangminhngoc21/video/7514686304857181458,77,1959,21,27500,48,20,"minhngocbeauty, vulaci, airasia, sốngđãmãlife",False,False,hoangminhngoc21,False,False,False,0,4,18,0,0,0,1,0,0,False
+1 máy mê sinh viên trường này🥹 huhu tôi thích ở đây quá #minhngocbeauty #vulaci #ftu #daihocngoaithuong ,2025-06-09 20:49:23,09/06/2025,False,https://www.tiktok.com/@hoangminhngoc21,supernatural,7364501441895237648,https://www.tiktok.com/@hoangminhngoc21/video/7513946327840083208,10,3429,67,50200,39,42,"minhngocbeauty, vulaci, ftu, daihocngoaithuong",False,False,hoangminhngoc21,False,False,False,1,4,13,0,0,0,1,0,0,False
Sắp thành cô gái makeup ở mọi nơi r đây =)) #minhngocbeauty #vulaci #sunkisser #makeup #maybelline #maybellinepartner ,2025-06-03 20:18:58,03/06/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7511712024030300944,https://www.tiktok.com/@hoangminhngoc21/video/7511711976620428552,74,5812,80,84500,144,59,"minhngocbeauty, vulaci, sunkisser, makeup, maybelline, maybellinepartner",False,False,hoangminhngoc21,False,False,False,0,6,11,0,0,0,1,0,0,False
Anh cất giọng là không ngồi im được anh ôii @Hoàng Dũng #minhngocbeauty #vulaci #hoangdung #ntpmm ,2025-06-02 10:27:03,02/06/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7511188378911673089,https://www.tiktok.com/@hoangminhngoc21/video/7511188344798317842,21,11000,117,177400,221,68,", minhngocbeauty, vulaci, hoangdung, ntpmm",False,False,hoangminhngoc21,False,False,False,0,4,12,0,1,0,0,0,0,False
"Điều ước trong vision board đã thành hiện thực rồi #minhngocbeauty #vulaci 
#innabello #innabellovietnam ",2025-06-01 20:15:38,01/06/2025,True,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7510968974826949393,https://www.tiktok.com/@hoangminhngoc21/video/7510968948871990536,76,6044,59,293500,231,143,"minhngocbeauty, vulaci, innabello, innabellovietnam",False,False,hoangminhngoc21,False,False,False,0,4,10,0,0,0,1,0,1,False
Tóc này nó châu Âu mà nó Âu Mỹ🥹 #minhngocbeauty #vulaci #xinhhoncungMinhNgoc #hairtutorial ,2025-06-01 12:40:46,01/06/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7510851921326902032,https://www.tiktok.com/@hoangminhngoc21/video/7510851728376384786,169,34500,1671,497400,11100,151,"minhngocbeauty, vulaci, xinhhoncungminhngoc, hairtutorial",False,False,hoangminhngoc21,False,False,False,1,4,9,0,0,1,0,0,1,False
Bắt gặp luôn được cô em @Chu Trang Anh ở quán cafe :)) quá đã #minhngocbeauty #vulaci #kyungLab #CushionKyungLab  ,2025-05-31 19:35:53,31/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7510587650492599041,https://www.tiktok.com/@hoangminhngoc21/video/7510587619101756679,89,180600,2294,2800000,9437,371,", minhngocbeauty, vulaci, kyunglab, cushionkyunglab",False,False,hoangminhngoc21,False,False,False,0,4,15,0,0,0,1,0,1,False
"Bạn bè gì tầm này, Tầm này chỉ còn Janus thôi 
#Yamaha #Janus125HoanToanMoi 
#MatchYourFreak #vulaci #minhngocbeauty ",2025-05-29 20:30:12,29/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7509859549055044368,https://www.tiktok.com/@hoangminhngoc21/video/7509859441290841352,91,5745,54,101500,173,46,"yamaha, janus125hoantoanmoi, matchyourfreak, vulaci, minhngocbeauty",False,False,hoangminhngoc21,False,False,False,0,5,11,0,0,0,1,0,0,False
"Thay đổi nhỏ trên nụ cười có thể thay đổi cả cuộc đời bạn!
#ColgateVN#ColgatePurpleSerum#PumpPurpleSmile #minhngocbeauty #vulaci ",2025-05-28 11:29:37,28/05/2025,True,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7509349120432179984,https://www.tiktok.com/@hoangminhngoc21/video/7509349057588923666,67,79500,817,7400000,3610,247,"colgatevn, colgatepurpleserum, pumppurplesmile, minhngocbeauty, vulaci",False,False,hoangminhngoc21,False,False,False,0,5,14,0,1,0,0,0,0,False
Bestie check phiên bản đồ makeup💕 🤌🏻 #minhngocbeauty #vulaci @Đức Anhh ,2025-05-27 10:09:10,27/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7508957290423372560,https://www.tiktok.com/@hoangminhngoc21/video/7508957231761591570,123,6963,104,112900,473,51,"minhngocbeauty, vulaci, ",False,False,hoangminhngoc21,False,False,False,2,2,8,0,1,0,0,0,0,False
Nhìn cái makeup cỡ mấy triệu đây :)) #minhngocbeauty #vulaci #REDCHAMBER ,2025-05-24 22:00:57,24/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7508027438727695121,https://www.tiktok.com/@hoangminhngoc21/video/7508027405974474002,99,13700,350,183900,1657,56,"minhngocbeauty, vulaci, redchamber",False,False,hoangminhngoc21,False,False,False,0,3,8,0,0,0,0,1,1,False
Câu chuyện hoàn toàn có thật k hề dàn dựng😀😀 #minhngocbeauty #vulaci  ,2025-05-22 18:38:59,22/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7507233302387657473,https://www.tiktok.com/@hoangminhngoc21/video/7507233187454651666,95,58500,433,902000,1038,96,"minhngocbeauty, vulaci",False,False,hoangminhngoc21,False,False,False,1,2,10,0,0,0,1,0,0,False
Lên ngay mẫu CapCut giật giật cho hội chị em đu nè🕺🏻🤌🏻 #minhngocbeauty #CapCut #vulaci ,2025-05-21 18:21:39,21/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7506857662517840657,https://www.tiktok.com/@hoangminhngoc21/video/7506857639066815752,14,14300,251,228300,577,80,"minhngocbeauty, capcut, vulaci",False,False,hoangminhngoc21,False,False,True,1,3,12,0,0,0,1,0,0,False
Trung bình 5 phút một lần :)) Hãy nói tôi không cô đơn đi các bà #minhngocbeauty #vulaci #3CEVN #glazyglow #3andChịEm #3CEPartner ,2025-05-18 20:14:55,18/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,son original - Hoàng Minh Ngọc,7505773595453393681,https://www.tiktok.com/@hoangminhngoc21/video/7505773569922665736,47,6973,213,142900,551,42,"minhngocbeauty, vulaci, 3cevn, glazyglow, 3andchịem, 3cepartner",False,False,hoangminhngoc21,False,False,False,0,6,16,0,0,0,1,0,1,False
"Hướng dẫn makeup kỉ yếu siêu chi tiết cho người mới bắt đầu, vừa xem vừa lấy đồ ra làm là đảm bảo make được nha #minhngocbeauty #vulaci #xinhhoncungMinhNgoc ",2025-05-14 19:41:14,14/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7504280954242534145,https://www.tiktok.com/@hoangminhngoc21/video/7504280551453429000,404,91800,4500,1200000,24700,493,"minhngocbeauty, vulaci, xinhhoncungminhngoc",False,False,hoangminhngoc21,False,False,True,0,3,26,0,0,0,1,0,0,False
Thay đổi cho chị Hiền Thay Đôi🤌🏻 layout này được mấy điểm ạ @Hiền Thay Đổi #minhngocbeauty #vulaci #hienthaydoi #xinhhoncungMinhNgoc ,2025-05-13 11:08:09,13/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7503777271938059024,https://www.tiktok.com/@hoangminhngoc21/video/7503777234012900626,65,140200,1381,1500000,2467,559,", minhngocbeauty, vulaci, hienthaydoi, xinhhoncungminhngoc",False,False,hoangminhngoc21,False,False,False,1,4,16,0,1,0,0,0,0,False
Không ngờ lại nhận được câu hỏi này từ 1 anh tài xế #minhngocbeauty #vulaci ,2025-05-12 19:36:46,12/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7503537335256500993,https://www.tiktok.com/@hoangminhngoc21/video/7503537227343957256,89,22200,114,264900,454,48,"minhngocbeauty, vulaci",False,False,hoangminhngoc21,False,False,False,0,2,13,0,0,0,1,0,0,False
Một đêm mãn nhãn vì concert quá nhiều visual và hét đã đời 🕺🏻#minhngocbeauty #vulaci #atsh #atshconcert #ngaongo ,2025-05-11 11:07:22,11/05/2025,False,https://www.tiktok.com/@hoangminhngoc21,nhạc nền - Hoàng Minh Ngọc,7503034936367041296,https://www.tiktok.com/@hoangminhngoc21/video/7503034865873489170,16,36400,848,356600,729,121,"minhngocbeauty, vulaci, atsh, atshconcert, ngaongo",False,False,hoangminhngoc21,False,False,True,1,5,13,0,1,0,0,0,1,False
