text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Cách gấp hộp phiếu bé ngoan #hopquathungsua  #hopbengoan #hufuholic  #vinaiuem  #thunghoaquamini ,2025-05-27 11:33:10,27/05/2025,False,https://www.tiktok.com/@hufureview,오리지널 사운드 - Jun S,7494182579361663760,https://www.tiktok.com/@hufureview/video/7508978881085361426,32,103,19,3961,20,2,"hopquathungsua, hopbengoan, hufuholic, vinaiuem, thunghoaquamini",False,False,hufureview,False,False,False,0,5,6,0,1,0,0,0,0,False
toner pad Abib siu lành tính 💚🧡#reviewlamdep #goclamdep #abib #tonerpad #makeuptips #makeuphacks ,2025-05-07 17:19:49,07/05/2025,True,https://www.tiktok.com/@hufureview,daylight sped up,7270945328504474400,https://www.tiktok.com/@hufureview/video/7501646507418946824,31,13,1,1170,0,1,"reviewlamdep, goclamdep, abib, tonerpad, makeuptips, makeuphacks",False,False,hufureview,False,False,False,1,6,6,0,0,1,0,0,0,False
Hướng dẫn gấp hộp đồng hồ #hufuholic  #vinaiuem #thunghoaquamini  #hopquathungsua  #hopdonghohf  #hopdongho #reviewlamdep ,2025-04-28 18:17:27,28/04/2025,False,https://www.tiktok.com/@hufureview,why by plave sped up ver,7237644868913335082,https://www.tiktok.com/@hufureview/video/7498321596038368520,62,182,20,8495,55,4,"hufuholic, vinaiuem, thunghoaquamini, hopquathungsua, hopdonghohf, hopdongho, reviewlamdep",False,False,hufureview,False,False,False,0,7,6,0,0,0,1,0,0,False
Hộp giữ chuỗi bản sinh nhật #vinaiuem  #thunghoaquamini  #hopquathungsua  #hopgiuchuoi  #goclamdep  #reviewlamdep #hufuholic ,2025-04-26 20:34:08,26/04/2025,False,https://www.tiktok.com/@hufureview,Đẹp lắm,7281281599180704513,https://www.tiktok.com/@hufureview/video/7497614642974428434,14,79,13,8113,6,1,"vinaiuem, thunghoaquamini, hopquathungsua, hopgiuchuoi, goclamdep, reviewlamdep, hufuholic",False,False,hufureview,False,False,False,0,7,6,0,0,0,1,0,1,False
Hộp vinaiuem đã có bản hồng dâu rồi nè #vinaiuem  #thunghoaquamini  #hopquathungsua #hopgiuchuoi #goclamdep  #reviewlamdep ,2025-04-22 15:12:50,22/04/2025,False,https://www.tiktok.com/@hufureview,why by plave sped up ver,7237644868913335082,https://www.tiktok.com/@hufureview/video/7496047499887611144,22,862,458,90500,261,40,"vinaiuem, thunghoaquamini, hopquathungsua, hopgiuchuoi, goclamdep, reviewlamdep",False,False,hufureview,False,False,False,0,6,9,0,0,1,0,0,0,False
Sữa dâu vinaiuem 🍓😆 #vinaiuem  #thunghoaquamini  #hopquathungsua  #hufuholic  #goclamdep ,2025-04-19 13:31:02,19/04/2025,False,https://www.tiktok.com/@hufureview,nhạc nền - NVT Remix,7479800654291094273,https://www.tiktok.com/@hufureview/video/7494908019206065416,0,597,179,14100,32,9,"vinaiuem, thunghoaquamini, hopquathungsua, hufuholic, goclamdep",True,False,hufureview,False,False,False,1,5,3,0,0,1,0,0,1,False
Hướng dẫn gập hộp giữ chuỗi #hufuholic  #reviewlamdep #thunghoaquamini  #hopquathungsua  #vinaiuem  #hopgiuchuoi ,2025-04-11 18:38:00,11/04/2025,False,https://www.tiktok.com/@hufureview,h o t c h o c o l a t e,7199080586936421147,https://www.tiktok.com/@hufureview/video/7492018448885632263,33,47500,23300,1000000,8895,477,"hufuholic, reviewlamdep, thunghoaquamini, hopquathungsua, vinaiuem, hopgiuchuoi",False,False,hufureview,False,False,False,0,6,6,0,0,0,1,0,0,False
Hộp quà vinaiuem #hufuholic #reviewlamdep  #goclamdep  #thunghoaquamini  #hopquathungsua  #vinaiuem ,2025-04-10 12:01:20,10/04/2025,False,https://www.tiktok.com/@hufureview,nhạc nền - 𝓛𝓮̂ 𝓗𝓾̛𝓷𝓰 𝓞𝓭𝓮𝓻🛍️🌷,7470078516856441616,https://www.tiktok.com/@hufureview/video/7491545127723273490,23,356,89,40300,127,11,"hufuholic, reviewlamdep, goclamdep, thunghoaquamini, hopquathungsua, vinaiuem",False,False,hufureview,False,False,False,0,6,3,0,0,1,0,0,0,False
Hộp quà thùng sữa thùng mì có đủ rồi nha #thunghoaquamini  #hopquathungsua  #vinaiuem  #goclamdep #hufuholic ,2025-04-02 16:21:51,02/04/2025,False,https://www.tiktok.com/@hufureview,âm thanh zô tri,7241045518235945734,https://www.tiktok.com/@hufureview/video/7488643576696458502,21,3662,951,324700,973,46,"thunghoaquamini, hopquathungsua, vinaiuem, goclamdep, hufuholic",False,False,hufureview,False,False,False,0,5,10,0,0,1,0,0,0,False
Hộp quà thùng giày đây #thunghoaquamini  #hopquathungsua #vinaiuem  #goclamdep  #hufuholic ,2025-03-16 10:29:06,16/03/2025,False,https://www.tiktok.com/@hufureview,nhạc nền - Radio Nước Mắt,7044472707404040961,https://www.tiktok.com/@hufureview/video/7482244234355985682,0,1125,221,22900,53,7,"thunghoaquamini, hopquathungsua, vinaiuem, goclamdep, hufuholic",True,False,hufureview,False,False,False,0,5,5,0,1,0,0,0,1,False
"Dầu gội Loreal có tốt không?
#daugoinauloreal #fullresist #lorealparishair #reviewlamdep #goclamdep ",2025-03-05 18:17:39,05/03/2025,True,https://www.tiktok.com/@hufureview,nhạc nền - Tấp vào lề🫡,7458202622529424145,https://www.tiktok.com/@hufureview/video/7478283044298919186,37,44,2,6544,5,0,"daugoinauloreal, fullresist, lorealparishair, reviewlamdep, goclamdep",False,False,hufureview,False,False,False,0,5,6,0,0,0,1,0,0,False
Thùng này là handmade nha mọi người ơi! #reviewlamdep  #goclamdep  #hufuholic #thunghoaquamini ,2025-02-26 15:00:28,26/02/2025,False,https://www.tiktok.com/@hufureview,nhạc nền - HH Music 🎧🍀,7388011963974535952,https://www.tiktok.com/@hufureview/video/7475634631295995143,22,12800,1190,448000,1248,117,"reviewlamdep, goclamdep, hufuholic, thunghoaquamini",False,False,hufureview,False,False,False,0,4,8,0,0,1,0,0,0,False
Thùng hoa quả mini đựng son đây #reviewlamdep  #goclamdep   #hufuholic #thunghoaquamini ,2025-02-24 14:50:07,24/02/2025,False,https://www.tiktok.com/@hufureview,nhạc nền - hiewtran,7471979564827937552,https://www.tiktok.com/@hufureview/video/7474889790094150920,17,103400,21100,3100000,13100,1701,"reviewlamdep, goclamdep, hufuholic, thunghoaquamini",False,False,hufureview,False,False,False,0,4,7,0,0,1,0,0,0,False
Thùng hoa quả mini của đáng iu quá đi 🍒🍓🍇 #reviewlamdep  #goclamdep  #hufuholic ,2025-02-22 16:08:30,22/02/2025,False,https://www.tiktok.com/@hufureview,Để Anh Lương Thiện (Remix #3),7447200809485338625,https://www.tiktok.com/@hufureview/video/7474167818204859666,0,190800,23300,2700000,14100,1846,"reviewlamdep, goclamdep, hufuholic",True,False,hufureview,False,False,False,1,3,9,0,0,1,0,0,1,False
Cách hết mụn đầu đen #reviewlamdep  #goclamdep  #skincare #skincaretips ,2025-02-13 21:16:16,13/02/2025,False,https://www.tiktok.com/@hufureview,nhạc nền - Hini Nguyen,7460347791798356753,https://www.tiktok.com/@hufureview/video/7470907378356145426,50,822,44,25700,287,3,"reviewlamdep, goclamdep, skincare, skincaretips",False,False,hufureview,False,False,False,0,4,5,0,0,0,1,0,0,False
Hướng dẫn tóc búi #reviewlamdep  #goclamdep  #makeup #tocdep ,2025-02-11 21:05:57,11/02/2025,False,https://www.tiktok.com/@hufureview,nhạc nền - Hini Nguyen,7460347791798356753,https://www.tiktok.com/@hufureview/video/7470162539331013896,9,137,1,5886,38,0,"reviewlamdep, goclamdep, makeup, tocdep",False,False,hufureview,False,False,False,0,4,4,0,0,0,1,0,0,False
Dasique không bao giờ làm tui thất vọng vì bao bì quá xinh @dasique Vietnam @Dasique Global #reviewlamdep #goclamdep #dasique ,2025-02-05 22:28:17,05/02/2025,False,https://www.tiktok.com/@hufureview,phonecert xuân hạ thu đông rồi lại xuân,7450835398537923345,https://www.tiktok.com/@hufureview/video/7467957246803135752,0,130,2,5349,7,0,", , reviewlamdep, goclamdep, dasique",True,False,hufureview,False,False,False,0,3,17,0,0,0,0,1,0,False
Cách dưỡng môi mùa đông #reviewlamdep #goclamdep  #duongda #duongmoi ,2025-01-08 21:14:14,08/01/2025,False,https://www.tiktok.com/@hufureview,phonecert xuân hạ thu đông rồi lại xuân,7450835398537923345,https://www.tiktok.com/@hufureview/video/7457547782178557202,46,40,1,3372,14,1,"reviewlamdep, goclamdep, duongda, duongmoi",False,False,hufureview,False,False,True,0,4,5,0,0,0,1,0,0,False
Bài tập chân thon 🫶 #reviewlamdep  #goclamdep  #duongda #baitapchanthon ,2024-12-27 20:03:52,27/12/2024,False,https://www.tiktok.com/@hufureview,Về Nhà Ăn Tết 2 Lê Bảo Remix,7330533423133494018,https://www.tiktok.com/@hufureview/video/7453076625941466376,31,37,2,2672,22,0,"reviewlamdep, goclamdep, duongda, baitapchanthon",False,False,hufureview,False,False,False,1,4,4,0,0,0,1,0,0,False
Cách quàng khăn đẹp #reviewlamdep  #goclamdep  #makeup #khanquangco ,2024-12-20 19:04:02,20/12/2024,False,https://www.tiktok.com/@hufureview,nhạc nền - Quỳnh Quỳnh🤍,7443807750661868289,https://www.tiktok.com/@hufureview/video/7450463605281033490,54,108,3,4183,46,1,"reviewlamdep, goclamdep, makeup, khanquangco",False,False,hufureview,False,False,False,0,4,4,0,0,0,1,0,0,False
