text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Một trong những phương án cho da dầu hè này. #luongdo #beautytok #reviewlamdep #goclamdep #KemPhanCurel #Kemphanduongda #Kemduong #CeramideCarePowder ,2025-06-06 15:17:12,06/06/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7512747502626458385,https://www.tiktok.com/@im.lukedo/video/7512747461337828616,75,1963,45,76700,293,63,"luongdo, beautytok, reviewlamdep, goclamdep, kemphancurel, kemphanduongda, kemduong, ceramidecarepowder",False,False,im.lukedo,False,False,False,0,8,10,0,0,1,0,0,0,False
Daily vlog #luongdo ,2025-05-30 16:16:45,30/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7510165385955248912,https://www.tiktok.com/@im.lukedo/video/7510165216663997703,84,592,3,30800,15,19,luongdo,False,False,im.lukedo,False,False,False,0,1,2,0,0,1,0,0,0,False
Sáp khử mùi Romano  #Sapkhumui72hRomano #domohoikhongdophongdo #luongdo ,2025-05-30 14:24:30,30/05/2025,True,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7510136316064647952,https://www.tiktok.com/@im.lukedo/video/7510136285521087751,53,707,40,164600,65,17,"sapkhumui72hromano, domohoikhongdophongdo, luongdo",False,True,im.lukedo,False,False,False,0,3,4,0,0,1,0,0,0,False
Một lý do khiến bạn mụn hoài không hết #luongdo #beautytok #reviewlamdep #goclamdep ,2025-05-28 14:13:47,28/05/2025,False,https://www.tiktok.com/@im.lukedo,She Share Story (for Vlog),6722656094272883458,https://www.tiktok.com/@im.lukedo/video/7509391360496012562,46,493,15,32700,28,28,"luongdo, beautytok, reviewlamdep, goclamdep",False,False,im.lukedo,False,False,False,0,4,9,0,0,1,0,0,0,False
Kcn kiềm dầu nâng tông nhà LRP đã trở lại với phiên bản cải tiến hơn. Mọi người còn nhớ em nó chứ? #luongdo #beautytok #reviewlamdep #goclamdep #larocheposay #larocheposayvn #larocheposaypartner #anthelios ,2025-05-15 20:19:14,15/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7504661472849578768,https://www.tiktok.com/@im.lukedo/video/7504661425957211410,78,3453,234,166700,565,698,"luongdo, beautytok, reviewlamdep, goclamdep, larocheposay, larocheposayvn, larocheposaypartner, anthelios",False,False,im.lukedo,False,False,False,0,8,23,0,0,0,1,0,0,False
"Nếu xử lí thâm mụn thì nên kết hợp đa hoạt chất nhé. Hợp thâm đen còn thâm đỏ mình chưa thấy hiệu quả mấy.  #luongdo #beautytok #reviewlamdep #serummelasylhong
#GlycolicMelasyl #lorealparis #lorealparispartner #lorealparisskin ",2025-05-13 20:01:27,13/05/2025,True,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7503914788926999297,https://www.tiktok.com/@im.lukedo/video/7503914675323587847,52,2592,77,324400,356,111,"luongdo, beautytok, reviewlamdep, serummelasylhong, glycolicmelasyl, lorealparis, lorealparispartner, lorealparisskin",False,True,im.lukedo,False,False,False,0,8,25,0,0,0,1,0,0,False
"Đánh giá dựa trên mắt thường ngoài thực tế
Top bảo vệ da trắng nhất
1 Innoskin xám
2 Biore aqua watery
 #luongdo #kemchongnang #beautytok #reviewlamdep ",2025-05-09 13:10:31,09/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - HD Remix,7415915165379119873,https://www.tiktok.com/@im.lukedo/video/7502324429033131271,0,6475,427,564900,1227,631,"luongdo, kemchongnang, beautytok, reviewlamdep",True,False,im.lukedo,False,False,False,0,4,22,0,0,1,0,0,0,True
"Thử nghiệm kem chống nắng được ưa chuộng hiện nay. Không khuyến khích cá nhân làm theo, kết quả mang tính chất tham khảo #luongdo #skincare #kemchongnang #beautytok #reviewlamdep ",2025-05-08 16:57:40,08/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7502011939334933265,https://www.tiktok.com/@im.lukedo/video/7502011881880669458,59,152800,16100,7800000,32500,3244,"luongdo, skincare, kemchongnang, beautytok, reviewlamdep",False,False,im.lukedo,False,False,False,0,5,24,0,0,1,0,0,0,True
"Mình nền da hỗn hợp thiên dầu, dễ lên mụn. Mọi review dựa trên trải nghiệm cá nhân, chỉ mang tính chất tham khảo. Các video review chi tiết từng kcn đã có sẵn trên kênh mn có thể xem kỹ hơn nhé #luongdo #skincare #kemchongnang ",2025-05-06 21:42:22,06/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7501343139329493777,https://www.tiktok.com/@im.lukedo/video/7501343076531670290,76,33300,1174,1700000,5126,1042,"luongdo, skincare, kemchongnang",False,False,im.lukedo,False,False,False,0,3,43,0,0,0,1,0,0,False
"Mình tóc dầu, dễ gàu, ngứa, hay vuốt sáp xịt keo và chơi thể thao. Đã dùng tới chai thứ 2, dù hơi đắt nhưng có hiệu quả với mình. Dù vẫn khô nhưng ít khô hơn những loại mình từng dùng . Review trên trải nghiệm cá nhân , chỉ mang tính chất tham khảo. #luongdo #vichyvn #haircare #mevsdandruff  ",2025-05-04 12:51:37,04/05/2025,False,https://www.tiktok.com/@im.lukedo,nhạc nền - Lương Đỗ,7500464364302977793,https://www.tiktok.com/@im.lukedo/video/7500464136053214471,82,1543,128,186800,338,55,"luongdo, vichyvn, haircare, mevsdandruff",False,False,im.lukedo,False,False,False,0,4,56,0,0,1,0,0,1,False
