text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Nyx LipIV worth the hype? 💄 #metub #itshale #nyxlipiv #lipiv #lipstain #makeuphacks ,2025-06-13 18:59:49,13/06/2025,False,https://www.tiktok.com/@itshale98,Anxiety,7474209817062574850,https://www.tiktok.com/@itshale98/video/7515402432575343880,28,45,0,1215,4,4,"metub, itshale, nyxlipiv, lipiv, lipstain, makeuphacks",False,False,itshale98,False,False,False,1,6,5,0,0,0,1,0,0,False
"Bí mật (mình) chưa từng kể của 1 cô gái 27 tuổi 🩷✌🏻 
#metub 
#itshale 
#coxanhchamda
#nuoctaytrang 
#biorevietnam 
#hoptaccungbioré ",2025-06-12 20:27:23,12/06/2025,False,https://www.tiktok.com/@itshale98,nhạc nền - HÀ LÊ,7515053958990269201,https://www.tiktok.com/@itshale98/video/7515053915390348551,150,1317,19,33800,31,27,"metub, itshale, coxanhchamda, nuoctaytrang, biorevietnam, hoptaccungbioré",False,False,itshale98,False,False,False,1,6,12,0,0,0,1,0,0,False
"Chị em toy gặp nhau lần đầu lúc em 19 chị 26, mà giờ đã em đã thành 27 tụi rồi huhuhu #metub #itshale #sisters @Phương Ly 😍😍😍",2025-06-09 21:02:50,09/06/2025,False,https://www.tiktok.com/@itshale98,Pretty Little Baby,7146370280443627521,https://www.tiktok.com/@itshale98/video/7513949792251219207,36,361,2,9884,9,13,"metub, itshale, sisters, ",False,False,itshale98,False,False,False,1,3,24,0,0,0,1,0,0,False
"1 ngày của ""em gái"" U30. Cuộc sống dạo này và update routine dưỡng da & làm chậm quá trình lão hoá 🌸🩷 #metub #itshale #pilates #dayinthelife #skincare #lorealparisskin #lorealparispartner @Sơn Luu ",2025-06-05 21:50:31,05/06/2025,False,https://www.tiktok.com/@itshale98,nhạc nền - HÀ LÊ,7512477830517689104,https://www.tiktok.com/@itshale98/video/7512477741824888072,127,445,5,8676,5,5,"metub, itshale, pilates, dayinthelife, skincare, lorealparisskin, lorealparispartner, ",False,False,itshale98,False,False,False,1,7,24,0,0,0,1,0,0,False
Tôi nói với các bác là Pilates tập đúng thì nặng không kém các môn khác đâu hiu hiu 🥹🌸. #metub #itshale #pilates #pilatesworkout #funny ,2025-06-05 18:05:37,05/06/2025,False,https://www.tiktok.com/@itshale98,nhạc nền - Tóc dài niền răn,7491221944923147025,https://www.tiktok.com/@itshale98/video/7512419789193612562,18,218,5,4095,7,8,"metub, itshale, pilates, pilatesworkout, funny",False,False,itshale98,False,False,False,1,5,20,0,0,0,1,0,0,False
Đồ tập mới thích toáaaa 🌸🫶🏻🫶🏻🥹 #metub #itshale #fitcheck #happy ,2025-06-03 18:15:38,03/06/2025,False,https://www.tiktok.com/@itshale98,Lover,7211414788360898561,https://www.tiktok.com/@itshale98/video/7511680193434553607,14,680,7,21000,16,16,"metub, itshale, fitcheck, happy",False,False,itshale98,False,False,False,1,4,5,0,0,0,1,0,0,False
Mỗi năm dedicated cho trường Hà Nội Arm 1 pốttt 🌸🥹😆 #metub #itshale #chaytheomuaha #hanoiamsterdam #hanoiamsterdamhighchool ,2025-05-31 16:51:24,31/05/2025,False,https://www.tiktok.com/@itshale98,nhạc nền - Schannelvn,7509099449768020737,https://www.tiktok.com/@itshale98/video/7510545231553498386,24,4639,27,58600,51,14,"metub, itshale, chaytheomuaha, hanoiamsterdam, hanoiamsterdamhighchool",False,False,itshale98,False,False,False,1,5,10,0,0,1,0,0,1,False
"Uống nước trước skincare sau ✌🏻✌🏻 
DISCLAIMER: da mình đang thử retinol mới nên hơi bong xíu hiuhiu #metub #itshale #uongnuocchua #skincare ",2025-05-30 19:32:45,30/05/2025,False,https://www.tiktok.com/@itshale98,Idyllic jazz bossa nova with piano and guitar(1298871),7146290607604893697,https://www.tiktok.com/@itshale98/video/7510215720609926407,50,169,1,5160,10,10,"metub, itshale, uongnuocchua, skincare",False,False,itshale98,False,False,False,1,4,17,0,0,0,1,0,0,False
TOTALLY WORTH IT!! 🌸🌸 #metub #itshale #shanghai #shanghaidisneyland #disneyland @Sơn Luu ,2025-05-29 19:19:54,29/05/2025,False,https://www.tiktok.com/@itshale98,original sound - babydamri,7437127285730609936,https://www.tiktok.com/@itshale98/video/7509841329531211016,34,2757,359,28500,95,23,"metub, itshale, shanghai, shanghaidisneyland, disneyland, ",False,False,itshale98,False,False,False,1,5,5,0,0,0,1,0,0,False
27 tủi nhưng tâm hồn mãi là embe 🌸 #metub #itshale ,2025-05-28 19:15:35,28/05/2025,False,https://www.tiktok.com/@itshale98,nhạc nền - Bao h có bạn zai thì đổi tên🤡,7504567651626388225,https://www.tiktok.com/@itshale98/video/7509469122829339922,21,782,4,12200,26,16,"metub, itshale",False,False,itshale98,False,False,False,1,2,8,0,0,0,1,0,0,False
VitC cho người mới thử lần đầu thì nên chọnnn sản phẩm gì? #metub #itshale #skincare #vitcchodanhaycam #lanhtinhchomoilanda #dearklairs ,2025-05-28 12:13:15,28/05/2025,False,https://www.tiktok.com/@itshale98,nhạc nền - HÀ LÊ,7509360333514607377,https://www.tiktok.com/@itshale98/video/7509360296318782728,118,240,8,8569,12,11,"metub, itshale, skincare, vitcchodanhaycam, lanhtinhchomoilanda, dearklairs",False,False,itshale98,False,False,False,0,6,13,0,0,1,0,0,0,False
Toy iu Disneyland và toi tiêu xiền cho Disneyland như thế nào 🥲🥲😭😭 #metub #itshale #disneyland #shanghaidisneyland #travel #shanghai @Sơn Luu ,2025-05-27 18:06:16,27/05/2025,False,https://www.tiktok.com/@itshale98,Old Disney Swing Jazz,6817568979012290561,https://www.tiktok.com/@itshale98/video/7509080183249308935,155,3162,203,38900,95,21,"metub, itshale, disneyland, shanghaidisneyland, travel, shanghai, ",False,False,itshale98,False,False,False,1,6,14,0,0,0,1,0,0,False
Get unready with tui ở Thượng Hải 🩷🌸✌🏻 #metub #itshale #shanghai #serumhatim #lorealparisskin #lorealparispartner #travel ,2025-05-26 20:15:22,26/05/2025,False,https://www.tiktok.com/@itshale98,somebody pleasure x angel baby,7310386884164029190,https://www.tiktok.com/@itshale98/video/7508742369458539794,104,572,10,25300,19,26,"metub, itshale, shanghai, serumhatim, lorealparisskin, lorealparispartner, travel",False,False,itshale98,False,False,False,1,7,7,0,0,0,1,0,0,False
"Get ready with toyy đi Disneylandd Shanghai 🌸🌸 #metub #itshale #grwm #disneyland #shanghai 
#drceuracle #kombuchatoner #vtoxyourskin #kemchongnangdadaumun ",2025-05-23 19:42:50,23/05/2025,True,https://www.tiktok.com/@itshale98,nhạc nền - HÀ LÊ,7507620968186727184,https://www.tiktok.com/@itshale98/video/7507620725910506760,177,315,2,10300,19,11,"metub, itshale, grwm, disneyland, shanghai, drceuracle, kombuchatoner, vtoxyourskin, kemchongnangdadaumun",False,False,itshale98,False,False,False,1,9,7,0,0,0,1,0,0,False
