text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
,2025-06-13 18:48:06,13/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - 🫧Siu đẹp gái🫧,7462987132157184784,https://www.tiktok.com/@jjhahehi/video/7515399411300666632,15,1406,1,9648,28,40,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,0,False
🎠,2025-06-12 18:20:21,12/06/2025,False,https://www.tiktok.com/@jjhahehi,sonido original,7284473472046746373,https://www.tiktok.com/@jjhahehi/video/7515021179954990343,17,10200,121,95700,227,74,,False,False,jjhahehi,False,False,False,1,0,0,0,0,0,1,0,0,False
Mê chiếc trend này,2025-06-11 18:10:05,11/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Quất Tử 橘子,7512842351078542096,https://www.tiktok.com/@jjhahehi/video/7514647450657754376,8,259500,4512,2800000,8513,816,,False,False,jjhahehi,False,False,False,0,0,4,0,0,0,1,0,0,False
,2025-06-10 09:21:52,10/06/2025,False,https://www.tiktok.com/@jjhahehi,Tuấn music,7358677003488201473,https://www.tiktok.com/@jjhahehi/video/7514140226831371527,20,8059,47,125100,206,58,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0,False
Khối nghỉ hè,2025-06-09 16:46:22,09/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - nhatdz,7435494822603311873,https://www.tiktok.com/@jjhahehi/video/7513883694407404807,14,296600,18900,3700000,14900,1440,,False,False,jjhahehi,False,False,True,0,0,3,0,0,1,0,0,0,False
,2025-06-07 18:17:50,07/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7513165140422953745,https://www.tiktok.com/@jjhahehi/video/7513165101034196231,19,3395,16,81400,66,25,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,1,False
Tắm nắng ☀️,2025-06-05 11:50:55,05/06/2025,False,https://www.tiktok.com/@jjhahehi,original sound,7399755528731233066,https://www.tiktok.com/@jjhahehi/video/7512323206485789960,14,35300,2603,526700,3039,150,,False,False,jjhahehi,False,False,False,1,0,3,0,1,0,0,0,0,False
Lục đục tại một gia đình nọ,2025-06-04 15:42:14,04/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Nguyễn Văn Giàu ,7022573187170978586,https://www.tiktok.com/@jjhahehi/video/7512011742713597202,14,20600,723,235200,806,139,,False,False,jjhahehi,False,False,False,0,0,7,0,0,1,0,0,0,False
Haha,2025-06-03 22:02:05,03/06/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Yubisaki,7167896871627754267,https://www.tiktok.com/@jjhahehi/video/7511738547792121096,17,6194,44,89400,231,77,,False,False,jjhahehi,False,False,False,0,0,1,0,0,0,0,1,0,False
,2025-06-02 11:11:18,02/06/2025,False,https://www.tiktok.com/@jjhahehi,original sound - Mai Vân Trang,7320671767000419074,https://www.tiktok.com/@jjhahehi/video/7511199752327892232,26,2432,9,63400,64,30,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0,False
,2025-06-01 13:39:21,01/06/2025,False,https://www.tiktok.com/@jjhahehi,Anh vui_Ducth x ThahTrung Remix,7506111975697468176,https://www.tiktok.com/@jjhahehi/video/7510866826725707015,18,9470,119,103000,312,77,,False,False,jjhahehi,False,False,False,0,0,0,0,0,1,0,0,1,False
,2025-05-29 19:15:59,29/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7509840371787041537,https://www.tiktok.com/@jjhahehi/video/7509840320700435720,18,22500,232,247800,1430,64,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,0,False
,2025-05-28 18:56:20,28/05/2025,False,https://www.tiktok.com/@jjhahehi,"Hãy Xem Là Giấc Mơ - Remix, Short Version",7179899261335668737,https://www.tiktok.com/@jjhahehi/video/7509464166743198994,21,12400,206,168800,624,60,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,0,False
,2025-05-24 13:01:00,24/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Ngọcc͒☆🄶iunn̠ϟཽ,7428951982922042113,https://www.tiktok.com/@jjhahehi/video/7507888258081099015,28,44400,1314,363200,2291,147,,False,False,jjhahehi,False,False,False,0,0,0,0,0,1,0,0,1,False
"Coconut Cold Brew, một loại đồ uống giải khát tuyệt vời ngày hè: ít calo, hỗ trợ g.c (giảm thèm ăn vặt), tăng trao đổi chất và nhiều lợi ích nhỏ có lợi cho sức khoẻ khác... #tama #coldbrew  ",2025-05-23 11:48:02,23/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7507498477120375568,https://www.tiktok.com/@jjhahehi/video/7507498375852363026,31,6289,45,156400,325,32,"tama, coldbrew",False,False,jjhahehi,False,False,False,0,2,37,0,1,0,0,0,0,False
Chăm sóc da từ sâu bên trong để đạt tới một nền da khoẻ #tama #beplain #PDRN ,2025-05-22 19:00:58,22/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7507238883508652817,https://www.tiktok.com/@jjhahehi/video/7507238853896441106,67,2327,15,91200,143,37,"tama, beplain, pdrn",False,False,jjhahehi,False,False,False,0,3,14,0,0,0,1,0,0,False
,2025-05-19 19:54:34,19/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - 𝓚𝓣𝓝༒,7211066319788182299,https://www.tiktok.com/@jjhahehi/video/7506139413949287688,19,179000,5822,1400000,9658,847,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,0,False
Sẽ có lúc mấy bà cần đó nha,2025-05-18 18:48:44,18/05/2025,True,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7505751437478923009,https://www.tiktok.com/@jjhahehi/video/7505751360726437127,49,53700,1893,1400000,7110,422,,False,True,jjhahehi,False,False,False,0,0,8,0,0,0,1,0,1,False
,2025-05-17 11:08:45,17/05/2025,False,https://www.tiktok.com/@jjhahehi,suara asli - 𝓝𝓪𝓽𝓪𝓪🌷♡☆°•,7495356317885123333,https://www.tiktok.com/@jjhahehi/video/7505261726623993096,26,13000,270,193800,419,63,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,1,False
Cố chấp để được gì,2025-05-16 19:03:06,16/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Nie,7393241700195486480,https://www.tiktok.com/@jjhahehi/video/7505012891154697480,19,13000,204,197200,548,70,,False,False,jjhahehi,False,False,False,0,0,5,0,0,0,1,0,0,False
,2025-05-16 10:16:29,16/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - thuong_htm🩰🎀,7503204228711287569,https://www.tiktok.com/@jjhahehi/video/7504877168225291538,21,89900,2510,850600,2933,289,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0,False
,2025-05-14 11:17:53,14/05/2025,False,https://www.tiktok.com/@jjhahehi,nhạc của minh én,7491177135428602625,https://www.tiktok.com/@jjhahehi/video/7504150833269951752,18,33900,478,428600,1215,202,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0,False
"Kích mí to sẽ giúp các layout make của mấy bà được nét hơn rất nhiều đó, thử liền nhaa #mlendiary #kichmimlendiary ",2025-05-13 18:55:11,13/05/2025,True,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7503897638854052624,https://www.tiktok.com/@jjhahehi/video/7503897594070846728,91,7853,75,174600,518,21,"mlendiary, kichmimlendiary",False,False,jjhahehi,False,False,False,0,2,20,0,0,0,1,0,0,False
Tip chụp màu film chuyên nghiệp nhưng chỉ cần điện thoại 📸,2025-05-11 11:12:54,11/05/2025,True,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7503036383859804929,https://www.tiktok.com/@jjhahehi/video/7503036295191481618,34,295000,13300,7500000,53100,1229,,False,True,jjhahehi,False,False,False,1,0,11,0,1,0,0,0,1,False
Cái vibe của cổ 🙆🏻‍♀️ #adrianalima #tama ,2025-05-07 20:20:08,07/05/2025,False,https://www.tiktok.com/@jjhahehi,suara asli,7467517767416056577,https://www.tiktok.com/@jjhahehi/video/7501692976293301511,14,399900,5328,4300000,10700,1134,"adrianalima, tama",False,False,jjhahehi,False,False,False,2,2,5,0,0,0,1,0,0,False
,2025-05-05 14:35:42,05/05/2025,False,https://www.tiktok.com/@jjhahehi,original sound - lynne,7490403454546692869,https://www.tiktok.com/@jjhahehi/video/7500862032669986056,15,81700,685,1300000,1282,251,,False,False,jjhahehi,False,False,False,0,0,0,0,0,1,0,0,0,False
"Hôm nay, có một cô thiếu nữ tung tăng nhảy dưới ánh nắng chiều nhẹ nhàng, bầu trời trong xanh cùng hương bông lúa nhè nhẹ cuốn theo từng làn gió mát. Giây phút đó trái tim cô gái ấy rung động thốt lên: ""ôi! thật biết ơn làm sao 🇻🇳...""",2025-05-02 19:50:55,02/05/2025,False,https://www.tiktok.com/@jjhahehi,original sound - 音乐馆🎶,7499075256854907649,https://www.tiktok.com/@jjhahehi/video/7499830022602116360,16,68200,1293,1200000,3994,1073,,False,False,jjhahehi,False,False,False,1,0,51,0,0,0,1,0,0,False
"Thuộc về cơ thể, đừng chỉ thích. Hãy yêu thật bằng cách vượt qua tất cả sự cám dỗ #tama #haircare ",2025-04-28 18:31:21,28/04/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Tama,7498325313002523409,https://www.tiktok.com/@jjhahehi/video/7498325174899526920,50,9667,64,395800,379,113,"tama, haircare",False,False,jjhahehi,False,False,False,0,2,19,0,0,0,1,0,0,False
,2025-04-26 19:59:02,26/04/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - quỳnh châm,7497113991316114193,https://www.tiktok.com/@jjhahehi/video/7497605597647490322,14,626800,24700,6700000,39100,3713,,False,False,jjhahehi,False,False,False,0,0,0,0,0,0,1,0,1,False
,2025-04-26 11:21:46,26/04/2025,False,https://www.tiktok.com/@jjhahehi,Đắng Cay Tuổi Đôi Mươi,7486112372193561360,https://www.tiktok.com/@jjhahehi/video/7497472287378050322,14,49400,684,576900,1678,176,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,1,False
Trái tim đã mang tổn thương...,2025-04-25 17:38:27,25/04/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - ND Music🎧,7403348913778232080,https://www.tiktok.com/@jjhahehi/video/7497198286344949000,23,58400,761,804800,1627,296,,False,False,jjhahehi,False,False,False,0,0,6,0,0,1,0,0,0,False
,2025-04-24 11:59:14,24/04/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Văn Sang,7494391248649472785,https://www.tiktok.com/@jjhahehi/video/7496739769142070546,23,56600,2510,675900,4647,247,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0,False
Lâu rùi hong quậy,2025-04-23 21:57:02,23/04/2025,False,https://www.tiktok.com/@jjhahehi,original sound - gilbertbongcawil,7409894139090733825,https://www.tiktok.com/@jjhahehi/video/7496522756553477383,10,181100,3975,2200000,9688,832,,False,False,jjhahehi,False,False,False,0,0,4,0,0,0,1,0,0,False
,2025-04-23 10:52:17,23/04/2025,False,https://www.tiktok.com/@jjhahehi,nhạc nền - Le Minh,7404480281543002897,https://www.tiktok.com/@jjhahehi/video/7496351450130435346,15,18200,423,227800,771,86,,False,False,jjhahehi,False,False,False,0,0,0,0,1,0,0,0,0,False
