text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Cứ thế thôi hẹ hẹ #tiktok #beplain #dulich ,2025-06-11 18:49:24,11/06/2025,False,https://www.tiktok.com/@kimchungphan20,Funny,6927016038370428930,https://www.tiktok.com/@kimchungphan20/video/7514657577691565330,90,12000,102,207700,259,120,"tiktok, beplain, dulich",False,False,kimchungphan20,False,False,False,0,3,5,0,0,0,1,0,0,False
Mong mn hiểu! 🤍,2025-06-10 16:34:59,10/06/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - Đann Lê🍭,7327891245611453185,https://www.tiktok.com/@kimchungphan20/video/7514251847088065800,0,16600,1780,392300,325,288,,True,False,kimchungphan20,False,False,False,1,0,3,0,0,1,0,0,0,False
Cmt 🤡,2025-06-08 18:34:24,08/06/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - nhatdz,7435494822603311873,https://www.tiktok.com/@kimchungphan20/video/7513540457868070162,12,52000,420,1300000,980,157,,False,False,kimchungphan20,False,False,False,1,0,1,0,0,0,1,0,1,False
!,2025-06-07 19:55:29,07/06/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - Thương,7372213491022695169,https://www.tiktok.com/@kimchungphan20/video/7513190268884028680,17,9615,72,172300,263,26,,False,False,kimchungphan20,False,False,False,0,0,1,0,0,0,1,0,1,False
Hẹ hẹ #unboxing ,2025-06-06 18:49:59,06/06/2025,False,https://www.tiktok.com/@kimchungphan20,Funny,6927016038370428930,https://www.tiktok.com/@kimchungphan20/video/7512802302277799175,150,7631,112,212400,126,125,unboxing,False,False,kimchungphan20,False,False,False,0,1,2,0,0,0,1,0,0,False
Quên ắpp 🤡 #comem #daugoithiennhien #daugoidautam #rungtoc ,2025-06-05 20:12:10,05/06/2025,True,https://www.tiktok.com/@kimchungphan20,Meow number 16 - The kitten's nose,7439765609816590337,https://www.tiktok.com/@kimchungphan20/video/7512452397487099154,86,12000,89,376600,309,21,"comem, daugoithiennhien, daugoidautam, rungtoc",False,False,kimchungphan20,False,False,False,1,4,2,0,0,0,1,0,0,False
:),2025-06-04 21:00:59,04/06/2025,False,https://www.tiktok.com/@kimchungphan20,Shake It To The Max (FLY) (Remix),7468711641658525713,https://www.tiktok.com/@kimchungphan20/video/7512093887805082887,13,11500,101,202000,232,107,,False,False,kimchungphan20,False,False,False,0,0,1,0,0,0,1,0,0,False
Thậc là tuỵtt🇨🇳 #guangzhou #tiktok ,2025-06-01 19:53:30,01/06/2025,False,https://www.tiktok.com/@kimchungphan20,Coffee and Chords,7393252024915560449,https://www.tiktok.com/@kimchungphan20/video/7510963246933953810,109,7851,85,166400,409,135,"guangzhou, tiktok",False,False,kimchungphan20,False,False,False,1,2,3,0,0,0,1,0,1,False
Lẹt goo🇨🇳  #INNO #INNOYO #maysaytoc,2025-05-29 18:26:01,29/05/2025,True,https://www.tiktok.com/@kimchungphan20,"Funny video ""Carmen Prelude"" Arranging weakness(836530)",6850125286504138753,https://www.tiktok.com/@kimchungphan20/video/7509827449027366151,88,7476,60,216800,260,37,"inno, innoyo, maysaytoc",False,False,kimchungphan20,False,False,False,1,3,2,0,0,0,1,0,0,False
Ờ!,2025-05-26 19:42:02,26/05/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - Andree Right Hand,7504304674187938577,https://www.tiktok.com/@kimchungphan20/video/7508733775635909896,13,6560,60,155900,121,15,,False,False,kimchungphan20,False,False,False,0,0,1,0,0,0,1,0,0,False
#kcpadc ,2025-05-24 16:24:19,24/05/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - thuong_htm🩰🎀,7503204228711287569,https://www.tiktok.com/@kimchungphan20/video/7507940652349541639,21,85400,1185,1300000,1207,1309,kcpadc,False,False,kimchungphan20,False,False,False,0,1,0,0,0,1,0,0,1,False
Ao chìnhh🤓 #catchlagapgau #trending #tiktok #kcpadc ,2025-05-23 19:31:57,23/05/2025,False,https://www.tiktok.com/@kimchungphan20,Funny,6927016038370428930,https://www.tiktok.com/@kimchungphan20/video/7507617915840023826,102,7568,164,192100,136,32,"catchlagapgau, trending, tiktok, kcpadc",False,False,kimchungphan20,False,False,False,1,4,2,0,0,0,1,0,0,False
Đại đại đii =))  #dog #happybirthday #trending ,2025-05-22 17:31:36,22/05/2025,False,https://www.tiktok.com/@kimchungphan20,Funny,6927016038370428930,https://www.tiktok.com/@kimchungphan20/video/7507215824101395720,106,28400,1818,440800,576,100,"dog, happybirthday, trending",False,False,kimchungphan20,False,False,False,0,3,4,0,0,1,0,0,0,False
Top 1: iu bản thân🎨🖌️ #art ,2025-05-19 22:19:44,19/05/2025,False,https://www.tiktok.com/@kimchungphan20,original sound - urfavmusic,7448898103739976464,https://www.tiktok.com/@kimchungphan20/video/7506176811139681554,76,23200,532,521800,1313,386,art,False,False,kimchungphan20,False,False,False,1,1,5,0,0,0,0,1,0,False
Iêm xinhh❤️‍🔥 @Trần Huyền Châu ,2025-05-16 20:18:07,16/05/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - Thảo Nhi 𐙚,7497386576998042385,https://www.tiktok.com/@kimchungphan20/video/7505032219681901842,14,13500,144,262000,314,45,,False,False,kimchungphan20,False,False,False,2,0,5,0,0,0,1,0,0,False
Đôi tai ấy… ,2025-05-13 16:48:01,13/05/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - Thảo Nhi 𐙚,7497386576998042385,https://www.tiktok.com/@kimchungphan20/video/7503864821004209416,15,8128,37,223700,122,41,,False,False,kimchungphan20,False,False,False,0,0,3,0,0,1,0,0,0,False
Đại đại đii =)) #unboxing #sea ,2025-05-12 19:39:29,12/05/2025,False,https://www.tiktok.com/@kimchungphan20,Funny,6927016038370428930,https://www.tiktok.com/@kimchungphan20/video/7503537929378139410,210,28700,327,756800,880,480,"unboxing, sea",False,False,kimchungphan20,False,False,False,0,2,4,0,0,0,1,0,0,False
Phông bạt trọn gói 👹 #pickleball ,2025-05-10 17:46:00,10/05/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - Chiu.Chiu.,7447047116712708881,https://www.tiktok.com/@kimchungphan20/video/7502766505797602578,14,40600,254,961600,641,120,pickleball,False,False,kimchungphan20,False,False,False,1,1,4,0,0,1,0,0,1,False
Nói gì đi keoo~📸 #mayanh #ricoh #fuji ,2025-05-08 19:15:14,08/05/2025,False,https://www.tiktok.com/@kimchungphan20,Coffee and Chords,7393252024915560449,https://www.tiktok.com/@kimchungphan20/video/7502047342258949394,51,39400,4399,702300,5624,258,"mayanh, ricoh, fuji",False,False,kimchungphan20,False,False,False,1,3,4,0,0,0,1,0,0,False
Có thể là ghiền luônn #NIVEA #SangSắcSáng  #suaduongthenivea ,2025-05-06 19:23:14,06/05/2025,True,https://www.tiktok.com/@kimchungphan20,Funny,6927016038370428930,https://www.tiktok.com/@kimchungphan20/video/7501307227790150930,83,12300,119,333100,689,56,"nivea, sangsắcsáng, suaduongthenivea",False,False,kimchungphan20,False,False,False,0,3,5,0,0,0,1,0,0,False
Cay 🥵 #nuocgiat #joykity ,2025-04-20 19:00:35,20/04/2025,True,https://www.tiktok.com/@kimchungphan20,Funny lazy donkey (hilarious song)(937200),6906958480403105793,https://www.tiktok.com/@kimchungphan20/video/7495364013480791304,68,16900,730,527600,261,99,"nuocgiat, joykity",False,False,kimchungphan20,False,False,False,1,2,1,0,0,0,1,0,1,False
Tôi là nẹn nhânn…. #kimchungphan #xuhuong ,2025-04-15 18:45:25,15/04/2025,False,https://www.tiktok.com/@kimchungphan20,"Funny video ""Carmen Prelude"" Arranging weakness(836530)",6850125286504138753,https://www.tiktok.com/@kimchungphan20/video/7493504694334000391,78,5377,39,215000,318,41,"kimchungphan, xuhuong",False,False,kimchungphan20,False,False,False,0,2,4,0,0,0,1,0,0,False
❤️‍🔥,2025-04-13 19:30:51,13/04/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - Williams [HL] 🖤,7239736859429899014,https://www.tiktok.com/@kimchungphan20/video/7492774233760730386,24,12000,114,228900,435,68,,False,False,kimchungphan20,False,False,False,2,0,1,0,0,0,1,0,1,False
Lời nhảy trong đầu 🐰,2025-04-09 23:34:24,09/04/2025,False,https://www.tiktok.com/@kimchungphan20,Ang Ganda Mo,6919007161234311938,https://www.tiktok.com/@kimchungphan20/video/7491352641231015175,15,51100,2567,902600,962,134,,False,False,kimchungphan20,False,False,False,1,0,4,0,0,0,0,1,0,False
Cà lem là gì z :)) ,2025-04-07 16:29:26,07/04/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - 𝙉𝙞 𝙘ô 𝙡𝙖𝙞 𝘽𝘿,7483020284518337297,https://www.tiktok.com/@kimchungphan20/video/7490500950604483845,14,35000,248,680900,469,101,,False,False,kimchungphan20,False,False,False,0,0,6,0,0,1,0,0,0,False
Nói thiệc điii… #family #vlog #kimchungphan ,2025-04-02 19:46:00,02/04/2025,False,https://www.tiktok.com/@kimchungphan20,"Funny video ""Carmen Prelude"" Arranging weakness(836530)",6850125286504138753,https://www.tiktok.com/@kimchungphan20/video/7488696190813588741,117,12500,138,266400,305,59,"family, vlog, kimchungphan",False,False,kimchungphan20,False,False,False,0,3,3,0,0,0,1,0,0,False
Gia Đình là tất cả🤍 #family #xuhuong ,2025-04-01 19:55:43,01/04/2025,False,https://www.tiktok.com/@kimchungphan20,hai mươi hai (22),7100419662684358657,https://www.tiktok.com/@kimchungphan20/video/7488327609919491383,27,5382,35,183300,106,25,"family, xuhuong",False,False,kimchungphan20,False,False,False,1,2,5,0,0,0,1,0,0,False
Cũng xì layy 💃🏻 @YouthPower #outfit #xuhuong ,2025-03-28 20:12:10,28/03/2025,False,https://www.tiktok.com/@kimchungphan20,nhạc nền - 𝙏𝙝𝙚 𝙌𝙪𝙤𝙘,7475312342566390544,https://www.tiktok.com/@kimchungphan20/video/7486847505032908038,32,3387,65,158800,286,27,", outfit, xuhuong",False,False,kimchungphan20,False,False,False,1,2,4,0,0,0,1,0,0,False
