text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Được sinh ra trên mảnh đất Việt Nam với mình là một điều vô cùng may mắn 🇻🇳
Ở đất nước mình, dù bất cứ đâu, bất cứ hoàn cảnh nào, bà con mình vẫn luôn có nhau.
Qua chương trình: Mái Ấm Gia Đình Việt, mình càng tin rằng: không ai cô đơn cả. Chúng ta luôn có nhau, đồng bào, đồng đội, đồng hành.
Chúng ta hãy tục sống, tiếp tục yêu thương và lan tỏa những điều thật đẹp.
#MaiAmGiaDinhViet #BeeComm",2025-06-13 15:12:09,13/06/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Linn lin,7496781754910231313,https://www.tiktok.com/@lebong95/video/7515343761400958226,15,4367,28,43800,96,29,"maiamgiadinhviet, beecomm",False,False,lebong95,False,False,True,1,2,81,0,0,1,0,0,0,False
🇻🇳 Chung kết Robocon 2025 🤖. Chúc các đội Tự tin - Chiến thắng ✨  #Robocon #VTV ,2025-06-13 14:17:31,13/06/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7515329706792340241,https://www.tiktok.com/@lebong95/video/7515329676693327111,45,5364,108,137800,83,84,"robocon, vtv",False,False,lebong95,False,False,False,3,2,13,0,0,1,0,0,0,False
Tôi trước mỗi trận Robocon 🤖 ,2025-06-12 22:13:04,12/06/2025,False,https://www.tiktok.com/@lebong95,original sound - lamaradacullo,7479780512090557185,https://www.tiktok.com/@lebong95/video/7515081146808552711,14,2899,15,58700,39,48,,False,False,lebong95,False,False,True,1,0,5,0,0,0,0,1,0,False
🇻🇳 Hẹn 19h tối nay gặp gỡ cả nhà iu tại #ROBOCON #VTV2 🤖,2025-06-12 15:55:57,12/06/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7514983991175432976,https://www.tiktok.com/@lebong95/video/7514983953963502866,59,707,4,18000,14,19,"robocon, vtv2",False,False,lebong95,False,False,False,2,2,10,0,0,1,0,0,0,False
Các chiến binh tại Robocon 2025 🤖#Robocon #VTV ,2025-06-10 13:42:48,10/06/2025,False,https://www.tiktok.com/@lebong95,suara asli - Zul Kifli,7510928755968215809,https://www.tiktok.com/@lebong95/video/7514207472853224712,13,9140,142,269700,154,58,"robocon, vtv",False,False,lebong95,False,False,False,1,2,6,0,0,1,0,0,0,False
🇻🇳🦋🫶🏻 #DeMenPhieuLuuKy #NgonNguKyHieu #ProudVietNam ,2025-06-06 17:16:47,06/06/2025,True,https://www.tiktok.com/@lebong95,original sound - Le bong,7512778308560358145,https://www.tiktok.com/@lebong95/video/7512778274347732242,42,93500,1421,5200000,1893,459,"demenphieuluuky, ngonngukyhieu, proudvietnam",False,False,lebong95,False,False,False,1,3,0,0,0,1,0,0,0,False
5:20am 🎨 🌻☀️ #Motivation ,2025-06-02 13:35:53,02/06/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7511237037509446417,https://www.tiktok.com/@lebong95/video/7511237009013493010,15,16300,92,259800,302,77,motivation,False,False,lebong95,False,False,False,2,1,2,0,0,1,0,0,0,False
Chúc các cậu có 1 kỳ nghỉ hè đầy ắp niềm vui với những kỷ niệm rực rỡ ✨ #VTV3 #MuaHeLapLanh #TetThieuNhi #CapCut ,2025-06-01 21:08:44,01/06/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Mộc Lam,7503580848499739409,https://www.tiktok.com/@lebong95/video/7510982627554266386,31,2621,12,67100,76,52,"vtv3, muahelaplanh, tetthieunhi, capcut",False,False,lebong95,False,False,True,1,4,18,0,0,0,1,0,1,False
🎤 Cảm ơn chị @huyen.chi.v đã hướng dẫn em lồng tiếng phim hoạt hình Dế Mèn Phiêu Lưu Ký 🇻🇳 @Ali Thục Phương  #DeMenPhieuLuuKy #ProudVietNam,2025-05-25 08:17:09,25/05/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7508191378480892689,https://www.tiktok.com/@lebong95/video/7508186189350882568,49,302500,2280,5000000,7435,861,", demenphieuluuky, proudvietnam",False,False,lebong95,False,False,False,2,2,21,0,1,0,0,0,1,False
📖 #StudyWithMe #DolEnglish ,2025-05-23 18:56:20,23/05/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7507608769325452033,https://www.tiktok.com/@lebong95/video/7507608741198515463,15,27900,194,539200,649,203,"studywithme, dolenglish",False,False,lebong95,False,False,False,1,2,0,0,0,0,1,0,0,False
🤖 #Robocon #VTV2 ,2025-05-21 20:22:43,21/05/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7506888871670582032,https://www.tiktok.com/@lebong95/video/7506888838753570055,16,29900,105,612100,380,104,"robocon, vtv2",False,False,lebong95,False,False,False,1,2,0,0,0,0,1,0,0,False
#DeMenPhieuLuuKy #NgonNguKyHieu ,2025-05-12 20:48:07,12/05/2025,True,https://www.tiktok.com/@lebong95,nhạc nền - TjjV8OtZ,7503130247273958145,https://www.tiktok.com/@lebong95/video/7503555614723919122,20,44700,311,922700,929,300,"demenphieuluuky, ngonngukyhieu",False,False,lebong95,False,False,False,0,2,0,0,0,0,1,0,0,False
🇻🇳🛳️🌊 #TruongSa #HoaBinhDepLam ,2025-05-09 18:22:31,09/05/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Hoa Hướng Dương,7411132953252956929,https://www.tiktok.com/@lebong95/video/7502404838790106376,12,18100,81,377700,308,132,"truongsa, hoabinhdeplam",False,False,lebong95,False,False,False,2,2,1,0,0,0,1,0,0,False
"🇻🇳 Xin cúi đầu, kính cẩn nghiêng mình trước anh linh các chiến sĩ Gạc Ma 🙏🏻.
Chúng con nguyện tiếp bước, gìn giữ biển trời quê hương 🛳️🌊. #TruongSa #HoaBinhDepLam ",2025-05-09 14:59:31,09/05/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Mluu,7481999553776995073,https://www.tiktok.com/@lebong95/video/7502352518421171464,22,15600,165,264500,353,98,"truongsa, hoabinhdeplam",False,False,lebong95,False,False,True,4,2,28,0,0,1,0,0,0,False
🇻🇳 Ngắm nhìn vòi rồng từ Nhà Giàn DK1 🛳️🌊 #TruongSa #HoaBinhDepLam ,2025-05-08 19:49:35,08/05/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - BƠ,7485922147320302353,https://www.tiktok.com/@lebong95/video/7502056191393025298,16,37900,292,579400,727,146,"truongsa, hoabinhdeplam",False,False,lebong95,False,False,False,3,2,9,0,0,0,1,0,0,False
🇻🇳 Cảm ơn tình cảm của các chiến sĩ tại Đảo Sinh Tồn - Trường Sa 🛳️ #HoaBinhDepLam #TruongSa ,2025-05-06 19:11:38,06/05/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Hoa Hướng Dương,7411132953252956929,https://www.tiktok.com/@lebong95/video/7501304235603070216,10,32000,172,482400,548,115,"HoaBinhDepLam, TruongSa",False,False,lebong95,False,False,False,2,2,16,0,0,0,1,0,0,False
Khám phá làng nghề may cờ Tổ quốc #Lofcascara #cascara #travocaphe,2025-05-05 14:12:20,05/05/2025,True,https://www.tiktok.com/@lebong95,original sound - Le bong,7500856071650151184,https://www.tiktok.com/@lebong95/video/7500856022144240914,63,32100,394,4000000,870,228,"lofcascara, cascara, travocaphe",False,False,lebong95,False,False,False,0,3,8,0,0,1,0,0,0,False
Lê Bống x #Calie,2025-04-30 16:47:15,30/04/2025,False,https://www.tiktok.com/@lebong95,Ta đã thấy gì đêm nay,6891928347824245506,https://www.tiktok.com/@lebong95/video/7499040519264144647,25,118900,888,1600000,2307,412,calie,False,False,lebong95,False,False,False,0,1,3,0,0,1,0,0,0,False
"Từng hơi thở mình mang, là ơn nghĩa của bao thế hệ.
Từng giọt máu chảy trong tim, là tình yêu với đất nước Việt Nam mình🇻🇳. 
Mỗi người sẽ có một cách riêng để yêu nước, và với mình, đó là biết ơn – và cố gắng sống sao cho thật xứng đáng.
#YeuNuocTheoCachCuaBan 
#HoaBinhDepLam ",2025-04-29 14:37:42,29/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7498636076060609296,https://www.tiktok.com/@lebong95/video/7498636045811010824,35,7645,52,168400,236,116,"yeunuoctheocachcuaban, hoabinhdeplam",False,False,lebong95,False,False,True,1,2,54,0,0,1,0,0,0,False
🇻🇳🌱 #LaXanh #VTV3 @MC Tuấn Tú ,2025-04-28 13:52:35,28/04/2025,False,https://www.tiktok.com/@lebong95,VIẾT TIẾP CÂU CHUYỆN HOÀ BÌNH. DT REMIX,7441945932555946753,https://www.tiktok.com/@lebong95/video/7498253328267185415,14,30500,71,459700,421,137,"laxanh, vtv3, ",False,False,lebong95,False,False,False,1,2,3,0,0,1,0,0,0,False
🇻🇳 #MissSaigonxLB @@Hoarient Store ,2025-04-27 19:31:38,27/04/2025,True,https://www.tiktok.com/@lebong95,nhạc nền - Tỉ tê cùng Ly,7495963481599003409,https://www.tiktok.com/@lebong95/video/7497969624907074834,43,65100,527,1800000,977,535,"MissSaigonxLB, ",False,False,lebong95,False,False,True,1,1,2,0,0,0,1,0,1,False
"Cùng mình hướng tới phiên bản tốt nhất của bản thân!
#Techcombank #VuonMinhVuotTroi#VuonMinhVuotTroi ",2025-04-26 20:21:48,26/04/2025,False,https://www.tiktok.com/@lebong95,Tiến Tới Ước Mơ,7495700570151110672,https://www.tiktok.com/@lebong95/video/7497611467970186503,23,5966,1106,433400,97,125,"techcombank, vuonminhvuottroi",False,False,lebong95,False,False,False,0,3,11,0,0,0,1,0,1,False
Bản tin chiến thắng 🇻🇳 #50nam30thang4cungVTV #NoiVongTayLon ,2025-04-26 13:29:40,26/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7497505363462851329,https://www.tiktok.com/@lebong95/video/7497505264698985746,42,8961,61,176500,333,81,"50nam30thang4cungvtv, noivongtaylon",False,False,lebong95,False,False,True,1,2,4,0,0,1,0,0,1,False
🇻🇳 Tôi yêu người Việt Nam 🇻🇳 @Nguyễn Thanh Hương #NoiVongTayLon ,2025-04-24 19:32:50,24/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Nguyễn Thuận 🇻🇳,7495024808657177361,https://www.tiktok.com/@lebong95/video/7496856672615386386,18,16900,162,318800,310,114,", noivongtaylon",False,False,lebong95,False,False,False,2,1,8,0,0,0,1,0,0,False
🇻🇳 Nghề thêu cờ Tổ Quốc 🇻🇳 #NoiVongTayLon #50nam30thang4cungVTV ,2025-04-21 10:26:11,21/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7495602576348465921,https://www.tiktok.com/@lebong95/video/7495602545193209106,20,118200,1191,1800000,1874,537,"noivongtaylon, 50nam30thang4cungvtv",False,False,lebong95,False,False,True,2,2,5,0,1,0,0,0,0,False
🇻🇳 #NoiVongTayLon #50nam30thang4cungVTV ,2025-04-20 18:57:46,20/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7495363330438761217,https://www.tiktok.com/@lebong95/video/7495363305381334279,36,32300,629,702600,701,235,"noivongtaylon, 50nam30thang4cungvtv",False,False,lebong95,False,False,True,1,2,0,0,0,0,1,0,1,False
🌱🪴🌳 🇻🇳#HanhTrinhKetNoiXanh #VTV3 ,2025-04-16 19:42:36,16/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Có giấy khen nghiện capcut,7447451368157383441,https://www.tiktok.com/@lebong95/video/7493890520079502599,18,8518,50,216700,209,129,"hanhtrinhketnoixanh, vtv3",False,False,lebong95,False,False,False,2,2,0,0,0,0,1,0,0,False
🇻🇳 Nghề dệt chân chỉ 🧵🧶 #Đẹp+84  #VTV3 ,2025-04-15 14:40:29,15/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7493441602057177873,https://www.tiktok.com/@lebong95/video/7493441570629291271,20,19400,147,304400,435,153,"đẹp, vtv3",False,False,lebong95,False,False,False,2,2,5,0,0,1,0,0,0,False
Outfit 1 tuần ... 📖 @Calie.vn #Calie #motivation ,2025-04-13 17:13:18,13/04/2025,False,https://www.tiktok.com/@lebong95,nhạc nền - Le bong,7492738895700970256,https://www.tiktok.com/@lebong95/video/7492738780672134407,33,11200,55,234200,294,124,", calie, motivation",False,False,lebong95,False,False,False,1,2,5,0,0,1,0,0,1,False
