text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
4 màu Rouge CoCo Flash mới nhất trong BST mùa hè @chanel.beauty 🌤️,2025-06-09 11:23:36,09/06/2025,False,https://www.tiktok.com/@lehatruc.daily,nhạc nền - Hà Trúc ♡,7513800544096455441,https://www.tiktok.com/@lehatruc.daily/video/7513800516313353490,15,5135,583,132800,426,11,,False,False,lehatruc.daily,False,False,False,1,0,13,0,1,0,0,0,0,False
🌤️,2025-06-07 10:29:38,07/06/2025,False,https://www.tiktok.com/@lehatruc.daily,original sound - USUK Vietsub,7154747135307549467,https://www.tiktok.com/@lehatruc.daily/video/7513044444229242130,0,1930,26,45400,65,16,,True,False,lehatruc.daily,False,False,False,1,0,1,0,1,0,0,0,1,False
"Tiktok chọn, bạn làm theo 🙏🏻

Chọn kem chống nắng phù hợp với da, là bước đầu quyết định chiếc nền xinh của tuii

#ahcvietnam #chongnangahc #hoptaccungunilever #goclamdep ",2025-06-04 20:55:20,04/06/2025,False,https://www.tiktok.com/@lehatruc.daily,nhạc nền - Hà Trúc ♡,7512092487785040641,https://www.tiktok.com/@lehatruc.daily/video/7512092436194135303,39,12400,227,439700,1132,106,"ahcvietnam, chongnangahc, hoptaccungunilever, goclamdep",False,False,lehatruc.daily,False,False,False,1,4,23,0,0,0,1,0,0,False
"Những khoảnh khắc vô giá của chồng tôi 😴
 #Priceless #PricelessExperience #mastercard",2025-06-04 18:10:48,04/06/2025,False,https://www.tiktok.com/@lehatruc.daily,Walking Around - Instrumental Version,6982541212746008578,https://www.tiktok.com/@lehatruc.daily/video/7512050033605266695,86,12100,379,484300,486,68,"priceless, pricelessexperience, mastercard",False,False,lehatruc.daily,False,False,False,1,3,8,0,0,0,1,0,0,False
"Mấy ngày siêu nóng (và lại còn hay mưa).

#dalbavn#dalbapurple#dalbakcn ",2025-06-03 19:17:41,03/06/2025,False,https://www.tiktok.com/@lehatruc.daily,เสียงต้นฉบับ - kittikmr,7279805869800786689,https://www.tiktok.com/@lehatruc.daily/video/7511696173850266898,43,10600,932,282100,1112,89,"dalbavn, dalbapurple, dalbakcn",False,False,lehatruc.daily,False,False,False,0,3,9,0,0,0,1,0,0,False
Còn được làm là còn hạnh phúc 💪🏻,2025-05-31 23:03:31,31/05/2025,False,https://www.tiktok.com/@lehatruc.daily,ladies and gentlemen HER,6918032346130254597,https://www.tiktok.com/@lehatruc.daily/video/7510641118464314632,7,2083,28,50800,61,8,,False,False,lehatruc.daily,False,False,False,1,0,7,0,0,0,0,1,1,False
Êh thiệt nha !!!,2025-05-29 16:56:34,29/05/2025,False,https://www.tiktok.com/@lehatruc.daily,romanticize your life,7269775727371897643,https://www.tiktok.com/@lehatruc.daily/video/7509804392460078344,7,3889,195,160800,741,80,,False,False,lehatruc.daily,False,False,False,0,0,4,0,0,1,0,0,0,False
"Tui và @Sandro Paris là đôi bạn thân 😘

Link nhớ: https://go.tamsonvn.com/sandroxlehatruc

#SandroParis #TamSonfashion",2025-05-28 20:59:56,28/05/2025,False,https://www.tiktok.com/@lehatruc.daily,Old Disney Swing Jazz,6817568979012290561,https://www.tiktok.com/@lehatruc.daily/video/7509496019210571015,74,9722,971,263700,904,65,", sandroparis, tamsonfashion",False,False,lehatruc.daily,False,False,False,1,2,11,0,0,0,1,0,0,False
,2025-05-28 11:08:19,28/05/2025,False,https://www.tiktok.com/@lehatruc.daily,Yên Bình Có Quá Đắt Không,7382914432223430673,https://www.tiktok.com/@lehatruc.daily/video/7509343561058487559,0,1601,28,60700,107,39,,True,False,lehatruc.daily,False,False,False,0,0,0,0,1,0,0,0,0,False
"Mini Vlog đi chơi cuối tuần của gia đình tuiii.

Dựng có 2 phút mệt mún xĩu mới thấy nể mấy bạn làm Youtube thật sự 🥹",2025-05-27 13:03:06,27/05/2025,False,https://www.tiktok.com/@lehatruc.daily,nhạc nền - Hà Trúc ♡,7509002084356983553,https://www.tiktok.com/@lehatruc.daily/video/7509002049300811026,148,16800,764,172600,505,28,,False,False,lehatruc.daily,False,False,False,1,0,26,0,0,1,0,0,0,False
,2025-05-26 11:26:10,26/05/2025,False,https://www.tiktok.com/@lehatruc.daily,Pretty Little Baby,7504108759648995345,https://www.tiktok.com/@lehatruc.daily/video/7508605982273064210,8,59700,1454,954200,2166,342,,False,False,lehatruc.daily,False,False,False,0,0,0,0,1,0,0,0,0,False
