text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Tư bản cũng có ngày cho chúng ta free tất cả vậy saooo #hanquoc #seoul #xuhuongtiktok #learnontiktok ,2025-06-13 18:05:55,13/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7515388577607027472,https://www.tiktok.com/@lihtrag.0903/video/7515388525638962449,70,195,33,5580,47,10,"hanquoc, seoul, xuhuongtiktok, learnontiktok",False,False,lihtrag.0903,False,False,False,0,4,13,0,0,0,1,0,0,False
#CapCut Kỉ niệm bai 15 cân mỡ 1 năm của toi #hanquoc ,2025-06-12 18:07:38,12/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Meomeo,7371829256374078209,https://www.tiktok.com/@lihtrag.0903/video/7515017885996125447,10,300,2,11900,5,8,"capcut, hanquoc",False,False,lihtrag.0903,False,False,False,0,2,10,0,0,0,1,0,0,False
Mấy con mụn đầu đen nó không tha cho ai hết á mấy bà oii #oliveyoung #hanquoc #busan #xuhuong #learnontiktok #fyp ,2025-06-11 18:06:55,11/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7514646674422188801,https://www.tiktok.com/@lihtrag.0903/video/7514646621368405269,78,1885,196,67600,823,42,"oliveyoung, hanquoc, busan, xuhuong, learnontiktok, fyp",False,False,lihtrag.0903,False,False,False,0,6,15,0,0,0,1,0,0,False
Ai dám bỏ 200 củ rước em này về nhà không ạ?? #hanquoc #busan #beauty #seoul #xuhuongtiktok #learnontiktok ,2025-06-10 18:15:56,10/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7514277974087715601,https://www.tiktok.com/@lihtrag.0903/video/7514277849197563157,88,1987,133,97200,143,46,"hanquoc, busan, beauty, seoul, xuhuongtiktok, learnontiktok",False,False,lihtrag.0903,False,False,False,0,6,12,0,0,0,1,0,0,False
Môi thâm ngại gì không thử cách này như tuiii #hanquoc #busan #xuhuongtiktok #learnontiktok ,2025-06-08 16:16:05,08/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7513504836113959681,https://www.tiktok.com/@lihtrag.0903/video/7513504787795594516,49,1953,101,94200,134,58,"hanquoc, busan, xuhuongtiktok, learnontiktok",False,False,lihtrag.0903,False,False,False,0,4,10,0,0,1,0,0,1,False
Book các chị Hàn làm tóc mà hơi thất vọng xiuuu #hanquoc #xuhuong #learnontiktok #busan ,2025-06-06 18:19:35,06/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7512794502252235521,https://www.tiktok.com/@lihtrag.0903/video/7512794445947964693,69,704,41,32200,153,36,"hanquoc, xuhuong, learnontiktok, busan",False,False,lihtrag.0903,False,False,False,0,4,11,0,0,0,1,0,0,False
Hội chị em không biết make up thì một bé này là đủ cho toàn mặt nha #fyp #xuhuong #learnontiktok #hanquoc #busan #REDCHAMBER ,2025-06-05 18:14:36,05/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7512422124578147073,https://www.tiktok.com/@lihtrag.0903/video/7512422082093813013,69,395,48,16100,117,15,"fyp, xuhuong, learnontiktok, hanquoc, busan, redchamber",False,False,lihtrag.0903,False,False,False,0,6,17,0,0,0,1,0,0,False
Giữa lòng Hàn Quốc mà tuii không ngờ người ta mua mấy đồ này về dùng luôn á #hanquoc #seoul #fyp #xuhuongtiktok #learnontiktok #duhocsinhhanquoc #beplain #PDRN #halago ,2025-06-04 18:10:07,04/06/2025,True,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7512050053990370049,https://www.tiktok.com/@lihtrag.0903/video/7512049835986390292,84,26600,797,1200000,1925,188,"hanquoc, seoul, fyp, xuhuongtiktok, learnontiktok, duhocsinhhanquoc, beplain, pdrn, halago",False,False,lihtrag.0903,False,False,False,0,9,18,0,0,0,1,0,0,False
Đừng dạy người giàu cách tiêu tiền #fyp #xuhuong #learnontiktok #xuhuongtiktok #busan ,2025-06-03 18:10:40,03/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7511679009579666193,https://www.tiktok.com/@lihtrag.0903/video/7511678889685421330,80,293,19,17300,39,8,"fyp, xuhuong, learnontiktok, xuhuongtiktok, busan",False,False,lihtrag.0903,False,False,False,0,5,7,0,0,0,1,0,0,False
"Xấu hay đẹp không quan trọng, có người yêu chụp ảnh xinh là được #capcut ",2025-06-03 12:18:38,03/06/2025,False,https://www.tiktok.com/@lihtrag.0903,nhạc nền - Trangkem🇰🇷( Busan),7511588214516271889,https://www.tiktok.com/@lihtrag.0903/video/7511588155288538386,14,746,17,33500,12,12,capcut,False,False,lihtrag.0903,False,False,False,0,1,14,0,0,1,0,0,0,False
