text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
đừng để toai phải makeup,6/10/2025 18:46,10/6/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,오리지널 사운드 - 메론에이드 - 자작곡 업로드,7.31467E+18,https://www.tiktok.com/@linhtruong.ld/video/7514285850570591496,15,11500,272,159200,358,109,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,5,0,0,0,1,0,0,FALSE
"i love monday, cuz iu lómm",6/9/2025 11:50,9/6/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,Under the influence Chrisbees cover,7.13727E+18,https://www.tiktok.com/@linhtruong.ld/video/7513807538068966674,0,7202,209,141100,253,88,,TRUE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,6,0,1,0,0,0,0,FALSE
nhớ chưa các zợ,6/7/2025 18:53,7/6/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,Gladdest Done with your ex,7.48596E+18,https://www.tiktok.com/@linhtruong.ld/video/7513174310408719634,15,46300,1010,580600,1412,258,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,4,0,0,0,1,0,1,FALSE
young dumb,6/5/2025 12:40,5/6/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,som original,7.38493E+18,https://www.tiktok.com/@linhtruong.ld/video/7512335917219056914,37,23100,722,364500,623,151,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,2,0,0,1,0,0,0,FALSE
take it 🤩🤩🤩,6/2/2025 21:51,2/6/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,Pop It Off,7.45776E+18,https://www.tiktok.com/@linhtruong.ld/video/7511364635073727762,29,9353,205,318500,395,129,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,1,0,2,0,0,0,1,0,0,FALSE
,6/1/2025 18:27,1/6/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,original sound,7.50877E+18,https://www.tiktok.com/@linhtruong.ld/video/7510941123112848648,22,8418,235,273800,228,61,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,1,FALSE
Mô tả mùa hè của tôi ,5/30/2025 19:14,30/05/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,When I'm With You (feat. Tyla),7.47551E+18,https://www.tiktok.com/@linhtruong.ld/video/7510210947143781650,29,9456,287,252200,257,98,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,6,0,0,0,1,0,0,FALSE
có thể rất là xàm xí,5/26/2025 17:45,26/05/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,nhạc nền - K.Huyền,7.46424E+18,https://www.tiktok.com/@linhtruong.ld/video/7508703848593132808,0,22600,999,492900,724,200,,TRUE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,6,0,0,1,0,0,0,FALSE
Tín hiệu vụ trụ party với bạn thân 😙,5/24/2025 19:08,24/05/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,escapism by raye,7.19551E+18,https://www.tiktok.com/@linhtruong.ld/video/7507983066699255058,25,13200,411,318600,438,130,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,1,0,8,0,0,0,1,0,1,FALSE
skincare routine vào buổi sáng của Linh ,5/20/2025 19:04,20/05/2025,FALSE,https://www.tiktok.com/@linhtruong.ld,Daylight by Taylor Swift sped up,7.12035E+18,https://www.tiktok.com/@linhtruong.ld/video/7506497504834325767,118,12800,317,346400,680,121,,FALSE,FALSE,linhtruong.ld,FALSE,FALSE,FALSE,0,0,7,0,0,0,1,0,0,FALSE
