text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Makeup 5’ bằng kcn mà đẹp cỡ đó 🧏🏻‍♀️ #thuchienne #fyp #makeup #tocobo #VitaToneUp #KCNtoneup,6/14/2025 13:07,14/06/2025,FALSE,https://www.tiktok.com/@luongthuchien6868,Fix Me,6.87234E+18,https://www.tiktok.com/@luongthuchien6868/video/7515682735269186823,53,571,13,17700,90,19,"thuchienne, fyp, makeup, tocobo, vitatoneup, kcntoneup",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,2,6,9,0,0,1,0,0,1,FALSE
Tầm này chưa có son màu Mocha là một thiếu sót 😌 #thuchienne #fyp #makeup #entropyvietnam #charmtintentropy,6/13/2025 20:51,13/06/2025,FALSE,https://www.tiktok.com/@luongthuchien6868,nhạc nền - Tizh 🎶,7.50427E+18,https://www.tiktok.com/@luongthuchien6868/video/7515431307175038226,55,242,25,8906,50,7,"thuchienne, fyp, makeup, entropyvietnam, charmtintentropy",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,1,5,11,0,0,0,1,0,0,FALSE
Combo son vừa bóng vừa lì 💁🏻‍♀️ #thuchienne #fyp #makeup  #3CEVN #3andChịEm #3CEPartner,6/12/2025 13:27,12/6/2025,FALSE,https://www.tiktok.com/@luongthuchien6868,LUNCH,7.36937E+18,https://www.tiktok.com/@luongthuchien6868/video/7514945575544966418,28,462,15,17200,105,13,"thuchienne, fyp, makeup, 3cevn, 3andchịem, 3cepartner",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,2,6,7,0,0,1,0,0,0,FALSE
Dành cho team sâu róm nè 💁🏻‍♀️ #thuchienne #fyp #makeup #makeup #mascarachanmay #rocksweet ,6/11/2025 13:17,11/6/2025,FALSE,https://www.tiktok.com/@luongthuchien6868,nhạc nền - Thục Hiền nè 🤍,7.51457E+18,https://www.tiktok.com/@luongthuchien6868/video/7514571991408479506,47,165,10,16600,53,7,"thuchienne, fyp, makeup, makeup, mascarachanmay, rocksweet",FALSE,TRUE,luongthuchien6868,FALSE,FALSE,FALSE,2,6,7,0,0,1,0,0,0,FALSE
+1 KCN dùng trước makeup không bị vón kem nền 🧏🏻‍♀️ #thuchienne #fyp #makeup #skincare #chongnang ,6/10/2025 12:10,10/6/2025,TRUE,https://www.tiktok.com/@luongthuchien6868,Every night (inst),6.87096E+18,https://www.tiktok.com/@luongthuchien6868/video/7514183797785595144,54,1073,74,30800,94,30,"thuchienne, fyp, makeup, skincare, chongnang",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,2,5,11,0,0,1,0,0,0,FALSE
Video dành cho ai muốn đi biển nhưng kb makeup 💁🏻‍♀️ #thuchienne #fyp #makeup #dibien ,6/9/2025 12:23,9/6/2025,FALSE,https://www.tiktok.com/@luongthuchien6868,party 4 u,7.17912E+18,https://www.tiktok.com/@luongthuchien6868/video/7513816075847339271,160,11400,939,158900,3954,69,"thuchienne, fyp, makeup, dibien",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,2,4,11,0,0,1,0,0,0,FALSE
Má hồng da ngăm da trắng cân được hết lun 🥺 #thuchienne #fyp #makeup #dearmay #dearmayvn #lostribboncheekbalm #mahong #mahongkem ,6/8/2025 13:36,8/6/2025,TRUE,https://www.tiktok.com/@luongthuchien6868,Shake It To The Max (FLY) (Remix),7.46871E+18,https://www.tiktok.com/@luongthuchien6868/video/7513463788897668360,33,1304,63,106800,285,29,"thuchienne, fyp, makeup, dearmay, dearmayvn, lostribboncheekbalm, mahong, mahongkem",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,1,8,10,0,0,1,0,0,1,FALSE
Son bạn đẹp hơn son mình và.. 🤡#thuchienne #fyp #makeup #a#athevnathe,6/7/2025 20:28,7/6/2025,TRUE,https://www.tiktok.com/@luongthuchien6868,Want You All The Time,7.35234E+18,https://www.tiktok.com/@luongthuchien6868/video/7513198834495851783,33,1064,11,68500,95,12,"thuchienne, fyp, makeup, athevn",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,1,5,7,0,0,0,1,0,1,FALSE
Serum lười cho mấy bà nè 🧏🏻‍♀️ #thuchienne #fyp #skincare #embryolisse #serumha #CoEmbLaEm #duongam,6/6/2025 21:15,6/6/2025,TRUE,https://www.tiktok.com/@luongthuchien6868,オリジナル楽曲 - 龍神Japan🐉🐲🇯🇵❤️男子バレーボール日本代表,7.22382E+18,https://www.tiktok.com/@luongthuchien6868/video/7512839906603977991,49,74,0,6234,10,1,"thuchienne, fyp, skincare, embryolisse, serumha, coemblaem, duongam",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,2,7,7,0,0,0,1,0,0,FALSE
Khi cuộc đời cho bạn thỏi son và má hồng 🧏🏻‍♀️ #thuchienne #fyp #makeup #sugarplum #ofelia ,6/5/2025 13:43,5/6/2025,FALSE,https://www.tiktok.com/@luongthuchien6868,오리지널 사운드 - Jun S,7.49497E+18,https://www.tiktok.com/@luongthuchien6868/video/7512352271347240199,55,409,3,15500,37,16,"thuchienne, fyp, makeup, sugarplum, ofelia",FALSE,FALSE,luongthuchien6868,FALSE,FALSE,FALSE,2,5,11,0,0,1,0,0,0,FALSE
