text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Phần 2 kcn tốt mà e Trinh đánh giá cao. 1 cái vid đăng lại 3 lần. 🥲 #kemchongnang #maitrinh #kemchongnangnangtone ,2025-06-13 10:03:55,13/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7515264360420248321,https://www.tiktok.com/@mai.trinh.h/video/7515264324139633927,128,52,0,1509,3,3,"kemchongnang, maitrinh, kemchongnangnangtone",False,False,mai.trinh.h,False,False,False,1,3,17,0,1,0,0,0,0,False
"Part 1: Top Kem chống nắng nâng tone bảo vệ tốt hot bằng thực lực ! Tất nhiên ko có cái nào là ko có nhược điểm nhưng mình sẽ cân đối trên hệ quy chiếu chung là kcn trước tiên phải bảo vệ và bám tốt, sau đó là finish và cuối cùng là trải nghiệm thực sự thoải mái trên da#maitrinh #kemchongnang #kemchongnangtot #kemchongnang #larocheposay #hyaestic #heliocare360 #laraitrinh #kemchongnang #kemchongnangnangtone #kemchongnangtot",2025-06-12 20:33:56,12/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7515055673370364689,https://www.tiktok.com/@mai.trinh.h/video/7515055605686537479,240,410,15,14400,65,56,"maitrinh, kemchongnang, kemchongnangtot, kemchongnang, larocheposay, hyaestic, heliocare360, lar, kemchongnang, kemchongnangnangtone, kemchongnangtot",False,False,mai.trinh.h,False,False,False,0,11,63,0,0,0,1,0,0,False
Cũng được. Kiểu mỏng nhẹ tự nhiên nên k thể đòi hỏi che phủ nha. Hợp da đẹp ít dầu và k quá trắng ạ #maitrinh #kemnen #loreal #kemnenserum #infallibletintedserum #lorealparis #lorealparishub #lorealparispartner,2025-06-12 10:33:13,12/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7514900851874351888,https://www.tiktok.com/@mai.trinh.h/video/7514900781582077202,177,257,7,7239,11,9,"maitrinh, kemnen, loreal, kemnenserum, infallibletintedserum, lorealparis, lorealparishub, lorealparispartner",False,False,mai.trinh.h,False,False,False,0,8,25,0,1,0,0,0,0,False
Lần đầu hoảng vậy luôn. Nó nóng mà đau lên điện thoại không rõ. Slugging e nghe nhiều r nhưng đây là lần đầu tiên e phải áp dụng. Không rcm dùng hàng ngày vì rất dễ bí lên mụn đó ạ nhưng phục hồi thì e ko bàn cãi nữa. Được này mất kia nhé ạ #maitrinh #kichung #retinol #skincare #reviewlamdep #Cicaplast #larocheposaypartner,2025-06-10 18:55:23,10/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7514288211355765521,https://www.tiktok.com/@mai.trinh.h/video/7514288034859240722,148,467,5,13800,27,18,"maitrinh, kichung, retinol, skincare, reviewlamdep, cicaplast, larocheposaypartner",False,False,mai.trinh.h,False,False,False,0,7,57,0,0,0,1,0,0,False
"LƯU Ý: THANG ĐIỂM DỰA TRÊN HỆ QUY CHIẾU GIÁ THÀNH. Không thể so sánh với các sản phẩm cao cấp hoặc chuyên về xử lý sắc tố nám , tàn nhang #maitrinh #serumtrangda ",2025-06-08 10:22:09,08/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7513413651563383569,https://www.tiktok.com/@mai.trinh.h/video/7513413603601419527,230,2061,59,38300,353,61,"maitrinh, serumtrangda",False,False,mai.trinh.h,False,False,False,0,2,32,0,1,0,0,0,1,False
"Trả lời @Mai Trinh Hồ HỌC MAKEUP TỪ A-Z : CÁCH ĐÁNH NỀN MỎNG, LÂU TRÔI #maitrinh #hocmakeup #danhnen #danhnenkhongbimoc #danhnendep #beautytips #makeuptips ",2025-06-06 15:43:37,06/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512754315791731472,https://www.tiktok.com/@mai.trinh.h/video/7512754273944341778,175,523,9,13000,101,13,", maitrinh, hocmakeup, danhnen, danhnenkhongbimoc, danhnendep, beautytips, makeuptips",False,False,mai.trinh.h,False,False,False,0,7,16,0,0,1,0,0,0,False
TẠI SAO DƯỠNG KỸ NHƯNG KHÔNG TRẮNG ??? #maitrinhho #trangda #serumtrangda #duongtrang #duongnhungkhongtrang  #SKIN1004 #Tonebrightening #Duongsangda,2025-06-06 11:45:37,06/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512692980927531792,https://www.tiktok.com/@mai.trinh.h/video/7512692946567826706,224,695,6,16400,48,13,"maitrinhho, trangda, serumtrangda, duongtrang, duongnhungkhongtrang, SKIN1004, Tonebrightening, Duongsangda",False,False,mai.trinh.h,False,False,False,0,8,8,0,1,0,0,0,0,False
Ta nói fomo theo bác sĩ ko bổ ngang cũng bổ dọc nhá. #maitrinhho #muntrungca #kemduongdadaumun ,2025-06-05 19:58:20,05/06/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512448986045778705,https://www.tiktok.com/@mai.trinh.h/video/7512448835071872274,204,1033,38,31300,259,20,"maitrinhho, muntrungca, kemduongdadaumun",False,False,mai.trinh.h,False,False,False,0,3,13,0,0,0,1,0,0,False
Lâu lâu thấy được vài món viral bằng thực lực #maitrinhho #glint #2light #cuúhionglint #reviewlamdep #reviewmakeup ,2025-06-04 15:16:49,04/06/2025,False,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7512005240137960209,https://www.tiktok.com/@mai.trinh.h/video/7512005195748887815,143,2868,66,59900,451,43,"maitrinhho, glint, 2light, cuúhionglint, reviewlamdep, reviewmakeup",False,False,mai.trinh.h,False,False,False,0,6,10,0,0,1,0,0,0,False
"Cộng 1 điểm vùng! 
Để nói finish đẹp thì ko hẳn nhưng màng lọc bảo vệ tốt, ổn định và bám tốt hơn hết ko cay mắt và tạo vệt thì bản vuông là lý tưởng #maitrinh #kemchongnang #kemchongnangquansu #kemchongnangdibien ",2025-05-29 15:14:46,29/05/2025,True,https://www.tiktok.com/@mai.trinh.h,nhạc nền - Mai Trinh Hồ,7509779116737563409,https://www.tiktok.com/@mai.trinh.h/video/7509778149262232850,142,1929,49,35900,86,68,"maitrinh, kemchongnang, kemchongnangquansu, kemchongnangdibien",False,False,mai.trinh.h,False,False,False,0,4,36,0,0,1,0,0,0,False
