text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Có chắc là dám mời hong =))))),2025-06-09 15:53:29,09/06/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - xafm,7509031126917843728,https://www.tiktok.com/@maivantrang_/video/7513870075917700370,14,6993,103,157500,165,34,,False,False,maivantrang_,False,False,False,0,0,7,0,0,1,0,0,0,False
"Lần đầu châm cứu chữa dứt điểm đau cổ vai gáy ở Đà Nẵng. Mình làm ở @BỆNH VIỆN YHCT ĐÀ NẴNG trong 5 ngày liên tục, khuyên ai chữa dứt điểm thì nên làm ít nhất 1 tuần nha! Nếu các bạn du lịch Đà Nẵng có thể thử qua khám và trải nghiệm nè. Mình đã làm từ 2 tháng trước, đến nay vẫn không hề bị tái đau lại nên tự tin review để các bạn tham khảo nha! #maivantrang #reviewlamdep #covaigay #chamcuubamhuyet #hoalongcuu #LearnOnTikTok ",2025-06-08 17:52:51,08/06/2025,False,https://www.tiktok.com/@maivantrang_,Best for video background music Chill Trap Hip Hop(837066),6850120546382776322,https://www.tiktok.com/@maivantrang_/video/7513529751202532616,90,27900,8712,487100,11000,527,", maivantrang, reviewlamdep, covaigay, chamcuubamhuyet, hoalongcuu, LearnOnTikTok",False,False,maivantrang_,False,False,False,0,6,82,0,0,1,0,0,1,False
🌸💕🎀🦩,2025-06-04 20:38:17,04/06/2025,False,https://www.tiktok.com/@maivantrang_,feel this moment,6940283462192597766,https://www.tiktok.com/@maivantrang_/video/7512088035073264914,15,899,4,34400,22,25,,False,False,maivantrang_,False,False,False,1,0,0,0,0,0,1,0,0,False
thu hoạch khế siêu to khổng lồ ban công nhà trồng ⭐️ #maivantrang ,2025-06-03 18:30:57,03/06/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7511684172218403601,https://www.tiktok.com/@maivantrang_/video/7511684145379052807,107,1273,17,39500,27,20,maivantrang,False,False,maivantrang_,False,False,False,1,1,12,0,0,0,1,0,0,False
Asian core 😆😆 khi sản phẩm bạn quá thích hết: bộ đôi làm sạch must have cho mùa hè này gọi tên Kiehl's toner và sữa rửa mặt hoa cúc 🏵️ ,2025-05-31 20:55:07,31/05/2025,True,https://www.tiktok.com/@maivantrang_,lucky girl syndrome,7369757975542352645,https://www.tiktok.com/@maivantrang_/video/7510608035581037842,46,1168,44,1300000,107,14,,False,False,maivantrang_,False,False,False,2,0,30,0,0,0,1,0,1,False
chị @NancyBeautyLab hoạ layout cho em như tiên cá AI 🧜🏻‍♀️ 🤣,2025-05-29 21:07:40,29/05/2025,False,https://www.tiktok.com/@maivantrang_,original sound,7471485640040172318,https://www.tiktok.com/@maivantrang_/video/7509869104124251400,28,542,11,17500,18,10,,False,False,maivantrang_,False,False,False,3,0,11,0,0,0,1,0,0,False
Mesmerizing mermaid 🧜🏻‍♀️ transformation #maivantrang #mermaidtiktok ,2025-05-22 06:49:12,21/05/2025,False,https://www.tiktok.com/@maivantrang_,Messy (From F1® The Movie),7500687135617697809,https://www.tiktok.com/@maivantrang_/video/7507050266554928391,5,18600,557,1600000,1371,187,"maivantrang, mermaidtiktok",False,False,maivantrang_,False,False,False,2,2,4,0,1,0,0,0,0,False
A girl just wanna have fun 💕 with skincare and fashion #laprairie #selfportrait #ootd ,2025-05-21 21:56:36,21/05/2025,False,https://www.tiktok.com/@maivantrang_,Tần số chung MiiNa,7506491962544605969,https://www.tiktok.com/@maivantrang_/video/7506913032891583752,0,1241,6,41700,48,21,"laprairie, selfportrait, ootd",True,False,maivantrang_,False,False,False,1,3,10,0,0,0,1,0,0,False
Mi giả này siêu siêu thích 👍🏻 ,2025-05-21 20:13:09,21/05/2025,False,https://www.tiktok.com/@maivantrang_,original sound,6886303003133922049,https://www.tiktok.com/@maivantrang_/video/7506886371810823442,14,594,3,26700,36,7,,False,False,maivantrang_,False,False,False,1,0,6,0,0,0,1,0,0,False
"Dạo này nóng quá, khui toong teng mới hình quạt cho mát mẻ 👉🏻👈🏻 #maivantrang #grwm #moingaymotoutfit #summerdress #bvlgari #chaumet #selfportrait ",2025-05-21 18:18:54,21/05/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7506857108550191873,https://www.tiktok.com/@maivantrang_/video/7506856932200910087,79,5489,148,157400,222,81,"maivantrang, grwm, moingaymotoutfit, summerdress, bvlgari, chaumet, selfportrait",False,False,maivantrang_,False,False,True,1,7,13,0,0,0,1,0,0,False
"Skincare trước và sau khi nặn mụn ✔️ Từ ngày ngưng sờ tay tự nặn mụn, Trang gom mụn 1 tháng 1 lần đi ra OLV xử lý, mặt trộm vía đỡ thâm hẳn. Đây là routine trị thâm ngừa mụn giúp khô cồi được Trang chuyên sử dụng cho mục đích trị thâm và kiểm soát bùng mụn hơn 1 năm qua, hy vọng sẽ giúp ích cho các bạn nha! #maivantrang #trimuntritham #skincareroutine #learnontiktok #larocheposay #larocheposayvn #MelaB3 #arocheposaypartner",2025-05-17 18:49:35,17/05/2025,False,https://www.tiktok.com/@maivantrang_,Idyllic jazz bossa nova with piano and guitar(1298871),7146290607604893697,https://www.tiktok.com/@maivantrang_/video/7505380491512630535,100,9337,495,175800,3728,112,"maivantrang, trimuntritham, skincareroutine, learnontiktok, larocheposay, larocheposayvn, melab3, arocheposaypartner",False,False,maivantrang_,False,False,False,1,8,72,0,0,0,1,0,1,False
lần đầu mua được bông hoa nở to hơn mặt em…   #maivantrang ,2025-05-14 11:21:23,14/05/2025,False,https://www.tiktok.com/@maivantrang_,flowers (sped up),7189754119534413825,https://www.tiktok.com/@maivantrang_/video/7504151735368224007,14,835,15,29300,21,11,maivantrang,False,False,maivantrang_,False,False,False,0,1,11,0,1,0,0,0,0,False
"“Thấy hoa nở là tốt rồi, sao phải quan tâm hoa thuộc về ai” #maivantrang ",2025-05-13 12:13:35,13/05/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - thuong_htm🩰🎀,7503204228711287569,https://www.tiktok.com/@maivantrang_/video/7503794089935097096,21,27800,705,404700,2004,159,maivantrang,False,False,maivantrang_,False,False,False,0,1,14,0,0,1,0,0,0,False
+1 rịu chanh leo 🥰 #maivantrang ,2025-05-10 21:50:29,10/05/2025,False,https://www.tiktok.com/@maivantrang_,love you like a love song by selena gomez,7451613102271613697,https://www.tiktok.com/@maivantrang_/video/7502829517237587208,18,2009,25,56800,73,20,maivantrang,False,False,maivantrang_,False,False,False,1,1,4,0,0,0,1,0,1,False
"Review tất cả các vị canh i-soup hổng có pr hay booking gì đâu nhaaa! Mình mua để thử hết gửi sang cho em du học sinh, tiện quay lại cho vuii các bạn tham khảo nhé! MÃI YÊU ẨM THỰC NƯỚC NHÀ 🇻🇳 đi du lịch lần tới chắc là em cũng sẽ mang theo cơm canh ăn cho ấm bụng thay vì mì ăn liền  #LearnOnTikTok #canhanlien #maivantrang ",2025-05-05 18:25:53,05/05/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7500921832577518353,https://www.tiktok.com/@maivantrang_/video/7500921347879570706,468,13100,2622,326300,1768,255,"LearnOnTikTok, canhanlien, maivantrang",False,False,maivantrang_,False,False,False,1,3,66,0,0,0,1,0,0,False
nổi da gà luôn đó 🫶🏻 chỉ mong trình diễn drone 30/4 dài hơn chút nữa thôi ạ,2025-04-28 22:33:32,28/04/2025,False,https://www.tiktok.com/@maivantrang_,Một Vòng Việt Nam. Longviolin cover,7343617493087079169,https://www.tiktok.com/@maivantrang_/video/7498387583521525000,32,6764,657,137000,333,58,,False,False,maivantrang_,False,False,True,1,0,17,0,0,0,0,1,0,False
pháo hoa hôm nay 🫶🏻,2025-04-27 16:58:57,27/04/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - Diên ở Đà Lạt,7486305090442922769,https://www.tiktok.com/@maivantrang_/video/7497930277172284690,20,61300,4780,669700,1738,246,,False,False,maivantrang_,False,False,True,1,0,4,0,0,1,0,0,1,False
xe đạp kêu xe đạp kêu #kimseonho ,2025-04-25 20:39:16,25/04/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Hans,7401546956975196933,https://www.tiktok.com/@maivantrang_/video/7497244891181894919,9,1146,9,37700,34,20,kimseonho,False,False,maivantrang_,False,False,False,0,1,6,0,0,0,1,0,0,False
tam ca 3 con mèo rưỡi ,2025-04-20 21:04:03,20/04/2025,False,https://www.tiktok.com/@maivantrang_,Mio Mao Dance (Mio Mao La La La La La),7197005536838027265,https://www.tiktok.com/@maivantrang_/video/7495395849174813959,13,381,6,24800,13,9,,False,False,maivantrang_,False,False,False,0,0,6,0,0,0,1,0,1,False
Mùa xuân sang đón hoa anh đào ở Seoul 🌸🌸🌸 #maivantrang #cherryblossom ,2025-04-16 22:04:31,16/04/2025,False,https://www.tiktok.com/@maivantrang_,내 머리가 나빠서,6916771529019623426,https://www.tiktok.com/@maivantrang_/video/7493927089243016456,52,3759,79,77900,235,70,"maivantrang, cherryblossom",False,False,maivantrang_,False,False,True,1,2,9,0,0,0,0,1,0,False
80% nghiêm khắc 20% dễ khóc ,2025-04-12 15:00:54,12/04/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - 𝑯𝒂 𝑻𝒖𝒚𝒆𝒕 𝑺𝒖𝒐𝒏𝒈,7490174324528679686,https://www.tiktok.com/@maivantrang_/video/7492333576650788103,8,7269,162,535300,331,64,,False,False,maivantrang_,False,False,False,0,0,6,0,0,1,0,0,1,False
we got bored on the train 🚂 #shutupanddance #maivantrang ,2025-04-09 13:57:09,09/04/2025,False,https://www.tiktok.com/@maivantrang_,original sound,7459322017696336672,https://www.tiktok.com/@maivantrang_/video/7491203899446103304,14,71600,6733,1200000,9927,210,"shutupanddance, maivantrang",False,False,maivantrang_,False,False,False,1,2,6,0,0,1,0,0,0,False
sorry for the shaking excitement but my dress is too cute 🧜🏻‍♀️,2025-04-08 23:50:23,08/04/2025,False,https://www.tiktok.com/@maivantrang_,sonido original,7484338037247888134,https://www.tiktok.com/@maivantrang_/video/7490985677702663442,13,1361,5,58400,73,17,,False,False,maivantrang_,False,False,False,2,0,12,0,0,0,0,1,0,False
We love the melody 🎶 before the train arrival announcement in 📣 Seoul subway 🇰🇷,2025-04-07 21:23:01,07/04/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7490576649236990736,https://www.tiktok.com/@maivantrang_/video/7490576624480505106,5,754,12,48100,15,8,,False,False,maivantrang_,False,False,False,3,0,12,0,0,0,1,0,0,False
4 cựu du học xinh 🧚🏻‍♀️,2025-04-06 22:26:56,06/04/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Venus,7476069635574516497,https://www.tiktok.com/@maivantrang_/video/7490222014901292293,12,1042,48,59300,51,4,,False,False,maivantrang_,False,False,False,2,0,6,0,0,0,0,1,1,False
Elsa paper ringgg ,2025-04-05 21:29:00,05/04/2025,False,https://www.tiktok.com/@maivantrang_,paper rings by taylor swift,6731532117118913286,https://www.tiktok.com/@maivantrang_/video/7489835992208182534,10,1831,19,65700,86,23,,False,False,maivantrang_,False,False,False,0,0,3,0,0,0,1,0,1,False
Xem phim 🍊 khóc nhiều quá phải đưa Oh Ae Sun của tôi đi 🇰🇷 healing luôn ,2025-04-04 21:41:28,04/04/2025,False,https://www.tiktok.com/@maivantrang_,original sound,7237212440625253163,https://www.tiktok.com/@maivantrang_/video/7489468114476731653,5,947,16,46000,24,5,,False,False,maivantrang_,False,False,True,2,0,15,0,0,0,1,0,0,False
3 sets đồ đi làm đi học đi chơi vừa rẻ vừa chất lượng #maivantrang #tiktokfashion #thoitrangnu #thoitrangcongso #reviewlamdep #ootd ,2025-04-04 17:44:19,04/04/2025,False,https://www.tiktok.com/@maivantrang_,Hey It's Me,7115024563977390082,https://www.tiktok.com/@maivantrang_/video/7489406992738520325,37,1437,38,75700,276,32,"maivantrang, tiktokfashion, thoitrangnu, thoitrangcongso, reviewlamdep, ootd",False,False,maivantrang_,False,False,False,0,6,14,0,0,1,0,0,0,False
"Khi đời vắt quýt vào mắt bạn, không có tập nào là không vừa ăn vừa khóc ",2025-04-01 20:45:40,01/04/2025,False,https://www.tiktok.com/@maivantrang_,original sound - yang,7420777322602662673,https://www.tiktok.com/@maivantrang_/video/7488340489909882119,0,1123,19,42000,27,16,,True,False,maivantrang_,False,False,False,0,0,17,0,0,0,1,0,0,False
I’m just saying ,2025-04-01 12:53:16,01/04/2025,False,https://www.tiktok.com/@maivantrang_,need you now,7436581842716855056,https://www.tiktok.com/@maivantrang_/video/7488218729382251782,13,760,7,34600,44,12,,False,False,maivantrang_,False,False,False,0,0,3,0,0,1,0,0,0,False
trải lòng về những sản phẩm Trang đã dùng hết sạch sành sanh trong quý 1 2025 #maivantrang #reviewlamdep #reviewmypham #LearnOnTikTok #goclamdep #BeautyTok #beautytips ,2025-03-28 20:36:03,28/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7486853704017136390,https://www.tiktok.com/@maivantrang_/video/7486853672400325893,546,4971,133,132200,1276,119,"maivantrang, reviewlamdep, reviewmypham, LearnOnTikTok, goclamdep, BeautyTok, beautytips",False,False,maivantrang_,False,False,False,0,7,17,0,0,0,1,0,0,False
he has my eyes 👀 ,2025-03-26 21:36:43,26/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound,7348904908596333317,https://www.tiktok.com/@maivantrang_/video/7486127131131694343,15,1882,67,42300,73,19,,False,False,maivantrang_,False,False,False,1,0,4,0,0,0,1,0,0,False
❤️ claim ittttt ,2025-03-25 20:43:43,25/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - TrishCarsKL,7452779367735872273,https://www.tiktok.com/@maivantrang_/video/7485742395175357704,6,493,5,26300,36,10,,False,False,maivantrang_,False,False,False,1,0,3,0,0,0,1,0,0,False
nàng tiên cá này bơi toát hết mồ hôi 🧜🏻‍♀️ ,2025-03-24 20:51:03,24/03/2025,False,https://www.tiktok.com/@maivantrang_,オリジナル楽曲 - ANYTIME.MUSIC,7234090511739685633,https://www.tiktok.com/@maivantrang_/video/7485373188113845522,14,2826,58,93000,202,41,,False,False,maivantrang_,False,False,False,2,0,10,0,0,0,1,0,0,False
Review mổ cận thành công 👁️ #bvmatsaigon #benhvienmatsaigon #mocan #xoacan #reviewmocan #maivantrang ,2025-03-24 18:46:33,24/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7485341147121568529,https://www.tiktok.com/@maivantrang_/video/7485341103168802056,162,1072,119,36500,270,45,"bvmatsaigon, benhvienmatsaigon, mocan, xoacan, reviewmocan, maivantrang",False,False,maivantrang_,False,False,False,1,6,6,0,0,0,1,0,0,False
chán hong buồn nói lun ấy #guerlainabeilleroyale ,2025-03-20 19:56:25,20/03/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - Lang Thang Đà Lạt,7366433597454142209,https://www.tiktok.com/@maivantrang_/video/7483874776545791239,9,9246,175,319100,915,120,guerlainabeilleroyale,False,False,maivantrang_,False,False,False,0,1,6,0,0,0,1,0,0,False
*grwm ra Hà Nội măm bún ốc 🌸 mỗi lần về quê đều chỉ tiếc là chưa ăn hết được những món em yêu thuiii,2025-03-18 20:54:18,18/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7483147568025717505,https://www.tiktok.com/@maivantrang_/video/7483147523679358215,96,11100,84,224700,415,97,,False,False,maivantrang_,False,False,False,1,0,24,0,0,0,1,0,0,False
Bản kcn mới hợp người không thích/muốn người khác biết mình dùng kem chống nắng - ngon bổ rẻ: L’oreal Glycolic Bright #chongnangthehemoi #suachongnang2trong1 #lorealparisskin,2025-03-18 11:43:55,18/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7483005720842013456,https://www.tiktok.com/@maivantrang_/video/7483005669088709896,113,589,26,36200,72,21,"chongnangthehemoi, suachongnang2trong1, lorealparisskin",False,False,maivantrang_,False,False,False,0,3,22,0,1,0,0,0,0,False
"Díu dần và thẫn thờ hơn sau vài ngụm matcha =))))) lần đầu say matcha, nguyên 1 đêm tim đập nhanh không ngủ nổi…",2025-03-16 10:04:35,16/03/2025,False,https://www.tiktok.com/@maivantrang_,Blue x u i i a i,7456762653555297029,https://www.tiktok.com/@maivantrang_/video/7482237908645154056,9,3723,131,119000,100,32,,False,False,maivantrang_,False,False,False,0,0,24,0,1,0,0,0,1,False
"Khi Tiktok tự chọn nhạc thật là hợp lý cho sự kiện Guerlain ngày hôm nay, ra mắt phiên bản nâng cấp mới Youth Watery Oil Serum vào một ngày nắng đẹp, vàng óng như mật ong 🐝🍯 #maivantrang #guerlain #youthwateryoilserum ",2025-03-15 21:00:46,15/03/2025,False,https://www.tiktok.com/@maivantrang_,LOVE THERAPHY,7449271907831056385,https://www.tiktok.com/@maivantrang_/video/7482035926995143943,55,1390,49,41800,113,25,"maivantrang, guerlain, youthwateryoilserum",False,False,maivantrang_,False,False,False,1,3,37,0,0,0,1,0,1,False
Hãy xem review này để tiết kiệm rất nhiều tiền mua dưỡng môi nhé! Mình vẫn chưa quay hết còn nhiều loại muốn review quá mà hết thời lượng rồi 🤣 nếu các bạn thích mình sẽ quay bổ sung sau được hong ạ? #maivantrang #reviewlamdep #reviewsonduong #goclamdep #LearnOnTikTok #sonduongmoi #sonduongcomau #duongmoi ,2025-03-14 19:54:11,14/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7481648526015859473,https://www.tiktok.com/@maivantrang_/video/7481647684470803720,593,116300,5623,2200000,30400,1423,"maivantrang, reviewlamdep, reviewsonduong, goclamdep, LearnOnTikTok, sonduongmoi, sonduongcomau, duongmoi",False,False,maivantrang_,False,False,False,1,8,43,0,0,0,1,0,0,False
"Một buổi sáng thảnh thơi ở Hà Nội của Trang, trời nồm và lạnh 🌸 thật là lí tưởng để tận hưởng khoảng thời gian một mình này #maivantrang #reviewlamdep #skincareroutine #goclamdep #asmr #BeautyTok #grwm #grwmroutine ",2025-03-12 20:05:58,12/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7480908674333182721,https://www.tiktok.com/@maivantrang_/video/7480908552387742983,53,3642,66,93300,210,31,"maivantrang, reviewlamdep, skincareroutine, goclamdep, asmr, BeautyTok, grwm, grwmroutine",False,False,maivantrang_,False,False,False,1,8,27,0,0,0,1,0,0,False
"8/3 mong mọi người phụ nữ hữu duyên xem được video này đều có tất cả, trừ vất vả 🌸🫶🏻 #maivantrang #womenoftiktok ",2025-03-08 11:51:35,08/03/2025,False,https://www.tiktok.com/@maivantrang_,who got you smiling like thattt,7086528683019602693,https://www.tiktok.com/@maivantrang_/video/7479296805608574226,10,940,19,37700,36,15,"maivantrang, womenoftiktok",False,False,maivantrang_,False,False,True,1,2,19,0,1,0,0,0,1,False
"Càng lấy là càng lệch móng nên phải lấy hoài đó các bạn ơi, nếu không lấy thì không bị khoé đâu, các bạn hãy mạnh dạn bỏ bước lấy khoé khi đi làm móng nhé! Lấy khoé có thể đã ngứa lúc đó nhưng kiểu gì cũng thường xuyên bị nỗi đau lên mủ như trên ảnh giống mình thôi ạ #reviewlamdep #laykhoe #goclamdep ",2025-03-07 21:11:53,07/03/2025,False,https://www.tiktok.com/@maivantrang_,原聲 - 竹竹love music,7458733771514530565,https://www.tiktok.com/@maivantrang_/video/7479070113170279687,0,9223,230,476000,274,130,"reviewlamdep, laykhoe, goclamdep",True,False,maivantrang_,False,False,False,0,3,62,0,0,0,1,0,0,False
how prettyyyyy 💐,2025-03-06 21:18:48,06/03/2025,False,https://www.tiktok.com/@maivantrang_,original sound - TravelWithVin 🇰🇷,7456240791964109569,https://www.tiktok.com/@maivantrang_/video/7478700812802477330,7,9409,212,241500,626,64,,False,False,maivantrang_,False,False,False,1,0,2,0,0,0,1,0,0,False
dự cảm phim còn không có happy ending nữa ấy :))),2025-03-05 18:59:49,05/03/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - I See You,7279751148947737345,https://www.tiktok.com/@maivantrang_/video/7478293908468927762,11,11000,102,336700,1089,89,,False,False,maivantrang_,False,False,False,0,0,11,0,0,0,1,0,0,False
tóc wild and free ngay khi lỡ tắm gội nước nóng 😀 nhưng các bạn yên tâm dưỡng lại và lần sau gội nước mát là lại bình thường lại,2025-02-25 22:57:56,25/02/2025,False,https://www.tiktok.com/@maivantrang_,love grows,7166676422889638661,https://www.tiktok.com/@maivantrang_/video/7475386593780468999,15,1311,67,64700,42,37,,False,False,maivantrang_,False,False,False,1,0,29,0,0,0,0,1,0,False
"từ ngày bị huỷ concert ở Áo, đến bây giờ mới nghe lại được nhạc của chị. Dù bài nào cũng vẫn thuộc, nhưng trải nghiệm bị huỷ phút cuối là một trải nghiệm không khách hàng nào mong muốn, một vết sẹo trong tim huhu",2025-02-21 19:52:53,21/02/2025,False,https://www.tiktok.com/@maivantrang_,Enchanted,7211995703836035845,https://www.tiktok.com/@maivantrang_/video/7473854558704340242,53,2096,18,69500,55,23,,False,False,maivantrang_,False,False,False,0,0,46,0,0,0,1,0,0,False
"Replying to @21, no ex video này khá dài vì mình cần thời gian để thu thập thông tin và tự kiểm chứng về chỉnh nắn mặt ở @nắn chỉnh mặt nhỏ-KOGAO HCM nói riêng và chữa lệch mặt nói chung #maivantrang #reviewlamdep #learnontiktok #lechmat #beautytok #beautytips ",2025-02-19 21:31:23,19/02/2025,False,https://www.tiktok.com/@maivantrang_,original sound - Mai Vân Trang,7473138248752417537,https://www.tiktok.com/@maivantrang_/video/7473137777203367186,284,7731,612,195100,3020,119,", , maivantrang, reviewlamdep, learnontiktok, lechmat, beautytok, beautytips",False,False,maivantrang_,False,False,False,0,6,41,0,0,0,1,0,0,False
"một case study ồn ào thời đó, nhưng bài nào của chị cũng dễ thuộc dễ nghe và MVs đầu tư cốt truyện siêu đẹp",2025-02-18 21:18:13,18/02/2025,False,https://www.tiktok.com/@maivantrang_,nhạc nền - ATMOS,7264795838906649346,https://www.tiktok.com/@maivantrang_/video/7472763301118823698,22,2443,38,73700,87,32,,False,False,maivantrang_,False,False,False,0,0,25,0,0,0,1,0,0,False
