text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Hôm nay cổ khui tuýp mới nữa rùi 😘 quá mê #xuhuongtiktok #reviewlamdep #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,6/14/2025 7:56,14/06/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - Trang Xinh Music,7.50349E+18,https://www.tiktok.com/@michanne1011/video/7515602683848379655,46,17,1,502,2,3,"xuhuongtiktok, reviewlamdep, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,1,8,10,0,1,0,0,0,1,FALSE
Có những thứ k viral xài lại xịn lên xịn xuống :) còn những thứ quá hot để fomo theo thì về xài da như tả què 🤣 #xuhuongtiktok #reviewlamdep #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,6/13/2025 7:59,13/06/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - con bố hoàng,7.48906E+18,https://www.tiktok.com/@michanne1011/video/7515232285604596999,0,623,28,37000,251,47,"xuhuongtiktok, reviewlamdep, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",TRUE,FALSE,michanne1011,TRUE,FALSE,FALSE,1,8,27,0,1,0,0,0,0,FALSE
Yêu đến mấy cũng chỉ là ngừ lạ thoáng qua #xuhuongtiktok ,6/10/2025 10:55,10/6/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - Mi Channn,7.51416E+18,https://www.tiktok.com/@michanne1011/video/7514164239024573704,29,40,0,1672,2,4,xuhuongtiktok,FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,1,10,0,1,0,0,0,0,FALSE
"Thử liền đi bay ơi :)) chân ái cmnl ấy chứ , t dùng 3-4 lần r , thích quá phải quay vội cho chị em đó #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #carslan ",6/6/2025 19:47,6/6/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - si iu,7.51019E+18,https://www.tiktok.com/@michanne1011/video/7512817064986529032,13,22,0,1900,3,4,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, carslan",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,8,27,0,0,0,1,0,0,FALSE
"Bà nào còn nghĩ skincare là chỉ bôi bôi quẹt quẹt thì t xin gửi lời chia buồn =)) Muốn da đẹp, thì phải làm sạch sâu, tẩy tế bào chết, cấp ẩm đàng hoàng nha",6/5/2025 9:10,5/6/2025,TRUE,https://www.tiktok.com/@michanne1011,nhạc nền - Quả Dâu Tây,7.33873E+18,https://www.tiktok.com/@michanne1011/video/7512281868629282056,42,34,1,3137,2,1,,FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,0,36,0,1,0,0,0,0,FALSE
,6/3/2025 9:23,3/6/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - con bố hoàng,7.48906E+18,https://www.tiktok.com/@michanne1011/video/7511542972173798663,0,67,1,3453,4,12,,TRUE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,FALSE
"thành công của t là khi đổi toner keo ong cnp sang dùng drpepti =))
Dùng drpepti đi, mấy bà sẽ biết da sáng lên từng ngày mà còn căng bóng là như thế nài nài #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #drpepti ",6/1/2025 11:07,1/6/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - INOVA MUSIC,7.46753E+18,https://www.tiktok.com/@michanne1011/video/7510827629855984914,57,29,1,2529,3,3,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, drpepti",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,8,36,0,1,0,0,0,1,FALSE
Trả lời @Hoa Bỉ Ngạn giỏ hàng chiết cho bà nào cần nha #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,5/31/2025 13:49,31/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - K.Huyền,7.46424E+18,https://www.tiktok.com/@michanne1011/video/7510498454192327954,17,144,4,10600,30,40,", reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,8,13,0,0,1,0,0,1,FALSE
+1 kem dưỡng dành cho da dầu mụn đỉnk của chốp #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #345reliefcream ,5/31/2025 8:29,31/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - 𝐕𝐮𝐀𝐧𝐡 𝐌𝐮𝐬𝐢𝐜 🎶,7.49492E+18,https://www.tiktok.com/@michanne1011/video/7510415843491122439,37,1062,22,61700,167,112,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, 345reliefcream",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,8,11,0,1,0,0,0,1,FALSE
Ê thơm nhaaa #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #bodymist #colorkey #reviewmypham ,5/29/2025 16:24,29/05/2025,TRUE,https://www.tiktok.com/@michanne1011,nhạc nền,7.50041E+18,https://www.tiktok.com/@michanne1011/video/7509796193241713938,15,25,1,2374,1,0,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, bodymist, colorkey, reviewmypham",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,9,3,0,0,1,0,0,0,FALSE
Dự là hũ này chắc t xài cả năm mới hết nổi =))) #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham ,5/29/2025 9:09,29/05/2025,FALSE,https://www.tiktok.com/@michanne1011,lucky girl syndrome,7.36976E+18,https://www.tiktok.com/@michanne1011/video/7509683947392044306,73,34,0,3896,3,4,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,7,13,0,1,0,0,0,0,FALSE
#reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #fyp #xuhuong #viral ,5/27/2025 20:50,27/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - cùng với duỹnh,7.50337E+18,https://www.tiktok.com/@michanne1011/video/7509122571682516242,0,48,7,3703,17,4,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, fyp, xuhuong, viral",TRUE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,9,0,0,0,0,1,0,0,FALSE
#reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #3ce #reviewmypham ,5/27/2025 13:15,27/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - 𝘼𝙧𝙞𝙨 𝙈𝙪𝙨𝙞𝙘,7.50187E+18,https://www.tiktok.com/@michanne1011/video/7509005225030716680,0,26,1,2733,8,0,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, 3ce, reviewmypham",TRUE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,8,0,0,0,1,0,0,0,FALSE
#reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #drmelaxin ,5/27/2025 9:00,27/05/2025,FALSE,https://www.tiktok.com/@michanne1011,SHAKE IT TO THE MAX X GASOLINA X BACK IT UP,7.50302E+18,https://www.tiktok.com/@michanne1011/video/7508939612975369490,0,233,7,8405,79,1,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, drmelaxin",TRUE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,8,0,0,1,0,0,0,0,FALSE
"Trung thành 2 năm với em ủ Apatheia này rồi đó 🥲 mãi đỉnk , nhả nắng siu nhanh #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #apatheia ",5/26/2025 8:31,26/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - 𝐓𝐫𝐮𝐧𝐠 𝐏𝐥𝐚𝐲𝐊🔥,7.29183E+18,https://www.tiktok.com/@michanne1011/video/7508560949406731527,23,2468,159,245000,304,178,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, apatheia",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,1,8,18,0,1,0,0,0,0,FALSE
"Đừng hỏi tại sao skincare quài mà da chưa bóng chưa khoẻ nữa , ngoài việc ttbc đều đặn ra thì đó là do mấy bà chưa bổ sung HA vs B5 này đó 
lắm á #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #kyunglap #serumkyunglab ",5/25/2025 9:08,25/05/2025,FALSE,https://www.tiktok.com/@michanne1011,like JENNIE,7.47889E+18,https://www.tiktok.com/@michanne1011/video/7508199363529739538,38,57,0,3680,7,4,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, kyunglap, serumkyunglab",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,9,36,0,1,0,0,0,1,FALSE
#reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham ,5/24/2025 9:24,24/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - 𝗧𝗢𝗣𝗞𝗡,7.49986E+18,https://www.tiktok.com/@michanne1011/video/7507832473682758919,0,21800,645,393100,7689,121,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham",TRUE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,7,0,0,1,0,0,0,1,FALSE
Gì chứ sản phẩm mà được cấp bằng sáng chế mỹ phẩm làm giảm melanin bằng Tranexamic acid là thấy uy tín r 🥲 #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #drmelaxin ,5/23/2025 8:51,23/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - PiLong Producer,7.48904E+18,https://www.tiktok.com/@michanne1011/video/7507452909634833682,52,58,4,4368,12,30,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, drmelaxin",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,1,8,23,0,1,0,0,0,0,FALSE
Nó bự mà nó dày xong còn mềm ơi là mềm :)) xài t đố đứa nào chê nổi 🥲 #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham ,5/22/2025 8:23,22/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - INOVA MUSIC,7.46753E+18,https://www.tiktok.com/@michanne1011/video/7507074583535570183,31,19,0,2263,4,3,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,1,7,19,0,1,0,0,0,0,FALSE
"Dùng hết chai 35ml òi nên nay tui khuii thử chai 10ml dùng thử cho mấy bà xem nha , mấy bà muốn fomo e nayd thì tốt nhất nên dùng thử minisize 10ml rồi hãng mua full nhen !! Rẻ lắmmm nha #reviewlamdep #xuhuongtiktok #skincare #fyp #xuhuong #viral #reviewmypham #keoongcnp ",5/21/2025 8:17,21/05/2025,FALSE,https://www.tiktok.com/@michanne1011,Bức Tranh Vĩnh Hằng (ZZ Remix),7.47155E+18,https://www.tiktok.com/@michanne1011/video/7506701904961916168,34,36,0,3534,4,10,"reviewlamdep, xuhuongtiktok, skincare, fyp, xuhuong, viral, reviewmypham, keoongcnp",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,8,43,0,1,0,0,0,0,FALSE
#xuhuongtiktok #reviewlamdep #skincare #fyp #xuhuong #viral #reviewmypham ,5/18/2025 20:01,18/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - 𝗗𝗞 𝗠𝗨𝗦𝗜𝗖,7.48672E+18,https://www.tiktok.com/@michanne1011/video/7505770171886259474,35,35,2,3417,2,21,"xuhuongtiktok, reviewlamdep, skincare, fyp, xuhuong, viral, reviewmypham",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,7,0,0,0,0,1,0,1,FALSE
Trả lời @Nhung giỏ hàng tui gắn ở đây nha cho bà nào cần hen #xuhuongtiktok #reviewlamdep #skincare #fyp #xuhuong #viral ,5/18/2025 8:37,18/05/2025,FALSE,https://www.tiktok.com/@michanne1011,nhạc nền - 🦩,7.50087E+18,https://www.tiktok.com/@michanne1011/video/7505593874652351752,18,140,5,12400,31,3,", xuhuongtiktok, reviewlamdep, skincare, fyp, xuhuong, viral",FALSE,FALSE,michanne1011,TRUE,FALSE,FALSE,0,6,15,0,1,0,0,0,1,FALSE
