text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Replying to @Quỳnh Thi Bí kíp để để lớp nền căng mướt trước make up của QThii #OLAYSuperSerum ,6/10/2025 20:21,10/6/2025,FALSE,https://www.tiktok.com/@msquynhthie,orijinal ses,7.20523E+18,https://www.tiktok.com/@msquynhthie/video/7514310239257283847,105,12100,67,291500,228,48,", olaysuperserum",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,0,1,17,0,0,0,1,0,0,FALSE
"Not just a queen, a legacy 👑 #cleopatra 
Makeup by @Tuấn Ngọc Võ 
Ib @_marianazambrano",6/1/2025 22:34,1/6/2025,FALSE,https://www.tiktok.com/@msquynhthie,orijinal ses,7.20523E+18,https://www.tiktok.com/@msquynhthie/video/7511004681628437767,30,482100,3800,3700000,14100,2948,"cleopatra, ",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,1,13,0,0,0,0,1,1,FALSE
"Do my hair up real, real nice 🥂#Enchanteur",5/23/2025 20:06,23/05/2025,TRUE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.50763E+18,https://www.tiktok.com/@msquynhthie/video/7507626773450919175,27,18000,123,276400,303,81,enchanteur,FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,1,7,0,0,0,1,0,0,FALSE
"Dưỡng sáng da nhanh gọn lẹ, quan trọng là hiệu quả mùa hè này 🌤️

#olaysuperserum ",5/14/2025 19:18,14/05/2025,TRUE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.50427E+18,https://www.tiktok.com/@msquynhthie/video/7504274791046712583,85,2218,39,391900,70,34,olaysuperserum,FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,1,15,0,0,0,1,0,0,FALSE
"Ai mê nước hoa sẽ biết chai này. Vanilla ấm, hơi creamy dễ chịu đúng gu Qthii🥹🍨#burberrybeauty #burberrygoddess #perfume ",4/11/2025 20:14,11/4/2025,FALSE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.49204E+18,https://www.tiktok.com/@msquynhthie/video/7492043437550603528,18,4657,23,139000,112,46,"burberrybeauty, burberrygoddess, perfume",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,3,17,0,0,0,1,0,0,FALSE
"GRWM 15 phút đi chơi thể thao cùng QThi nhaa 🤪
#EnchanteurNaturelle",4/1/2025 11:49,1/4/2025,TRUE,https://www.tiktok.com/@msquynhthie,vlog Parisian fashion cute(1493346),7.31437E+18,https://www.tiktok.com/@msquynhthie/video/7488202391595027718,74,5759,47,240300,219,55,enchanteurnaturelle,FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,1,10,0,1,0,0,0,0,FALSE
"Khi cần sự sang trọng, QThi chắc chắn sẽ chọn trang sức masterpiece của PNJ 🥂 #grwm ",3/24/2025 23:19,24/03/2025,FALSE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.48541E+18,https://www.tiktok.com/@msquynhthie/video/7485411451675430162,16,12600,210,411300,264,99,grwm,FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,1,15,0,0,0,0,1,0,FALSE
Trộm vía hay được khen thơm 🥹 #reviewnuochoa #fyp #fragrance ,3/18/2025 14:41,18/03/2025,FALSE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.48305E+18,https://www.tiktok.com/@msquynhthie/video/7483051562563112199,148,10900,330,406500,1192,130,"reviewnuochoa, fyp, fragrance",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,3,6,0,0,1,0,0,0,FALSE
"Học được thêm nhiều điều mới, và quan trọng là được mua hàng chính hãng 🤪 #svrvietnam ",3/12/2025 20:50,12/3/2025,TRUE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.48092E+18,https://www.tiktok.com/@msquynhthie/video/7480919955446172936,69,40800,137,1700000,414,55,svrvietnam,FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,1,15,0,0,0,1,0,0,FALSE
Làn da căng bóng và mái tóc bồng bềnh yêu thích 🥹💕 #Kiehlsvietnam #skincare,3/4/2025 18:43,4/3/2025,TRUE,https://www.tiktok.com/@msquynhthie,Intergalactic Janet,7.3486E+18,https://www.tiktok.com/@msquynhthie/video/7477918572459789576,120,55200,727,3700000,2834,159,"kiehlsvietnam, skincare",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,2,11,0,0,0,1,0,0,FALSE
"Trời lạnhhhhh âm độ nứt cả da luôn, dưỡng không kỹ là khỏi đi chơii 🥹🥹 #AHC #AHCVietnam ",2/11/2025 12:53,11/2/2025,FALSE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.47004E+18,https://www.tiktok.com/@msquynhthie/video/7470035512389045511,107,17200,162,914800,1192,103,"ahc, ahcvietnam",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,2,15,0,0,1,0,0,0,FALSE
Và tình yêu đã quay trở lại 😜💄💋 #YSLBeautyVN #YSLMakeup #ysltheinks #fyp #lipstick ,1/21/2025 13:25,21/01/2025,FALSE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.46225E+18,https://www.tiktok.com/@msquynhthie/video/7462251186519854343,79,9646,207,345300,715,81,"yslbeautyvn, yslmakeup, ysltheinks, fyp, lipstick",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,1,5,7,0,0,1,0,0,0,FALSE
"Popularr, you're gonna be popuuuuularr 🤪🤣🫧🧹💫💚💖
Ngoài đời cổ nhoi hơn vậy xíu á 🤓 #wicked #wickedmovie #glinda #alphaba @Ty Lê ",1/8/2025 19:25,8/1/2025,FALSE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.45032E+18,https://www.tiktok.com/@msquynhthie/video/7457519761195486482,25,164800,898,2700000,2306,185,"wicked, wickedmovie, glinda, alphaba, ",FALSE,FALSE,msquynhthie,FALSE,FALSE,TRUE,2,4,15,0,0,0,1,0,0,FALSE
"I'm late againnn 🥹🥲 but we're here 🧹🫧
#wicked #galinda #alphaba #fyp ",1/6/2025 21:05,6/1/2025,FALSE,https://www.tiktok.com/@msquynhthie,original sound - lexies☆,7.44956E+18,https://www.tiktok.com/@msquynhthie/video/7456803262767861000,71,93600,668,1100000,1476,253,"wicked, galinda, alphaba, fyp",FALSE,FALSE,msquynhthie,FALSE,FALSE,TRUE,2,4,6,0,0,0,1,0,0,FALSE
"Heehee :""> #behindthescenes #fyp ",12/20/2024 10:02,20/12/2024,FALSE,https://www.tiktok.com/@msquynhthie,original sound - Quỳnh Thi,7.45032E+18,https://www.tiktok.com/@msquynhthie/video/7450324007544573192,17,356800,587,4800000,4662,221,"behindthescenes, fyp",FALSE,FALSE,msquynhthie,FALSE,FALSE,FALSE,0,2,2,0,1,0,0,0,0,FALSE
