text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Mình đã hứa …. #myhuyenchannel ,2025-05-29 15:24:02,29/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Mỹ Huyền Channel,7509780598560099073,https://www.tiktok.com/@myhuyen_channel/video/7509780548412345618,15,4438,23,159600,164,48,myhuyenchannel,False,False,myhuyen_channel,False,False,False,0,1,4,0,0,1,0,0,0,False
Lười thôi 🍸 #myhuyenchannel @Mỹ Huyền Channel Shop ,2025-05-28 11:42:37,28/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Hương Thù,7403364660064275217,https://www.tiktok.com/@myhuyen_channel/video/7509352392706608402,0,504,6,40300,49,9,"myhuyenchannel, ",True,False,myhuyen_channel,False,False,False,1,1,6,0,1,0,0,0,0,False
Video không cắt hơi dài nên mấy chị ráng xem hết nha 🤣#myhuyenchannel ,2025-05-27 18:09:29,27/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Mỹ Huyền Channel,7509081043170052865,https://www.tiktok.com/@myhuyen_channel/video/7509081008927411474,69,624,22,69800,34,28,myhuyenchannel,False,False,myhuyen_channel,False,False,False,1,1,12,0,0,0,1,0,0,False
🍸#myhuyenchannel ,2025-05-27 15:54:13,27/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - 𝙏𝙏 𝙈𝙪𝙨𝙞𝙘,7471255351343319824,https://www.tiktok.com/@myhuyen_channel/video/7509046149106388232,0,4165,51,169300,158,44,myhuyenchannel,True,False,myhuyen_channel,False,False,False,1,1,0,0,0,1,0,0,0,False
Nhảy samba 💃 mấy chị hiểu lí do sáng giờ không live chưa 🤣 #myhuyenchannel ,2025-05-26 18:15:04,26/05/2025,False,https://www.tiktok.com/@myhuyen_channel,Tamka Tuansieu rmx,7502306794854026001,https://www.tiktok.com/@myhuyen_channel/video/7508711358397975816,16,8246,72,251800,270,69,myhuyenchannel,False,False,myhuyen_channel,False,False,False,2,1,12,0,0,0,1,0,0,False
#myhuyenchannel ,2025-05-15 15:10:18,15/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Trạm Cảm Giác 🎶,7493496872502348560,https://www.tiktok.com/@myhuyen_channel/video/7504581815986900231,13,16100,180,1000000,745,337,myhuyenchannel,False,False,myhuyen_channel,False,False,False,0,1,0,0,0,1,0,0,0,False
Lâu ngày nhảy lại vẫn mắc cười như ngày nào 🤣🤣#myhuyenchannel ,2025-05-10 12:53:30,10/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - :))),7490525776232663825,https://www.tiktok.com/@myhuyen_channel/video/7502691129733778696,15,8721,66,798800,324,135,myhuyenchannel,False,False,myhuyen_channel,False,False,False,1,1,10,0,0,1,0,0,1,False
Ai muốn biết sự thật hãy nhìn trong gương 🤣🤣#myhuyenchannel ,2025-05-10 12:46:09,10/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Mỹ Huyền Channel,7502694420241632001,https://www.tiktok.com/@myhuyen_channel/video/7502689238480145671,15,4665,41,488100,172,69,myhuyenchannel,False,False,myhuyen_channel,False,False,False,1,1,9,0,0,1,0,0,1,False
Cap như trên video 😁#myhuyenchannel ,2025-05-09 13:22:46,09/05/2025,False,https://www.tiktok.com/@myhuyen_channel,Tái Sinh Vigga Remix,7453045423449246465,https://www.tiktok.com/@myhuyen_channel/video/7502327583569218823,14,3527,36,414600,145,78,myhuyenchannel,False,False,myhuyen_channel,False,False,False,1,1,4,0,0,1,0,0,0,False
Trung bình mấy đứa mới đi tập nhảy về hay đăng clip nhảy 🤣#myhuyenchannel ,2025-05-09 13:18:25,09/05/2025,False,https://www.tiktok.com/@myhuyen_channel,Tái Sinh Vigga Remix,7453045423449246465,https://www.tiktok.com/@myhuyen_channel/video/7502326470602231047,16,5008,37,473500,198,50,myhuyenchannel,False,False,myhuyen_channel,False,False,False,1,1,13,0,0,1,0,0,0,False
Mỗi người chúc mừng sinh nhật em một câu ở video này nhé 😘 em cảm ơn mọi người rất nhiều I LOVE YOU ❤️#myhuyenchannel ,2025-05-03 02:24:21,02/05/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Thái Bá Quân (siêu dự bị),7493508889879792385,https://www.tiktok.com/@myhuyen_channel/video/7499931391598087442,23,5475,19,458000,98,69,myhuyenchannel,False,False,myhuyen_channel,False,False,True,2,1,24,1,0,0,0,0,1,False
❤️❤️#myhuyenchannel ,2025-04-23 10:53:55,23/04/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Hạt Giống Chữa Lành,7328638508012538625,https://www.tiktok.com/@myhuyen_channel/video/7496351843761671444,13,4855,34,338900,208,45,myhuyenchannel,False,False,myhuyen_channel,False,False,False,2,1,1,0,1,0,0,0,0,False
Bạn có bao giờ tốn tiền để mua oxy?🤣🤣🤣#myhuyenchannel ,2025-04-23 01:11:21,22/04/2025,False,https://www.tiktok.com/@myhuyen_channel,nhạc nền - Mỹ Huyền Channel,7496201776249441025,https://www.tiktok.com/@myhuyen_channel/video/7496201689532304661,32,3737,41,326700,118,44,myhuyenchannel,False,False,myhuyen_channel,False,False,False,1,1,9,1,0,0,0,0,0,False
#myhuyenchannel ,2025-04-23 00:30:57,22/04/2025,False,https://www.tiktok.com/@myhuyen_channel,ADAMN REMIX,7492014476871420688,https://www.tiktok.com/@myhuyen_channel/video/7496191267454356754,16,4032,20,286800,138,24,myhuyenchannel,False,False,myhuyen_channel,False,False,False,0,1,0,1,0,0,0,0,0,False
