text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Dạo này tui bị ghiền đồ @Chaching.brand mấy bà ơi #ngoctrinh89 #ngoctrinh #chaching #fashion #wearyourluck #trending ,2025-06-12 20:02:56,12/06/2025,False,https://www.tiktok.com/@ngoctrinh89,nhạc nền - Ngoc Trinh,7515047652602530561,https://www.tiktok.com/@ngoctrinh89/video/7515047610974014738,16,1055,18,32100,46,13,", ngoctrinh89, ngoctrinh, chaching, fashion, wearyourluck, trending",False,False,ngoctrinh89,False,True,False,0,6,10,0,0,0,1,0,0,False
"Tự nhiên ở đâu có thêm cha nọi này dzậy chời 🙀 
@.COBY.  @NONG - Farm to Grill 

#ngoctrinh #ngoctrinh89 #coby ",2025-06-11 18:28:25,11/06/2025,False,https://www.tiktok.com/@ngoctrinh89,nhạc nền - Ngoc Trinh,7514652229476436753,https://www.tiktok.com/@ngoctrinh89/video/7514652171510484242,15,2828,53,187300,76,30,", , ngoctrinh, ngoctrinh89, coby",False,False,ngoctrinh89,False,True,False,1,3,17,0,0,0,1,0,0,False
"Ta nói mỗi lần đứng lên – ngồi xuống – xoay người là phải căng não tính toán.
Nhưng mặc xong rồi… tự thấy mình thiêu cháy ánh nhìn luôn 🤭🔥 #fanci #ngoctrinh #ngoctrinh89 @FancìClub @Phạm Bảo Luận @QuiDoanMakeup @EricNguyenHairstyle ",2025-06-10 19:14:07,10/06/2025,False,https://www.tiktok.com/@ngoctrinh89,nhạc nền - Ngoc Trinh,7514292907354458897,https://www.tiktok.com/@ngoctrinh89/video/7514292865619545362,44,5989,209,187200,168,139,"fanci, ngoctrinh, ngoctrinh89, , , , ",False,False,ngoctrinh89,False,True,False,1,3,36,0,0,0,1,0,0,False
🔥🔥🔥 #fanci #ngoctrinh #ngoctrinh89 #hienho @FancìClub @Phạm Bảo Luận @QuiDoanMakeup @EricNguyenHairstyle ,2025-06-10 18:17:16,10/06/2025,False,https://www.tiktok.com/@ngoctrinh89,nhạc nền - Ngoc Trinh,7514278239200693009,https://www.tiktok.com/@ngoctrinh89/video/7514278213019766023,41,2893,129,126900,69,73,"fanci, ngoctrinh, ngoctrinh89, hienho, , , , ",False,False,ngoctrinh89,False,True,False,1,4,6,0,0,0,1,0,0,False
"Mà ba nào cũng phong độ như nhau 🥰 Yêu ba 7Tong và ba Công Ninh của tui nhứtttt. Cảm ơn @Nesty Store VN sản xuất 2 mẫu dép quá yêu, ba nào cũng mê hết đó 

#ngoctrinh #ngoctrinh89 #nesty ",2025-06-10 13:16:42,10/06/2025,False,https://www.tiktok.com/@ngoctrinh89,nhạc nền - 𝐂𝐡𝐚𝐧𝐧𝐢𝐞🍋,7489067101649046278,https://www.tiktok.com/@ngoctrinh89/video/7514200747253320978,0,21400,95,675800,247,54,", ngoctrinh, ngoctrinh89, nesty",True,False,ngoctrinh89,False,True,False,1,3,36,0,0,1,0,0,0,False
"Trend này ai đỉnh nhất vậy cả nhà tag tui dô nói Ngọc Trinh um sùm bên này r nè 😩 để tui đi bái sư coi 😤

#ngoctrinh #ngoctrinh89 ",2025-06-09 11:57:03,09/06/2025,False,https://www.tiktok.com/@ngoctrinh89,nhạc nền - Ngoc Trinh,7513809184459754257,https://www.tiktok.com/@ngoctrinh89/video/7513809141882752264,49,35000,322,1200000,463,161,"ngoctrinh, ngoctrinh89",False,False,ngoctrinh89,False,True,False,2,2,26,0,1,0,0,0,0,False
"Sao mà đỡ được 😝 mang tiếng tập pickle ball nhưng mà chin lõi cái chân chị hơi giãn 💃  

#ngoctrinh #ngoctrinh89 ",2025-06-07 20:25:18,07/06/2025,False,https://www.tiktok.com/@ngoctrinh89,nhạc nền - Ngoc Trinh,7513197976500800272,https://www.tiktok.com/@ngoctrinh89/video/7513197953469713671,17,4858,78,334800,100,51,"ngoctrinh, ngoctrinh89",False,False,ngoctrinh89,False,True,False,2,2,18,0,0,0,1,0,1,False
Giá này bất ngờ thiệt nhaaa #ngoctrinh89 #ngoctrinh #tingoan ,2025-06-07 11:04:52,07/06/2025,True,https://www.tiktok.com/@ngoctrinh89,nhạc nền - ctri,7380282302082861840,https://www.tiktok.com/@ngoctrinh89/video/7513053526851996935,12,4957,200,831600,165,102,"ngoctrinh89, ngoctrinh, tingoan",False,False,ngoctrinh89,False,True,False,0,3,6,0,1,0,0,0,1,False
"19h30 Netsy lên sóng, chốt đơn nhanh tay nhận máy chụp hình nhaaa mấy bà 

#ngoctrinh89 #ngoctrinh #Nesty #TikTokShop66 #SaleVuiSinhNhat ",2025-06-06 19:20:56,06/06/2025,True,https://www.tiktok.com/@ngoctrinh89,nhạc nền - Ngoc Trinh,7512810301364996880,https://www.tiktok.com/@ngoctrinh89/video/7512810275494432018,48,48000,1027,3100000,1455,356,"ngoctrinh89, ngoctrinh, nesty, tiktokshop66, salevuisinhnhat",False,False,ngoctrinh89,False,True,True,0,5,15,0,0,0,1,0,0,False
"Hạnh phúc nhất là được mua món mình thích, gặp người mình thương 💕💕

Túi Trinh cầm của Nesty. 19H ngày 6/6 mở bán trên kênh của Trinh nha

#ngoctrinh89 #ngoctrinh ",2025-06-06 16:44:20,06/06/2025,False,https://www.tiktok.com/@ngoctrinh89,风吹过八千里,7008806636772919298,https://www.tiktok.com/@ngoctrinh89/video/7512769920636161287,0,6325,100,307400,162,48,"ngoctrinh89, ngoctrinh",True,False,ngoctrinh89,False,True,False,1,2,28,0,0,1,0,0,0,False
