text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Cuối cùng tui cũng được mổ mắt rồi nhaaa 🔥🔥   #matvietnga #xoacan #xoacanvietnga #chuyenxoacan #hanhtrinhxoacan ,6/12/2025 18:22,12/6/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.51502E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7515021741748440328,132,3102,33,61300,135,104,"matvietnga, xoacan, xoacanvietnga, chuyenxoacan, hanhtrinhxoacan",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,5,9,0,0,0,1,0,0,FALSE
"Tóm tắt những chuyến du lịch đầu hè: KHÔNG CÓ NẮNG 🌥️
#nhacuaanvy #trenddulich #anvytravel #anvyvlog #",6/12/2025 11:44,12/6/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.51492E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7514919154059611399,12,5077,66,37400,175,98,"nhacuaanvy, trenddulich, anvytravel, anvyvlog",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,4,13,0,1,0,0,0,0,FALSE
Ngày hội đặc sản Yeongcheon của tỉnh Gyeongbuk – Hàn Quốc 🔥🔥 #learnontiktok ,6/1/2025 18:58,1/6/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.51095E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7510948998497291527,97,8590,252,160500,331,66,learnontiktok,FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,1,11,0,0,0,1,0,1,FALSE
"Bí quyết luôn thoải mái, tươi tỉnh cả ngày của tui chính là Hygiene nhaaa
#khoachuongthomlautancuoingay #huonghoamaudon #hygienevietnam ",5/31/2025 20:57,31/05/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.51061E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7510608642866154770,100,23900,140,662900,381,50,"khoachuongthomlautancuoingay, huonghoamaudon, hygienevietnam",FALSE,TRUE,nhacuaanvymeo,FALSE,FALSE,FALSE,0,3,15,0,0,0,1,0,1,FALSE
"Mấy mom thử món Cháo Yến này đi, nghiện á 😍 #chaoyentienvua #Thuonghoangyen #chaoyencaocap ",5/31/2025 19:47,31/05/2025,TRUE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.51059E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7510590695883820295,54,8041,25,87200,94,54,"chaoyentienvua, thuonghoangyen, chaoyencaocap",FALSE,TRUE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,3,10,0,0,0,1,0,1,FALSE
"Tips chăm sóc da của tui nè mấy bà ơi 😍 

#chamsocda #cerave #goclamdep",5/30/2025 19:23,30/05/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.51021E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7510213388832656658,73,17600,158,335200,299,62,"chamsocda, cerave, goclamdep",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,3,10,0,0,0,1,0,0,FALSE
Xuyên không với Vy hông??? #nanningspecialized #nanning #bienhinh #anvytravel #anvyvlog ,5/29/2025 20:51,29/05/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,Candy Dream,7.36351E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7509864874021801224,92,4351,122,67600,251,48,"nanningspecialized, nanning, bienhinh, anvytravel, anvyvlog",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,0,5,5,0,0,0,1,0,0,FALSE
Đi Trung Quốc mà không cosplay là thiếu xót nha #namninh #nanning #nhacuaanvy,5/23/2025 15:38,23/05/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.50756E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7507557763946499346,29,12400,386,211500,724,58,"namninh, nanning, nhacuaanvy",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,0,3,10,0,0,1,0,0,0,FALSE
"Con lớn nhanh lắm, từng khoảnh khắc chỉ đến một lần thôi ba mẹ ơi 🍼🍬☀️

@Aloha Baby Studio #alohababy #chupanhchobe #alohamedia",5/19/2025 10:38,19/05/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,Relaxed and playful spring vitality,7.37788E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7505996022242381074,67,3390,33,80700,71,24,", alohababy, chupanhchobe, alohamedia",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,3,19,0,1,0,0,0,0,FALSE
"Bí quyết luôn giữ vững tinh thần cày deadline nè mấy bà ơi !
#Berocca  #HỗTrợGiảmCăngThẳngBớtMệtMỏi",5/15/2025 19:03,15/05/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,可爱小公主 - Lovely Little Princess,7.27416E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7504641916785478919,59,23300,378,336700,1018,92,"berocca, hỗtrợgiảmcăngthẳngbớtmệtmỏi",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,0,2,14,0,0,0,1,0,0,FALSE
Chăm sóc body luôn thơm nè các nàng 💕 #Lepetitmarseillais  #Suatamhuuco #Suatamphap,5/13/2025 19:30,13/05/2025,TRUE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.50391E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7503906592711019783,65,5851,22,71400,53,31,"lepetitmarseillais, suatamhuuco, suatamphap",FALSE,TRUE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,3,8,0,0,0,1,0,0,FALSE
Bí quyết không bao giờ bí content 😆😆 #DatBike #LearnOnTikTok #anvycouple ,5/12/2025 19:41,12/5/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.50354E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7503538331704200455,106,34800,263,537900,541,71,"datbike, learnontiktok, anvycouple",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,3,7,0,0,0,1,0,0,FALSE
Kem bôi chống muỗi lành tính cho bé ❤️ #NaturalBebe #Mămmy #chamsocbeyeu #Chamsocbethuanchay,5/9/2025 19:36,9/5/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.50242E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7502423813255105800,57,4505,29,84700,187,55,"naturalbebe, mămmy, chamsocbeyeu, chamsocbethuanchay",FALSE,TRUE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,4,9,0,0,0,1,0,0,FALSE
Tắm lành cho bé nè ❤️ #NaturalBebe #Mămmy #chamsocbeyeu #Chamsocbethuanchay,5/9/2025 14:34,9/5/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.50235E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7502346064062696711,53,2436,33,68200,144,105,"naturalbebe, mămmy, chamsocbeyeu, chamsocbethuanchay",FALSE,TRUE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,4,6,0,0,1,0,0,0,FALSE
Bí quyết lưng xinh cho mấy bà nè ❤️  #VIORA30 #kemmun #suatam ,5/8/2025 20:50,8/5/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.50207E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7502071996558200072,94,8747,242,165800,345,56,"viora30, kemmun, suatam",FALSE,TRUE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,3,9,0,0,0,1,0,0,FALSE
Nước giặt xả lành tính cho bé 🔥 #NaturalBebe #Mămmy #chamsocbeyeu #Chamsocbethuanchay,5/7/2025 20:20,7/5/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Nhà của An Vy 🐯🐯,7.50169E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7501693167788477714,59,7183,150,108600,355,108,"naturalbebe, mămmy, chamsocbeyeu, chamsocbethuanchay",FALSE,TRUE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,4,7,0,0,0,1,0,0,FALSE
Hôm nay bạn thế nào 🎈 #CapCut #đôthịthiếucảmxúc #mấtkếtnối #khônggiansống #cuộcsốngđôthị,5/6/2025 21:52,6/5/2025,FALSE,https://www.tiktok.com/@nhacuaanvymeo,nhạc nền - Khang Sáu Múi,7.50134E+18,https://www.tiktok.com/@nhacuaanvymeo/video/7501345791961746695,42,15100,126,332900,495,114,"capcut, đôthịthiếucảmxúc, mấtkếtnối, khônggiansống, cuộcsốngđôthị",FALSE,FALSE,nhacuaanvymeo,FALSE,FALSE,FALSE,1,5,5,0,0,0,1,0,0,FALSE
