text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Cổ trông hâm hâm z thui mà cổ giúp mình có được ngày hôm nay kkkk ,5/31/2025 10:13,31/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,Phố đã lên đèn Chilly cover,7.38999E+18,https://www.tiktok.com/@nhatkycuameichan/video/7510442634498886930,104,89400,1980,2800000,2919,4886,,FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,0,0,16,0,1,0,0,0,1,FALSE
Chọn outfit giúp cổ với cả nhà ơiiii!!! #fyp #outfit #ootd #hoptaccunguniqlo,5/30/2025 17:47,30/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,original sound - meichannnnn,7.51019E+18,https://www.tiktok.com/@nhatkycuameichan/video/7510188328650607889,96,22100,410,1200000,747,883,"fyp, outfit, ootd, hoptaccunguniqlo",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,0,4,8,0,0,1,0,0,0,FALSE
"Đang edit video dutube với tất cả công lựccccc 💚 cả nhà còn nhớ mình có kênh meichan honggg? 

#meichan #hihi #vtmgr ",5/28/2025 14:23,28/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,nhạc nền - Harin,7.42178E+18,https://www.tiktok.com/@nhatkycuameichan/video/7509393961014824200,6,48000,585,1300000,920,642,"meichan, hihi, vtmgr",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,1,3,18,0,0,1,0,0,0,FALSE
"Replying to @bunny.yuna dạ đúnggg, xin lỗi cả nhà hôm trước đánh má hồng zữ quá mà quá thích nên quay luôn với cái màu son hơi trầmmm. Nay cho em làm lại nhaaa ❤️

#meichan #3ceglazylipglow #35 ",5/27/2025 15:19,27/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,original sound - meichannnnn,7.50904E+18,https://www.tiktok.com/@nhatkycuameichan/video/7509037325691735303,18,25400,589,1100000,643,668,", meichan, 3ceglazylipglow, 35",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,1,3,35,0,0,1,0,0,0,FALSE
Về trường đúng dịp lễ hội nên lại phải làm chiếc video kỷ niệm thuiii 💙💙💙 #meichan #yonsei #akaraka #vtmgr ,5/26/2025 18:20,26/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,suara asli - baesuzy94,7.21946E+18,https://www.tiktok.com/@nhatkycuameichan/video/7508712682158198023,36,25000,305,680300,447,216,"meichan, yonsei, akaraka, vtmgr",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,TRUE,1,4,15,0,0,0,1,0,0,FALSE
"Ngày đầu tiên chính thức cho hai đứa làm hoà với nhau 🤝
À dạo này hay xem cung hoàng đạo mới để ý việc mình Sun Sư Tử, Moon Song Ngư, mọc Xử Nữ =)))))
Ngoài cảm xúc với lý trí uýnh lộn thì còn 3 nhỏ này hoạnh hoẹ nhau nữa…
Mọi người thấy cung hoàng đạo có đúng khôngggg?

#meichan #vtmgr #CapCut ",5/26/2025 11:12,26/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,som original,7.49477E+18,https://www.tiktok.com/@nhatkycuameichan/video/7508602548375538951,11,22700,235,626700,800,307,"meichan, vtmgr, capcut",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,1,3,61,0,1,0,0,0,0,FALSE
Đăng lạiiii =)))))))),5/20/2025 20:58,20/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,original sound - meichannnnn,7.50653E+18,https://www.tiktok.com/@nhatkycuameichan/video/7506526922327788808,22,99500,1970,1900000,2114,1715,,FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,0,0,3,0,0,0,1,0,0,FALSE
"Nghỉ tay ăn đêm “mỳ vía” với mình nhaaaa :”> 

#hoptaccungsamyang #chacharoni #mitrontuongtau #samyangfoods #Samyang",5/17/2025 17:56,17/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,original sound - meichannnnn,7.50537E+18,https://www.tiktok.com/@nhatkycuameichan/video/7505366564871376144,144,60100,1465,994500,1939,329,"hoptaccungsamyang, chacharoni, mitrontuongtau, samyangfoods, samyang",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,0,5,10,0,0,1,0,0,1,FALSE
"Son 3CE Glazy Lip Glow này nũng nịu thật... 

#3CEVN #glazyglow #3andChịEm #hoptaccung3ce",5/15/2025 17:30,15/05/2025,FALSE,https://www.tiktok.com/@nhatkycuameichan,suara asli - eka,7.46067E+18,https://www.tiktok.com/@nhatkycuameichan/video/7504618050797309202,45,13700,259,527900,727,105,"3cevn, glazyglow, 3andchịem, hoptaccung3ce",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,0,4,9,0,0,1,0,0,0,FALSE
Replying to @Mắt sắp dại makeup “chất liệu bạn gái” 5 phút đây ạaa 🌷 #meichan #makeup #beplain #hoptaccungbeplain ,5/14/2025 18:01,14/05/2025,TRUE,https://www.tiktok.com/@nhatkycuameichan,original sound - meichannnnn,7.50425E+18,https://www.tiktok.com/@nhatkycuameichan/video/7504254851266792712,105,13500,200,371300,1213,218,", meichan, makeup, beplain, hoptaccungbeplain",FALSE,FALSE,nhatkycuameichan,FALSE,FALSE,FALSE,1,4,14,0,0,0,1,0,0,FALSE
