text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Vậy đi 🤓 Gộp mắt môi má 1 màu kem makeup đa năng Red Chamber đi cho lẹ dùm toi @RED CHAMBER VN 
#phamhoanganh #redchambervn #cleanbeauty ",6/10/2025 21:05,10/6/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,"Bibbidi Bobbidi Boo (From ""Cinderella"")",6.89142E+18,https://www.tiktok.com/@ph.hoanganhh/video/7514321669683531026,42,4424,169,209700,272,21,", phamhoanganh, redchambervn, cleanbeauty",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,3,22,0,0,0,1,0,0,FALSE
"Gia Lai đẹp ☺️ 
#phamhoanganh ",6/10/2025 19:11,10/6/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - xafm,7.50903E+18,https://www.tiktok.com/@ph.hoanganhh/video/7514292102251941127,24,6014,82,163600,359,235,phamhoanganh,FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,1,4,0,0,0,1,0,0,FALSE
"Xài toner như nào là đúng? 🙂‍↔️ 
#phamhoanganh #caryophy #toner ",6/6/2025 21:21,6/6/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Pham Hoang Anh,7.51284E+18,https://www.tiktok.com/@ph.hoanganhh/video/7512841393568517383,59,4133,3,209700,283,23,"phamhoanganh, caryophy, toner",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,3,7,0,0,0,1,0,0,FALSE
"Nguyện đắp mặt nạ mỗi ngày không bỏ ngày nào 🧏🏻‍♀️  
#phamhoanganh #bnbg #skinbooster",6/5/2025 20:13,5/6/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,Morning Routine,7.40804E+18,https://www.tiktok.com/@ph.hoanganhh/video/7512452648214269202,67,4594,201,238200,320,46,"phamhoanganh, bnbg, skinbooster",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,2,3,11,0,0,0,1,0,0,FALSE
"Giải thoát cho làn da của ẻm đii 🥹 
#phamhoanganh ",6/2/2025 20:59,2/6/2025,TRUE,https://www.tiktok.com/@ph.hoanganhh,Comedy Background,7.45009E+18,https://www.tiktok.com/@ph.hoanganhh/video/7511351265436110098,61,5202,195,217800,380,30,phamhoanganh,FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,1,8,0,0,0,1,0,0,FALSE
"Vô tình lạc vào Xứ Sở Thần Tiên Senka 💙 xiêu lòng dễ sợ òoo 🥹 Hay là mai ai đi với tui hongggg
#phamhoanganh #SenkaVietnam #SenkaFoamtopia #SENKAxPerfectWhip",5/31/2025 18:54,31/05/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Những Bản Nhạc Nghe Là Nghiện,6.90741E+18,https://www.tiktok.com/@ph.hoanganhh/video/7510576981369539858,147,5770,223,356700,319,30,"phamhoanganh, senkavietnam, senkafoamtopia, senkaxperfectwhip",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,2,4,22,0,0,0,1,0,1,FALSE
"Bí mật nhó 🤫 
#phamhoanganh #omtronthuongyeu #rum",5/29/2025 22:30,29/05/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,Ôm Trọn Thương Yêu (with Phạm Hoàng Anh),7.47231E+18,https://www.tiktok.com/@ph.hoanganhh/video/7509890387817893128,19,3455,30,100100,85,46,"phamhoanganh, omtronthuongyeu, rum",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,3,3,0,0,0,0,1,0,FALSE
"Xài 1 lần có thể là hết nửa tuýp kem chống nắng 🙂 
#phamhoanganh #glowingskin #sunscreen #spf #koreanskincare
#grwm #nomakeup #nomakeupmakeup  #lipgloss #somebymi #kemchongnang",5/29/2025 20:50,29/05/2025,TRUE,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Pham Hoang Anh,7.50986E+18,https://www.tiktok.com/@ph.hoanganhh/video/7509864597852081426,53,2636,6,155200,220,23,"phamhoanganh, glowingskin, sunscreen, spf, koreanskincare, grwm, nomakeup, nomakeupmakeup, lipgloss, somebymi, kemchongnang",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,11,12,0,0,0,1,0,0,FALSE
"Ngoài skincare da mặt thì đừng bỏ quên da đầu cũng cần detox nhe 😚 
#phamhoanganh 
#Dermahaircenter #189haibatrung #Hair #Chuanykhoa
#chamsoctoc #detox #scalpdetox #hasakiclinic #hasaki #hasakivn #cosmetic
#hasakibeautycenter #hasakichinhanh254 #clinic #chatluongthat #giatrithat",5/28/2025 20:09,28/05/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Pham Hoang Anh,7.50948E+18,https://www.tiktok.com/@ph.hoanganhh/video/7509483038749854994,114,5945,183,260500,284,24,"phamhoanganh, dermahaircenter, 189haibatrung, hair, chuanykhoa, chamsoctoc, detox, scalpdetox, hasakiclinic, hasaki, hasakivn, cosmetic, hasakibeautycenter, hasakichinhanh254, clinic, chatluongthat, giatrithat",FALSE,TRUE,ph.hoanganhh,FALSE,FALSE,FALSE,1,17,14,0,0,0,1,0,0,FALSE
"Lớp học uốn tóc cho các mom 😆
#phamhoanganh #masuto #maysay5in1",5/27/2025 20:06,27/05/2025,TRUE,https://www.tiktok.com/@ph.hoanganhh,Comedy Background,7.45009E+18,https://www.tiktok.com/@ph.hoanganhh/video/7509111240547945746,52,818,5,146900,122,21,"phamhoanganh, masuto, maysay5in1",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,3,7,0,0,0,1,0,0,FALSE
"Thơm qué. Như mùi em bé í 🧏🏻‍♀️ 
#phamhoanganh #kissmybody #bodymist #applesherbet",5/26/2025 21:21,26/05/2025,TRUE,https://www.tiktok.com/@ph.hoanganhh,Loose & cute & heartwarming everyday scene songs(902158),6.90689E+18,https://www.tiktok.com/@ph.hoanganhh/video/7508759421313453330,32,4092,231,203700,281,18,"phamhoanganh, kissmybody, bodymist, applesherbet",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,2,4,8,0,0,0,1,0,0,FALSE
"Báo cáo tiến độ học hành 🫡
Cô giáo iem @𝐌𝐢𝐧𝐡 𝐓𝐫𝐚𝐧𝐠 𝐕𝐨𝐜𝐚𝐥 
#phamhoanganh #omtronthuongyeu #rum ",5/25/2025 21:51,25/05/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,Ôm Trọn Thương Yêu,7.46437E+18,https://www.tiktok.com/@ph.hoanganhh/video/7508395968119770376,45,3268,18,111400,105,47,", phamhoanganh, omtronthuongyeu, rum",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,3,12,0,0,0,1,0,1,FALSE
"Siu cấp toner pad. Thích quãii 
#phamhoanganh #chorokchorong #padtaytebaochet #tonerpad ",5/25/2025 20:14,25/05/2025,TRUE,https://www.tiktok.com/@ph.hoanganhh,Morning Routine,7.40804E+18,https://www.tiktok.com/@ph.hoanganhh/video/7508370980922772743,61,5078,11,186600,124,22,"phamhoanganh, chorokchorong, padtaytebaochet, tonerpad",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,0,4,6,0,0,0,1,0,1,FALSE
"Ai còn nhớ Kém Duyên năm đó honggg 💃🏻 @Rum 
#phamhoanganh #rum #kemduyen ",5/23/2025 20:37,23/05/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,nhạc nền - Pham Hoang Anh,7.50763E+18,https://www.tiktok.com/@ph.hoanganhh/video/7507634845506358535,50,4688,41,127300,162,50,", phamhoanganh, rum, kemduyen",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,1,3,9,0,0,0,1,0,0,FALSE
"Hữu duyên gặp chính chủ nên cho chính chủ hát ké 🧏🏻‍♀️ @Rum 
#phamhoanganh #omtronthuongyeu #rum ",5/22/2025 20:37,22/05/2025,FALSE,https://www.tiktok.com/@ph.hoanganhh,Ôm Trọn Thương Yêu (with Phạm Hoàng Anh),7.47231E+18,https://www.tiktok.com/@ph.hoanganhh/video/7507263840879447303,48,15700,103,509700,361,172,", phamhoanganh, omtronthuongyeu, rum",FALSE,FALSE,ph.hoanganhh,FALSE,FALSE,FALSE,2,3,13,0,0,0,1,0,0,FALSE
