text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
#phoganh ,6/13/2025 18:27,13/06/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound,7.06459E+18,https://www.tiktok.com/@phoganh8461/video/7515394074682117394,5,31900,909,347100,235,37,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,0,0,0,0,1,0,0,FALSE
câu chiện đi mua zày #phoganh ,6/8/2025 20:16,8/6/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7.51357E+18,https://www.tiktok.com/@phoganh8461/video/7513566857324940551,110,30700,345,391200,413,70,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,5,0,0,0,1,0,1,FALSE
nhân dịp được nghỉ đi xả hơi hẹ hẹ #phoganh #ofelia #sugarplum ,5/31/2025 19:33,31/05/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7.51059E+18,https://www.tiktok.com/@phoganh8461/video/7510587002606210311,105,33300,219,560400,344,90,"phoganh, ofelia, sugarplum",FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,3,9,0,0,0,1,0,1,FALSE
f6 monash mới ngồi 16 tiếng ở thư viện #phoganh ,5/30/2025 20:42,30/05/2025,FALSE,https://www.tiktok.com/@phoganh8461,nhạc nền - chuc2810🫶🏻,7.50433E+18,https://www.tiktok.com/@phoganh8461/video/7510233629314895111,10,25900,657,391200,332,31,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,9,0,0,0,1,0,0,FALSE
xin cảm ơn quý staff starbucks hôm đó đã tặng iem cốc nước để em zui hihi i lóve u gaisss (mdu achi k xem dc nhma hihi) #phoganh ,5/21/2025 20:18,21/05/2025,FALSE,https://www.tiktok.com/@phoganh8461,Star (Instrumental),7.24775E+18,https://www.tiktok.com/@phoganh8461/video/7506887793759489298,0,37600,330,395900,429,64,phoganh,TRUE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,28,0,0,0,1,0,0,FALSE
còn 4 bài final nữa a có lẽ tui sẽ ngấc xịu #phoganh ,5/19/2025 17:51,19/05/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound,7.46507E+18,https://www.tiktok.com/@phoganh8461/video/7506107655505661192,0,14100,181,265800,97,48,phoganh,TRUE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,12,0,0,1,0,0,0,FALSE
biết gì chưa 😇🤓 #phoganh #hoptaccungprep,5/17/2025 20:08,17/05/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7.5054E+18,https://www.tiktok.com/@phoganh8461/video/7505400783668645138,19,10100,73,281100,178,23,"phoganh, hoptaccungprep",FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,1,2,3,0,0,0,1,0,1,FALSE
cái cuộn film siêu rung động của tui TT tui yêu màu film nì kung khịnh 🫶🏻 cái cuộn nì toàn những người tui iu thưn (nhma hong úp lên đc ehe),5/13/2025 20:25,13/05/2025,FALSE,https://www.tiktok.com/@phoganh8461,voodoo by frank ocean,7.03568E+18,https://www.tiktok.com/@phoganh8461/video/7503920857463442695,0,16400,223,200500,176,41,,TRUE,FALSE,phoganh8461,FALSE,FALSE,FALSE,1,0,31,0,0,0,1,0,0,FALSE
cách tôi và @𝖈𝖍𝖎𝖎𝖓𝖌𝖆𝖔𝖘 🐼 cảm hoá được c @baohannguyenxhelia quay nhạc dolce >< #phoganh ,5/8/2025 16:50,8/5/2025,FALSE,https://www.tiktok.com/@phoganh8461,nhạc nền - namtriinh đây nè,7.49087E+18,https://www.tiktok.com/@phoganh8461/video/7502010167186197778,14,65700,549,1200000,800,50,", , phoganh",FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,1,1,13,0,0,1,0,0,0,FALSE
amser quyết tâm phủ đỏ tiktok >< #phoganh ,5/6/2025 10:46,6/5/2025,FALSE,https://www.tiktok.com/@phoganh8461,dth,7.47936E+18,https://www.tiktok.com/@phoganh8461/video/7501174168386358535,17,116500,3724,1300000,1868,226,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,7,0,1,0,0,0,0,FALSE
quên thẻ hsinh ams ở vnam roi nên đu trend capcut phiên bản đại học hihi >< #phoganh ,5/5/2025 11:34,5/5/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7.50082E+18,https://www.tiktok.com/@phoganh8461/video/7500815218147118354,20,82000,1555,955200,1234,117,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,TRUE,0,1,17,0,1,0,0,0,0,FALSE
grwm nhma tôi là yapper… #phoganh #dalbavn #dalbapurple #dalbakcn ,4/27/2025 19:00,27/04/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7.49796E+18,https://www.tiktok.com/@phoganh8461/video/7497961632035802376,135,21700,152,392200,227,51,"phoganh, dalbavn, dalbapurple, dalbakcn",FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,4,5,0,0,0,1,0,1,FALSE
đang mid sem break phát tín hiệu cho nhà mình nì!! chời ơi n healing mà n đãaaa #phoganh ,4/26/2025 20:26,26/04/2025,FALSE,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7.49761E+18,https://www.tiktok.com/@phoganh8461/video/7497612800945081618,14,8400,139,161300,63,28,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,18,0,0,0,1,0,1,FALSE
bộ đôi cứu trợ cho người mắc ngủ quên TT #phoganh #jumiso #serumha #kemduongha #hyaluronicacid ,4/24/2025 19:30,24/04/2025,TRUE,https://www.tiktok.com/@phoganh8461,original sound - phờ ganh,7.49686E+18,https://www.tiktok.com/@phoganh8461/video/7496856057709333778,91,8980,52,336700,110,19,"phoganh, jumiso, serumha, kemduongha, hyaluronicacid",FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,5,10,0,0,0,1,0,0,FALSE
"thông điệp cần phải nhớ nè!!
#phoganh ",4/23/2025 19:38,23/04/2025,FALSE,https://www.tiktok.com/@phoganh8461,nhạc nền - oui,7.46794E+18,https://www.tiktok.com/@phoganh8461/video/7496486984903445778,12,53500,1319,633200,1605,55,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,6,0,0,0,1,0,0,FALSE
anh đang hơi oải #phoganh ,4/19/2025 14:34,19/04/2025,FALSE,https://www.tiktok.com/@phoganh8461,nhạc nền - Cái Page Nhạc Rap 🎶,7.47595E+18,https://www.tiktok.com/@phoganh8461/video/7494924424508886290,15,73800,1076,803400,1833,99,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,4,0,0,1,0,0,1,FALSE
(he calls me baby) #phoganh ,4/16/2025 17:49,16/04/2025,FALSE,https://www.tiktok.com/@phoganh8461,Good luck babe,7.38422E+18,https://www.tiktok.com/@phoganh8461/video/7493861336984587528,15,47800,428,506500,790,60,phoganh,FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,0,1,4,0,0,1,0,0,0,FALSE
xá xị mà ở meo bơn @𝖈𝖍𝖎𝖎𝖓𝖌𝖆𝖔𝖘 🐼 @baohannguyenxhelia  #phoganh ,4/15/2025 18:24,15/04/2025,FALSE,https://www.tiktok.com/@phoganh8461,nhạc nền - 𝙉𝙞 𝙘ô 𝙡𝙖𝙞 𝘽𝘿,7.48302E+18,https://www.tiktok.com/@phoganh8461/video/7493499227557924103,13,136800,1858,2000000,1552,180,", , phoganh",FALSE,FALSE,phoganh8461,FALSE,FALSE,FALSE,1,1,8,0,0,0,1,0,0,FALSE
