text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
😆😆💓💓 #phuongly #uefachampionsleague #weloveVietNam ,6/4/2025 20:31,4/6/2025,FALSE,https://www.tiktok.com/@phuonglytran,nhạc nền - Phương Ly Trần,7.51209E+18,https://www.tiktok.com/@phuonglytran/video/7512086305493339400,27,12100,26,295000,123,44,"phuongly, uefachampionsleague, welovevietnam",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,3,0,0,0,0,1,0,0,FALSE
😱😱 tận mắt xem Final Champions League  2025 Oigioioiiiiii #uefa  #uefachampionsleague #phuongly ,6/2/2025 22:39,2/6/2025,FALSE,https://www.tiktok.com/@phuonglytran,UEFA Champions League Anthem (Full Version),7.0805E+18,https://www.tiktok.com/@phuonglytran/video/7511377225023851794,87,6020,49,187500,88,53,"uefa, uefachampionsleague, phuongly",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,3,8,0,0,0,0,1,0,FALSE
Em là báu vật lung linhhh ✨🫶 #phuongly #emxinhsayhi ,6/2/2025 17:12,2/6/2025,FALSE,https://www.tiktok.com/@phuonglytran,ĐÃ XINH LẠI CÒN THÔNG MINH,7.5099E+18,https://www.tiktok.com/@phuonglytran/video/7511292791356394760,30,75800,778,931000,1202,345,"phuongly, emxinhsayhi",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,6,0,0,1,0,0,0,FALSE
Đi đu kk #phuongly #emxinh ,5/28/2025 17:02,28/05/2025,FALSE,https://www.tiktok.com/@phuonglytran,BRODYAGA FUNK,7.30178E+18,https://www.tiktok.com/@phuonglytran/video/7509434788063825160,10,7939,28,254000,118,42,"phuongly, emxinh",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,2,3,0,0,1,0,0,0,FALSE
Dừng đèn đỏ quẩy Nhạc trẻ remix tiktok triệu view hay nhất hiện nay 🤡  @Andree Right Hand   #tiktokgiaitri ,5/18/2025 1:34,17/05/2025,FALSE,https://www.tiktok.com/@phuonglytran,nhạc nền - Andree Right Hand,7.5043E+18,https://www.tiktok.com/@phuonglytran/video/7505484865526336776,50,77100,2585,1500000,1183,218,", tiktokgiaitri",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,1,17,1,0,0,0,0,1,FALSE
Tít tót k fai là cha #phuongly ,5/15/2025 19:56,15/05/2025,FALSE,https://www.tiktok.com/@phuonglytran,nhạc nền - Hùng Didu,7.489E+18,https://www.tiktok.com/@phuonglytran/video/7504655604699499783,40,127200,2873,2600000,2064,328,phuongly,FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,0,1,6,0,0,0,1,0,0,FALSE
😭😭 #phuongly #emxinhsayhi ,5/13/2025 11:38,13/05/2025,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.50379E+18,https://www.tiktok.com/@phuonglytran/video/7503785020193115399,8,41200,540,658000,499,101,"phuongly, emxinhsayhi",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,FALSE
Nói Yêu PhươngLy ngay 🔫 #phuongly #emxinhsayhi ,5/12/2025 14:27,12/5/2025,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Monsterpandaz0,7.40359E+18,https://www.tiktok.com/@phuonglytran/video/7503457616610348306,26,3179,26,139100,81,51,"phuongly, emxinhsayhi",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,4,0,0,1,0,0,0,FALSE
Em dự tiệc 😍 #phuongly #CHANEL ,5/11/2025 13:28,11/5/2025,FALSE,https://www.tiktok.com/@phuonglytran,original sound - Phương Ly Trần,7.50307E+18,https://www.tiktok.com/@phuonglytran/video/7503071254522481927,19,2002,10,124900,43,23,"phuongly, chanel",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,3,0,0,1,0,0,1,FALSE
🐥 #phuongly #emxinhsayhi ,5/9/2025 23:21,9/5/2025,FALSE,https://www.tiktok.com/@phuonglytran,original sound - soundeffectpack,7.22838E+18,https://www.tiktok.com/@phuonglytran/video/7502481815752494354,15,37600,2767,974100,418,531,"phuongly, emxinhsayhi",FALSE,FALSE,phuonglytran,FALSE,FALSE,FALSE,1,2,0,0,0,0,0,1,0,FALSE
