text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Kẹo dẻo Hamburger🤤😂😬🤩#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #mukbangvideo #foodtiktok #food #mukbang ,6/13/2025 16:42,13/06/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,nhạc nền - Lily🥧🧃,7.34171E+18,https://www.tiktok.com/@rinavaseoul2003/video/7515367039435951367,43,171,0,3815,4,16,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, mukbangvideo, foodtiktok, food, mukbang",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,11,3,0,0,1,0,0,0,FALSE
Thử đồ skincare ở hiệu thuố.c Hàn Quốc ? 🤔😬🤩#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #skincare #beauty #lamdep ,6/12/2025 20:12,12/6/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,like JENNIE,7.47889E+18,https://www.tiktok.com/@rinavaseoul2003/video/7515050096883453192,53,339,14,7132,19,15,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, skincare, beauty, lamdep",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,10,9,0,0,0,1,0,0,FALSE
Da bị kích ứng thì làm thế nào ?😬😭🫧🧖🏻‍♀️🤔🥹#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #SKIN1004 #Serumrauma #Diudanhaycam​ #skincare #beauty #lamdep ,6/8/2025 15:26,8/6/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,like JENNIE,7.47889E+18,https://www.tiktok.com/@rinavaseoul2003/video/7513491916525210887,56,1265,32,32800,56,16,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, skin1004, serumrauma, diudanhaycam, skincare, beauty, lamdep",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,13,10,0,0,1,0,0,1,FALSE
Quả đào yêu thích của chị Jisoo 🤤🤩🫧😁😍💞#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #mukbang #food #foodtiktok #mukbangvideo #jisoo #jisooblackpink ,6/7/2025 15:33,7/6/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,B U B B L E G U M,7.10965E+18,https://www.tiktok.com/@rinavaseoul2003/video/7513122721404947719,39,16600,201,367500,401,68,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, mukbang, food, foodtiktok, mukbangvideo, jisoo, jisooblackpink",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,13,7,0,0,1,0,0,1,FALSE
Thèm đến mức mơ ngủ cũng thấy🤤🥲😂😂😂#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #mukbang #food #foodtiktok #mukbangvideo ,6/5/2025 16:29,5/6/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,B U B B L E G U M,7.10965E+18,https://www.tiktok.com/@rinavaseoul2003/video/7512394983119277320,72,3260,68,87900,119,38,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, mukbang, food, foodtiktok, mukbangvideo",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,11,7,0,0,1,0,0,0,FALSE
Da mỏng yếu làm thế nào ? 🤔😭🫧🛁#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #skincaretips #realbarriervn #hibisvn #skincareroutine #skincare #beauty #lamdep ,6/4/2025 15:23,4/6/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,like JENNIE,7.47889E+18,https://www.tiktok.com/@rinavaseoul2003/video/7512006964583582994,67,740,13,22500,88,12,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, skincaretips, realbarriervn, hibisvn, skincareroutine, skincare, beauty, lamdep",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,14,7,0,0,1,0,0,0,FALSE
17 tiếng làm gì ở trên máy bay ?🤔😬🤩😂🤡🫧🛁🧖🏻‍♀️🧼#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #mukbang #mukbangvideo #lamdep #skincare #viraltiktok ,6/2/2025 16:58,2/6/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,B U B B L E G U M,7.10965E+18,https://www.tiktok.com/@rinavaseoul2003/video/7511289224809958663,45,12600,179,240100,226,60,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, mukbang, mukbangvideo, lamdep, skincare, viraltiktok",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,12,9,0,0,1,0,0,0,FALSE
Phô mai ăn được cả vỏ ?🤩🤔😂🤤#rinavaseoul #trending #trend #viral #viralvideo #xuhuong #xuhuongtiktok #mukbang #mukbangeatingshow #mukbangvideo #food ,6/1/2025 17:40,1/6/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,France・Paris・Street corner・Musette Waltz(1310247),7.14632E+18,https://www.tiktok.com/@rinavaseoul2003/video/7510928905537162514,64,99000,2477,2500000,5232,808,"rinavaseoul, trending, trend, viral, viralvideo, xuhuong, xuhuongtiktok, mukbang, mukbangeatingshow, mukbangvideo, food",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,11,7,0,0,1,0,0,1,FALSE
"Cushion nào dùng vào mùa hè ?🤔🤩🛁🧼🫧✨🧖🏻‍♀️#rinavaseoul #lamdep #skincare #trending #trend #viral #skincaretips #viraltiktok #clubcliovietnam
#cushionclio #makeupclio #peripera
#periperavietnam
#sonperipera  #viralvideo #beauty ",5/26/2025 17:12,26/05/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,like JENNIE,7.47889E+18,https://www.tiktok.com/@rinavaseoul2003/video/7508695358373940488,64,11900,484,422600,1500,173,"rinavaseoul, lamdep, skincare, trending, trend, viral, skincaretips, viraltiktok, clubcliovietnam, cushionclio, makeupclio, peripera, periperavietnam, sonperipera, viralvideo, beauty",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,2,16,7,0,0,1,0,0,0,FALSE
"Dầu tẩy trang mà mình dùng từ cấp 3 ? 😬🧖🏻‍♀️🛁🫧🥹#rinavaseoul #lamdep #skincare #trending #trend #viral #skincaretips #viraltiktok #viralvideo #taytranglorealparis #lorealparis #lorealparisskin #lorealparispartner
#xuhuong #xuhuongtiktok #beauty ",5/25/2025 17:26,25/05/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,BIRDS OF A FEATHER,7.36937E+18,https://www.tiktok.com/@rinavaseoul2003/video/7508327764475317511,60,23800,579,548400,934,156,"rinavaseoul, lamdep, skincare, trending, trend, viral, skincaretips, viraltiktok, viralvideo, taytranglorealparis, lorealparis, lorealparisskin, lorealparispartner, xuhuong, xuhuongtiktok, beauty",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,16,11,0,0,1,0,0,1,FALSE
Dùng gì cho da bị mụ.n ẩn ?🤔🧖🏻‍♀️🫧🧼🛁#rinavaseoul #trending #trend #viral #xuhuong #lamdep #viralvideo #beautytips #beauty #skincaretips #celimax #celimaxvn #noniampoule #bhaheartleaf #hibisvn ,5/23/2025 16:50,23/05/2025,TRUE,https://www.tiktok.com/@rinavaseoul2003,like JENNIE,7.47889E+18,https://www.tiktok.com/@rinavaseoul2003/video/7507576341022117138,57,24500,732,848200,5364,130,"rinavaseoul, trending, trend, viral, xuhuong, lamdep, viralvideo, beautytips, beauty, skincaretips, celimax, celimaxvn, noniampoule, bhaheartleaf, hibisvn",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,15,8,0,0,1,0,0,0,FALSE
Biết thế vợt sẵn 2 bộ😬😂🛁🧖🏻‍♀️🫧🧼✨#rinavaseoul #trending #trend #viral #xuhuong #beauty #skincaretips #lamdep #beautytips #viralvideo #Biomeek #kcnbiomeek #botdauruamatbiomeek #combobaovelamsach,5/21/2025 17:34,21/05/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,like JENNIE,7.47889E+18,https://www.tiktok.com/@rinavaseoul2003/video/7506845378923203847,72,2073,64,93100,215,49,"rinavaseoul, trending, trend, viral, xuhuong, beauty, skincaretips, lamdep, beautytips, viralvideo, biomeek, kcnbiomeek, botdauruamatbiomeek, combobaovelamsach",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,14,6,0,0,1,0,0,0,FALSE
Xịt mùa hè🤩😬🥹🫧🛁🧼🤔🧖🏻‍♀️✨#rinavaseoul #trending #trend #viral #xuhuong #beauty #skincaretips #lamdep ##khumuiwingsup #hoinach #tuhaohangviet #buylocal #skincare #beautytips #viralvideo ,5/20/2025 17:41,20/05/2025,TRUE,https://www.tiktok.com/@rinavaseoul2003,My Bubble Gum,6.83732E+18,https://www.tiktok.com/@rinavaseoul2003/video/7506476303021788434,47,2349,83,79400,349,27,"rinavaseoul, trending, trend, viral, xuhuong, beauty, skincaretips, lamdep, khumuiwingsup, hoinach, tuhaohangviet, buylocal, skincare, beautytips, viralvideo",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,15,4,0,0,1,0,0,0,FALSE
Trong lon nước có chanh tươi ?🤩🤔🫧✨#rinavaseoul  #trending #trend #viral  #xuhuong #mukbang #food #kfood #gdragon #trend #trending #viralvideo #foodtiktok #koreafood #xuhuongtiktok ,5/19/2025 16:59,19/05/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,Matcha Boba,7.28927E+18,https://www.tiktok.com/@rinavaseoul2003/video/7506094277471063304,52,21100,575,468200,867,153,"rinavaseoul, trending, trend, viral, xuhuong, mukbang, food, kfood, gdragon, trend, trending, viralvideo, foodtiktok, koreafood, xuhuongtiktok",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,15,7,0,0,1,0,0,0,FALSE
Serum lấp lánh thì dùng như thế nào? 🤔🧖🏻‍♀️🫧🤔🤩 #rinavaseoul #beauty #trending #trend #viral #skincare #skincaretips #xuhuong #lamdep #xuhuongtiktok #OLAYSuperSerum #OLAYPartner ,5/17/2025 19:00,17/05/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,Priceless,7.49728E+18,https://www.tiktok.com/@rinavaseoul2003/video/7505383309921307911,56,469,13,25200,40,12,"rinavaseoul, beauty, trending, trend, viral, skincare, skincaretips, xuhuong, lamdep, xuhuongtiktok, olaysuperserum, olaypartner",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,12,9,0,0,0,1,0,1,FALSE
Peel da thôi nàoo🤩🛁🧖🏻‍♀️🫧#rinavaseoul #trending #trend #xuhuong #xuhuongtiktok #viralvideo #lamdep #skincareroutine #skincaretips #heimish #heimishvn #beauty @heimish Vietnam @StyleKorean_VN ,5/15/2025 17:06,15/05/2025,TRUE,https://www.tiktok.com/@rinavaseoul2003,BIRDS OF A FEATHER,7.36937E+18,https://www.tiktok.com/@rinavaseoul2003/video/7504611825053486343,70,11200,408,463000,2216,118,"rinavaseoul, trending, trend, xuhuong, xuhuongtiktok, viralvideo, lamdep, skincareroutine, skincaretips, heimish, heimishvn, beauty, , ",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,3,12,7,0,0,1,0,0,0,FALSE
Đố cả nhà nay em có quả gì ?🤔😬😂🤤#rinavaseoul  #trending #trend #xuhuong #xuhuongtiktok #mukbang #food #fruit #mukbangvideo #viral #viralvideo ,5/14/2025 18:23,14/05/2025,FALSE,https://www.tiktok.com/@rinavaseoul2003,Matcha Boba,7.28927E+18,https://www.tiktok.com/@rinavaseoul2003/video/7504260483143306514,48,49500,1533,1400000,2660,1064,"rinavaseoul, trending, trend, xuhuong, xuhuongtiktok, mukbang, food, fruit, mukbangvideo, viral, viralvideo",FALSE,FALSE,rinavaseoul2003,FALSE,FALSE,FALSE,1,11,9,0,0,0,1,0,0,FALSE
