text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Unboxing p.2 còn p.3 🤦‍♀️

#boxing #makeup #kbeauty #reviewmypham #sephora #goclamdep #learnontiktok ",6/13/2025 18:20,13/06/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51539E+18,https://www.tiktok.com/@rose_do18/video/7515392395349871880,172,103,7,1436,3,6,"boxing, makeup, kbeauty, reviewmypham, sephora, goclamdep, learnontiktok",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,2,7,5,0,0,0,1,0,0,FALSE
"✨Unboxing với Tui nè 🧡

#unboxing #sephorahaul #sephora 
@ONE SIZE BEAUTY @Pat McGrath Labs #peachandlily #glowyskin 
#goclamdep #mypham #highend ",6/12/2025 18:21,12/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51502E+18,https://www.tiktok.com/@rose_do18/video/7515021441906068743,154,361,5,4324,28,46,"unboxing, sephorahaul, sephora, peachandlily, glowyskin, goclamdep, mypham, highend",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,2,8,10,0,0,0,1,0,0,FALSE
"🤩 Fill đầy cốp son bóng cùng Maybelline💄

#Maybelline #makeup #MaybellinePartner 
#reviewlamdep #reviewson #sonbong #goclamdep #reviewmypham #highend ",6/11/2025 19:16,11/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51466E+18,https://www.tiktok.com/@rose_do18/video/7514664527141620999,126,113,2,2045,7,17,"maybelline, makeup, maybellinepartner, reviewlamdep, reviewson, sonbong, goclamdep, reviewmypham, highend",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,2,9,7,0,0,0,1,0,0,FALSE
"🤩Kem nền Estée Lauder có dày như tưởng tượng 🤓 

#MyShadeMyStory
#WatchMe
#esteelauder #kemnen #makeup #reviewmakeup #reviewlamdep #goclamdep #makeup ",6/10/2025 19:16,10/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51429E+18,https://www.tiktok.com/@rose_do18/video/7514293465472109831,256,273,3,3984,15,40,"myshademystory, watchme, esteelauder, kemnen, makeup, reviewmakeup, reviewlamdep, goclamdep, makeup",FALSE,TRUE,rose_do18,FALSE,TRUE,FALSE,2,9,9,0,0,0,1,0,0,FALSE
"🧏‍♀️Try on son bóng mệnh danh bản dupe đẹp hơn lip oil Di_or 😝

#elf #lipoil #makeup #goclamdep ",6/9/2025 19:58,9/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51393E+18,https://www.tiktok.com/@rose_do18/video/7513933277623880968,75,132,2,1987,4,26,"elf, lipoil, makeup, goclamdep",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,3,4,13,0,0,0,1,0,0,FALSE
"Sự thật đằng sau các clip makeup của Tui 🤪🤪🤪 

#shelby #makeup #goclamdep #viral ",6/8/2025 22:03,8/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51359E+18,https://www.tiktok.com/@rose_do18/video/7513594280175340807,14,80,1,1423,2,9,"shelby, makeup, goclamdep, viral",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,1,4,9,0,0,0,0,1,1,FALSE
"@𝐒𝐇𝐄𝐋𝐁𝐘 𝐀𝐍𝐍 I want to send you a hug from Vietnam 🙋‍♀️🤗💋

#shelby #drugstoremakeup #drugstore #makeuptutorial #makeup #goclamdep 
@Maybelline New York 
#lorealparis #loreal 
@elfcosmetics
@Thayers 
@So Natural Việt Nam #fixxsettingspray 
@Silkygirl Cosmetics PH 
@Silkygirl Việt Nam 
@AZTK Việt Nam ",6/8/2025 19:21,8/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51355E+18,https://www.tiktok.com/@rose_do18/video/7513552527720287496,503,288,19,4379,29,10,", shelby, drugstoremakeup, drugstore, makeuptutorial, makeup, goclamdep, , lorealparis, loreal, , , , fixxsettingspray, , , ",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,3,9,30,0,0,0,1,0,1,FALSE
"Cuối tuần vui vẻ nha mấy Người Đẹp🧏‍♀️ 
#makeup #goclamdep ",6/7/2025 11:46,7/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51306E+18,https://www.tiktok.com/@rose_do18/video/7513064308314508551,14,188,1,3125,8,85,"makeup, goclamdep",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,2,2,8,0,1,0,0,0,1,FALSE
"✨Try on son bóng Maybelline dòng Lifter Gloss hot rần rần trời Tây nay đã về 🇻🇳❤️💁‍♀️
#Maybelline #makeup #MaybellinePartner 
#reviewlamdep #reviewmakeup #goclamdep #learnontiktok ",6/6/2025 18:35,6/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.5128E+18,https://www.tiktok.com/@rose_do18/video/7512798647277391111,35,763,41,5145,49,25,"maybelline, makeup, maybellinepartner, reviewlamdep, reviewmakeup, goclamdep, learnontiktok",FALSE,TRUE,rose_do18,FALSE,TRUE,FALSE,4,7,17,0,0,0,1,0,0,FALSE
"Thời tới rồi mấy Mom ơi. Ựng dí rồi 🤦‍♀️

#reviewlamdep #matna #makeup #reviewmakeup #goclamdep #skincare #chamda 
#WIS#WISSVN ",6/5/2025 18:38,5/6/2025,FALSE,https://www.tiktok.com/@rose_do18,nhạc nền - Rose🌸Do,7.51243E+18,https://www.tiktok.com/@rose_do18/video/7512428227315485960,69,94,1,1886,5,8,"reviewlamdep, matna, makeup, reviewmakeup, goclamdep, skincare, chamda, wis, wis",FALSE,FALSE,rose_do18,FALSE,TRUE,FALSE,2,9,10,0,0,0,1,0,0,FALSE
