text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Ai nghĩ đây chỉ là kem chống nắng không trời 😌 #beautytok #goclamdep #thaodoanmakeup #isntree #kcn ,2025-06-12 19:48:29,12/06/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7515043917788646161,https://www.tiktok.com/@rosermae/video/7515043887388347666,62,332,4,13800,25,5,"beautytok, goclamdep, thaodoanmakeup, isntree, kcn",False,True,rosermae,False,True,False,1,5,10,0,0,0,1,0,0,False
Tủ đồ mà có một chiếc váy lụa đen thì nhất định phải thử kiểu makeup nàyyyyy #beautytok #goclamdep #thaodoanmakeup #learnontiktok #longervideos ,2025-06-08 20:25:09,08/06/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7513569241686199056,https://www.tiktok.com/@rosermae/video/7513569000505216264,131,1881,58,88400,350,41,"beautytok, goclamdep, thaodoanmakeup, learnontiktok, longervideos",False,False,rosermae,False,True,False,0,5,17,0,0,0,1,0,1,False
Vật bất ly thân của tui khi đi du lịch nè! #beautytok #goclamdep #thaodoanmakeup #larocheposaypartner #cicaplast ,2025-06-07 22:42:47,07/06/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7513233515895393040,https://www.tiktok.com/@rosermae/video/7513233382432591112,66,371,5,25000,35,5,"beautytok, goclamdep, thaodoanmakeup, larocheposaypartner, cicaplast",False,True,rosermae,False,True,False,0,5,11,0,0,0,0,1,1,False
Tips makeup với son đỏ đơn giản mà sang nè #beautytok #goclamdep #thaodoanmakeup #learnontiktok #xh #viral #fyp #colorkey  #sonxinh #sonMLBB ,2025-06-05 20:51:15,05/06/2025,True,https://www.tiktok.com/@rosermae,Chill Kitty (Lofi),7427542195022137361,https://www.tiktok.com/@rosermae/video/7512462471249022216,65,3490,87,183100,333,46,"beautytok, goclamdep, thaodoanmakeup, learnontiktok, xh, viral, fyp, colorkey, sonxinh, sonmlbb",False,False,rosermae,False,True,False,0,10,10,0,0,0,1,0,0,False
Kem nền chống nắng 2 trong 1 luôn này #beautytok #goclamdep #thaodoanmakeup #learnontiktok #carslan ,2025-06-04 21:23:13,04/06/2025,True,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7512099768470981393,https://www.tiktok.com/@rosermae/video/7512099624518159624,79,2103,44,79000,158,22,"beautytok, goclamdep, thaodoanmakeup, learnontiktok, carslan",False,False,rosermae,False,True,False,0,5,9,0,0,0,1,0,0,False
"Tut lên rồi đây ahhh, hơi dài mn chịu khó lưu lại rồi thực hành nhaaa #beautytok #goclamdep #thaodoanmakeup #learnontiktok #longervideos ",2025-06-02 19:34:01,02/06/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7511329662476274449,https://www.tiktok.com/@rosermae/video/7511329306757319944,195,29000,933,511100,12600,205,"beautytok, goclamdep, thaodoanmakeup, learnontiktok, longervideos",False,False,rosermae,False,True,False,0,5,16,0,0,0,1,0,0,False
"Về sau tui muốn lên nhiều video giải thích nguyên lý tại sao hơn, hơi dài dòng chút nhưng tui thấy khá cần thiết 🥲 không biết mn có muốn xem mấy nội dung kiểu ntn không? #beautytok #goclamdep #thaodoanmakeup #learnontiktok ",2025-06-01 18:44:11,01/06/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7510945407250320129,https://www.tiktok.com/@rosermae/video/7510945380599663890,70,12800,289,294500,2521,74,"beautytok, goclamdep, thaodoanmakeup, learnontiktok",False,False,rosermae,False,True,False,1,4,36,0,0,0,1,0,1,False
Phấn này tui cho bạn tui dùng 10 người thì 10 người hỏi xin link mua 🤷‍♀️ #beautytok #goclamdep #thaodoanmakeup  #florasis，#HoaTâyTử， #PhấnPhủKiềmDầu，#settingpowder， #KemNềnTựNhiên ,2025-05-31 19:23:46,31/05/2025,True,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7510584529828989713,https://www.tiktok.com/@rosermae/video/7510584499462294792,138,1027,26,178800,99,22,"beautytok, goclamdep, thaodoanmakeup, florasis，, hoatâytử，, phấnphủkiềmdầu，, settingpowder，, kemnềntựnhiên",False,True,rosermae,False,True,False,2,8,19,0,0,0,1,0,1,False
Dành ra thêm 2 phút đánh son hiệu quả khác hẳn nha 😌 #beautytok #goclamdep #thaodoanmakeup #3CEVN #glazyglow #3andChịEm #3CEPartner ,2025-05-30 22:20:42,30/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7510259129122933505,https://www.tiktok.com/@rosermae/video/7510258999569173778,60,5011,93,217100,1380,20,"beautytok, goclamdep, thaodoanmakeup, 3cevn, glazyglow, 3andchịem, 3cepartner",False,False,rosermae,False,True,False,1,7,12,0,0,0,0,1,0,False
Cái này thì khen thật nha #beautytok #goclamdep #thaodoanmakeup ,2025-05-29 20:08:20,29/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7509853845117651729,https://www.tiktok.com/@rosermae/video/7509853805953993991,77,1514,20,68700,49,16,"beautytok, goclamdep, thaodoanmakeup",False,False,rosermae,False,True,False,0,3,6,0,0,0,1,0,0,False
Trong cốp makeup lúc nào cũng không thể thiếu một thỏi son bóng trong suốt á #beautytok #goclamdep #thaodoanmakeup #maybelline #makeup #liftergloss #maybellinepartner ,2025-05-27 18:33:52,27/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7509087460194913041,https://www.tiktok.com/@rosermae/video/7509087288131931399,78,3162,41,120500,317,24,"beautytok, goclamdep, thaodoanmakeup, maybelline, makeup, liftergloss, maybellinepartner",False,True,rosermae,False,True,False,0,7,16,0,0,0,1,0,0,False
Cuối cùng trend tông ấm đã quay lại 😆 #beautytok #goclamdep #thaodoanmakeup  #pupcm ,2025-05-25 19:34:11,25/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7508360702739532545,https://www.tiktok.com/@rosermae/video/7508360672468569351,83,654,5,52700,55,9,"beautytok, goclamdep, thaodoanmakeup, pupcm",False,False,rosermae,False,True,False,1,4,8,0,0,0,1,0,1,False
"Hàng giả hàng nhái nhiều lắm các bà, cái gì có mall chính thức thì cứ thế mà mua cho yên tâm #beautytok #goclamdep #taytranglorealparis #lorealparis #lorealparisskin #lorealparispartner",2025-05-24 21:32:24,24/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7508020232603503376,https://www.tiktok.com/@rosermae/video/7508020048930426120,92,365,8,57100,35,26,"beautytok, goclamdep, taytranglorealparis, lorealparis, lorealparisskin, lorealparispartner",False,True,rosermae,False,True,False,0,6,22,0,0,0,1,0,1,False
"Màu 118 là tui make cho mẫu 10 người đến 6-7 người tệp da, phải nói là nền siêu hợp tone da Việt luôn! #beautytok #goclamdep #thaodoanmakeup #learnontiktok #maybelline #makeup #fitme #maybellinepartner ",2025-05-23 21:20:13,23/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7507645850449890064,https://www.tiktok.com/@rosermae/video/7507645813636762887,87,7066,113,190500,1321,93,"beautytok, goclamdep, thaodoanmakeup, learnontiktok, maybelline, makeup, fitme, maybellinepartner",False,False,rosermae,False,True,False,0,8,24,0,0,0,1,0,0,False
Thích cái tone make chủ đạo của năm nay ghê 🥺 #beautytok #goclamdep #thaodoanmakeup  #3CEVN #glazyglow #3andChịEm #3CEPartner ,2025-05-22 20:23:31,22/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7507260154111462145,https://www.tiktok.com/@rosermae/video/7507260127183916306,81,467,12,46200,58,10,"beautytok, goclamdep, thaodoanmakeup, 3cevn, glazyglow, 3andchịem, 3cepartner",False,True,rosermae,False,True,False,1,7,10,0,0,0,1,0,0,False
Dạo này lười là chỉ bôi mỗi em này xong rồi make luôn #beautytok #goclamdep #thaodoanmakeup  #judydollvn #kemlotduongam #makeupbase ,2025-05-21 21:14:59,21/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7506902334095002384,https://www.tiktok.com/@rosermae/video/7506902308190440712,38,2271,96,203100,294,87,"beautytok, goclamdep, thaodoanmakeup, judydollvn, kemlotduongam, makeupbase",False,True,rosermae,False,True,False,0,6,13,0,0,0,1,0,0,False
Lý do tại sao nền dễ bị xuống tone #beautytok #goclamdep #thaodoanmakeup #codeglokolor ,2025-05-20 20:37:17,20/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7506521536195611393,https://www.tiktok.com/@rosermae/video/7506521505962986770,104,4194,60,118000,481,35,"beautytok, goclamdep, thaodoanmakeup, codeglokolor",False,False,rosermae,False,True,False,0,4,9,0,0,0,1,0,0,False
Mặt tui dạo này ổn định hơn nhiều luôn #beautytok #goclamdep #thaodoanmakeup #CetaphilVN#CetaphilSerum #SerumPhucHoi ,2025-05-16 15:12:36,16/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7504953520601303809,https://www.tiktok.com/@rosermae/video/7504953489773104391,74,5341,202,65400,44,181,"beautytok, goclamdep, thaodoanmakeup, cetaphilvn, cetaphilserum, serumphuchoi",False,False,rosermae,False,True,False,0,6,9,0,0,1,0,0,0,False
Hôm đấy tui run lắm lắm luôn 😭 #BeautyTok #thaodoanmakeup #goclamdep #tedx #tedxtalks #tedxtpc2025 @TEDxYouth@TPC 2025 #PullmanHaiPhongGrandHotel ,2025-05-15 19:13:36,15/05/2025,False,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7504644540124400401,https://www.tiktok.com/@rosermae/video/7504644516280798472,50,1847,44,69000,25,11,"BeautyTok, thaodoanmakeup, goclamdep, tedx, tedxtalks, tedxtpc2025, , PullmanHaiPhongGrandHotel",False,False,rosermae,False,True,False,1,7,9,0,0,0,1,0,0,False
"Ngày nào cũng phơi nắng mười mấy tiếng đồng hồ mà không bị đen đi 👌 #beautytok #thaodoanmakeup #goclamdep #larocheposaypartner
#larocheposay 
#larocheposayvn 
#MelaB3 ",2025-05-14 21:03:13,14/05/2025,True,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7504301708470782721,https://www.tiktok.com/@rosermae/video/7504301675717397768,59,24100,247,2300000,634,72,"beautytok, thaodoanmakeup, goclamdep, larocheposaypartner, larocheposay, larocheposayvn, melab3",False,True,rosermae,False,True,False,1,7,15,0,0,0,1,0,0,False
Phấn phủ này ai follow tui từ thời xưa cũ chắc quen lắm nè #beautytok #thaodoanmakeup #goclamdep #learnontiktok #kato ,2025-05-11 19:08:49,11/05/2025,True,https://www.tiktok.com/@rosermae,original sound - Thảo Đoàn,7503158972607499009,https://www.tiktok.com/@rosermae/video/7503158943057710354,98,13200,143,787700,740,73,"beautytok, thaodoanmakeup, goclamdep, learnontiktok, kato",False,False,rosermae,False,True,False,0,5,14,0,0,0,1,0,1,False
