text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Chúc các bạn đánh nền bon tay #ipknvn #ipkn #cushiontonecover #rating #review ,6/13/2025 12:22,13/06/2025,FALSE,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7.5153E+18,https://www.tiktok.com/@thangmakeup/video/7515300066509229320,105,1535,6,11500,70,1,"ipknvn, ipkn, cushiontonecover, rating, review",FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,0,5,7,0,0,1,0,0,0,FALSE
Thêm một mã mi đẹp chấn động!!! #MlenDiary #MlenDiaryMermaid #bienhinhtienca #SamDealChienHe #beautytok #goclamdep ,6/12/2025 19:01,12/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,Mermaid,7.50392E+18,https://www.tiktok.com/@thangmakeup/video/7515031691979672840,114,187,4,4696,15,10,"mlendiary, mlendiarymermaid, bienhinhtienca, samdealchienhe, beautytok, goclamdep",FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,0,6,7,0,0,0,1,0,0,FALSE
mấy món tui muốn thử không 🫢,6/12/2025 12:00,12/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,vanilla flavor,7.40512E+18,https://www.tiktok.com/@thangmakeup/video/7514923213772639495,30,1259,57,15500,101,11,,FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,1,0,6,0,0,1,0,0,0,FALSE
WARM TONE mà make COOL TONE tại sao ko #clubcliovietnam #cushionclio #makeupclio #peripera #periperavietnam #sonperipera ,6/10/2025 18:03,10/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7.51427E+18,https://www.tiktok.com/@thangmakeup/video/7514274669021711634,95,2749,11,21500,120,15,"clubcliovietnam, cushionclio, makeupclio, peripera, periperavietnam, sonperipera",FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,0,6,9,0,0,0,1,0,0,FALSE
Những món đồ makeup mua theo douyin và...,6/9/2025 18:00,9/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,vanilla flavor,7.40512E+18,https://www.tiktok.com/@thangmakeup/video/7513902803643845896,163,12300,454,124400,2852,83,,FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,0,0,8,0,0,0,1,0,0,FALSE
Oidoioi oidoioi 🫢,6/8/2025 21:02,8/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,vanilla flavor,7.40512E+18,https://www.tiktok.com/@thangmakeup/video/7513578719475174663,42,1078,123,19300,43,12,,FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,1,0,2,0,0,0,1,0,1,FALSE
Từ ngày em red earth hot bên trung ra quá trời kem lót dạng này 🫢,6/7/2025 21:00,7/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,оригинальный звук,7.32213E+18,https://www.tiktok.com/@thangmakeup/video/7513207042979532050,8,2670,81,55400,291,27,,FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,1,0,15,0,0,0,1,0,1,FALSE
chỉ so chất với mùi thôi chứ vỏ là thua luôn 😵‍💫,6/6/2025 18:00,6/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,vanilla flavor,7.40512E+18,https://www.tiktok.com/@thangmakeup/video/7512789455233830151,63,1885,24,23600,131,11,,FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,2,0,12,0,0,0,1,0,0,FALSE
phấn còn in hình các địa danh nổi tiếng tại Việt Nam xinh quá nè #meopp #reviewlamdep #makeup #beautytok #goclamdep #fyp ,6/5/2025 21:03,5/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7.51247E+18,https://www.tiktok.com/@thangmakeup/video/7512465737777220882,51,194,7,9588,25,6,"meopp, reviewlamdep, makeup, beautytok, goclamdep, fyp",FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,0,6,15,0,0,0,1,0,0,FALSE
tone makeup hợp mùa hè quá nè #sunkisser  #maybelline #makeup #maybellinepartner,6/5/2025 12:02,5/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7.51233E+18,https://www.tiktok.com/@thangmakeup/video/7512326133292010770,35,296,8,12200,16,6,"sunkisser, maybelline, makeup, maybellinepartner",FALSE,FALSE,thangmakeup,FALSE,FALSE,TRUE,0,4,7,0,0,1,0,0,0,FALSE
Son lì mà mịn môi quá trời luôn 🥹✨ @dintovietnamofficial #dinto #dintovietnam,6/4/2025 18:00,4/6/2025,TRUE,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7.51205E+18,https://www.tiktok.com/@thangmakeup/video/7512047456633261319,54,1581,19,21900,86,6,", dinto, dintovietnam",FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,1,2,9,0,0,0,1,0,0,FALSE
Tụi mình qua lại vậy nha 🫢,6/3/2025 18:02,3/6/2025,FALSE,https://www.tiktok.com/@thangmakeup,Candy Dream,7.36351E+18,https://www.tiktok.com/@thangmakeup/video/7511676875995925768,38,7708,514,104900,1098,57,,FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,1,0,6,0,0,0,1,0,0,FALSE
làm đúng ừng bước để có lớp nên chắc như bê tông #xitkhoanen #goclamdep #xuhuongtiktok #makeup #reviewlamdep ,6/2/2025 21:05,2/6/2025,TRUE,https://www.tiktok.com/@thangmakeup,nhạc nền - Thắng Makeup,7.51135E+18,https://www.tiktok.com/@thangmakeup/video/7511352870072077576,42,418,9,34000,51,8,"xitkhoanen, goclamdep, xuhuongtiktok, makeup, reviewlamdep",FALSE,FALSE,thangmakeup,FALSE,FALSE,FALSE,0,5,12,0,0,0,1,0,0,FALSE
