text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Trả lời @Phương vẫn đi làm đìu đìu nhoa bà kkk,6/11/2025 19:03,11/6/2025,FALSE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.51466E+18,https://www.tiktok.com/@thanhyvo/video/7514661131466755346,119,5864,65,147500,169,35,,FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,0,0,11,0,0,0,1,0,0,FALSE
Mi cụp dù chuốt mascara hay làm cong kĩ thì thử cách nì nhaaaa,6/10/2025 10:59,10/6/2025,TRUE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.51417E+18,https://www.tiktok.com/@thanhyvo/video/7514165448217251079,88,17100,110,116500,750,18,,FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,0,0,14,0,1,0,0,0,0,FALSE
Makeup mắt trước mấy chế thấy khác liền à #lanbena #skincare #matnamat #lanbenaeyemask #xuhuongtiktok,6/4/2025 16:01,4/6/2025,TRUE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.51202E+18,https://www.tiktok.com/@thanhyvo/video/7512016767342955784,96,10900,24,135600,177,25,"lanbena, skincare, matnamat, lanbenaeyemask, xuhuongtiktok",FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,0,5,9,0,0,1,0,0,0,FALSE
Đúng kiểu đi chơi đi học hong chịu đi mần 😂 đang làm giấy tờ năm sau em đi học rất rối quá🥲 chứ tiệm vẫn makeup như thường kkkk,5/30/2025 11:41,30/05/2025,FALSE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.51009E+18,https://www.tiktok.com/@thanhyvo/video/7510094242967031047,127,7429,33,183200,100,48,,FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,2,0,29,0,1,0,0,0,0,FALSE
Dứt chập cô dít nữa chắc hk còn nhớ gì luôn,5/22/2025 15:13,22/05/2025,FALSE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.50718E+18,https://www.tiktok.com/@thanhyvo/video/7507180132193373447,103,10700,99,309200,313,116,,FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,0,0,11,0,0,1,0,0,0,FALSE
Học tiếng Thái để làm Phiên dịch viên❌❌❌ học tiếng thái để hát karaoke ✅✅✅🤐,5/14/2025 15:31,14/05/2025,FALSE,https://www.tiktok.com/@thanhyvo,เสียงต้นฉบับ - prang_suntaree,7.36325E+18,https://www.tiktok.com/@thanhyvo/video/7504216154756386056,58,19800,204,572500,690,487,,FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,2,0,14,0,0,1,0,0,0,FALSE
Kì nì đầu tư thim xíu nên mấy chế thấy giả gái hết thấy lông necks rồi nhen #ulikevietnam #maytrietlong #ulikeair2,5/10/2025 16:06,10/5/2025,TRUE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.50274E+18,https://www.tiktok.com/@thanhyvo/video/7502740980643138834,81,2357,43,299100,131,75,"ulikevietnam, maytrietlong, ulikeair2",FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,0,3,18,0,0,1,0,0,1,FALSE
Top những thứ mà đi chụp ảnh ngoài nắng tui không thích nhứt khi makeuppppp #skincare #kemchongnang #kemchongnangchodadaumun #garniervn,5/7/2025 16:40,7/5/2025,TRUE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.50164E+18,https://www.tiktok.com/@thanhyvo/video/7501636376681549074,102,15800,78,337300,387,67,"skincare, kemchongnang, kemchongnangchodadaumun, garniervn",FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,0,4,15,0,0,1,0,0,0,FALSE
"Nuôi tóc để tự đi hiến❌
Nuôi tóc để rủ cả nhà đi hiến✅
1năm 10tháng nuôi tóc dài❤️ em, chị và mẹ đã thành công gửi đến thư viện tóc 3 phần tóc độ dài đều từ 30cm trở lên❤️🇻🇳",5/6/2025 19:42,6/5/2025,FALSE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.50131E+18,https://www.tiktok.com/@thanhyvo/video/7501312097486146823,24,17900,105,982500,269,171,,FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,5,0,41,0,0,0,1,0,0,FALSE
Hai bước vẽ chân mài diu dễ cho mấy chị #focallurevn #đổimàulôngmày #Focalluremascara #mascaralongmay #goclamdep ,5/6/2025 11:21,6/5/2025,TRUE,https://www.tiktok.com/@thanhyvo,nhạc nền - 🌹❤️Thành ý võ ❤️🌹,7.50118E+18,https://www.tiktok.com/@thanhyvo/video/7501182987006938376,90,7876,66,242800,282,66,"focallurevn, đổimàulôngmày, focalluremascara, mascaralongmay, goclamdep",FALSE,FALSE,thanhyvo,TRUE,FALSE,FALSE,0,5,10,0,1,0,0,0,0,FALSE
