text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Getting ready with Nhi tại fashion show đầu tiên của @FancìClub ở Sài Gòn! ✨🤎 cả nhà thấy outfit này của Nhi như thế nào nè? 😜 
#fancìclub #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-11 19:51:33,11/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7514685345477626641,https://www.tiktok.com/@thaonhileofficial/video/7514673585588374792,162,1253,31,32100,15,14,", fancìclub, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,2,4,25,0,0,0,1,0,0,False
"Hôm nay Nhi đu cùng các chị em xinh, em slay, em cháy nhất hệ đêm nay 💅🏻#fancìclub #quynhanhshyn #dongdaoemxinh #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-10 23:45:08,10/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7514362723552086800,https://www.tiktok.com/@thaonhileofficial/video/7514362698012921096,9,675,9,18600,7,7,"fancìclub, quynhanhshyn, dongdaoemxinh, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,1,6,17,0,0,0,0,1,0,False
"Các mom vô đây xem Nhi hoá phép làm tóc trong 10 phút nè 🪄Không cần đũa thần, chỉ cần… niềm tin và cây lược là “cháy”😌#thaonhile #thaonhileofficial #tiktokgiaitri #lamdep ",2025-06-08 20:26:23,08/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7513569337077746449,https://www.tiktok.com/@thaonhileofficial/video/7513569314658602247,21,439,5,16400,66,7,"thaonhile, thaonhileofficial, tiktokgiaitri, lamdep",False,False,thaonhileofficial,False,False,False,2,4,27,0,0,0,1,0,1,False
"Người ta cưới vì tiền, mình đi vì đồ @MAJE @Tam Sơn Fashion mới còn chưa có dịp mặc 🫣 #Majegirls #MajeVietnam #Majehighsummer #GranMelia ",2025-06-06 21:00:22,06/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7512835967149984528,https://www.tiktok.com/@thaonhileofficial/video/7512835899382697224,21,374,39,16700,10,3,", , majegirls, majevietnam, majehighsummer, granmelia",False,False,thaonhileofficial,False,False,False,1,4,19,0,0,0,1,0,0,False
"Bật mode Fancì
Mọi người thích outfit nào nhất? #fancìclub #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-04 12:15:18,04/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7511958450839112449,https://www.tiktok.com/@thaonhileofficial/video/7511958422556773640,31,448,10,10300,7,8,"fancìclub, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,0,4,9,0,0,1,0,0,0,False
"Cả nhà ơi, Nhi nè! 😎 1664 Blanc với anh Sơn Tùng M-TP đang rủ rê mình vô team “Đồng Gu” để nhận quà siêu chất, chi tiết Nhi để bên dưới comment nhaaaa!!! #BatXanhMoGuChat #1664Blanc #1664xsontungmtp ",2025-06-03 19:02:16,03/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7511692271009172240,https://www.tiktok.com/@thaonhileofficial/video/7511692214091681042,42,9137,6569,400800,40,19,"batxanhmoguchat, 1664blanc, 1664xsontungmtp",False,False,thaonhileofficial,False,False,True,1,3,33,0,0,0,1,0,0,False
"Vừa đặt chân vào YSL Beauty Vincom Đồng Khởi – concept boutique đầu tiên của YSL tại TP.HCM – Nhi đã cảm nhận được tinh thần thời thượng và tự do mà thương hiệu mang lại. Không gian tinh tế, mùi hương mê hoặc, ánh sáng hoàn hảo – nơi mọi giác quan đều được chiều chuộng đúng nghĩa 💛

Điểm nhấn không thể bỏ qua là Libre L’Eau Nue – phiên bản nước hoa mới, tươi mát mà vẫn quyến rũ đúng kiểu “tôi là chính tôi, và tôi lựa chọn rực rỡ theo cách mình muốn” 🌿🍊

Nếu đang tìm một mùi hương nhẹ nhàng nhưng vẫn đủ khiến người khác ngoái nhìn, thì đây chắc chắn là sự lựa chọn cho mùa hè này.

#YSLBeautyVN #makeup #fragrance #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-06-02 19:42:07,02/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7511331479947856657,https://www.tiktok.com/@thaonhileofficial/video/7511331392601509128,41,3052,4,18000,16,4,"yslbeautyvn, makeup, fragrance, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,2,6,125,0,0,0,1,0,0,False
Account ai người đấy đẹp nhé 🤭 #thaonhile #thaonhileofficial #tiktokgiaitri #yslbeautyvn #fragrance #makeup ,2025-06-01 19:22:09,01/06/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7510955209582299921,https://www.tiktok.com/@thaonhileofficial/video/7510955167513201938,12,323,1,7176,7,3,"thaonhile, thaonhileofficial, tiktokgiaitri, yslbeautyvn, fragrance, makeup",False,False,thaonhileofficial,False,False,False,1,6,6,0,0,0,1,0,1,False
"“Làm chủ hả? Cũng cũng á!"": Nhật ký làm baby CEO

Chia sẻ thiệt nè, làm chủ đâu phải lúc nào cũng lung linh.
Không phải lúc nào cũng dễ dàng, nhiều lúc còn không biết mình đang làm gì.
Nhưng mà… nó xứng đáng lắm á.

Không phải ai cũng có “lửa” để dấn thân, mà cũng không cần phải có.
Nhưng nếu trong bụng bạn đang râm ran cái gì đó thì đừng chờ “thời cơ""
Tin Nhi đi, không có cái gọi là ""thời cơ"" đó đâu.
Bắt đầu đi, làm nhỏ nhỏ cũng được. Quan trọng là phải BẮT ĐẦU!

1. Không phải ý tưởng hay là đủ mà là bạn làm gì với nó.
Ý tưởng thì nhan nhản.
Quan trọng là bạn nấu nó ra tô phở bò wagyu hay là đổ đi.
Thứ giữ Nhi đi tiếp là kỷ luật và đam mê nhất là mấy lúc cảm thấy muốn xách ba lô lên… và nghỉ chơi luôn.

Khi bạn thật sự tập trung, mọi thứ rõ ràng hơn.
Mà rõ rồi thì mới đi xa được.
Thành công không đến từ việc mình phải làm TẤT CẢ, mà đến từ việc bạn làm ĐÚNG THỨ, một cách đều đặn.

2. Niềm tin không phải cho là có mà phải xây nên.
Hồi mới vô nghề, Nhi… hơi ngây thơ. Tin người như tin KPI tháng này dễ thở.
Ai nói gì nghe cũng gật, tưởng ai cũng “tâm sáng như gương” vấy á.
Nhưng không nha. Cuộc đời không như mơ đâu các bà ơi!

Trong kinh doanh, tin lầm người là mất tiền thiệt đó.
Nhi học được cách phải hỏi, phải giữ tay vào guồng, phải tỉnh táo.
Vẫn có thể tử tế, nhưng phải tỉnh táo.
Niềm tin phải được gây dựng bằng hành động, không phải bằng mấy lời đường mật nha mấy người đẹp!

3. Fail 10 lần mới win 1 lần là chuyện bình thường.
Mới đầu, fail phát tưởng trời sập, muốn trốn vào chăn.
Nhưng giờ thì: fail là phần bắt buộc của quá trình.
Mỗi pha trượt dạy cho Nhi bài học mà trường lớp không ai dạy.

Càng vấp, càng lì. Càng lì, càng biết cách chơi.
Sự thật là: kinh doanh không xây bằng thành công mà xây bằng thất bại được xử lý đúng cách.

4. Làm chủ khó nưng ngồi nhìn đời trôi còn khó hơn.
Lúc nào cũng có lý do để chờ.
Lúc nào cũng có nỗi sợ, sự hoài nghi.
Nhưng mình thà sống với cái đầu yên ổn vì biết mình đã cố gắng hết sức,
còn hơn sống cả đời rồi cứ thở dài:
“Ước gì lúc đó mình liều thử một lần” kiểu vậy á, khó chịu lắm các bà.

Cứ mơ lớn, nhưng tỉnh táo.
Lập kế hoạch, tìm hiểu kỹ càng, nhưng đừng ngồi tính hoài rồi… không làm gì.

🔥 Cảm thấy trong người ""có lửa""? Quất luôn!!! #becomingbabyCEO #thaonhile #thaonhileofficial #tiktokgiaitri ",2025-05-31 19:45:23,31/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7510590101290748689,https://www.tiktok.com/@thaonhileofficial/video/7510590063835663634,12,173,2,6106,7,4,"becomingbabyceo, thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,1,4,497,0,0,0,1,0,1,False
Tưởng hai đứa đang ghi podcast 🎙️😂#thaonhile #thaonhileofficial #tiktokgiaitri ,2025-05-28 15:19:13,28/05/2025,False,https://www.tiktok.com/@thaonhileofficial,nhạc nền - Thao Nhi Le,7509408241214851856,https://www.tiktok.com/@thaonhileofficial/video/7509408209799597330,8,370,2,7971,3,7,"thaonhile, thaonhileofficial, tiktokgiaitri",False,False,thaonhileofficial,False,False,False,2,3,7,0,0,1,0,0,0,False
