text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Sinh nhật ải sinh nhật aiii🙈🙈 ig:Thaovann_02,6/7/2025 19:11,7/6/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - 200?,7.36738E+18,https://www.tiktok.com/@thaovann_0602/video/7513178801308847368,14,5032,85,46100,203,245,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,0,7,0,0,0,1,0,1,FALSE
Ai xin vía da không có mụn thì zô đâyyy #suaruamat #hobebar ig:Thaovann_02,6/2/2025 8:52,2/6/2025,TRUE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Chuyện nhà Sữa,7.38063E+18,https://www.tiktok.com/@thaovann_0602/video/7511163871604854034,44,2408,33,35600,148,67,"suaruamat, hobebar",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,0,2,11,0,1,0,0,0,0,FALSE
Không chơmm em là em đi chống lầy đóooo🌚 ig:Thaovann_02,5/30/2025 17:13,30/05/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Minh Thư Chloe 𖧷,7.48013E+18,https://www.tiktok.com/@thaovann_0602/video/7510179804100955400,15,15300,123,186900,558,272,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,0,10,0,0,1,0,0,0,FALSE
Bơi hết zô đâyyyyy♥️ #daugoi #lilystar ,5/30/2025 11:14,30/05/2025,TRUE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Chuyện nhà Sữa,7.38063E+18,https://www.tiktok.com/@thaovann_0602/video/7510087212810226962,40,9706,67,144600,404,82,"daugoi, lilystar",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,2,4,0,1,0,0,0,0,FALSE
"Chúc người đàn ông vĩ đại nhất cuộc đời của con snvv, mãi mạnh khoẻ và luôn nở nụ cười trên môi, chúc bố có tất cả trừ vất vả ♥️ ig:Thaovann_02",5/7/2025 11:25,7/5/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - 𝐌𝐈𝐍𝐇 𝐏𝐇𝐀𝐓⚜️,7.38155E+18,https://www.tiktok.com/@thaovann_0602/video/7501555181222464775,26,14600,51,192000,468,173,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,TRUE,1,0,32,0,1,0,0,0,0,FALSE
"+ 1 công dân yêu nước. Nếu kiếp sau vẫn được làm người, tôi vẫn muốn được làm công dân Việt Nam♥️ ig:Thaovann_02",4/26/2025 12:01,26/04/2025,FALSE,https://www.tiktok.com/@thaovann_0602,Máu Đỏ Da Vàng Wang2k8 Remix,7.48457E+18,https://www.tiktok.com/@thaovann_0602/video/7497482487904439559,44,13500,186,213500,659,293,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,TRUE,1,0,23,0,0,1,0,0,1,FALSE
"Lấy chồng nhưng k bỏ cuộc chơi c nhaa, chúc c gái tuii trăm năm hạnh phúc, sớm sinh quý tử♥️🙆🏻‍♀️ @Hạ Nhiên ig:Thaovann_02",4/13/2025 15:04,13/04/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Huỳnh Thiên Di,7.35908E+18,https://www.tiktok.com/@thaovann_0602/video/7492705462111046930,21,70100,487,1100000,2282,415,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,3,0,24,0,0,1,0,0,1,FALSE
Lên xe đi cưngg🏍️🏍️ ig:Thaovann_02,4/11/2025 21:22,11/4/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - npl💐,7.39282E+18,https://www.tiktok.com/@thaovann_0602/video/7492060938288467218,18,16800,78,264500,625,176,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,2,0,5,0,0,0,1,0,0,FALSE
"Thắng đời 1-0, đi chơi có ảnh đẹp mang về 🙆🏻‍♀️ ig:Thaovann_02",4/8/2025 12:39,8/4/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - P.C. Tòng,7.48677E+18,https://www.tiktok.com/@thaovann_0602/video/7490812895786241288,22,38400,357,493100,1258,180,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,2,0,12,0,0,1,0,0,0,FALSE
Thơm ngon bổ rẻ🫶🏻 #suatam #lilystar ig:Thaovann_02,4/4/2025 20:18,4/4/2025,TRUE,https://www.tiktok.com/@thaovann_0602,Very cute melody by marimba tone(39813),6.84997E+18,https://www.tiktok.com/@thaovann_0602/video/7489446792745045253,43,56300,820,1600000,3282,167,"suatam, lilystar",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,2,5,0,0,0,1,0,0,FALSE
Mọi người đi xem phim onl với tuii nhe kikii♥️ #CGV #CGVCinemas ig:Thaovann_02,4/1/2025 19:01,1/4/2025,TRUE,https://www.tiktok.com/@thaovann_0602,cute kawaii,7.38995E+18,https://www.tiktok.com/@thaovann_0602/video/7488313663229627653,63,8712,103,310000,529,187,"cgv, cgvcinemas",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,2,11,0,0,0,1,0,0,FALSE
Tìm được chân ái chưa các người đẹp🤭 #suaruamat #hobebar,3/21/2025 21:05,21/03/2025,TRUE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Nguyễn Vân🧸,7.48426E+18,https://www.tiktok.com/@thaovann_0602/video/7484263725281611015,54,3437,58,100200,215,121,"suaruamat, hobebar",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,2,8,0,0,0,1,0,0,FALSE
Ai chưa tìm được chân ái thì ở đây có nhaaa♥️ #nuocgiat #joykity ig:Thaovann_02,3/18/2025 10:29,18/03/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Chuyện nhà Sữa,7.38063E+18,https://www.tiktok.com/@thaovann_0602/video/7482986469406149895,53,3435,47,78800,222,110,"nuocgiat, joykity",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,2,12,0,1,0,0,0,0,FALSE
Váy đẹp nma nhảy hơi 6 kaka @Amelie Official ig:Thaovann_02,3/14/2025 20:27,14/03/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - 𝙄𝙏𝘿.𝘼𝙣𝙝𝙌𝙪𝙖̂𝙣♻,7.04023E+18,https://www.tiktok.com/@thaovann_0602/video/7481656278419311880,16,12500,223,225900,729,378,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,0,0,10,0,0,0,1,0,0,FALSE
Ai là nữ công gia chánh thì ở lại xem hết clip này nhennn🤭 #nuoctayboncau #flashman ig:Thaovan_02,3/12/2025 20:17,12/3/2025,FALSE,https://www.tiktok.com/@thaovann_0602,So Cute,7.07023E+18,https://www.tiktok.com/@thaovann_0602/video/7480911531010444552,55,2359,17,65600,161,109,"nuoctayboncau, flashman",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,2,15,0,0,0,1,0,0,FALSE
Đừng vội lướt qua nha…♥️ #nuocsucmieng #hobebar ,3/3/2025 20:59,3/3/2025,FALSE,https://www.tiktok.com/@thaovann_0602,cute kawaii,7.38995E+18,https://www.tiktok.com/@thaovann_0602/video/7477582680436018440,74,3583,40,76400,215,114,"nuocsucmieng, hobebar",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,1,2,5,0,0,0,1,0,0,FALSE
"Lên xe đi cưngg🤣, anh đưa về nhà anh iuuu🫰🏻 ig:Thaovann_02",2/21/2025 19:40,21/02/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - 105??💗💗,7.46519E+18,https://www.tiktok.com/@thaovann_0602/video/7473851287868558599,15,45400,1042,2000000,2691,1319,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,2,0,11,0,0,0,1,0,0,FALSE
"Ây khoannn, chị em đừng vội lướt qua nhaaaa #lankhumui #hobebar ",2/18/2025 19:27,18/02/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Ngắm Gái Xinh (Shop),7.44901E+18,https://www.tiktok.com/@thaovann_0602/video/7472734811149438216,43,2702,35,93100,176,182,"lankhumui, hobebar",FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,0,2,9,0,0,0,1,0,0,FALSE
Em coá món quà nèeeee… ig:Thaovann_02,2/12/2025 11:58,12/2/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - kenhnhacsuy1,7.45789E+18,https://www.tiktok.com/@thaovann_0602/video/7470392615184272648,15,55300,637,943000,2543,499,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,FALSE,0,0,6,0,1,0,0,0,0,FALSE
2 chuỵ emm hội ngộ đầu năm @Hạ Nhiên ♥️ ig:Thaovann_02,2/2/2025 10:20,2/2/2025,FALSE,https://www.tiktok.com/@thaovann_0602,nhạc nền - Có giấy khen nghiện capcut,7.44885E+18,https://www.tiktok.com/@thaovann_0602/video/7466656429533908242,20,9786,78,187100,483,198,,FALSE,FALSE,thaovann_0602,FALSE,FALSE,TRUE,1,0,11,0,1,0,0,0,1,FALSE
