text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Vì eyeliner hổng cho tui đi #thudannguyen99 #dcgr #beauty #beautytok #goclamdep #tiktokgiaitri ,6/14/2025 18:59,14/06/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.51577E+18,https://www.tiktok.com/@thudannguyen99/video/7515773560594484488,18,328,16,8391,5,12,"thudannguyen99, dcgr, beauty, beautytok, goclamdep, tiktokgiaitri",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,0,6,6,0,0,0,1,0,1,FALSE
Dễ gì chị để yên #thudannguyen99 #dcgr #beauty #beautytok #goclamdep ,6/11/2025 12:02,11/6/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.51455E+18,https://www.tiktok.com/@thudannguyen99/video/7514552735556128008,15,1107,95,20200,34,29,"thudannguyen99, dcgr, beauty, beautytok, goclamdep",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,0,5,5,0,0,1,0,0,0,FALSE
Ai cũng có ngày xưa và khi nhìn lại mình mới thấy rằng thời gian trôi sao mà nhanh quá #thudannguyen99 #dcgr #beauty #tiktokgiaitri #shortfilm ,6/7/2025 19:00,7/6/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.51318E+18,https://www.tiktok.com/@thudannguyen99/video/7513176005981375762,61,12800,712,147400,644,159,"thudannguyen99, dcgr, beauty, tiktokgiaitri, shortfilm",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,0,5,20,0,0,0,1,0,1,FALSE
"Thêm chút chữ, thêm chút hiệu ứng, thêm chút sticker là đẹp tuyệt vời #thudannguyen99 #dcgr #beauty #tiktokgiaitri ",6/6/2025 19:00,6/6/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - 𝐍𝐡𝐚̣𝐜 𝐗𝐮̛𝐚 & 𝐍𝐚𝐲,7.34457E+18,https://www.tiktok.com/@thudannguyen99/video/7512804933645749522,0,167,10,6114,8,13,"thudannguyen99, dcgr, beauty, tiktokgiaitri",TRUE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,0,4,14,0,0,0,1,0,0,FALSE
Cháu nó còn nhỏ nên phải dạy từ nhỏ #thudannguyen99 #dcgr #beauty #tiktokgiaitri #beautytok #goclamdep ,6/1/2025 19:00,1/6/2025,FALSE,https://www.tiktok.com/@thudannguyen99,original sound - lagingantok,7.50356E+18,https://www.tiktok.com/@thudannguyen99/video/7510949558596209927,6,3015,94,72800,80,29,"thudannguyen99, dcgr, beauty, tiktokgiaitri, beautytok, goclamdep",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,0,6,9,0,0,0,1,0,1,FALSE
"Đang biến hình tự nhiên ""tàng hình"". Trốn ekip làm 1 lon Fanta cho đã cơn thèmmmm mới được 😝 #fantangonsuongmieng#daconthemm#thudannguyen999 ",5/30/2025 19:00,30/05/2025,TRUE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.51021E+18,https://www.tiktok.com/@thudannguyen99/video/7510207405452479751,35,1232,17,22600,63,32,"fantangonsuongmieng, daconthemm, thudannguyen999",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,1,3,19,0,0,0,1,0,0,FALSE
#CeraVePartner Đi học mà vui cỡ này thì tui sẽ là đứa đến trường sớm nhấttt🎒#cerave #ceravevietnam #tacdongkep #khepvonglapmun #reviewlamdep #goclamdep #beautytok #skincare,5/20/2025 18:59,20/05/2025,TRUE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.5065E+18,https://www.tiktok.com/@thudannguyen99/video/7506496358656822535,43,1238,22,461300,83,12,"ceravepartner, cerave, ceravevietnam, tacdongkep, khepvonglapmun, reviewlamdep, goclamdep, beautytok, skincare",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,1,9,15,0,0,0,1,0,0,FALSE
Thanh xuân 🎞️ #thudannguyen99 #tiktokgiaitri #learnontiktok #hocduong #tiktokfashion #goclamdep #dcgr ,5/19/2025 18:58,19/05/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Bông Gòn,7.50388E+18,https://www.tiktok.com/@thudannguyen99/video/7506124992313117959,21,2698,194,55400,124,30,"thudannguyen99, tiktokgiaitri, learnontiktok, hocduong, tiktokfashion, goclamdep, dcgr",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,1,7,3,0,0,0,1,0,0,FALSE
Trễ trend không ai bằng luôn 🥲 Nhưng dô chấm điểm 4 layout này cho tui ik 👉🏻👈🏻 #thudannguyen99 #METGALA2025 #tiktokfashion #tiktokgiaitri #learnontiktok #dcgr,5/17/2025 19:02,17/05/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.50538E+18,https://www.tiktok.com/@thudannguyen99/video/7505383736402300178,24,501,7,16100,23,17,"thudannguyen99, metgala2025, tiktokfashion, tiktokgiaitri, learnontiktok, dcgr",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,2,6,16,0,0,0,1,0,1,FALSE
"Chiếm hết spotlight, tóc em bóng nhất đêm nay✨ 🪩
#TRESemmevn #Hoptaccungunilever #GlossisthenewGlam#thudannguyen999#hairglossingg",5/16/2025 21:21,16/05/2025,TRUE,https://www.tiktok.com/@thudannguyen99,Gloss It Up,7.49868E+18,https://www.tiktok.com/@thudannguyen99/video/7505048489043201288,23,73900,736,10600000,1447,129,"tresemmevn, hoptaccungunilever, glossisthenewglam, thudannguyen99, hairglossing",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,2,5,9,0,0,0,1,0,0,FALSE
Sorry em lộn chỗ 🥲 #thudannguyen99 #tiktokgiaitri #learnontikok #goclamdep #beautytok #j4f #dcgr #meme ,5/12/2025 19:18,12/5/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.50353E+18,https://www.tiktok.com/@thudannguyen99/video/7503532595620203794,16,1852,259,61700,136,56,"thudannguyen99, tiktokgiaitri, learnontikok, goclamdep, beautytok, j4f, dcgr, meme",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,1,8,4,0,0,0,1,0,0,FALSE
Xuất khẩu lao động hồi nào hổng hay 🤡 #thudannguyen99 #tiktokgiaitri #learnontikok #goclamdep #beautytok #dcgr ,5/10/2025 19:15,10/5/2025,FALSE,https://www.tiktok.com/@thudannguyen99,nhạc nền - Thư Đan Nguyễn,7.50279E+18,https://www.tiktok.com/@thudannguyen99/video/7502789520878882056,22,5504,853,130700,132,67,"thudannguyen99, tiktokgiaitri, learnontikok, goclamdep, beautytok, dcgr",FALSE,FALSE,thudannguyen99,FALSE,FALSE,FALSE,1,6,8,0,0,0,1,0,1,FALSE
