text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Hãy nhìn các fashion show mà các local brand non trẻ đang tổ chức,6/15/2025 10:50,15/06/2025,FALSE,https://www.tiktok.com/@tikkaisweird,original sound - Tikka Hoàng Hiền👸🏼,7.51602E+18,https://www.tiktok.com/@tikkaisweird/video/7516018365345942805,154,214,0,2658,2,4,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,0,0,14,0,1,0,0,0,1,FALSE
Không styling thì còn không dám tự nhìn mình luôn 🤣,6/15/2025 9:58,15/06/2025,FALSE,https://www.tiktok.com/@tikkaisweird,sonido original,7.49924E+18,https://www.tiktok.com/@tikkaisweird/video/7516005104667905300,7,179,1,3318,2,4,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,1,0,10,0,1,0,0,0,1,FALSE
Tôi xem mà max tự hào luôn ýyyyy 😭😭😭😭 Love PMC 🫶🏻🫶🏻🫶🏻 Em ấy làm cho ngta thấy được “có một Việt Nam đặc sắc như vậy đấy” 😤😤 ,6/14/2025 22:14,14/06/2025,FALSE,https://www.tiktok.com/@tikkaisweird,Love,7.41213E+18,https://www.tiktok.com/@tikkaisweird/video/7515823660091837717,65,356,14,5911,2,5,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,3,0,26,0,0,0,0,1,1,FALSE
Vẫn là rất mê cushion Neo Matte nè của Laneige 😤😤,6/14/2025 12:08,14/06/2025,FALSE,https://www.tiktok.com/@tikkaisweird,Bubbles,7.219E+18,https://www.tiktok.com/@tikkaisweird/video/7515667568242347285,48,98,0,2798,1,5,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,1,0,10,0,0,1,0,0,1,FALSE
Bao nhiêu cố gắng để làm gì chứ?,6/14/2025 10:44,14/06/2025,FALSE,https://www.tiktok.com/@tikkaisweird,nhạc nền - _h.phong.02,7.05227E+18,https://www.tiktok.com/@tikkaisweird/video/7515645743646969109,12,232,14,5008,0,6,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,0,0,8,0,1,0,0,0,1,FALSE
Judydoll lại cho ra mắt siêu phẩm nữa rồii 😤😤,6/13/2025 23:33,13/06/2025,TRUE,https://www.tiktok.com/@tikkaisweird,Retro Sounds,7.41714E+18,https://www.tiktok.com/@tikkaisweird/video/7515472961944489237,64,161,3,17300,28,10,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,1,0,9,0,0,0,0,1,0,FALSE
Up lại vì vid trước tui up bằng ipad nên vỡ hết màu các bồ ạ 🤣,6/13/2025 10:47,13/06/2025,FALSE,https://www.tiktok.com/@tikkaisweird,Camellia,7.42034E+18,https://www.tiktok.com/@tikkaisweird/video/7515275470468812040,111,347,1,11200,11,6,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,1,0,16,0,1,0,0,0,0,FALSE
Sụt hố Lamoon không thoát ra được lun 😤😤😤😤,6/12/2025 17:32,12/6/2025,FALSE,https://www.tiktok.com/@tikkaisweird,CẦM KỲ THI HOẠ,7.51235E+18,https://www.tiktok.com/@tikkaisweird/video/7515008772096445704,22,5315,50,119200,62,48,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,1,0,8,0,0,1,0,0,0,FALSE
Tiếp tục đi học thuiiiii 😤😤😤 ,6/11/2025 21:47,11/6/2025,FALSE,https://www.tiktok.com/@tikkaisweird,What Floor?,7.15369E+18,https://www.tiktok.com/@tikkaisweird/video/7514703575772089620,51,722,4,17100,3,5,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,1,0,5,0,0,0,1,0,0,FALSE
"Ti*m filler thất bại! Bài học nhớ đời. Thế nên ngày đó, ai hỏi tui tiêm ở đâu, tui không bao giờ nói :) và sau lần đấy thì tui cũng không bao giờ gặp lại bả nữa 🥲",6/11/2025 14:21,11/6/2025,FALSE,https://www.tiktok.com/@tikkaisweird,Soulful Shadows,7.40034E+18,https://www.tiktok.com/@tikkaisweird/video/7514588439195553045,206,330,4,9086,7,9,,FALSE,FALSE,tikkaisweird,FALSE,FALSE,FALSE,1,0,38,0,0,1,0,0,0,FALSE
