text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Trả lời @Higuys!! Test liền cho bà haha Cushion Maogeping + công thức đánh nền của Nhã Dinh hẹ hẹ hẹ,6/13/2025 11:39,13/06/2025,TRUE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.51529E+18,https://www.tiktok.com/@tnhadinh/video/7515288934411242760,45,14500,127,835000,1093,48,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,0,21,0,1,0,0,0,0,FALSE
Cỡ này bà nào hay bị người yêu nựng mặt thì ko sợ trôi nền nữa trời ơiii ,6/12/2025 17:15,12/6/2025,TRUE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.515E+18,https://www.tiktok.com/@tnhadinh/video/7515004555088710930,43,23300,309,760800,2528,70,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,0,18,0,0,1,0,0,0,FALSE
Đâu đâu bà nào fan anh Ngô Lỗi đâu comment cho tuii biết đi mấy bàaa,6/8/2025 15:59,8/6/2025,FALSE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.5135E+18,https://www.tiktok.com/@tnhadinh/video/7513500551611550994,199,1336,14,41700,25,48,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,0,16,0,0,1,0,0,1,FALSE
Mặt nạ Dr.DH dịu da giảm đỏ đỉnh của đỉnh mấy bà ơi 🤣,6/6/2025 21:05,6/6/2025,TRUE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.51284E+18,https://www.tiktok.com/@tnhadinh/video/7512837316889611527,144,3596,47,170600,158,32,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,1,0,13,0,0,0,1,0,0,FALSE
Trả lời @Sandy Nguyen unbox thành quả sau 1 ngày dài shopping ở Trung Quốc ,5/30/2025 16:53,30/05/2025,FALSE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.51017E+18,https://www.tiktok.com/@tnhadinh/video/7510174581911620872,339,1054,7,37200,33,21,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,0,15,0,0,1,0,0,0,FALSE
Trả lời @Moonsun and Her life kết quả của bộ hình Việt Phục ở Trung nè mí bàaa,5/29/2025 16:11,29/05/2025,FALSE,https://www.tiktok.com/@tnhadinh,nhạc nền - YLing,7.10464E+18,https://www.tiktok.com/@tnhadinh/video/7509792721461136647,15,2527,13,88300,15,65,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,0,18,0,0,1,0,0,0,FALSE
"Nước tẩy trang ngon - bổ - rẻ dành cho mí bà hssv có lượt bán 4tr sản phẩm trên sàn cam 
#taytranglorealparis #lorealparis #lorealparisskin #lorealparispartner",5/25/2025 9:58,25/05/2025,TRUE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.50821E+18,https://www.tiktok.com/@tnhadinh/video/7508212350512631047,48,530,16,35400,52,5,"taytranglorealparis, lorealparis, lorealparisskin, lorealparispartner",FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,4,22,0,1,0,0,0,1,FALSE
Hít chung bầu không khí với siêu cấp thượng lưu thấy mình cũng gì và này nọ quá nè mí bà oy haha ,5/24/2025 10:29,24/05/2025,FALSE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.50785E+18,https://www.tiktok.com/@tnhadinh/video/7507849249887882514,81,3030,14,83500,90,28,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,0,23,0,1,0,0,0,1,FALSE
zui quá quýnh quáng quên đang quay clip xưng t tưởng đang nch với Mimi á mí bà ơi hahaaaaa hoan hỉ bỏ quaaaa cho tui hâhhaha ,5/21/2025 16:09,21/05/2025,FALSE,https://www.tiktok.com/@tnhadinh,nhạc nền - Trương Nhã Dinh,7.50682E+18,https://www.tiktok.com/@tnhadinh/video/7506823620233022738,26,10700,60,243700,115,45,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,0,0,27,0,0,1,0,0,0,FALSE
đi biển nhớ capcut giựt giựt nha mí bà 🙂‍↔️,5/21/2025 10:02,21/05/2025,FALSE,https://www.tiktok.com/@tnhadinh,nhạc nền - TuilaChuchiday,7.36438E+18,https://www.tiktok.com/@tnhadinh/video/7506728900173499656,11,8362,124,221200,184,33,,FALSE,FALSE,tnhadinh,FALSE,FALSE,FALSE,1,0,10,0,1,0,0,0,0,FALSE
