text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
✨ Top 10 skincare tips cho ai đang tuổi 20s. Da đẹp không đến từ may mắn — mà từ nhận thức đúng 🧠 và hành động sớm! #tomskincare #skincaretips #goclamdep #chamsocda #skintok ,5/31/2025 17:05,31/05/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.51055E+18,https://www.tiktok.com/@tomskincare/video/7510548790361804050,110,10700,460,193500,2806,385,"tomskincare, skincaretips, goclamdep, chamsocda, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,2,5,26,0,0,1,0,0,1,FALSE
"Các sản phẩm skincare nổi tiếng, dịu nhẹ, hiệu quả cho da, rất nổi tiếng mà mình luôn mang theo mỗi khi travel 🧳 😍😍😍❤️ #tomskincare #skincaretips #goclamdep #skintok #chamsocda #beautytoks ",5/27/2025 15:39,27/05/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.50904E+18,https://www.tiktok.com/@tomskincare/video/7509042435448720647,124,21900,530,477000,6501,447,"tomskincare, skincaretips, goclamdep, skintok, chamsocda, beautytoks",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,2,6,24,0,0,1,0,0,0,FALSE
"🔥 TOP 10 CÂU HỎI VỀ MỤN ẨN – GIẢI ĐÁP TỪ A-Z
Mụn ẩn dai dẳng, sần sùi mãi không hết? Video này là hướng dẫn đặc biệt dành cho bạn!

Tom đã tổng hợp những câu hỏi được hỏi NHIỀU NHẤT trên kênh của mình về trị mụn ẩn và hướng dẫn cách xử lý khoa học, không cảm tính. #tomskincare #skincaretips #goclamdep #beautytok #skintok ",5/26/2025 16:30,26/05/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.50868E+18,https://www.tiktok.com/@tomskincare/video/7508684396405247250,363,6259,215,147300,2261,215,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,1,5,61,0,0,1,0,0,0,FALSE
"4 ""thần dược"" phục hồi da giúp skincare giống như một lựa chọn yêu bản thân, yêu cái đẹp, thú vị, không rủi ro, không tốn kém, và quan trọng hơn cả là chúng đều thực sự hiệu quả để giúp bạn glow up! Nhớ làm theo và cùng nhau đẹp hơn mỗi ngày nha! #tomskincare #skincaretips #goclamdep #beautytok #skintok #chamsocda ",5/24/2025 16:34,24/05/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.50794E+18,https://www.tiktok.com/@tomskincare/video/7507943348095765778,203,8382,276,171400,1665,300,"tomskincare, skincaretips, goclamdep, beautytok, skintok, chamsocda",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,0,6,55,0,0,1,0,0,1,FALSE
"2 kiểu ""mụn ẩn"" sần sùi liti thường gặp và có thể tự xử lý tại nhà, cùng chia sẻ case của Tom để mọi người tham khảo nhaaa 😍😍 Ai đang bị thì xin 1 cánh tay ✋✋✋. #tomskincare #skincaretips #goclamdep #beautytok #skintok ",5/22/2025 16:22,22/05/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.5072E+18,https://www.tiktok.com/@tomskincare/video/7507198042303401223,98,19100,669,381500,5331,474,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,2,5,38,0,0,1,0,0,0,FALSE
"Bạn có thể bảo tôi bạn thích sản phẩm skincare giá cao, nhưng thật ra có nhiều sản phẩm rẻ mà cũng rất tốt đó nha! Đây là top 12 sản phẩm skincare giá rẻ nhưng bổ và ngon. Thử ngay nếu tài chính của bạn cho phép! Nhớ xem kỹ video để biết liệu da của bạn có phù hợp ko nhé' #tomskincare #skincaretips #goclamdep #beautytok #skintok ",5/19/2025 17:35,19/05/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.5061E+18,https://www.tiktok.com/@tomskincare/video/7506103639396650247,244,24500,1228,446400,9478,638,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,0,5,63,0,0,1,0,0,0,FALSE
10 sai lầm skincare cho da dầu mụn vào mùa hè và 10 bí quyết skincare đúng cách cho hệ da dầu mụn nhaaaa.......... 😍😍😍 #tomskincare #skincaretips #goclamdep #beautytok #skintok ,5/13/2025 17:24,13/05/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.50387E+18,https://www.tiktok.com/@tomskincare/video/7503874167108898066,238,21800,1058,445700,7284,612,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,1,5,24,0,0,1,0,0,0,FALSE
✨10 tips skincare hiệu quả ít người biết mà cực kỳ tiết kiệm nha mn ơi!!! Ai còn tips nào hay ho comment bên dưới cho mn biết nhaaaa  😍😍😍#tomskincare #skincaretips #goclamdep #beautytok #skintok ,5/9/2025 17:53,9/5/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.5024E+18,https://www.tiktok.com/@tomskincare/video/7502397485348965639,195,22900,1068,382200,7754,393,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,2,5,29,0,0,1,0,0,0,FALSE
"Đã từng nghĩ không thể hết mụn ẩn… cho đến khi tìm ra 7 bước skincare thuộc dạng bí kíp này. Ai đang vật lộn với da sần, mụn ẩn, da nhạy cảm hãy xem tới cuối nha! Cứ hỏi nếu bạn có câu hỏi!!! #tomskincare #skincaretips #goclamdep #beautytok #skintok ",4/29/2025 14:55,29/04/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.49864E+18,https://www.tiktok.com/@tomskincare/video/7498640584488357127,264,28100,1062,661500,11300,729,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,0,5,45,0,0,1,0,0,0,FALSE
8 điều mình không còn làm nữa khi skincare để da đẹp hơn và 8 bí kíp chăm sóc da mình nghĩ là mình sẽ không gatekeep mà muốn mọi người làm theoo... Cùng thử nhaaaa ✨😍 #tomskincare #skincaretips #goclamdep #beautytok #skintok ,4/26/2025 17:13,26/04/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.49756E+18,https://www.tiktok.com/@tomskincare/video/7497562912676941064,291,42500,1536,809600,9663,573,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,1,5,36,0,0,1,0,0,1,FALSE
#tomskincare #skincaretips #goclamdep #beautytok #skintok ,4/23/2025 17:06,23/04/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.49645E+18,https://www.tiktok.com/@tomskincare/video/7496447935387831560,143,8120,141,213900,875,283,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,0,5,0,0,0,1,0,0,0,FALSE
"8 bí quyết skincare giúp giảm thâm mụn và làm sáng, đều màu da hiệu quả. Những tiíp skincare này mình dựa trên hiểu biết của bản thân và trải nghiệm thực tế! #tomskincare #skincaretips #goclamdep #beautytok #skintok ",4/18/2025 16:53,18/04/2025,FALSE,https://www.tiktok.com/@tomskincare,nhạc nền - tomskincare,7.49459E+18,https://www.tiktok.com/@tomskincare/video/7494589211077610770,408,8500,283,316200,2843,188,"tomskincare, skincaretips, goclamdep, beautytok, skintok",FALSE,FALSE,tomskincare,FALSE,TRUE,FALSE,0,5,33,0,0,1,0,0,0,FALSE
