text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"👉🏻 Làm thế nào để lựa chọn kem chống nắng tốt? Đây là một bảng xếp hạng những tiêu chí quan trọng mà mình sẽ lựa chọn kem chống nắng, mọi người có thể tham khảo nha 😘

#kemchongnang #sunscreen #viralspf #shiseido #larocheposay #clinicos #riemannp20 #martiderm #hyaestic #chamsocda #goclamdep #skincaretips #reviewlamdep #withbimm ",2025-06-13 11:33:07,13/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - Trần Lâm (With Bimm),7515287361182354177,https://www.tiktok.com/@tran_lam18/video/7515287316047367442,371,102,7,4191,15,3,"kemchongnang, sunscreen, viralspf, shiseido, larocheposay, clinicos, riemannp20, martiderm, hyaestic, chamsocda, goclamdep, skincaretips, reviewlamdep, withbimm",False,False,tran_lam18,False,False,False,2,14,36,0,1,0,0,0,0,False
Drama kem chống nắng - Nhiều brand uy tín đã bị réo tên!! 😭 #kemchongnang #sunscreen #goclamdep #chamsocda #ultraviolette #neutrogena #cancercouncil #bananaboat #bondisands #woolworths #aldiombra #nivea #sunbum #coles #invisiblezinc #meccacosmetica #larocheposay #withbimm ,2025-06-12 13:37:07,12/06/2025,False,https://www.tiktok.com/@tran_lam18,gimme more slayyyter remix,6957314466103003910,https://www.tiktok.com/@tran_lam18/video/7514948187107396882,0,4396,1286,157300,836,122,"kemchongnang, sunscreen, goclamdep, chamsocda, ultraviolette, neutrogena, cancercouncil, bananaboat, bondisands, woolworths, aldiombra, nivea, sunbum, coles, invisiblezinc, meccacosmetica, larocheposay, withbimm",True,False,tran_lam18,False,False,False,1,18,13,0,0,1,0,0,0,False
"🚨 Những điều ngớ ngẩn trong chăm sóc da cần được xem xét!

1. BẮT BUỘC phải dùng kem dưỡng ẩm để khoá các dưỡng chất trước đó.
2. Kem chống nắng vật lý thì tốt hơn kem chống nắng hoá học
3. Silicone gây bít lỗ chân lông gây mụn trứng cá
4. Thoa retinoids phải tắt đèn
5. Dùng vitamin C liều càng cao da càng trắng

⚠️
#skincaretips #chamsocda #duongda #goclamdep #chamdakhoahoc #beautytok #withbimm  ",2025-06-11 22:47:06,11/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - Trần Lâm (With Bimm),7514724050900503312,https://www.tiktok.com/@tran_lam18/video/7514718831172914439,206,380,7,10600,39,23,"skincaretips, chamsocda, duongda, goclamdep, chamdakhoahoc, beautytok, withbimm",False,False,tran_lam18,False,False,False,2,7,69,0,0,0,0,1,0,False
"Nước và dầu tẩy trang Cle de peau là 2 sản phẩm làm sạch high end mà mình luôn đánh giá cao. Với mình, dầu tẩy trang cao cấp phải dễ nhũ hoá, nhẹ trên da, gốc dầu tinh khiết. Còn nước tẩy trang phải lỏng nhẹ, mướt ẩm da và có mùi thơm thư giãn nhẹ nhàng ✨

#nuoctaytrang #dautaytrang #cledepeau #cledepeaubeaute #CDB #luxuryskincare #chamsocda #reviewlamdep #withbimm ",2025-06-10 22:55:22,10/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - Trần Lâm (With Bimm),7514349902333135633,https://www.tiktok.com/@tran_lam18/video/7514349872905014535,66,370,9,15700,32,21,"nuoctaytrang, dautaytrang, cledepeau, cledepeaubeaute, cdb, luxuryskincare, chamsocda, reviewlamdep, withbimm",False,False,tran_lam18,False,False,False,1,9,58,0,0,0,0,1,0,False
"Review gel tắm Đường Thốt Nốt An Giang và em đường tẩy tế bào chết của Cocoon nhớ!! 

#duongsangda #duongbody #duongtrangda #geltamduongthotnotangiang #cocoonvietnam #chamsocda #reviewlamdep #withbimm ",2025-06-10 01:30:45,09/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - Trần Lâm (With Bimm),7514018849864420097,https://www.tiktok.com/@tran_lam18/video/7514018820139355410,29,1248,67,35700,79,47,"duongsangda, duongbody, duongtrangda, geltamduongthotnotangiang, cocoonvietnam, chamsocda, reviewlamdep, withbimm",False,False,tran_lam18,False,False,False,0,8,18,1,0,0,0,0,0,False
"Trả lời @Thiên Ân chia sẻ bí quyết dưỡng da body trắng mịn thơm như một ly trà đào cam sả cho mấy nàng nè 🤣 👌🏻

B1: làm sạch da với Gel tắm đường Thốt Nốt mới của Cocoon, nhớ là tạo bọt và thoa đều khắp người nhé!
B2: xả sạch với nước, sau khi sạch xà bông và da còn ướt hãy lấy ra một lượng đường tẩy tế bào chết Thốt Nốt và massage khắp body, nhớ kĩ các vùng bị dày sừng nha.
B3: khoan xả lại với nước và hãy ""nhũ hoá"" nó - bằng cách lấy một ít nước và táp lên da, xoay tròn để chất đường tan dần và chuyển sang màu sữa đục.
B4: lặp lại từ 2-3 lần và xả sạch, lau khô ng là xong.

👼🏻 Đến đây mấy bà có thể thoa body lotion dưỡng sáng luôn để phát huy hiệu quả trên da nhaaaaa 

#duongsangda #duongbody #duongtrangda #geltamduongthotnotangiang #cocoonvietnam #chamsocda #reviewlamdep #skincaretips #withbimm ",2025-06-08 23:05:15,08/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - HuynhNhu,7509429183160797953,https://www.tiktok.com/@tran_lam18/video/7513610255184481544,15,4079,195,110000,459,83,", duongsangda, duongbody, duongtrangda, geltamduongthotnotangiang, cocoonvietnam, chamsocda, reviewlamdep, skincaretips, withbimm",False,False,tran_lam18,False,False,False,3,9,155,0,0,0,0,1,1,False
"Vì sao kem chống nắng cao cấp lại sở hữu nhiều công nghệ và hệ chống oxy hoá dưỡng da? Review kem chống nắng mới của AHC và Shiseido xíu nha mọi người 🙆🏼

#kemchongnang #kemchongnangcaocap #AHC #Shiseido #chamsocda #reviewlamdep #withbimm ",2025-06-07 18:44:53,07/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - Trần Lâm (With Bimm),7513172099146582785,https://www.tiktok.com/@tran_lam18/video/7513172070532975879,62,174,5,11500,19,13,"kemchongnang, kemchongnangcaocap, ahc, shiseido, chamsocda, reviewlamdep, withbimm",False,False,tran_lam18,False,False,False,1,7,33,0,0,0,1,0,1,False
Quan điểm của mình về mask Keyshu rau má đang viral gần đây 🙆🏼 #matnagiay #matna #keyshu #matnarauma #chamsocda #reviewlamdep #withbimm ,2025-06-07 00:01:27,06/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - Trần Lâm (With Bimm),7512882661313055489,https://www.tiktok.com/@tran_lam18/video/7512882564177300744,150,2447,180,70500,116,134,"matnagiay, matna, keyshu, matnarauma, chamsocda, reviewlamdep, withbimm",False,False,tran_lam18,False,False,True,1,7,13,1,0,0,0,0,1,False
"Cocoon đã có gel tắm đường Thốt Nốt mới rồi mọi người ơiiiiii 🥹 thơm lắm lắm lắm luôn í 🙏🏻

#suatam #chamsocda #chamsocbody #geltamduongthotnotangiang #cocoon #cocoonvietnam #damongtoahuong #reviewlamdep #withbimm  ",2025-06-05 12:38:23,05/06/2025,False,https://www.tiktok.com/@tran_lam18,nhạc nền - Trần Lâm (With Bimm),7512335503095188240,https://www.tiktok.com/@tran_lam18/video/7512335454545480968,67,457,41,19100,58,18,"suatam, chamsocda, chamsocbody, geltamduongthotnotangiang, cocoon, cocoonvietnam, damongtoahuong, reviewlamdep, withbimm",False,False,tran_lam18,False,False,False,2,9,19,0,0,1,0,0,0,False
"Có bạn hỏi mình kem chống nắng của Garnier thoa đi học quân sự được không. Và đây là quan điểm của mình nghen 👌🏻

#kemchongnang #kemchongnangkiemdau #chamsocda #reviewlamdep #garnierpartner #garniervn #kemchongnangchodadaumun #skincare #withbimm ",2025-06-04 10:53:34,04/06/2025,False,https://www.tiktok.com/@tran_lam18,Die With A Smile,7447891467299031057,https://www.tiktok.com/@tran_lam18/video/7511937350121917714,92,178,13,8647,15,10,"kemchongnang, kemchongnangkiemdau, chamsocda, reviewlamdep, garnierpartner, garniervn, kemchongnangchodadaumun, skincare, withbimm",False,False,tran_lam18,False,False,False,1,9,24,0,1,0,0,0,0,False
