text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Một công hai chuyện nè, vừa chống nắng vừa nâng tone đẹp #kcnnangtone #kcntoneup #toneup",6/12/2025 19:56,12/6/2025,FALSE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51505E+18,https://www.tiktok.com/@trishphann/video/7515046027137715463,55,1315,5,8327,43,11,"kcnnangtone, kcntoneup, toneup",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,0,3,12,0,0,0,1,0,0,FALSE
Phiên bản này 10 điểm ko có nhưng!  #larocheposaypartner #anthelios,6/10/2025 20:14,10/6/2025,FALSE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51431E+18,https://www.tiktok.com/@trishphann/video/7514308507919863058,71,3554,6,14100,105,16,"larocheposaypartner, anthelios",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,0,2,8,0,0,0,1,0,0,FALSE
Young and beautiful #lanadelrey ,6/9/2025 0:36,8/6/2025,FALSE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51363E+18,https://www.tiktok.com/@trishphann/video/7513633666350796050,107,7733,25,22900,198,44,lanadelrey,FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,0,1,3,1,0,0,0,0,0,FALSE
T soi gương t vuốt tóc roeest thành thói quen luôn 🤣 kiểu tự luyến bản thân zay đó troi ☺️  #TRESEMME #TRESemmeKeratinBond #hoptaccungUnilever,6/7/2025 20:01,7/6/2025,FALSE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51319E+18,https://www.tiktok.com/@trishphann/video/7513191853584338184,73,1796,1,9317,34,6,"tresemme, tresemmekeratinbond, hoptaccungunilever",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,2,3,20,0,0,0,1,0,1,FALSE
Chất kem cũng ko làm lớp nền bị vón hay gì lun 👏  #dalba #dalbavn #hibisvn,6/5/2025 19:58,5/6/2025,TRUE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51245E+18,https://www.tiktok.com/@trishphann/video/7512448995822685448,75,86,3,30000,6,1,"dalba, dalbavn, hibisvn",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,1,3,12,0,0,0,1,0,0,FALSE
"Đỡ lắm luôn chứ đầu tóc tui mà gội mỗi ngày nó tốn thgian lắm 🥲 #arganmidas #arganmidasvietnam #haircare
#kiemdautoc",6/4/2025 19:59,4/6/2025,TRUE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51208E+18,https://www.tiktok.com/@trishphann/video/7512078041728765191,74,136,8,23100,24,8,"arganmidas, arganmidasvietnam, haircare, kiemdautoc",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,1,4,15,0,0,0,1,0,0,FALSE
Chính nữ ❤️ #lorealparisskin #lorealparis #chinhnu #lorealparispartner,6/2/2025 19:55,2/6/2025,TRUE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51133E+18,https://www.tiktok.com/@trishphann/video/7511334884170910984,93,591,377,166200,373,1,"lorealparisskin, lorealparis, chinhnu, lorealparispartner",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,1,4,3,0,0,0,1,0,0,FALSE
Da chỉ cần khoẻ là sẽ đẹp ☺️#GGGSkincare #GGGCosmetics #chagabooster #serumnam ,5/31/2025 19:55,31/05/2025,FALSE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51059E+18,https://www.tiktok.com/@trishphann/video/7510592775323290887,79,27,0,2782,2,0,"gggskincare, gggcosmetics, chagabooster, serumnam",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,1,4,8,0,0,0,1,0,1,FALSE
Mê tới nổi mong brand ra sp mới nhiều nhiều hahaha  #abibvn #sunstick,5/30/2025 19:55,30/05/2025,TRUE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.51022E+18,https://www.tiktok.com/@trishphann/video/7510221549186649362,93,177,3,40700,17,0,"abibvn, sunstick",FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,0,2,11,0,0,0,1,0,0,FALSE
Thử là dính liềnnnnn 🤣 #banchaidien ,5/29/2025 21:08,29/05/2025,TRUE,https://www.tiktok.com/@trishphann,nhạc nền - Trish Phan,7.50987E+18,https://www.tiktok.com/@trishphann/video/7509869241823218952,92,217,15,70700,16,0,banchaidien,FALSE,FALSE,trishphann,TRUE,FALSE,FALSE,1,1,4,0,0,0,1,0,0,FALSE
