text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Combo giúp tóc phồng mượt mà không cần đi salon nha mí bà 💆🏻‍♀️
#TIGIVietnam #BedHeadbyTIGI
#LetYourCreativityRule",6/12/2025 20:07,12/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51505E+18,https://www.tiktok.com/@trixiebaeee/video/7515048752810396948,79,31,2,980,4,1,"tigivietnam, bedheadbytigi, letyourcreativityrule",FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,2,3,14,0,0,0,1,0,0,FALSE
😎 đoán mỹ phẩm cùng Chích Xiiii 🤌🏻🤌🏻🤌🏻 #goclamdep #beautytok #trixiebaeee ,6/11/2025 15:38,11/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51461E+18,https://www.tiktok.com/@trixiebaeee/video/7514608367541734664,272,178,0,3240,1,4,"goclamdep, beautytok, trixiebaeee",FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,2,3,6,0,0,1,0,0,0,FALSE
Unbox bảng mắt của mẹ Pat Mcgrath “Mothership V” 😝 đẹpppp #patmcgrath ,6/9/2025 23:49,9/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51399E+18,https://www.tiktok.com/@trixiebaeee/video/7513992734999432468,163,320,4,4399,8,12,patmcgrath,FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,1,1,10,0,0,0,0,1,0,FALSE
Dắt mấy đứa nhỏ nhà tui đi cà hê mà nó ồnnnnnn  #maybellinepartner ,6/7/2025 20:47,7/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.5132E+18,https://www.tiktok.com/@trixiebaeee/video/7513203733778517266,60,148,2,2819,0,3,maybellinepartner,FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,0,1,12,0,0,0,1,0,1,FALSE
Trả cờ nhíp tutorial nhưng trên mặt mẫu cho các bà iu của tôi đêy ☺️ một trong nhẽng layout Trixie dạy trong lớp chuyên nghiệp ý,6/6/2025 17:12,6/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51278E+18,https://www.tiktok.com/@trixiebaeee/video/7512777102622608660,109,569,18,7845,174,10,,FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,1,0,27,0,0,1,0,0,0,FALSE
"Believe in your instincts 
Với Trixie, makeup không chỉ để đẹp – mà còn để vui, để yêu bản thân nhiều hơn. Và thật may mắn, hành trình với nghề đã giúp Trixie thực sự lan toả được điều đó đến nhiều bạn 💫",6/6/2025 13:14,6/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51272E+18,https://www.tiktok.com/@trixiebaeee/video/7512715755868179720,12,430,7,5101,6,1,,FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,1,0,43,0,0,1,0,0,0,FALSE
Thân chưa mà khoe kiểu đó 😀 ,6/5/2025 12:05,5/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51233E+18,https://www.tiktok.com/@trixiebaeee/video/7512327011256274197,26,69,0,1928,2,6,,FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,1,0,6,0,0,1,0,0,0,FALSE
Cùng Trixie đi dạy tại trường đại học Tài Chính Marketing nhoaaaa !!! Cả nhà UFM mình ơiiii !!! Có thấy mấy bạn trong clip khummmm ,6/4/2025 18:35,4/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51206E+18,https://www.tiktok.com/@trixiebaeee/video/7512056391738182930,64,272,59,9422,6,12,,FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,0,0,26,0,0,0,1,0,0,FALSE
Unbox 1 ụ đồ restock cho studio makeup sẽ như thía nào 🙂‍↕️ nhìn đống đồ nên mặt hơi tái chanh nha cả nhà,6/3/2025 23:21,3/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51176E+18,https://www.tiktok.com/@trixiebaeee/video/7511758982134893845,128,406,5,6483,16,6,,FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,1,0,24,0,0,0,0,1,0,FALSE
"ĐẠI HỌC CÔNG THƯƠNG - HUIT oiiiii!!! 🎉🎉
Một trong những buổi workshop makeup tại các trường đại học cùng với nhà  Maybelline ☺️ Trixie rất vui vì được là một phần của chặn hành trình makeup đầu đời của các bạn 🫶🏻🌸 hy vọng mỗi chúng ta đều sẽ thật vui vẻ, thật xinh đẹp và thật tự tin nhé 🙌🏼 
-
#maybellinevn #maybelline #trixiebaeee",6/1/2025 11:43,1/6/2025,FALSE,https://www.tiktok.com/@trixiebaeee,nhạc nền - Trixie,7.51084E+18,https://www.tiktok.com/@trixiebaeee/video/7510836912014314759,59,226,17,4337,3,6,"maybellinevn, maybelline, trixiebaeee",FALSE,FALSE,trixiebaeee,FALSE,FALSE,FALSE,4,3,60,0,1,0,0,0,1,FALSE
