text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
[Swatch full 10 màu Merzy mới] và highlight 4 màu cho mọi người dễ mua luôn rồi ớ 🕺🏻 #xh #viral #merzy #merzyvn #merzydewtint #merzynewdew #sonthach #sonlightstick #merzydewphienbanmoinhat ,6/12/2025 12:23,12/6/2025,TRUE,https://www.tiktok.com/@truc.dao,original sound,6.97986E+18,https://www.tiktok.com/@truc.dao/video/7514929266140679432,216,81,2,3932,10,7,"xh, viral, merzy, merzyvn, merzydewtint, merzynewdew, sonthach, sonlightstick, merzydewphienbanmoinhat",FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,1,9,18,0,0,1,0,0,0,FALSE
Em ở đây tương rồi tư mấy ngày rồiii ,6/11/2025 18:28,11/6/2025,FALSE,https://www.tiktok.com/@truc.dao,Nói Ra Hết Choco Trúc Phương Hoàng Thống,7.51245E+18,https://www.tiktok.com/@truc.dao/video/7514652212505742599,19,450,3,4239,11,12,,FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,0,0,9,0,0,0,1,0,0,FALSE
Hè tớiiiiii 🤙🏻,6/9/2025 18:13,9/6/2025,FALSE,https://www.tiktok.com/@truc.dao,nhạc nền - PmChou 🎀,7.51245E+18,https://www.tiktok.com/@truc.dao/video/7513906173142191367,25,4504,129,36700,213,23,,FALSE,FALSE,truc.dao,FALSE,FALSE,TRUE,1,0,2,0,0,0,1,0,0,FALSE
🤙🏻,6/5/2025 22:02,5/6/2025,FALSE,https://www.tiktok.com/@truc.dao,nhạc nền - đại tá meo meo,7.50236E+18,https://www.tiktok.com/@truc.dao/video/7512480733928180999,15,9937,155,79900,368,48,,FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,1,0,0,0,0,0,0,1,0,FALSE
random tùm lum màu ,6/4/2025 21:29,4/6/2025,FALSE,https://www.tiktok.com/@truc.dao,"Yours (feat. LeeHi, CHANGMO)",6.8816E+18,https://www.tiktok.com/@truc.dao/video/7512101278072294674,0,939,11,15000,26,14,,TRUE,FALSE,truc.dao,FALSE,FALSE,FALSE,0,0,4,0,0,0,1,0,0,FALSE
Tìm ra màu son bám lâu để tắm biển rồi đâyy 🕺🏻 #xh #viral #fyp #goclamdep #sonxinh #sonmlbb #colorkeylips #colorkey #colorkeyvn ,6/3/2025 19:57,3/6/2025,TRUE,https://www.tiktok.com/@truc.dao,original sound,6.97986E+18,https://www.tiktok.com/@truc.dao/video/7511706366289956114,76,452,14,143100,38,11,"xh, viral, fyp, goclamdep, sonxinh, sonmlbb, colorkeylips, colorkey, colorkeyvn",FALSE,TRUE,truc.dao,FALSE,FALSE,FALSE,1,9,11,0,0,0,1,0,0,FALSE
"Từ hồi đổi qua mấy dạng máy kiểu này là đi chơi gọn thêm được 1 tí luôn, cứ 1 trục + 2 đầu theo là xongg cả sấy lẫn làm tóc =)))) #akio #maylamtoc #tip #xh #uontocdep #viral #mayuontoc ",6/2/2025 18:51,2/6/2025,TRUE,https://www.tiktok.com/@truc.dao,original sound,6.97986E+18,https://www.tiktok.com/@truc.dao/video/7511318374740135186,118,93,14,7958,6,9,"akio, maylamtoc, tip, xh, uontocdep, viral, mayuontoc",FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,0,7,33,0,0,0,1,0,0,FALSE
"Dạo này up ảnh mọi người hay hỏi công thức chỉnh sao, tưởng chụp điện thoại ai dè thiệt ra toàn là chụp con máy mới này không thoy =)) hihi #canon #canoncamera #canonvietnam #eosr50 #canonbeauty ",5/31/2025 21:06,31/05/2025,FALSE,https://www.tiktok.com/@truc.dao,original sound,6.97986E+18,https://www.tiktok.com/@truc.dao/video/7510610992888417554,151,19200,1386,302300,3129,235,"canon, canoncamera, canonvietnam, eosr50, canonbeauty",FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,0,5,31,0,0,0,1,0,1,FALSE
Công nhận haaaa 🤓,5/29/2025 21:03,29/05/2025,FALSE,https://www.tiktok.com/@truc.dao,nhạc nền - thanh huyền,7.49539E+18,https://www.tiktok.com/@truc.dao/video/7509868129934118151,15,911,20,14100,40,8,,FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,1,0,3,0,0,0,1,0,0,FALSE
Ê ê,5/29/2025 11:33,29/05/2025,FALSE,https://www.tiktok.com/@truc.dao,nhạc nền - KORE - D,7.50352E+18,https://www.tiktok.com/@truc.dao/video/7509721160926383368,5,3564,30,47100,71,29,,FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,0,0,2,0,1,0,0,0,0,FALSE
"LT4 xinh voãi các chị em ơiii, phải săn được LT4 trong BST mới này nhaaa #foif #mlb #xh #foifteddy #sonthachteddy #sonthach #foifjellylastingtint ",5/24/2025 21:46,24/05/2025,TRUE,https://www.tiktok.com/@truc.dao,ɱ α ɠ ɳ ҽ ƚ ι ƈ,7.355E+18,https://www.tiktok.com/@truc.dao/video/7508023734888893714,123,498,60,29300,58,8,"foif, mlb, xh, foifteddy, sonthachteddy, sonthach, foifjellylastingtint",FALSE,FALSE,truc.dao,FALSE,FALSE,FALSE,0,7,16,0,0,0,1,0,1,FALSE
,5/21/2025 21:48,21/05/2025,FALSE,https://www.tiktok.com/@truc.dao,Young And Beautiful,2.50638E+17,https://www.tiktok.com/@truc.dao/video/7506910974444702994,0,662,2,10700,16,7,,TRUE,FALSE,truc.dao,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,0,FALSE
