text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
"Brand ưu ái Việt Nam quá nè, đã qua Hàn và xác nhận Hàn chỉ có 6 màu. VN mình có màu nâu cam trà 07 nha 🫶🏻🫶🏻

#goclamdep #makeup #lilybyred #reviewlamdep ",6/10/2025 17:20,10/6/2025,FALSE,https://www.tiktok.com/@vithanhle308,nhạc nền - Vi Thanh Lê,7.51426E+18,https://www.tiktok.com/@vithanhle308/video/7514263558780144903,37,16100,1039,525100,2189,107,"goclamdep, makeup, lilybyred, reviewlamdep",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,4,27,0,0,1,0,0,0,FALSE
"Phải nói là M.U.A tại Hàn có quả đánh nền không lẫn vào đâu được, mn nhận ra Vi khum ạ 🫶🏻🫶🏻

#goclamdep #makeup #korea",6/9/2025 18:45,9/6/2025,FALSE,https://www.tiktok.com/@vithanhle308,nhạc nền - Vi Thanh Lê,7.51391E+18,https://www.tiktok.com/@vithanhle308/video/7513914407680855314,17,5078,101,80900,72,29,"goclamdep, makeup, korea",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,3,21,0,0,0,1,0,0,FALSE
"Ổn lắm luôn, live mn hỏi Vi hoài, vì rổ rá hạt dẻ có lúc 92-100k à 🫶🏻

#goclamdep #reviewlamdep #makeup #SamDealChienHe #rocksweet #reviewlamdep ",6/7/2025 11:03,7/6/2025,FALSE,https://www.tiktok.com/@vithanhle308,萌爪翻天,7.47605E+18,https://www.tiktok.com/@vithanhle308/video/7513053097053228295,61,1749,68,46500,241,24,"goclamdep, reviewlamdep, makeup, samdealchienhe, rocksweet, reviewlamdep",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,6,17,0,1,0,0,0,1,FALSE
"Trời đất ơi nó kì cục mà kì lạ dữ lắm á :)))) thôi để part 2 thử kem nền khác, chắc sau thử dòng 2end lun nhe 🤭🤭

#goclamdep #makeup #reviewlamdep #carslan #kemnen #xuhuongtiktok ",6/6/2025 15:57,6/6/2025,FALSE,https://www.tiktok.com/@vithanhle308,nhạc nền - Vi Thanh Lê,7.51276E+18,https://www.tiktok.com/@vithanhle308/video/7512757860472786194,147,68800,2344,1400000,7079,320,"goclamdep, makeup, reviewlamdep, carslan, kemnen, xuhuongtiktok",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,6,28,0,0,1,0,0,0,FALSE
"Tức quá, lúc mua k có cái deal này, nay có cái deal mua cushion tặng sáp tt full size là sao???? Tranh thủ đi mốt hết deal tui đổi cap 🥲

#goclamdep #makeup #cushion #banilacovn #reviewlamdep ",6/3/2025 11:36,3/6/2025,FALSE,https://www.tiktok.com/@vithanhle308,nhạc nền - Vi Thanh Lê,7.51158E+18,https://www.tiktok.com/@vithanhle308/video/7511577396399607048,106,7814,282,143500,812,68,"goclamdep, makeup, cushion, banilacovn, reviewlamdep",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,5,31,0,1,0,0,0,0,FALSE
"Lên luôn bảnh má hồng kem màu rất ối dồi ôi của brand M :)))
Thế giới mất đi 1 người con gái bởi tui cũng sẽ cưới má hồng làm chồng 🌞🌞

#mahongkem #goclamdep #makeup #maybellinepartner ",5/31/2025 19:45,31/05/2025,FALSE,https://www.tiktok.com/@vithanhle308,nhạc nền - Vi Thanh Lê,7.51059E+18,https://www.tiktok.com/@vithanhle308/video/7510590124732927239,117,1970,171,55900,320,19,"mahongkem, goclamdep, makeup, maybellinepartner",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,4,32,0,0,0,1,0,1,FALSE
"Là sao vậy brand M, rõ là cái màu trông rất ối dồi ôi mà????
Mà chất đợt này okla hơn trước, cây má kem trước Vi chê âm điểm 🤭

#mahongkem #goclamdep #makeup #reviewlamdep #maybellinepartner ",5/30/2025 11:25,30/05/2025,FALSE,https://www.tiktok.com/@vithanhle308,original sound - L>3 ❤️‍🔥,7.49978E+18,https://www.tiktok.com/@vithanhle308/video/7510090065620520210,15,12600,627,196200,1256,73,"mahongkem, goclamdep, makeup, reviewlamdep, maybellinepartner",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,5,30,0,1,0,0,0,0,FALSE
"Gáy v á, tui phấn khích lắm mới có video này á.
Nhẹ, bóng như thuỷ tinh, che vân môi tốt, chỉ không lì (vừa là ưu vừa là nhược điểm)
Chấm 8/10 nha trời 🫶🏻🫶🏻

#makeup #goclamdep #sonbong #redchamber ",5/27/2025 10:58,27/05/2025,FALSE,https://www.tiktok.com/@vithanhle308,light comedy funny characters,7.41952E+18,https://www.tiktok.com/@vithanhle308/video/7508969808302492946,81,5946,541,156700,1622,39,"makeup, goclamdep, sonbong, redchamber",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,4,35,0,1,0,0,0,0,FALSE
,5/26/2025 9:46,26/05/2025,FALSE,https://www.tiktok.com/@vithanhle308,Khuôn Mặt Đáng Thương ( Remix 80s ),7.48316E+18,https://www.tiktok.com/@vithanhle308/video/7508580266743565575,41,7538,113,104000,414,30,,FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,FALSE
"Xem để biết nên mua màu nào nhé các chị em 🫶🏻🫶🏻
Tự tin đi ăn với ngiu không lo trôi son nhé
#makeup #swatchson #sugarplum #ofelia #goclamdep ",5/25/2025 16:36,25/05/2025,FALSE,https://www.tiktok.com/@vithanhle308,搞笑有趣可爱虫,7.27416E+18,https://www.tiktok.com/@vithanhle308/video/7508314756000910600,42,1809,92,68000,310,22,"makeup, swatchson, sugarplum, ofelia, goclamdep",FALSE,FALSE,vithanhle308,FALSE,FALSE,FALSE,1,5,22,0,0,1,0,0,1,FALSE
