text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Là ai đã khai sáng ra tips makeup này vậyyy #REDCHAMBER #CLEANBEAUTY @RED CHAMBER VN ,6/11/2025 18:25,11/6/2025,TRUE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.51465E+18,https://www.tiktok.com/@vznganmin/video/7514651444851657992,60,258,5,29400,30,0,"redchamber, cleanbeauty, ",FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,2,13,0,0,0,1,0,0,FALSE
Sound chữa lành quá nè hhh #fyp ,6/9/2025 21:53,9/6/2025,FALSE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.51396E+18,https://www.tiktok.com/@vznganmin/video/7513962783612947730,57,23,0,498,2,3,fyp,FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,1,6,0,0,0,1,0,0,FALSE
Team tóc đen mày nâu ✋🏻 #rocksweet #mascara ,5/26/2025 20:20,26/05/2025,TRUE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.50874E+18,https://www.tiktok.com/@vznganmin/video/7508743705705204999,13,24,0,2684,1,0,"rocksweet, mascara",FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,1,2,5,0,0,0,1,0,0,FALSE
Tươi trẻ mỗi ngày - bắt đầu với Kiri @Kiri Vietnam #kiri #phomaikiri #kiriminisweet ,5/15/2025 19:10,15/05/2025,TRUE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.50464E+18,https://www.tiktok.com/@vznganmin/video/7504643776678235399,78,1289,29,199500,41,137,", kiri, phomaikiri, kiriminisweet",FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,3,11,0,0,0,1,0,0,FALSE
"Da mướt như ngọc trai, nhờ chăm đều tay với @VTCosmetics x SKVN @StyleKorean_VN  #VT_cosmetics #VT_cosmetics.vn",5/13/2025 19:18,13/05/2025,TRUE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.5039E+18,https://www.tiktok.com/@vznganmin/video/7503903630530006280,57,66,0,22300,12,0,", , vt_cosmetics, vt_cosmetics",FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,2,15,0,0,0,1,0,0,FALSE
Mấy bà thấy clip có gì lạ không? #fyp ,5/13/2025 9:21,13/05/2025,FALSE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.50375E+18,https://www.tiktok.com/@vznganmin/video/7503749864195394824,108,55,0,1144,7,1,fyp,FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,1,8,0,1,0,0,0,0,FALSE
Chời oi mua được bộ chăn ga đẹp dữ ,5/11/2025 20:34,11/5/2025,FALSE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.50318E+18,https://www.tiktok.com/@vznganmin/video/7503180915774934280,31,17,0,2079,4,0,,FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,0,9,0,0,0,1,0,1,FALSE
"Ước gì mua sớm hơnnn
 #LocknLock #Premiumlife #vzone",5/8/2025 16:41,8/5/2025,TRUE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.50201E+18,https://www.tiktok.com/@vznganmin/video/7502007595419421960,57,9,1,3235,2,2,"locknlock, premiumlife, vzone",FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,3,5,0,0,1,0,0,0,FALSE
Lì bằng tất cả nyc của bạn cộng lại #merzyv6 ,5/6/2025 10:26,6/5/2025,FALSE,https://www.tiktok.com/@vznganmin,nhạc nền - Ngân Min,7.50117E+18,https://www.tiktok.com/@vznganmin/video/7501168947404819719,16,45,0,1835,4,1,merzyv6,FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,0,1,9,0,1,0,0,0,0,FALSE
"Đi tập hoiii 🏃🏻‍♀️‍➡️
 #fyp #haruharuwonder ",5/5/2025 12:13,5/5/2025,TRUE,https://www.tiktok.com/@vznganmin,nhạc nền - Chuyện nhà Sữa,7.38063E+18,https://www.tiktok.com/@vznganmin/video/7500825269565918472,34,127,4,191400,10,0,"fyp, haruharuwonder",FALSE,FALSE,vznganmin,FALSE,FALSE,FALSE,3,2,4,0,0,1,0,0,0,FALSE
