text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
,5/18/2025 11:42,18/05/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.50564E+18,https://www.tiktok.com/@xukamechamda/video/7505641594033376519,27,16,0,488,1,2,,FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,1,FALSE
Thêm 1 em srm ngon bổ rẻ đáng thử #anetosvietnam #anetos #srm #duongam #voucher40K #skincaremoingay #GocLamDep #chamsocdamun ,4/23/2025 20:55,23/04/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.49651E+18,https://www.tiktok.com/@xukamechamda/video/7496506895084129544,63,14,0,498,1,2,"anetosvietnam, anetos, srm, duongam, voucher40k, skincaremoingay, goclamdep, chamsocdamun",FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,8,9,0,0,0,1,0,0,FALSE
1 chiếc kem dưỡng mà tui rất tâm đắc #skincare #reviewmypham #dadaumun #phuchoidamongyeu #embryolisse #xukamechamda ,4/18/2025 15:27,18/04/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.49457E+18,https://www.tiktok.com/@xukamechamda/video/7494566929223421202,54,10,0,560,0,1,"skincare, reviewmypham, dadaumun, phuchoidamongyeu, embryolisse, xukamechamda",FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,6,9,0,0,1,0,0,0,FALSE
#skincare #reviewmypham #dadaumun #kemchongnang #taytrang #xukamechamda ,3/31/2025 12:48,31/03/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Rainy (dứa),7.28374E+18,https://www.tiktok.com/@xukamechamda/video/7487846313392950533,0,6686,311,310000,2079,64,"skincare, reviewmypham, dadaumun, kemchongnang, taytrang, xukamechamda",TRUE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,6,0,0,0,1,0,0,0,FALSE
Live lủng gì tầm nàyyy ,3/29/2025 19:16,29/03/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.4872E+18,https://www.tiktok.com/@xukamechamda/video/7487204200187825414,18,17,0,677,2,7,,FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,0,5,0,0,0,1,0,1,FALSE
Liệu kem chống nắng Laroche posay phiên bản mới có đáng thử? #reviewmypham #skincare #kemchongnang #larocheposay #kemchongnanglarocheposay #xukadireview ,3/26/2025 12:00,26/03/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.48598E+18,https://www.tiktok.com/@xukamechamda/video/7485978568539868434,67,21,2,767,1,3,"reviewmypham, skincare, kemchongnang, larocheposay, kemchongnanglarocheposay, xukadireview",FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,6,12,0,0,1,0,0,0,FALSE
Kem chống nắng LRP bản mới có đáng thử??? #skincare #reviewmypham #kemchongnang #larocheposay #xukamechamda ,3/26/2025 7:51,26/03/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.48591E+18,https://www.tiktok.com/@xukamechamda/video/7485914533899275527,67,12,9,361,2,2,"skincare, reviewmypham, kemchongnang, larocheposay, xukamechamda",FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,5,9,0,1,0,0,0,0,FALSE
Toner vô thương vô phat ? #skincare #reviewmypham #toner ,3/19/2025 15:26,19/03/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.48343E+18,https://www.tiktok.com/@xukamechamda/video/7483434081804406023,43,11,0,374,1,0,"skincare, reviewmypham, toner",FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,3,6,0,0,1,0,0,0,FALSE
Toner có thật sự cần thiết? #skincare #skincareroutine #chamsocda #reviewmypham #toner #tonerklairs ,3/18/2025 17:59,18/03/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Xuka mê chăm da,7.4831E+18,https://www.tiktok.com/@xukamechamda/video/7483102399511465234,67,15,1,466,4,0,"skincare, skincareroutine, chamsocda, reviewmypham, toner, tonerklairs",FALSE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,6,6,0,0,1,0,0,0,FALSE
"Bạn có biết việc chọn sai một tuýp kem chống nắng có thể trở thành “thủ phạm” hủy hoại làn da thay vì bảo vệ nó? 
Chọn sai – Da không được bảo vệ tối ưu, thậm chí còn tệ hơn:
- Bít tắc lỗ chân lông → Mụn ồ ạt kéo đến
- Chống nắng yếu → Da sạm đen dù đã chăm chỉ bôi
- Kết cấu không phù hợp → Đổ dầu, vón cục, xuống tone thảm hại
Bạn có chắc mình đang dùng đúng loại kem chống nắng không? Nếu chưa, hãy để Xuka giúp bạn tìm ra “chân ái” chống nắng cho làn da nhé:
#skincare #chamsocda #skincareroutine #reviewmypham #xukamechamda ",3/18/2025 8:37,18/03/2025,FALSE,https://www.tiktok.com/@xukamechamda,nhạc nền - Bé Shinn,7.48262E+18,https://www.tiktok.com/@xukamechamda/video/7482957515123117330,0,14,3,602,2,3,"skincare, chamsocda, skincareroutine, reviewmypham, xukamechamda",TRUE,FALSE,xukamechamda,FALSE,TRUE,FALSE,0,5,110,0,1,0,0,0,0,FALSE
