text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend,is_pinned
Mỗi ngày một phong cách ❌ 30p một phong cách ✅ #yendan ,6/14/2025 13:20,14/06/2025,FALSE,https://www.tiktok.com/@yendan7,original sound,7.49989E+18,https://www.tiktok.com/@yendan7/video/7515686010743786753,11,11500,94,209000,202,84,yendan,FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,2,1,9,0,0,1,0,0,1,FALSE
Em vui đến nỗi giựt giựt #yendan ,6/13/2025 12:52,13/06/2025,FALSE,https://www.tiktok.com/@yendan7,nhạc nền - Xuân Nam ♪,7.50832E+18,https://www.tiktok.com/@yendan7/video/7515307760330886417,15,36800,389,540900,382,116,yendan,FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,0,1,6,0,0,1,0,0,0,FALSE
Ưu điểm: hay nhép. Khuyết điểm: nhép trật lất 😚🌴 #yendan ,6/10/2025 20:52,10/6/2025,FALSE,https://www.tiktok.com/@yendan7,Shake It To The Max (FLY) (Remix),7.46871E+18,https://www.tiktok.com/@yendan7/video/7514318069385252097,23,13400,135,301300,181,100,yendan,FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,1,1,9,0,0,0,1,0,0,FALSE
"Cũng là máy sấy Dyson huyền thoại, nhưng là diện mạo siêu mới, hot or nottt 🫣✨#yendan #beautybyDan #DysonVN #DysonTechnology #DysonBeauty #DysonSupersonicR #StyledWithr @Dyson Vietnam ",6/9/2025 22:19,9/6/2025,FALSE,https://www.tiktok.com/@yendan7,nhạc nền - Yên Đan 🤍,7.51397E+18,https://www.tiktok.com/@yendan7/video/7513969332553125137,21,2461,21,78400,25,18,"yendan, beautybyDan, DysonVN, DysonTechnology, DysonBeauty, DysonSupersonicR, StyledWithr, ",FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,1,7,18,0,0,0,0,1,0,FALSE
Giựt giựt kiểu chú Tín ❌ Giựt kiểu say sóng biển ✅ #yendan ,6/8/2025 18:43,8/6/2025,FALSE,https://www.tiktok.com/@yendan7,Stereo Love by DJ PW Remix,7.18701E+18,https://www.tiktok.com/@yendan7/video/7513542752857066768,15,18000,301,183600,241,105,yendan,FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,2,1,10,0,0,0,1,0,1,FALSE
U30 thì có sao? Xinh điẹp 5 sao là được 😂 #yendan #beautybyDan #goclamdep #thewhoo #bichup ,6/5/2025 19:18,5/6/2025,FALSE,https://www.tiktok.com/@yendan7,vanilla flavor,7.40512E+18,https://www.tiktok.com/@yendan7/video/7512438472381156624,134,18100,112,340300,718,84,"yendan, beautybydan, goclamdep, thewhoo, bichup",FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,1,5,10,0,0,0,1,0,0,FALSE
"Giao diện thiếu nữ, tâm hồn thiếu nhi 🦋 #yendan ",6/1/2025 20:03,1/6/2025,FALSE,https://www.tiktok.com/@yendan7,nhạc nền - Yên Đan 🤍,7.51097E+18,https://www.tiktok.com/@yendan7/video/7510965769392508176,12,8713,73,159800,124,65,yendan,FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,1,1,8,0,0,0,1,0,1,FALSE
Người khó quyết định kiểu: thử full bảng màu vẫn chưa quyết được 😅 #yendan #goclamdep #aobalo #aothunnu #KAYLIN ,5/31/2025 12:22,31/05/2025,TRUE,https://www.tiktok.com/@yendan7,Purple Front,6.99201E+18,https://www.tiktok.com/@yendan7/video/7510475877315071249,65,9068,77,437700,332,38,"yendan, goclamdep, aobalo, aothunnu, kaylin",FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,1,5,13,0,0,1,0,0,1,FALSE
"Chị em mình xăm, xăm lính 🌸 @Trâm Ngô #yendan #tramngo ",5/30/2025 21:10,30/05/2025,FALSE,https://www.tiktok.com/@yendan7,nhạc nền,7.26827E+18,https://www.tiktok.com/@yendan7/video/7510240825423564033,11,29300,567,604500,704,95,", yendan, tramngo",FALSE,FALSE,yendan7,FALSE,FALSE,FALSE,1,2,8,0,0,0,1,0,0,FALSE
Cho tớ luỵ chuyến đi này thêm lần nữa nhé 😭 #SOOBINLIVECONCERT #allrounder #KINGDOM #sslabel #yendan #Soobin ,5/29/2025 21:28,29/05/2025,FALSE,https://www.tiktok.com/@yendan7,Ai cũng phải lớn,7.50541E+18,https://www.tiktok.com/@yendan7/video/7509874529829719313,23,70100,450,816500,642,222,"soobinliveconcert, allrounder, kingdom, sslabel, yendan, soobin",FALSE,FALSE,yendan7,FALSE,FALSE,TRUE,1,6,10,0,0,0,1,0,0,FALSE
